Date,Open,High,Low,Close,Volume
22-Nov-16,59.92,60.92,59.51,60.73,172752
21-Nov-16,60.11,60.18,59.09,59.54,112978
18-Nov-16,59.34,59.89,59.34,59.68,98547
17-Nov-16,59.79,60.13,59.03,59.19,65295
16-Nov-16,59.93,60.36,59.54,59.59,112179
15-Nov-16,59.59,60.74,59.51,59.93,99415
14-Nov-16,60.05,61.46,59.66,60.21,166494
11-Nov-16,59.24,60.08,58.80,59.55,239641
10-Nov-16,57.96,59.85,57.29,59.39,291622
9-Nov-16,54.82,57.58,54.82,56.95,233876
8-Nov-16,55.46,55.74,54.87,55.03,75189
7-Nov-16,55.60,56.31,55.10,55.51,218202
4-Nov-16,53.31,55.54,52.80,54.60,131775
3-Nov-16,52.00,53.96,52.00,53.18,179449
2-Nov-16,53.39,53.81,52.82,52.84,85635
1-Nov-16,54.11,54.30,52.91,53.45,123421
31-Oct-16,54.01,54.48,53.44,54.12,73492
28-Oct-16,54.17,54.35,53.69,53.73,95913
27-Oct-16,54.45,54.50,53.93,54.20,79555
26-Oct-16,54.04,54.81,54.04,54.30,102930
25-Oct-16,55.42,55.94,54.28,54.34,63802
24-Oct-16,55.52,56.16,55.40,55.56,56472
21-Oct-16,55.30,55.65,55.04,55.07,78337
20-Oct-16,56.03,56.40,55.72,55.79,108174
19-Oct-16,56.43,56.75,56.02,56.26,128084
18-Oct-16,56.95,56.95,56.10,56.26,64727
17-Oct-16,55.81,56.53,55.18,56.27,72411
14-Oct-16,56.14,57.11,55.75,55.97,93563
13-Oct-16,55.38,56.43,55.08,55.97,111318
12-Oct-16,55.49,56.57,54.50,55.86,52273
11-Oct-16,56.05,56.05,54.94,55.53,74312
10-Oct-16,56.67,57.00,56.06,56.26,68497
7-Oct-16,56.73,56.73,56.11,56.24,86152
6-Oct-16,56.99,57.04,56.15,56.83,49627
5-Oct-16,56.70,57.35,56.02,57.20,92963
4-Oct-16,56.45,57.03,56.02,56.16,71994
3-Oct-16,56.62,56.86,56.16,56.27,90903
30-Sep-16,56.23,57.26,56.19,56.82,154233
29-Sep-16,56.73,57.07,55.96,56.07,76132
28-Sep-16,55.89,57.04,55.89,56.98,91752
27-Sep-16,55.81,55.97,55.12,55.78,90887
26-Sep-16,55.83,56.45,55.68,55.94,131150
23-Sep-16,56.44,57.47,56.20,56.44,133546
22-Sep-16,56.29,57.09,55.84,57.07,87666
21-Sep-16,55.75,56.11,54.99,55.85,77111
20-Sep-16,55.26,55.53,54.86,55.37,103473
19-Sep-16,55.35,56.05,54.33,54.95,105256
