Date,Open,High,Low,Close,Volume
22-Nov-16,58.05,58.90,57.55,58.55,130484
21-Nov-16,57.00,57.95,56.50,57.95,125491
18-Nov-16,56.45,57.00,55.90,56.55,257169
17-Nov-16,56.30,56.95,55.88,56.35,125629
16-Nov-16,56.20,56.75,55.35,56.35,128383
15-Nov-16,55.90,57.10,55.60,56.20,195690
14-Nov-16,54.70,55.55,53.83,55.45,271903
11-Nov-16,53.70,55.10,53.50,54.85,1014269
10-Nov-16,56.50,57.20,54.15,56.20,170423
9-Nov-16,57.05,57.45,55.55,56.70,145818
8-Nov-16,57.50,58.45,57.50,57.80,77830
7-Nov-16,56.40,57.75,56.20,57.65,89391
4-Nov-16,56.75,57.45,56.15,56.15,84732
3-Nov-16,56.25,57.05,55.56,56.45,141493
2-Nov-16,56.00,57.20,55.50,56.15,105928
1-Nov-16,58.50,59.40,57.05,57.30,98882
31-Oct-16,57.15,58.95,56.65,58.80,138128
28-Oct-16,57.25,57.75,57.00,57.20,56910
27-Oct-16,57.55,58.15,57.00,57.50,81638
26-Oct-16,58.20,58.40,57.80,58.25,73004
25-Oct-16,57.65,58.40,57.65,58.30,70220
24-Oct-16,57.45,58.15,57.40,57.90,52300
21-Oct-16,57.68,57.96,57.36,57.44,55570
20-Oct-16,58.57,58.71,57.94,58.07,52853
19-Oct-16,59.45,59.45,58.34,58.37,109282
18-Oct-16,58.58,59.57,57.90,59.37,93772
17-Oct-16,58.27,58.73,58.00,58.39,60468
14-Oct-16,60.00,60.00,57.73,58.12,70348
13-Oct-16,57.54,58.90,57.06,58.07,132134
12-Oct-16,56.29,57.61,56.29,57.41,60472
11-Oct-16,57.77,57.78,56.10,56.22,78968
10-Oct-16,56.52,58.11,56.52,57.82,78899
7-Oct-16,57.38,57.76,56.36,56.41,101854
6-Oct-16,56.43,57.16,56.23,56.81,158881
5-Oct-16,57.42,57.64,56.56,56.58,92886
4-Oct-16,58.95,58.95,56.88,57.35,78232
3-Oct-16,59.95,59.95,58.65,59.29,93148
30-Sep-16,60.77,60.96,59.63,60.11,90189
29-Sep-16,61.39,61.48,60.18,60.47,75633
28-Sep-16,61.20,61.80,60.78,61.41,72320
27-Sep-16,62.54,62.54,61.14,61.37,78650
26-Sep-16,62.31,62.84,62.07,62.21,97774
23-Sep-16,62.62,62.71,62.20,62.40,84970
22-Sep-16,62.80,63.25,62.40,63.00,115804
21-Sep-16,61.20,62.76,60.99,62.49,98225
20-Sep-16,61.04,61.58,60.98,60.98,67338
19-Sep-16,60.43,60.89,59.71,60.85,80923
16-Sep-16,59.31,60.19,58.77,60.13,239880
15-Sep-16,58.22,59.42,58.22,59.16,156347
14-Sep-16,58.62,59.21,57.96,58.22,75740
13-Sep-16,59.32,59.32,58.41,58.60,122701
12-Sep-16,59.27,59.65,58.46,59.55,114633
9-Sep-16,60.72,60.78,59.10,59.13,143131
8-Sep-16,60.97,62.03,60.92,61.36,64965
7-Sep-16,60.58,61.43,60.04,61.33,94875
6-Sep-16,60.18,60.75,60.06,60.43,83165
2-Sep-16,59.62,60.45,59.54,60.43,73327
1-Sep-16,59.40,59.74,59.19,59.45,58569
31-Aug-16,60.00,60.10,59.47,59.73,119904
30-Aug-16,60.74,60.80,59.89,59.97,57921
29-Aug-16,60.36,61.40,60.36,60.60,87115
26-Aug-16,61.77,62.26,60.22,60.23,85959
25-Aug-16,61.01,61.85,60.89,61.70,84526
24-Aug-16,61.64,61.64,60.35,61.31,89127
23-Aug-16,61.64,62.02,61.46,61.52,108553
22-Aug-16,61.41,61.71,60.49,61.52,165109
19-Aug-16,62.59,62.59,60.84,61.08,127763
18-Aug-16,61.38,62.60,60.62,62.25,135606
17-Aug-16,60.85,61.59,60.38,61.41,153853
16-Aug-16,62.39,62.52,60.81,60.91,181875
15-Aug-16,63.35,63.62,62.63,62.65,105033
12-Aug-16,63.46,63.92,63.12,63.33,61339
11-Aug-16,63.20,63.49,63.11,63.18,78537
10-Aug-16,63.33,63.45,63.00,63.34,101824
9-Aug-16,63.48,63.52,63.12,63.34,118219
8-Aug-16,63.49,63.95,62.49,63.31,98015
5-Aug-16,64.18,64.18,62.90,63.83,96828
4-Aug-16,64.28,65.22,64.11,64.32,128833
3-Aug-16,65.32,65.39,64.25,64.51,120473
2-Aug-16,64.24,65.53,64.24,65.04,133166
1-Aug-16,64.61,65.16,64.25,64.33,226065
29-Jul-16,64.87,65.50,64.82,64.94,107661
28-Jul-16,64.44,64.92,64.28,64.76,66112
27-Jul-16,65.00,65.06,63.72,64.48,187099
26-Jul-16,65.52,66.17,65.29,65.44,107621
25-Jul-16,65.23,65.66,65.17,65.60,78736
22-Jul-16,64.80,65.93,64.73,65.49,74803
21-Jul-16,64.00,65.15,64.00,65.06,97712
20-Jul-16,64.36,64.70,64.27,64.49,82089
19-Jul-16,64.84,64.85,64.47,64.58,87830
18-Jul-16,64.90,65.19,64.54,64.64,72216
15-Jul-16,64.41,65.14,64.21,64.94,90359
14-Jul-16,64.78,64.91,63.49,64.39,126592
13-Jul-16,64.63,65.37,64.63,65.31,113246
12-Jul-16,64.30,64.65,63.75,64.26,141615
11-Jul-16,64.63,64.97,63.63,64.91,111617
8-Jul-16,63.70,64.94,63.26,64.83,104315
7-Jul-16,64.88,64.88,63.67,63.80,127676
6-Jul-16,65.19,65.75,64.78,65.23,94217
5-Jul-16,64.88,65.58,64.65,65.37,148384
1-Jul-16,65.00,65.53,64.03,64.58,111064
30-Jun-16,62.69,64.84,62.69,64.82,213902
29-Jun-16,62.67,63.68,62.56,62.70,140920
28-Jun-16,62.95,63.18,62.20,62.30,167319
27-Jun-16,61.68,62.89,61.53,62.66,216425
24-Jun-16,60.92,62.25,60.57,61.83,275253
23-Jun-16,60.51,61.17,60.40,61.15,127325
22-Jun-16,60.63,60.96,60.28,60.58,160447
21-Jun-16,60.48,60.98,59.56,60.63,116064
20-Jun-16,60.59,60.81,60.01,60.45,113441
17-Jun-16,60.81,60.81,59.82,60.64,309515
16-Jun-16,60.00,61.23,59.63,61.00,217746
15-Jun-16,59.86,60.20,59.21,59.97,209160
14-Jun-16,59.20,59.58,59.00,59.55,142283
13-Jun-16,59.22,59.54,59.02,59.20,159808
10-Jun-16,59.07,59.43,58.82,59.34,134437
9-Jun-16,58.38,59.19,58.13,59.10,122062
8-Jun-16,57.51,58.26,57.10,58.26,128342
7-Jun-16,57.00,57.80,56.70,57.56,168274
6-Jun-16,56.81,57.16,56.30,56.80,113529
3-Jun-16,56.49,57.09,56.09,56.79,160155
2-Jun-16,55.75,56.01,55.18,56.00,107765
1-Jun-16,55.13,55.68,55.06,55.64,144343
31-May-16,55.15,55.25,54.53,54.90,143081
27-May-16,54.77,55.24,54.51,55.06,174233
26-May-16,54.68,55.26,54.10,54.81,219333
