Date,Open,High,Low,Close,Volume
22-Nov-16,18.10,18.28,17.60,17.65,46120
21-Nov-16,18.00,18.23,17.98,18.00,85808
18-Nov-16,18.25,18.40,17.90,18.00,32579
17-Nov-16,18.30,18.50,18.10,18.20,21816
16-Nov-16,18.35,18.50,18.15,18.25,34517
15-Nov-16,18.20,18.65,18.20,18.35,33490
14-Nov-16,17.70,18.30,17.70,18.05,45622
11-Nov-16,17.95,18.37,17.65,17.75,44686
10-Nov-16,18.30,18.49,17.85,17.90,36410
9-Nov-16,17.95,18.35,17.95,18.20,66638
8-Nov-16,17.95,18.30,17.75,18.20,25380
7-Nov-16,17.75,18.49,17.70,17.95,71477
4-Nov-16,17.80,18.00,17.50,17.70,84002
3-Nov-16,18.65,18.70,18.10,18.15,44139
2-Nov-16,19.50,19.50,18.50,18.65,85546
1-Nov-16,19.75,19.75,19.35,19.40,42437
31-Oct-16,20.05,20.40,19.55,19.55,53900
28-Oct-16,19.45,20.25,19.10,19.75,73598
27-Oct-16,20.00,20.44,19.75,19.85,77717
26-Oct-16,20.05,20.50,19.77,19.95,110821
25-Oct-16,20.35,20.40,20.00,20.15,41396
24-Oct-16,20.20,20.50,20.20,20.35,56571
21-Oct-16,20.15,20.40,19.90,20.10,111170
20-Oct-16,20.00,20.35,19.85,20.05,49799
19-Oct-16,20.35,20.45,19.95,19.95,24747
18-Oct-16,20.10,20.40,19.70,20.15,32470
17-Oct-16,19.85,20.20,19.70,19.90,21965
14-Oct-16,19.95,20.22,19.88,19.97,23001
13-Oct-16,19.95,19.98,19.87,19.95,18794
12-Oct-16,20.14,20.25,19.85,19.99,45496
11-Oct-16,20.00,20.17,19.85,19.95,26049
10-Oct-16,20.23,20.36,20.05,20.05,56944
7-Oct-16,20.32,20.38,19.80,20.02,57590
6-Oct-16,20.10,20.37,20.00,20.23,75521
5-Oct-16,20.07,20.43,19.75,20.00,70976
4-Oct-16,20.27,20.28,20.00,20.00,21196
3-Oct-16,19.91,20.20,19.76,20.06,33772
30-Sep-16,20.09,20.37,19.75,19.82,36296
29-Sep-16,19.85,20.26,19.85,20.15,30364
28-Sep-16,19.74,20.29,19.53,19.97,26333
27-Sep-16,19.80,19.80,19.58,19.67,104819
26-Sep-16,20.04,20.04,19.72,19.76,39192
23-Sep-16,19.73,19.92,19.70,19.83,148608
22-Sep-16,19.93,20.24,19.82,19.93,144612
21-Sep-16,20.35,20.35,19.69,19.89,100705
20-Sep-16,20.25,20.36,20.00,20.22,59857
19-Sep-16,20.30,20.53,20.04,20.14,33923
16-Sep-16,20.32,20.45,20.17,20.26,33149
15-Sep-16,20.33,20.75,20.32,20.39,36161
14-Sep-16,20.51,20.67,20.20,20.28,42108
13-Sep-16,20.65,20.91,20.40,20.40,56145
12-Sep-16,20.65,21.07,20.16,20.68,73820
9-Sep-16,20.86,21.42,20.15,20.77,441921
8-Sep-16,20.84,20.98,20.56,20.92,80210
7-Sep-16,20.82,21.06,20.72,20.83,34513
6-Sep-16,20.71,21.07,20.50,20.81,36217
2-Sep-16,20.15,20.71,20.15,20.58,33966
1-Sep-16,20.31,20.50,20.03,20.22,12341
31-Aug-16,20.14,20.49,19.92,20.29,247779
30-Aug-16,20.20,20.30,19.81,20.11,340622
29-Aug-16,20.24,20.36,19.82,20.14,21300
26-Aug-16,19.87,20.44,19.86,20.10,53109
25-Aug-16,20.12,20.40,19.84,19.91,108159
24-Aug-16,20.10,20.39,20.02,20.15,76661
23-Aug-16,20.36,20.53,20.02,20.09,87538
22-Aug-16,20.40,20.74,20.19,20.24,85940
19-Aug-16,20.61,20.72,20.30,20.41,74872
18-Aug-16,20.51,20.65,20.38,20.48,60359
17-Aug-16,20.51,20.76,20.35,20.43,76367
16-Aug-16,20.93,20.94,20.30,20.57,53236
15-Aug-16,20.65,21.50,20.50,20.68,87897
12-Aug-16,20.20,21.00,20.03,20.45,999838
11-Aug-16,21.74,22.08,21.37,21.44,56160
10-Aug-16,21.55,22.21,21.29,21.84,41657
9-Aug-16,21.97,22.16,21.50,21.50,8727
8-Aug-16,22.25,22.27,21.63,21.82,25027
5-Aug-16,22.07,22.58,21.83,22.07,35769
4-Aug-16,22.47,22.97,22.20,22.30,76561
3-Aug-16,21.93,23.00,21.93,22.45,32231
2-Aug-16,21.98,22.11,21.55,21.74,22783
1-Aug-16,22.11,22.39,21.59,21.84,29492
29-Jul-16,22.06,22.44,21.90,22.05,33007
28-Jul-16,21.95,22.46,21.87,21.96,15728
27-Jul-16,22.25,22.32,21.93,21.95,26496
26-Jul-16,21.89,22.18,21.85,22.08,31785
25-Jul-16,21.76,22.13,21.67,21.96,19348
22-Jul-16,22.00,22.00,21.73,21.89,21593
21-Jul-16,21.50,22.32,21.43,21.83,29336
20-Jul-16,21.53,21.71,21.34,21.51,15070
19-Jul-16,21.45,21.73,21.23,21.65,24043
18-Jul-16,21.52,22.00,21.40,21.53,28136
15-Jul-16,21.31,21.74,21.27,21.62,40371
14-Jul-16,21.69,21.98,21.32,21.38,50110
13-Jul-16,22.10,22.14,21.56,21.78,25555
12-Jul-16,21.96,22.46,21.72,21.87,13570
11-Jul-16,22.05,22.07,21.70,21.87,27251
8-Jul-16,22.84,22.84,21.98,22.04,61376
7-Jul-16,22.50,22.55,22.10,22.43,28724
6-Jul-16,22.50,22.70,22.16,22.41,8899
5-Jul-16,22.93,22.93,22.42,22.48,8247
1-Jul-16,23.02,23.26,22.50,22.99,38990
30-Jun-16,23.04,23.27,22.60,23.02,20122
29-Jun-16,22.67,23.24,22.42,22.97,38897
28-Jun-16,21.64,22.47,21.47,22.43,40913
27-Jun-16,22.40,22.40,21.01,21.42,56329
24-Jun-16,22.00,22.98,22.00,22.31,81027
23-Jun-16,22.43,22.49,22.12,22.45,28457
22-Jun-16,22.25,22.44,22.00,22.28,27927
21-Jun-16,22.23,22.46,22.03,22.36,20354
20-Jun-16,22.41,22.48,21.90,22.07,30928
17-Jun-16,22.44,22.48,22.08,22.15,27964
16-Jun-16,22.08,22.48,22.08,22.38,13342
15-Jun-16,22.25,22.48,22.14,22.26,26335
14-Jun-16,22.37,22.49,22.21,22.39,33486
13-Jun-16,22.49,22.88,22.23,22.43,40226
10-Jun-16,22.60,22.99,22.50,22.55,35639
9-Jun-16,22.70,23.07,22.47,22.80,41368
8-Jun-16,23.24,23.49,22.20,22.98,41600
7-Jun-16,22.48,23.37,22.48,23.22,80012
6-Jun-16,22.25,22.89,22.20,22.48,51405
3-Jun-16,22.30,22.36,21.72,22.27,41600
2-Jun-16,21.96,22.51,21.86,22.26,39702
1-Jun-16,21.62,22.14,21.62,22.12,37378
31-May-16,21.40,21.97,21.35,21.79,121274
27-May-16,21.45,21.60,21.02,21.40,32090
26-May-16,21.60,21.77,21.05,21.77,39366
25-May-16,21.34,21.68,20.92,21.53,51939
24-May-16,20.98,21.68,20.63,21.30,69650
23-May-16,21.00,21.05,20.68,20.92,44656
20-May-16,21.47,21.56,21.00,21.11,31915
19-May-16,21.01,21.80,21.01,21.56,76506
18-May-16,21.04,21.36,20.76,21.15,77345
17-May-16,20.61,21.40,20.61,21.03,100776
16-May-16,20.33,21.06,20.33,20.70,74889
13-May-16,20.26,20.43,20.02,20.22,49665
12-May-16,20.21,20.56,20.15,20.31,67154
11-May-16,20.36,20.66,20.15,20.28,54872
10-May-16,20.58,21.14,20.58,20.90,85544
9-May-16,21.20,21.35,20.25,20.50,29684
6-May-16,20.86,21.20,20.65,21.19,62894
5-May-16,21.46,21.74,20.89,20.97,48108
4-May-16,21.20,21.59,21.20,21.45,27208
3-May-16,21.46,21.46,20.78,21.03,189204
2-May-16,21.55,21.74,20.52,21.13,87078
29-Apr-16,20.27,21.64,20.22,21.55,163001
28-Apr-16,20.10,20.44,20.10,20.20,221257
27-Apr-16,19.88,20.45,19.65,20.15,99857
26-Apr-16,20.03,20.03,19.66,19.80,34763
25-Apr-16,19.83,20.13,19.74,19.90,47350
22-Apr-16,19.60,20.00,19.51,19.91,51749
21-Apr-16,19.94,20.47,19.48,19.60,159280
20-Apr-16,19.28,19.94,18.90,19.65,332517
19-Apr-16,19.24,19.59,18.96,19.28,156360
18-Apr-16,18.25,18.96,18.01,18.89,130885
15-Apr-16,18.83,18.94,18.25,18.30,153774
14-Apr-16,18.70,18.95,18.47,18.84,166560
13-Apr-16,18.77,18.91,18.47,18.69,125989
12-Apr-16,18.55,19.36,18.30,18.79,200064
11-Apr-16,18.60,19.02,18.34,18.43,155460
8-Apr-16,18.51,18.85,18.41,18.58,101177
7-Apr-16,18.11,18.96,18.00,18.41,166019
6-Apr-16,18.11,18.38,17.60,18.17,110418
5-Apr-16,17.90,18.18,17.62,18.09,310631
4-Apr-16,18.42,18.68,17.50,18.10,145522
1-Apr-16,18.60,18.87,18.40,18.40,210295
31-Mar-16,18.42,18.92,18.40,18.84,1240695
30-Mar-16,19.50,20.20,19.07,20.12,112769
29-Mar-16,19.27,19.65,18.75,19.65,32150
28-Mar-16,19.75,20.14,19.11,19.43,63420
24-Mar-16,18.87,20.22,18.87,19.60,52676
23-Mar-16,19.44,19.44,18.86,18.93,36425
22-Mar-16,19.07,19.41,18.66,19.25,18993
21-Mar-16,19.26,19.49,18.89,19.18,27882
18-Mar-16,19.46,19.66,19.21,19.27,40079
17-Mar-16,19.38,19.67,19.33,19.60,55384
16-Mar-16,18.91,19.17,18.57,19.14,31733
15-Mar-16,19.07,19.07,18.56,18.89,28343
14-Mar-16,18.83,19.10,18.47,19.10,29608
11-Mar-16,19.03,19.09,18.66,19.09,42052
10-Mar-16,19.01,19.10,18.42,18.88,37297
9-Mar-16,18.27,19.12,18.27,19.07,26900
8-Mar-16,19.40,19.66,17.92,18.17,31205
7-Mar-16,19.34,19.45,19.04,19.19,28925
4-Mar-16,18.42,19.46,18.42,19.31,57877
3-Mar-16,18.01,18.79,17.86,18.20,93270
2-Mar-16,17.85,18.33,17.66,18.10,73418
1-Mar-16,17.64,18.18,17.64,17.95,51649
29-Feb-16,17.73,18.51,17.41,17.50,110306
26-Feb-16,17.77,18.12,17.36,17.50,43664
25-Feb-16,16.78,17.45,16.51,17.45,43439
24-Feb-16,16.61,17.18,16.50,17.10,19640
23-Feb-16,17.32,17.34,16.61,16.94,29640
22-Feb-16,17.19,17.40,17.18,17.36,23811
19-Feb-16,16.00,17.10,16.00,16.90,47205
18-Feb-16,17.50,18.02,15.39,15.77,167369
17-Feb-16,17.26,18.04,17.17,17.72,70613
16-Feb-16,17.00,17.39,16.74,17.14,37751
12-Feb-16,16.57,17.11,16.57,16.73,18580
11-Feb-16,16.20,17.54,16.20,16.66,66765
10-Feb-16,17.00,17.65,17.00,17.26,85558
9-Feb-16,17.49,17.50,16.50,17.08,63119
8-Feb-16,17.65,17.74,17.17,17.47,32863
5-Feb-16,17.55,17.80,17.51,17.71,7466
4-Feb-16,17.63,17.86,17.50,17.58,16102
3-Feb-16,17.87,17.91,17.41,17.59,17049
2-Feb-16,17.60,18.12,17.42,17.81,48865
1-Feb-16,17.86,18.04,17.62,17.71,18823
29-Jan-16,17.77,18.08,17.76,17.95,13662
28-Jan-16,18.08,18.37,17.72,17.72,18827
27-Jan-16,17.92,18.12,17.75,17.84,10019
26-Jan-16,18.20,18.55,18.01,18.05,26454
25-Jan-16,18.35,18.74,18.24,18.24,22136
22-Jan-16,17.82,18.86,17.76,18.60,30312
21-Jan-16,18.75,19.12,17.09,17.76,115471
20-Jan-16,18.60,19.11,18.08,18.85,70509
19-Jan-16,19.70,19.91,18.80,19.50,54986
15-Jan-16,19.58,19.75,19.32,19.63,51610
14-Jan-16,19.11,20.22,19.10,20.00,164980
13-Jan-16,19.99,19.99,19.25,19.35,183173
12-Jan-16,19.84,20.18,19.14,19.95,57886
11-Jan-16,19.81,20.36,19.74,19.87,44173
8-Jan-16,20.46,20.50,20.27,20.35,15473
7-Jan-16,20.30,20.67,20.30,20.42,25694
6-Jan-16,20.78,20.89,20.46,20.58,17521
5-Jan-16,20.81,21.02,20.40,20.82,32003
4-Jan-16,21.31,21.34,20.54,20.79,90202
31-Dec-15,20.76,21.47,19.75,21.36,146093
30-Dec-15,20.83,21.00,20.45,20.80,52568
29-Dec-15,20.73,21.14,20.37,20.94,66788
28-Dec-15,19.38,21.04,19.30,20.69,235847
24-Dec-15,19.56,19.83,19.35,19.46,57842
23-Dec-15,19.18,19.97,19.18,19.55,66879
22-Dec-15,19.16,19.51,18.99,19.24,49496
21-Dec-15,19.41,19.56,19.06,19.08,47460
18-Dec-15,19.22,19.71,19.07,19.34,43932
17-Dec-15,19.36,19.53,19.06,19.07,45210
16-Dec-15,19.28,19.86,18.99,19.19,61961
15-Dec-15,19.28,19.39,18.60,19.05,37178
14-Dec-15,19.63,19.63,18.52,18.95,77952
11-Dec-15,20.25,20.38,19.50,19.57,25826
10-Dec-15,20.50,20.91,19.96,20.15,17114
9-Dec-15,19.75,20.94,19.75,20.74,115446
8-Dec-15,18.40,19.65,18.40,19.55,32806
7-Dec-15,19.04,19.41,18.42,19.22,82862
4-Dec-15,19.35,19.40,18.86,19.40,53313
3-Dec-15,19.30,19.68,19.00,19.20,32507
