Date,Open,High,Low,Close,Volume
22-Nov-16,10.19,10.20,10.15,10.20,86856
21-Nov-16,10.11,10.19,10.11,10.16,87064
18-Nov-16,10.18,10.18,10.06,10.12,60006
17-Nov-16,10.11,10.15,10.09,10.13,63501
16-Nov-16,10.07,10.14,10.04,10.13,128477
15-Nov-16,9.98,10.17,9.96,10.14,106141
14-Nov-16,10.05,10.05,9.76,9.98,203850
11-Nov-16,10.08,10.13,10.01,10.12,65389
10-Nov-16,10.23,10.30,10.02,10.12,151619
9-Nov-16,10.18,10.36,10.16,10.21,100816
8-Nov-16,10.41,10.49,10.38,10.40,77279
7-Nov-16,10.35,10.42,10.34,10.41,102088
4-Nov-16,10.34,10.40,10.26,10.32,62789
3-Nov-16,10.36,10.43,10.31,10.34,66761
2-Nov-16,10.54,10.54,10.21,10.35,168076
1-Nov-16,10.62,10.62,10.53,10.55,87231
31-Oct-16,10.60,10.62,10.52,10.62,75406
28-Oct-16,10.57,10.60,10.46,10.57,69209
27-Oct-16,10.63,10.64,10.56,10.56,49929
26-Oct-16,10.60,10.63,10.57,10.63,45201
25-Oct-16,10.57,10.64,10.55,10.63,50698
24-Oct-16,10.55,10.60,10.54,10.57,40661
21-Oct-16,10.53,10.60,10.45,10.59,60486
20-Oct-16,10.49,10.57,10.47,10.51,48382
19-Oct-16,10.35,10.50,10.35,10.49,42820
18-Oct-16,10.40,10.40,10.28,10.33,144441
17-Oct-16,10.45,10.48,10.35,10.35,50129
14-Oct-16,10.41,10.47,10.41,10.46,46855
13-Oct-16,10.42,10.47,10.36,10.40,107287
12-Oct-16,10.44,10.51,10.41,10.45,60486
11-Oct-16,10.47,10.51,10.42,10.48,46744
10-Oct-16,10.53,10.59,10.48,10.52,71632
7-Oct-16,10.52,10.56,10.50,10.51,93723
6-Oct-16,10.56,10.56,10.46,10.54,66753
5-Oct-16,10.63,10.63,10.54,10.54,96857
4-Oct-16,10.63,10.67,10.58,10.58,179257
3-Oct-16,10.70,10.70,10.62,10.68,56290
