Date,Open,High,Low,Close,Volume
22-Nov-16,2.05,2.25,2.00,2.20,628658
21-Nov-16,2.00,2.05,1.95,2.05,479315
18-Nov-16,2.00,2.00,1.90,1.95,499849
17-Nov-16,2.00,2.05,1.95,2.00,490978
16-Nov-16,2.00,2.05,1.95,2.00,575719
15-Nov-16,2.05,2.12,1.95,2.05,505644
14-Nov-16,2.15,2.25,1.95,2.05,657867
11-Nov-16,2.05,2.10,2.00,2.10,680133
10-Nov-16,2.00,2.10,1.95,2.10,494577
9-Nov-16,1.80,2.00,1.80,2.00,471575
8-Nov-16,1.95,1.95,1.80,1.80,366665
7-Nov-16,1.90,2.00,1.85,1.90,238704
4-Nov-16,1.85,1.95,1.70,1.85,763462
3-Nov-16,1.90,1.95,1.80,1.85,388789
2-Nov-16,1.95,1.95,1.90,1.90,313201
1-Nov-16,2.00,2.05,1.95,2.00,530829
31-Oct-16,2.05,2.05,2.00,2.00,287456
28-Oct-16,2.10,2.12,2.00,2.05,408743
27-Oct-16,2.20,2.20,2.10,2.10,292731
26-Oct-16,2.20,2.25,2.10,2.15,415697
25-Oct-16,2.20,2.25,2.15,2.25,291762
24-Oct-16,2.30,2.30,2.25,2.25,166522
21-Oct-16,2.20,2.30,2.20,2.25,151313
20-Oct-16,2.20,2.30,2.19,2.25,329763
19-Oct-16,2.30,2.35,2.20,2.25,2068540
18-Oct-16,2.35,2.35,2.15,2.25,613620
17-Oct-16,2.35,2.35,2.30,2.35,138557
14-Oct-16,2.35,2.35,2.30,2.35,379751
13-Oct-16,2.35,2.35,2.25,2.30,354381
12-Oct-16,2.30,2.35,2.25,2.35,180221
11-Oct-16,2.35,2.40,2.30,2.35,215900
10-Oct-16,2.30,2.40,2.30,2.35,314842
7-Oct-16,2.34,2.36,2.28,2.29,284660
6-Oct-16,2.30,2.36,2.26,2.32,487585
5-Oct-16,2.22,2.27,2.18,2.25,348367
4-Oct-16,2.20,2.23,2.15,2.16,357758
3-Oct-16,2.17,2.20,2.12,2.19,346486
30-Sep-16,2.16,2.20,2.09,2.17,666639
29-Sep-16,2.15,2.20,2.09,2.11,764984
28-Sep-16,1.95,2.15,1.93,2.14,864127
27-Sep-16,2.00,2.04,1.89,1.95,927140
26-Sep-16,2.11,2.11,2.03,2.03,303069
23-Sep-16,2.11,2.14,2.05,2.07,504649
22-Sep-16,2.12,2.15,2.08,2.15,543515
21-Sep-16,2.11,2.13,2.06,2.13,400353
20-Sep-16,2.10,2.11,2.05,2.06,377298
19-Sep-16,2.16,2.24,2.10,2.10,423918
16-Sep-16,2.14,2.19,2.11,2.14,2683888
15-Sep-16,2.20,2.24,2.15,2.16,641804
14-Sep-16,2.21,2.23,2.15,2.20,681189
13-Sep-16,2.20,2.24,2.12,2.22,675297
12-Sep-16,2.29,2.30,2.20,2.23,439334
9-Sep-16,2.30,2.35,2.28,2.31,689644
8-Sep-16,2.30,2.41,2.26,2.35,577251
7-Sep-16,2.29,2.36,2.24,2.28,513826
6-Sep-16,2.20,2.30,2.20,2.30,584442
2-Sep-16,2.17,2.25,2.16,2.21,622173
1-Sep-16,2.15,2.20,2.11,2.16,574704
31-Aug-16,2.20,2.20,2.13,2.15,931552
30-Aug-16,2.15,2.20,2.12,2.15,246966
29-Aug-16,2.17,2.19,2.10,2.16,274228
26-Aug-16,2.16,2.20,2.11,2.18,411604
25-Aug-16,2.11,2.17,2.09,2.16,322675
24-Aug-16,2.14,2.17,2.09,2.10,196925
23-Aug-16,2.14,2.20,2.12,2.16,193465
22-Aug-16,2.11,2.13,2.08,2.13,193170
19-Aug-16,2.23,2.24,2.13,2.15,519096
18-Aug-16,2.17,2.28,2.17,2.23,586757
17-Aug-16,2.16,2.19,2.13,2.15,175810
16-Aug-16,2.15,2.20,2.14,2.15,273341
15-Aug-16,2.10,2.20,2.10,2.16,530663
12-Aug-16,2.11,2.13,2.02,2.08,422029
11-Aug-16,2.15,2.16,2.09,2.11,361616
10-Aug-16,2.14,2.16,2.05,2.12,318446
9-Aug-16,2.25,2.25,2.11,2.15,480517
8-Aug-16,2.08,2.26,2.08,2.25,751209
5-Aug-16,2.02,2.06,2.00,2.05,268563
4-Aug-16,2.02,2.06,1.97,2.01,258511
3-Aug-16,1.95,2.02,1.84,2.02,501256
2-Aug-16,2.06,2.08,1.85,1.88,402052
1-Aug-16,2.05,2.09,1.94,1.98,415479
29-Jul-16,2.04,2.10,2.00,2.07,338454
28-Jul-16,2.06,2.12,2.00,2.04,297943
27-Jul-16,2.09,2.18,2.00,2.04,219403
26-Jul-16,2.02,2.10,2.01,2.09,198917
25-Jul-16,2.06,2.11,2.00,2.03,310218
22-Jul-16,2.08,2.13,2.06,2.10,194443
21-Jul-16,2.17,2.21,2.08,2.09,301797
20-Jul-16,2.10,2.20,2.07,2.17,229119
19-Jul-16,2.23,2.23,2.11,2.13,328986
18-Jul-16,2.20,2.24,2.15,2.23,314821
15-Jul-16,2.26,2.26,2.17,2.22,443653
14-Jul-16,2.30,2.38,2.21,2.22,814206
13-Jul-16,2.27,2.38,2.23,2.30,448820
12-Jul-16,2.29,2.44,2.29,2.33,618797
11-Jul-16,2.25,2.29,2.21,2.22,291776
8-Jul-16,2.16,2.28,2.16,2.25,474028
7-Jul-16,2.18,2.31,2.13,2.15,529904
