Date,Open,High,Low,Close,Volume
22-Nov-16,33.13,33.13,32.39,32.84,307645
21-Nov-16,32.95,33.17,32.49,32.75,556731
18-Nov-16,32.42,32.74,32.33,32.70,352212
17-Nov-16,33.00,33.03,32.36,32.38,380492
16-Nov-16,32.14,32.70,32.10,32.67,469790
15-Nov-16,32.62,33.02,32.17,32.31,1047285
14-Nov-16,32.15,32.79,32.03,32.72,928709
11-Nov-16,31.33,31.95,31.21,31.86,673998
10-Nov-16,31.37,32.00,31.10,31.36,743045
9-Nov-16,29.02,30.84,28.92,30.75,875141
8-Nov-16,29.44,29.55,29.21,29.22,379663
7-Nov-16,30.04,30.04,29.30,29.50,605410
4-Nov-16,29.26,29.92,29.26,29.38,390956
3-Nov-16,29.26,29.43,29.20,29.30,501883
2-Nov-16,29.21,29.35,29.14,29.22,570877
1-Nov-16,29.35,29.54,29.19,29.35,680069
31-Oct-16,29.11,29.35,28.92,29.23,853262
28-Oct-16,29.42,29.80,28.85,29.06,932432
27-Oct-16,29.61,29.76,29.13,29.45,1139668
26-Oct-16,29.05,30.06,28.77,29.62,1148589
25-Oct-16,31.50,31.52,31.07,31.20,782272
24-Oct-16,31.71,31.80,31.48,31.58,659581
21-Oct-16,30.69,31.31,30.69,31.28,575812
20-Oct-16,31.00,31.30,30.80,31.14,505462
19-Oct-16,30.90,31.27,30.63,31.15,562344
18-Oct-16,31.65,31.65,30.72,30.73,937640
17-Oct-16,31.21,31.39,31.00,31.13,377527
14-Oct-16,31.22,31.58,31.05,31.24,406457
13-Oct-16,31.11,31.31,30.79,30.84,511805
12-Oct-16,31.63,32.04,31.63,31.64,282616
11-Oct-16,32.66,32.67,31.79,32.03,327395
10-Oct-16,33.36,33.50,32.87,32.89,340238
7-Oct-16,34.09,34.09,32.93,32.94,586674
6-Oct-16,32.92,34.05,32.92,33.99,878621
5-Oct-16,32.98,33.12,32.65,33.00,605822
4-Oct-16,33.29,33.48,32.60,32.64,494581
3-Oct-16,33.78,33.79,33.11,33.16,385806
30-Sep-16,33.74,34.22,33.32,33.81,1476035
29-Sep-16,34.25,34.76,33.50,33.51,791022
28-Sep-16,33.79,34.31,33.51,34.28,722694
27-Sep-16,32.62,33.62,32.62,33.51,600579
26-Sep-16,31.88,32.65,31.80,32.38,396881
23-Sep-16,31.54,32.29,31.53,31.93,317174
22-Sep-16,32.40,32.40,31.82,32.19,622908
21-Sep-16,31.72,32.04,31.51,32.03,299854
20-Sep-16,31.67,31.75,31.42,31.43,355018
19-Sep-16,31.81,32.00,31.28,31.48,572968
16-Sep-16,31.85,31.93,31.25,31.25,879629
15-Sep-16,31.47,31.97,31.35,31.96,390211
14-Sep-16,32.07,32.21,31.39,31.53,627868
13-Sep-16,32.54,32.96,31.86,31.96,457903
12-Sep-16,32.21,33.18,32.21,33.16,512435
9-Sep-16,34.18,34.18,32.63,32.65,594587
8-Sep-16,34.79,34.82,34.38,34.48,228888
7-Sep-16,34.42,35.10,34.36,34.76,326016
6-Sep-16,34.97,35.19,34.50,34.57,192532
2-Sep-16,34.69,34.89,34.65,34.86,271514
1-Sep-16,34.55,34.64,33.85,34.34,290527
31-Aug-16,34.60,34.85,34.28,34.47,301130
30-Aug-16,34.81,35.13,34.58,34.75,191196
29-Aug-16,34.09,34.90,34.09,34.75,278206
26-Aug-16,33.98,34.46,33.72,33.99,380839
25-Aug-16,33.50,33.93,33.50,33.81,176743
24-Aug-16,34.02,34.02,33.50,33.63,311578
23-Aug-16,34.02,34.40,34.02,34.04,346750
22-Aug-16,33.62,33.85,33.39,33.85,164790
19-Aug-16,33.11,33.98,32.97,33.83,413789
18-Aug-16,32.95,33.37,32.71,33.26,473536
17-Aug-16,33.15,33.15,32.74,32.83,375207
16-Aug-16,33.54,33.76,33.08,33.09,654359
15-Aug-16,33.79,34.16,33.58,33.63,575830
12-Aug-16,33.83,34.15,33.28,33.66,841883
11-Aug-16,34.20,34.78,33.70,33.90,989307
10-Aug-16,35.40,35.40,34.89,35.22,210699
9-Aug-16,35.53,35.56,35.23,35.32,167955
8-Aug-16,35.58,35.70,35.31,35.40,222654
5-Aug-16,35.28,35.62,35.10,35.50,334370
4-Aug-16,34.96,35.39,34.96,35.07,221483
3-Aug-16,34.76,35.12,34.59,35.10,241115
2-Aug-16,35.65,35.76,34.68,34.70,313664
1-Aug-16,35.02,35.70,34.76,35.57,444430
29-Jul-16,35.18,35.47,34.90,35.07,616463
28-Jul-16,35.50,36.09,35.15,35.41,1055373
27-Jul-16,37.50,37.53,36.52,36.71,640843
26-Jul-16,37.46,37.78,37.12,37.47,271525
25-Jul-16,37.31,37.62,37.21,37.37,199917
22-Jul-16,37.39,37.68,37.20,37.50,247790
21-Jul-16,37.88,37.88,37.31,37.48,248734
20-Jul-16,37.58,38.11,37.09,37.81,222325
19-Jul-16,37.91,38.05,37.51,37.60,222403
18-Jul-16,38.25,38.31,37.87,38.10,224734
15-Jul-16,38.29,38.34,37.90,38.21,372258
14-Jul-16,38.11,38.19,37.68,37.94,308885
13-Jul-16,37.76,37.76,37.37,37.64,256973
12-Jul-16,37.25,38.10,37.16,37.54,422386
11-Jul-16,36.37,36.87,36.19,36.66,267478
8-Jul-16,35.51,36.39,35.51,36.24,341352
7-Jul-16,35.14,35.74,34.81,34.97,373469
6-Jul-16,34.08,35.00,33.85,34.93,504266
5-Jul-16,34.85,34.94,33.94,34.18,408589
1-Jul-16,35.24,35.76,34.96,35.15,489842
30-Jun-16,34.79,35.32,34.67,35.24,836013
29-Jun-16,34.10,34.84,33.99,34.74,372725
28-Jun-16,33.67,33.82,33.03,33.58,389032
27-Jun-16,34.37,34.57,33.11,33.24,472775
24-Jun-16,35.73,36.23,34.73,34.88,692428
23-Jun-16,37.42,37.68,37.22,37.59,556531
22-Jun-16,37.23,37.25,36.83,36.83,271999
21-Jun-16,37.30,37.37,36.72,37.06,355791
20-Jun-16,37.64,37.81,37.39,37.41,492131
17-Jun-16,37.07,37.43,36.83,37.00,1022718
16-Jun-16,36.96,37.05,36.37,36.96,360071
15-Jun-16,37.40,37.59,37.16,37.19,483130
14-Jun-16,37.36,37.57,36.99,37.29,417221
13-Jun-16,37.63,37.90,37.40,37.47,480235
10-Jun-16,37.50,37.80,37.28,37.73,350431
9-Jun-16,37.86,37.98,37.63,37.78,300921
8-Jun-16,38.41,38.41,37.96,38.20,280873
7-Jun-16,38.10,38.31,37.83,38.19,310503
6-Jun-16,37.54,38.16,37.54,37.99,295865
3-Jun-16,37.60,37.64,37.22,37.54,196248
2-Jun-16,37.24,37.64,37.15,37.63,320469
1-Jun-16,37.16,37.69,37.09,37.53,449928
