Date,Open,High,Low,Close,Volume
22-Nov-16,11.34,11.41,11.31,11.39,64533
21-Nov-16,11.25,11.36,11.25,11.34,39429
18-Nov-16,11.25,11.25,11.13,11.22,79213
17-Nov-16,11.30,11.30,11.07,11.19,85047
16-Nov-16,11.41,11.43,11.19,11.25,72559
15-Nov-16,10.93,11.26,10.93,11.26,122564
14-Nov-16,11.62,11.62,10.67,11.01,360177
11-Nov-16,11.57,11.95,11.55,11.68,155626
10-Nov-16,11.99,12.01,11.73,11.81,148647
9-Nov-16,12.13,12.13,12.03,12.05,97620
8-Nov-16,12.16,12.28,12.16,12.27,35694
7-Nov-16,12.13,12.18,12.12,12.17,29308
4-Nov-16,12.18,12.18,12.08,12.15,26317
3-Nov-16,12.10,12.16,12.02,12.12,27645
2-Nov-16,12.07,12.18,12.00,12.14,28404
1-Nov-16,12.02,12.08,11.90,12.00,37383
31-Oct-16,12.00,12.06,11.96,12.00,50478
28-Oct-16,12.11,12.14,12.00,12.00,92180
27-Oct-16,12.23,12.23,12.07,12.11,23268
26-Oct-16,12.25,12.25,12.17,12.24,30457
25-Oct-16,12.22,12.24,12.17,12.23,44255
24-Oct-16,12.37,12.37,12.15,12.15,89998
21-Oct-16,12.47,12.51,12.25,12.28,69580
20-Oct-16,12.39,12.48,12.34,12.35,38481
19-Oct-16,12.11,12.44,12.11,12.39,45936
18-Oct-16,11.89,12.10,11.89,12.10,30911
17-Oct-16,11.89,12.02,11.87,11.88,149785
14-Oct-16,12.10,12.17,11.94,11.96,108839
13-Oct-16,12.26,12.29,12.10,12.10,72536
12-Oct-16,12.39,12.42,12.28,12.29,84769
11-Oct-16,12.60,12.62,12.37,12.46,66803
10-Oct-16,12.52,12.69,12.48,12.65,69948
7-Oct-16,12.66,12.69,12.54,12.55,27745
6-Oct-16,12.63,12.73,12.60,12.65,51214
5-Oct-16,12.64,12.69,12.58,12.66,157162
4-Oct-16,12.72,12.76,12.65,12.69,82900
3-Oct-16,12.80,12.91,12.73,12.74,69325
30-Sep-16,12.90,12.90,12.75,12.83,38590
29-Sep-16,13.00,13.00,12.76,12.80,42708
28-Sep-16,12.90,12.98,12.75,12.96,53206
27-Sep-16,12.86,12.94,12.75,12.80,60068
26-Sep-16,12.87,12.89,12.78,12.80,46798
23-Sep-16,12.87,12.87,12.81,12.82,25948
22-Sep-16,12.85,12.93,12.77,12.89,18014
21-Sep-16,12.70,12.79,12.68,12.78,8314
20-Sep-16,12.49,12.72,12.49,12.61,31436
19-Sep-16,12.62,12.69,12.48,12.52,33231
16-Sep-16,12.75,12.75,12.50,12.55,36517
15-Sep-16,12.75,12.75,12.64,12.66,31594
14-Sep-16,12.86,12.86,12.65,12.70,42966
13-Sep-16,12.88,12.89,12.73,12.78,49946
12-Sep-16,12.68,12.88,12.66,12.86,53218
9-Sep-16,12.94,12.95,12.65,12.73,96551
8-Sep-16,12.97,13.07,12.92,12.99,91512
7-Sep-16,12.97,13.00,12.93,12.99,82788
6-Sep-16,12.91,12.97,12.90,12.93,70268
2-Sep-16,12.87,12.97,12.81,12.87,23655
1-Sep-16,12.88,12.92,12.82,12.86,53143
31-Aug-16,12.75,12.86,12.75,12.82,25005
30-Aug-16,12.79,12.80,12.73,12.78,23756
29-Aug-16,12.71,12.79,12.67,12.75,31724
26-Aug-16,12.73,12.75,12.65,12.66,25759
25-Aug-16,12.79,12.80,12.69,12.71,25148
24-Aug-16,12.86,12.87,12.79,12.80,34519
23-Aug-16,12.95,12.98,12.87,12.90,29253
22-Aug-16,13.01,13.01,12.91,12.95,14673
19-Aug-16,12.99,13.01,12.93,13.01,19385
18-Aug-16,13.00,13.00,12.93,12.97,20451
17-Aug-16,13.00,13.05,12.90,12.99,18690
16-Aug-16,12.99,13.03,12.89,12.97,26815
15-Aug-16,13.01,13.05,12.92,12.93,43480
12-Aug-16,13.11,13.11,13.01,13.02,15187
11-Aug-16,13.11,13.11,13.03,13.05,49931
10-Aug-16,12.99,13.09,12.94,12.99,20198
9-Aug-16,13.04,13.04,12.92,12.95,26933
8-Aug-16,13.00,13.08,12.98,13.01,45397
5-Aug-16,12.92,12.98,12.91,12.98,32864
4-Aug-16,12.95,12.95,12.91,12.95,24675
3-Aug-16,12.84,12.95,12.84,12.91,24858
2-Aug-16,12.87,12.87,12.75,12.87,22149
1-Aug-16,12.78,12.92,12.73,12.90,55549
29-Jul-16,12.65,12.83,12.65,12.78,38688
28-Jul-16,12.68,12.73,12.62,12.64,16227
27-Jul-16,12.67,12.68,12.62,12.62,17005
26-Jul-16,12.66,12.68,12.60,12.60,27002
25-Jul-16,12.55,12.65,12.54,12.63,40620
22-Jul-16,12.48,12.65,12.48,12.65,29012
21-Jul-16,12.40,12.57,12.40,12.53,64575
20-Jul-16,12.42,12.44,12.36,12.42,32394
19-Jul-16,12.45,12.48,12.38,12.38,69583
18-Jul-16,12.22,12.39,12.22,12.37,47129
15-Jul-16,12.14,12.36,12.04,12.21,112622
14-Jul-16,12.30,12.30,12.04,12.06,96150
13-Jul-16,12.40,12.40,12.21,12.22,41745
12-Jul-16,12.52,12.52,12.37,12.39,45618
11-Jul-16,12.64,12.64,12.48,12.55,50493
8-Jul-16,12.61,12.62,12.53,12.53,52039
7-Jul-16,12.60,12.61,12.53,12.57,25570
6-Jul-16,12.50,12.68,12.50,12.59,52578
5-Jul-16,12.48,12.53,12.42,12.53,43405
1-Jul-16,12.34,12.53,12.34,12.46,59490
30-Jun-16,12.22,12.41,12.22,12.30,25072
29-Jun-16,12.17,12.27,12.15,12.25,28295
28-Jun-16,12.18,12.23,12.14,12.20,28567
27-Jun-16,12.06,12.17,12.06,12.14,42768
24-Jun-16,12.04,12.16,12.04,12.11,19068
23-Jun-16,12.15,12.15,12.04,12.06,34437
22-Jun-16,12.08,12.16,12.07,12.15,35454
21-Jun-16,12.06,12.08,12.00,12.07,23368
20-Jun-16,11.97,12.06,11.97,12.03,17100
17-Jun-16,12.08,12.08,11.98,12.01,19394
16-Jun-16,12.06,12.06,12.03,12.04,7753
15-Jun-16,11.92,12.05,11.87,12.03,66749
14-Jun-16,11.98,11.98,11.80,11.90,79899
13-Jun-16,11.93,12.06,11.89,11.92,30976
10-Jun-16,12.11,12.15,11.83,11.86,134232
9-Jun-16,12.06,12.06,12.01,12.02,32664
8-Jun-16,12.00,12.10,12.00,12.10,44252
7-Jun-16,11.99,12.05,11.99,12.00,37532
6-Jun-16,11.95,12.03,11.95,11.98,42264
3-Jun-16,12.03,12.03,11.94,11.99,33777
2-Jun-16,11.94,12.02,11.89,11.94,56122
1-Jun-16,11.79,11.94,11.74,11.89,40330
31-May-16,11.82,11.82,11.72,11.72,46719
27-May-16,11.87,11.90,11.82,11.85,31624
26-May-16,11.85,11.90,11.83,11.87,27781
25-May-16,11.79,11.87,11.79,11.82,39427
24-May-16,11.80,11.84,11.75,11.79,32955
23-May-16,11.74,11.81,11.72,11.73,58054
20-May-16,11.62,11.72,11.62,11.69,21849
19-May-16,11.85,11.86,11.60,11.63,152396
18-May-16,11.99,12.01,11.90,11.90,43512
17-May-16,11.97,12.07,11.97,12.04,44928
16-May-16,12.09,12.09,11.98,12.00,64453
13-May-16,12.17,12.21,12.11,12.11,38091
12-May-16,12.16,12.21,12.15,12.15,33686
11-May-16,12.21,12.25,12.15,12.18,28399
10-May-16,12.20,12.22,12.14,12.21,28102
9-May-16,12.11,12.23,12.11,12.22,38124
6-May-16,12.04,12.15,12.01,12.09,75860
5-May-16,12.11,12.12,12.04,12.04,54519
4-May-16,12.17,12.17,12.06,12.08,49580
3-May-16,12.07,12.19,12.06,12.14,40588
2-May-16,12.16,12.20,12.10,12.10,28018
29-Apr-16,12.10,12.14,12.05,12.11,40354
28-Apr-16,12.13,12.22,12.13,12.15,36324
27-Apr-16,12.17,12.20,12.15,12.19,69002
26-Apr-16,12.14,12.17,12.10,12.14,30831
25-Apr-16,12.11,12.17,12.02,12.09,50906
22-Apr-16,12.03,12.10,12.00,12.10,37934
21-Apr-16,12.02,12.05,11.98,12.04,25437
20-Apr-16,11.98,12.02,11.98,12.02,7797
19-Apr-16,12.03,12.03,11.92,11.99,27906
18-Apr-16,12.07,12.07,11.98,12.00,45276
15-Apr-16,12.00,12.07,11.95,12.07,31675
14-Apr-16,11.95,12.01,11.95,11.97,29569
13-Apr-16,11.97,12.08,11.85,11.98,61240
12-Apr-16,11.97,11.97,11.88,11.95,42180
11-Apr-16,11.95,11.98,11.93,11.93,12921
8-Apr-16,11.98,11.98,11.91,11.96,45039
7-Apr-16,11.91,11.98,11.90,11.92,59491
6-Apr-16,11.85,11.97,11.85,11.91,50921
5-Apr-16,11.82,11.89,11.81,11.84,29569
4-Apr-16,11.75,11.82,11.74,11.80,42980
1-Apr-16,11.75,11.79,11.74,11.74,69837
31-Mar-16,11.86,11.90,11.75,11.75,102360
30-Mar-16,11.95,11.95,11.83,11.83,89691
29-Mar-16,11.94,12.00,11.90,11.90,50652
28-Mar-16,11.92,11.99,11.91,11.92,51432
24-Mar-16,11.92,11.98,11.92,11.98,10347
23-Mar-16,11.90,12.00,11.90,11.97,33113
22-Mar-16,11.81,11.95,11.75,11.82,143018
21-Mar-16,11.94,11.99,11.90,11.90,37533
18-Mar-16,12.05,12.05,11.94,11.94,31225
17-Mar-16,11.90,12.03,11.84,12.03,77164
16-Mar-16,11.83,11.93,11.83,11.93,25910
15-Mar-16,11.88,11.93,11.83,11.83,64171
14-Mar-16,11.84,11.90,11.83,11.89,33688
11-Mar-16,11.87,11.87,11.80,11.83,61210
10-Mar-16,11.98,11.99,11.81,11.90,63488
9-Mar-16,11.95,11.99,11.86,11.90,99709
8-Mar-16,12.02,12.05,11.96,12.05,69236
7-Mar-16,11.93,11.99,11.89,11.99,66719
4-Mar-16,12.08,12.08,11.88,11.98,140757
3-Mar-16,12.09,12.10,12.03,12.06,26248
2-Mar-16,12.19,12.21,12.02,12.08,63125
1-Mar-16,12.19,12.23,12.13,12.20,73629
29-Feb-16,12.02,12.20,11.98,12.19,38000
26-Feb-16,11.97,12.01,11.93,11.96,40853
25-Feb-16,11.99,11.99,11.92,11.98,14757
24-Feb-16,11.98,12.03,11.95,11.95,38108
23-Feb-16,11.86,11.96,11.85,11.93,59591
22-Feb-16,11.85,11.93,11.85,11.87,36074
19-Feb-16,11.94,12.01,11.88,11.88,39513
18-Feb-16,12.08,12.08,11.84,11.94,62111
17-Feb-16,12.11,12.13,12.01,12.11,42141
16-Feb-16,12.11,12.13,12.04,12.07,33414
12-Feb-16,12.14,12.16,12.02,12.07,38672
11-Feb-16,12.20,12.20,12.00,12.01,47057
10-Feb-16,12.07,12.25,12.03,12.20,45087
9-Feb-16,11.98,12.20,11.98,12.09,74574
8-Feb-16,12.09,12.18,12.04,12.04,55358
5-Feb-16,12.18,12.20,12.12,12.12,31898
4-Feb-16,12.18,12.20,12.10,12.10,53592
3-Feb-16,12.16,12.19,12.08,12.16,47264
2-Feb-16,12.13,12.19,12.09,12.12,44572
1-Feb-16,12.10,12.17,11.92,12.17,81760
29-Jan-16,12.15,12.15,12.03,12.07,53520
28-Jan-16,12.03,12.17,11.98,12.09,46178
27-Jan-16,12.01,12.09,11.90,12.07,57263
26-Jan-16,12.03,12.04,11.86,11.95,72112
25-Jan-16,12.01,12.03,11.96,11.99,41517
22-Jan-16,12.09,12.10,12.04,12.04,35034
21-Jan-16,12.06,12.12,11.97,12.03,65722
20-Jan-16,12.07,12.07,11.91,12.05,95505
19-Jan-16,12.04,12.14,11.92,12.09,171169
15-Jan-16,11.75,11.87,11.70,11.84,84929
14-Jan-16,11.92,11.92,11.72,11.81,69635
13-Jan-16,11.95,11.95,11.84,11.86,94690
12-Jan-16,11.92,11.94,11.75,11.91,135969
11-Jan-16,12.01,12.05,11.94,12.01,120815
8-Jan-16,11.94,12.09,11.94,12.03,65449
7-Jan-16,12.00,12.04,11.90,11.94,89189
6-Jan-16,12.00,12.32,11.93,11.95,104208
5-Jan-16,11.90,11.95,11.87,11.91,16144
4-Jan-16,11.91,11.93,11.82,11.84,42598
31-Dec-15,11.87,11.97,11.84,11.92,45319
30-Dec-15,11.80,11.92,11.74,11.92,31394
29-Dec-15,11.75,11.87,11.62,11.80,48762
28-Dec-15,11.63,11.75,11.59,11.71,48587
24-Dec-15,11.57,11.64,11.57,11.59,7168
23-Dec-15,11.49,11.62,11.42,11.61,50608
22-Dec-15,11.53,11.53,11.41,11.45,44031
21-Dec-15,11.66,11.68,11.57,11.59,27708
18-Dec-15,11.66,11.67,11.52,11.61,20368
17-Dec-15,11.55,11.75,11.49,11.64,151427
16-Dec-15,11.31,11.63,11.15,11.53,160866
15-Dec-15,11.23,11.31,11.20,11.27,43905
14-Dec-15,11.30,11.30,11.15,11.21,194599
11-Dec-15,11.32,11.64,11.25,11.26,219402
10-Dec-15,11.28,11.34,11.27,11.30,47167
9-Dec-15,11.37,11.38,11.26,11.31,46200
8-Dec-15,11.32,11.46,11.32,11.44,73340
7-Dec-15,11.35,11.38,11.31,11.32,53925
4-Dec-15,11.34,11.44,11.31,11.40,70360
3-Dec-15,11.32,11.34,11.27,11.34,56269
2-Dec-15,11.36,11.39,11.30,11.32,66744
1-Dec-15,11.34,11.41,11.30,11.39,55624
30-Nov-15,11.28,11.31,11.24,11.25,37467
27-Nov-15,11.28,11.34,11.27,11.31,10880
25-Nov-15,11.32,11.37,11.32,11.35,5134
24-Nov-15,11.28,11.40,11.26,11.29,40174
23-Nov-15,11.30,11.46,11.30,11.34,55506
20-Nov-15,11.29,11.33,11.22,11.29,35194
19-Nov-15,11.31,11.32,11.15,11.19,66208
18-Nov-15,11.40,11.40,11.30,11.33,32334
17-Nov-15,11.38,11.40,11.30,11.40,18141
16-Nov-15,11.40,11.42,11.34,11.41,9239
13-Nov-15,11.28,11.40,11.16,11.38,25645
12-Nov-15,11.09,11.27,11.08,11.25,17843
11-Nov-15,11.21,11.21,11.13,11.14,33844
10-Nov-15,11.14,11.41,11.10,11.25,55063
9-Nov-15,11.27,11.27,11.08,11.15,52578
6-Nov-15,11.44,11.44,11.12,11.40,114094
5-Nov-15,11.50,11.51,11.47,11.51,40151
4-Nov-15,11.51,11.51,11.45,11.49,65464
3-Nov-15,11.44,11.50,11.44,11.48,49629
2-Nov-15,11.39,11.45,11.35,11.44,46020
30-Oct-15,11.33,11.40,11.33,11.36,65317
29-Oct-15,11.41,11.41,11.30,11.35,30114
28-Oct-15,11.39,11.41,11.32,11.40,100388
27-Oct-15,11.38,11.39,11.33,11.39,52066
26-Oct-15,11.38,11.39,11.33,11.39,14478
23-Oct-15,11.37,11.39,11.32,11.38,38716
22-Oct-15,11.35,11.38,11.23,11.32,27909
21-Oct-15,11.37,11.38,11.29,11.31,53208
20-Oct-15,11.26,11.32,11.24,11.30,38522
19-Oct-15,11.29,11.33,11.19,11.29,41925
16-Oct-15,11.17,11.29,11.15,11.25,47558
15-Oct-15,11.24,11.31,11.16,11.20,32402
14-Oct-15,11.24,11.25,11.14,11.19,39692
13-Oct-15,11.15,11.22,11.12,11.20,27083
12-Oct-15,11.16,11.18,11.11,11.15,21127
9-Oct-15,11.23,11.25,11.12,11.15,18878
8-Oct-15,11.20,11.23,11.11,11.23,19423
7-Oct-15,11.16,11.20,11.01,11.18,53989
6-Oct-15,11.09,11.14,11.04,11.13,33752
5-Oct-15,11.07,11.11,11.05,11.06,20864
2-Oct-15,11.01,11.10,10.99,11.09,33742
1-Oct-15,10.97,11.04,10.95,10.98,37123
30-Sep-15,10.95,10.95,10.90,10.94,32167
29-Sep-15,10.92,10.95,10.88,10.92,30375
28-Sep-15,10.91,10.92,10.86,10.88,28769
25-Sep-15,10.85,10.88,10.84,10.87,26539
24-Sep-15,10.88,10.92,10.85,10.86,48636
23-Sep-15,10.87,10.94,10.87,10.88,22711
22-Sep-15,10.87,10.94,10.85,10.88,71627
21-Sep-15,10.97,10.97,10.88,10.88,38991
18-Sep-15,10.89,10.99,10.89,10.93,52837
17-Sep-15,10.80,10.89,10.77,10.85,51747
16-Sep-15,10.75,10.81,10.75,10.76,22485
15-Sep-15,10.78,10.79,10.74,10.74,83325
14-Sep-15,10.86,10.87,10.76,10.79,58217
11-Sep-15,10.85,10.87,10.80,10.87,57896
10-Sep-15,10.87,10.87,10.80,10.85,30301
9-Sep-15,10.89,10.93,10.81,10.83,64595
8-Sep-15,10.90,11.00,10.84,10.92,76217
4-Sep-15,10.97,10.98,10.83,10.87,32939
3-Sep-15,10.88,10.98,10.84,10.94,62535
2-Sep-15,10.86,10.90,10.80,10.88,33596
