Date,Open,High,Low,Close,Volume
22-Nov-16,17.42,17.44,17.18,17.24,193860
21-Nov-16,17.10,17.19,17.09,17.17,266602
18-Nov-16,16.95,16.99,16.90,16.95,109103
17-Nov-16,16.97,17.03,16.88,16.92,139391
16-Nov-16,16.82,16.98,16.80,16.80,184329
15-Nov-16,16.41,16.43,16.28,16.42,159523
14-Nov-16,16.26,16.30,16.19,16.22,120942
11-Nov-16,16.62,16.70,16.57,16.66,97379
10-Nov-16,16.74,16.80,16.48,16.61,143424
9-Nov-16,17.32,17.49,17.30,17.42,118448
8-Nov-16,17.65,17.72,17.48,17.60,305978
7-Nov-16,17.60,17.66,17.53,17.66,255141
4-Nov-16,17.57,17.64,17.47,17.50,119108
3-Nov-16,17.67,17.69,17.55,17.60,92183
2-Nov-16,17.94,17.97,17.83,17.84,63587
1-Nov-16,18.13,18.13,17.91,17.94,64977
31-Oct-16,18.13,18.18,18.07,18.14,89283
28-Oct-16,18.12,18.22,17.95,18.18,106919
27-Oct-16,18.07,18.12,17.99,18.01,185613
26-Oct-16,17.78,17.81,17.72,17.75,62786
25-Oct-16,18.07,18.07,17.99,18.03,61814
24-Oct-16,17.97,18.00,17.86,17.95,78337
21-Oct-16,18.04,18.12,17.97,18.06,49030
20-Oct-16,18.09,18.24,18.08,18.16,77692
19-Oct-16,18.23,18.26,18.18,18.19,53245
18-Oct-16,18.17,18.18,18.08,18.11,75812
17-Oct-16,17.92,18.02,17.88,17.97,50112
14-Oct-16,18.09,18.18,18.05,18.06,104010
13-Oct-16,17.86,18.15,17.84,18.09,97082
12-Oct-16,17.87,18.02,17.86,17.96,113961
11-Oct-16,18.30,18.30,17.94,17.99,143500
10-Oct-16,18.50,18.55,18.47,18.51,73804
7-Oct-16,18.53,18.59,18.42,18.53,101022
6-Oct-16,18.73,18.86,18.70,18.77,104350
5-Oct-16,19.04,19.10,18.93,19.00,156135
4-Oct-16,19.39,19.48,19.25,19.31,109699
3-Oct-16,19.27,19.30,19.21,19.28,61975
30-Sep-16,19.25,19.31,19.14,19.16,166096
29-Sep-16,19.28,19.31,19.09,19.11,85091
28-Sep-16,19.21,19.28,19.07,19.23,116518
27-Sep-16,18.80,19.04,18.80,19.03,69834
26-Sep-16,18.98,19.02,18.96,18.98,62976
23-Sep-16,19.16,19.21,19.12,19.15,62157
22-Sep-16,19.37,19.42,19.26,19.28,160581
21-Sep-16,18.96,19.19,18.96,19.18,112988
20-Sep-16,19.29,19.31,19.17,19.20,145702
19-Sep-16,19.14,19.18,19.02,19.07,62440
16-Sep-16,19.03,19.03,18.84,18.91,96918
15-Sep-16,19.05,19.22,18.98,19.19,80286
14-Sep-16,18.96,19.00,18.92,18.95,77239
13-Sep-16,19.01,19.04,18.89,18.95,161545
12-Sep-16,18.94,19.20,18.92,19.16,75942
9-Sep-16,19.32,19.35,19.01,19.02,117364
8-Sep-16,19.53,19.65,19.53,19.58,83225
7-Sep-16,19.79,19.84,19.72,19.74,136468
6-Sep-16,19.69,19.76,19.62,19.75,145514
2-Sep-16,19.53,19.65,19.48,19.62,112757
1-Sep-16,19.20,19.34,19.14,19.30,103366
31-Aug-16,19.13,19.22,19.09,19.21,113634
30-Aug-16,19.12,19.17,19.08,19.12,55149
29-Aug-16,19.07,19.16,19.03,19.14,45483
26-Aug-16,19.23,19.38,19.01,19.10,84304
25-Aug-16,19.18,19.26,19.17,19.23,49159
24-Aug-16,19.31,19.36,19.23,19.25,51750
23-Aug-16,19.40,19.48,19.34,19.36,77130
22-Aug-16,19.09,19.27,19.06,19.26,57944
19-Aug-16,19.17,19.24,19.09,19.22,151716
18-Aug-16,19.33,19.37,19.24,19.35,125468
17-Aug-16,18.98,19.05,18.88,19.04,91019
16-Aug-16,18.97,19.11,18.97,19.04,117655
15-Aug-16,19.17,19.20,19.11,19.11,205777
12-Aug-16,19.16,19.21,19.10,19.14,105789
11-Aug-16,19.20,19.25,19.15,19.20,65713
10-Aug-16,19.12,19.24,19.05,19.19,424161
9-Aug-16,18.90,19.15,18.88,19.09,1366217
8-Aug-16,18.75,18.82,18.75,18.79,54127
5-Aug-16,18.87,19.03,18.87,18.96,65508
4-Aug-16,18.89,18.96,18.84,18.94,58201
3-Aug-16,18.96,19.00,18.85,18.90,93622
2-Aug-16,19.34,19.41,19.27,19.37,183299
1-Aug-16,19.20,19.34,19.17,19.20,58104
29-Jul-16,19.18,19.44,19.17,19.28,50867
28-Jul-16,19.43,19.51,19.37,19.48,86629
27-Jul-16,18.81,18.90,18.69,18.84,70670
26-Jul-16,18.82,18.89,18.77,18.84,90440
25-Jul-16,18.75,18.82,18.73,18.77,73276
22-Jul-16,18.75,18.85,18.73,18.80,58669
21-Jul-16,18.80,18.84,18.70,18.79,74125
20-Jul-16,18.82,18.95,18.79,18.93,79695
19-Jul-16,18.71,18.74,18.65,18.68,88302
18-Jul-16,18.80,18.90,18.77,18.79,61404
15-Jul-16,18.73,18.81,18.68,18.75,101902
14-Jul-16,18.89,18.96,18.80,18.91,85097
13-Jul-16,19.05,19.23,18.97,19.02,75316
12-Jul-16,18.81,19.01,18.80,18.94,100439
11-Jul-16,18.76,18.90,18.73,18.79,90827
8-Jul-16,18.49,18.65,18.45,18.58,82518
7-Jul-16,18.62,18.66,18.43,18.50,96360
6-Jul-16,18.44,18.58,18.29,18.52,149344
5-Jul-16,18.74,18.77,18.65,18.74,109728
1-Jul-16,18.93,18.98,18.74,18.82,107942
30-Jun-16,18.36,18.70,18.35,18.70,130306
29-Jun-16,18.29,18.57,18.28,18.45,259467
28-Jun-16,17.69,17.78,17.58,17.76,130995
27-Jun-16,17.53,17.55,17.25,17.34,167991
24-Jun-16,17.81,18.15,17.72,17.73,149881
23-Jun-16,18.71,18.76,18.48,18.76,123018
22-Jun-16,18.39,18.53,18.31,18.36,138722
21-Jun-16,18.24,18.46,18.20,18.32,109552
20-Jun-16,18.28,18.31,18.18,18.21,280621
17-Jun-16,17.42,17.69,17.34,17.62,278469
16-Jun-16,17.15,17.44,16.97,17.39,628212
15-Jun-16,17.36,17.48,17.32,17.40,427016
14-Jun-16,17.25,17.29,17.08,17.17,217368
13-Jun-16,17.50,17.68,17.49,17.52,128762
10-Jun-16,17.97,18.03,17.74,17.81,163405
9-Jun-16,18.40,18.45,18.31,18.43,89893
8-Jun-16,18.63,18.65,18.53,18.58,68192
7-Jun-16,18.76,18.79,18.73,18.74,82080
6-Jun-16,18.59,18.72,18.59,18.66,75870
3-Jun-16,18.50,18.68,18.45,18.61,89741
