Date,Open,High,Low,Close,Volume
22-Nov-16,71.38,72.68,71.34,72.53,102276
21-Nov-16,71.21,72.30,70.73,71.66,100775
18-Nov-16,71.45,71.57,69.89,70.83,333410
17-Nov-16,69.66,72.61,69.37,71.12,286206
16-Nov-16,71.03,71.87,67.60,69.55,323846
15-Nov-16,75.75,75.86,73.19,73.66,166633
14-Nov-16,72.89,76.55,72.86,76.05,241728
11-Nov-16,71.58,72.89,71.48,72.80,243035
10-Nov-16,70.62,72.62,69.73,71.50,219013
9-Nov-16,68.47,72.17,67.88,71.84,151525
8-Nov-16,69.05,69.72,67.01,69.18,164751
7-Nov-16,68.77,69.95,67.44,69.25,266809
4-Nov-16,64.99,69.21,64.19,67.57,311342
3-Nov-16,59.12,65.32,59.00,64.02,624613
2-Nov-16,54.96,56.24,54.34,56.17,255414
1-Nov-16,54.63,55.37,53.82,54.94,119229
31-Oct-16,53.97,54.50,52.70,54.43,107760
28-Oct-16,52.13,55.64,52.13,53.48,171721
27-Oct-16,54.98,54.98,51.98,52.15,214917
26-Oct-16,54.36,55.17,54.35,54.65,168189
25-Oct-16,55.41,56.33,54.59,54.59,149316
24-Oct-16,56.08,57.11,55.34,55.76,134569
21-Oct-16,55.67,55.91,55.28,55.71,87386
20-Oct-16,56.42,56.95,56.18,56.23,89559
19-Oct-16,57.46,57.46,56.35,56.74,75893
18-Oct-16,57.13,57.81,56.51,57.20,54671
17-Oct-16,55.72,56.64,55.45,56.44,148875
14-Oct-16,56.53,57.38,55.64,55.72,148749
13-Oct-16,56.95,57.35,56.00,56.23,172855
12-Oct-16,59.41,59.41,57.32,57.54,186869
11-Oct-16,60.39,60.80,59.20,59.51,65987
10-Oct-16,60.01,60.66,59.62,60.56,72312
7-Oct-16,61.06,61.40,59.16,59.65,68921
6-Oct-16,59.65,61.38,59.13,61.15,111905
5-Oct-16,59.96,60.29,59.52,59.74,66323
4-Oct-16,61.34,61.75,59.38,59.51,130663
3-Oct-16,60.85,62.06,60.67,61.33,67519
30-Sep-16,60.42,61.51,59.86,61.08,97127
29-Sep-16,60.54,60.54,59.73,59.99,69466
28-Sep-16,61.00,61.13,60.26,60.82,107985
27-Sep-16,60.24,60.78,59.22,60.68,108565
26-Sep-16,60.21,60.98,60.21,60.38,89257
23-Sep-16,60.76,61.05,59.90,60.76,97033
22-Sep-16,60.16,61.12,60.08,61.12,94538
21-Sep-16,59.21,60.16,58.95,60.12,66079
20-Sep-16,58.94,59.54,58.02,58.80,51114
19-Sep-16,58.28,59.02,57.92,58.40,50440
16-Sep-16,58.14,58.20,57.64,57.99,110094
15-Sep-16,56.59,58.77,56.59,58.07,137823
14-Sep-16,55.74,56.67,55.51,56.31,128402
13-Sep-16,56.61,56.86,55.24,55.78,82958
12-Sep-16,55.35,56.73,55.05,56.23,170143
9-Sep-16,55.85,56.14,55.46,55.64,164295
8-Sep-16,56.63,57.16,56.02,56.41,131245
7-Sep-16,55.64,57.18,55.54,56.78,119268
6-Sep-16,56.32,56.51,55.52,56.04,129794
2-Sep-16,56.22,56.97,55.54,56.27,175632
1-Sep-16,55.76,56.44,55.42,56.09,123725
31-Aug-16,56.22,56.35,55.64,55.91,110342
30-Aug-16,56.12,57.00,56.12,56.42,66407
29-Aug-16,56.30,57.09,56.00,56.28,54574
26-Aug-16,56.39,57.21,55.98,56.22,106521
25-Aug-16,56.11,57.07,56.11,56.68,94820
24-Aug-16,57.06,57.07,56.11,56.43,84849
23-Aug-16,56.78,57.67,56.78,56.98,104186
22-Aug-16,56.43,57.26,55.96,56.65,135148
19-Aug-16,55.65,56.95,55.50,56.70,117955
18-Aug-16,55.51,56.06,55.47,55.77,129217
17-Aug-16,54.89,55.91,54.38,55.64,174805
16-Aug-16,55.75,56.24,55.01,55.03,150239
15-Aug-16,55.82,56.57,55.82,56.06,101246
12-Aug-16,54.91,55.85,54.84,55.77,159011
11-Aug-16,54.55,55.49,54.20,55.04,214909
10-Aug-16,57.92,57.95,54.14,54.39,380188
9-Aug-16,60.15,60.15,56.50,57.91,835244
8-Aug-16,67.96,67.96,66.68,67.28,183223
5-Aug-16,67.29,68.17,67.29,67.86,90495
4-Aug-16,67.80,67.80,66.34,66.98,91119
3-Aug-16,65.26,67.07,64.92,66.48,77889
2-Aug-16,67.80,68.08,66.25,66.55,82625
1-Aug-16,68.59,68.87,67.48,67.97,125549
29-Jul-16,67.65,68.64,66.93,68.44,160388
28-Jul-16,68.50,68.96,67.44,67.51,75957
27-Jul-16,68.48,69.26,68.17,68.50,92913
26-Jul-16,66.81,68.20,66.81,68.03,89431
25-Jul-16,67.40,67.74,66.43,66.76,89286
22-Jul-16,67.07,68.08,66.94,67.34,88759
21-Jul-16,66.96,67.45,66.65,67.28,158246
20-Jul-16,67.07,67.66,66.63,67.28,146978
19-Jul-16,67.94,67.95,66.57,66.72,89382
18-Jul-16,66.62,68.78,66.37,68.00,356817
15-Jul-16,65.81,66.60,64.50,66.38,186985
14-Jul-16,65.01,65.92,64.30,65.36,118506
13-Jul-16,65.18,65.94,64.42,64.50,75195
12-Jul-16,64.43,65.65,64.43,64.67,83060
11-Jul-16,62.40,64.10,61.94,64.05,125073
8-Jul-16,60.88,62.32,60.88,62.14,78811
7-Jul-16,60.20,61.40,59.82,60.20,65380
6-Jul-16,59.53,60.45,59.07,59.81,101018
5-Jul-16,60.66,61.23,59.15,59.73,104166
1-Jul-16,60.70,61.47,60.44,61.33,74489
30-Jun-16,60.21,61.19,59.56,61.10,206501
29-Jun-16,59.50,60.05,59.02,59.72,197055
28-Jun-16,57.94,59.50,57.91,58.59,165763
27-Jun-16,59.78,59.78,56.67,56.99,184460
24-Jun-16,61.43,61.53,60.01,60.52,198297
23-Jun-16,62.45,64.02,61.76,63.94,147547
22-Jun-16,62.48,62.87,61.61,61.93,79255
21-Jun-16,63.12,63.66,61.89,62.48,79105
20-Jun-16,63.12,64.70,62.76,63.35,122095
17-Jun-16,63.29,63.29,61.88,62.01,176867
16-Jun-16,62.63,63.22,61.96,63.15,138585
15-Jun-16,63.92,63.97,62.98,63.13,53073
14-Jun-16,62.45,63.39,62.22,63.36,66726
13-Jun-16,64.26,64.50,62.79,62.96,52048
10-Jun-16,64.53,65.41,64.15,64.36,81999
9-Jun-16,65.54,65.79,65.12,65.41,148398
8-Jun-16,65.84,65.88,65.29,65.81,131138
7-Jun-16,66.12,66.63,65.51,65.83,140339
6-Jun-16,65.91,66.54,65.89,66.10,113567
3-Jun-16,66.60,66.60,65.68,66.03,96803
2-Jun-16,67.47,67.74,66.10,66.85,74704
1-Jun-16,66.43,67.90,65.59,67.39,200393
31-May-16,65.77,66.75,65.39,66.47,162831
27-May-16,65.81,66.11,64.89,65.81,79282
26-May-16,65.32,66.00,64.47,65.81,207826
25-May-16,65.50,65.50,64.18,65.31,166935
24-May-16,62.80,65.98,62.79,65.56,183644
23-May-16,62.41,63.07,61.84,62.61,131990
20-May-16,60.16,62.49,60.16,62.45,92998
19-May-16,60.48,61.21,59.46,59.90,64314
18-May-16,60.09,61.55,60.03,60.76,73575
17-May-16,62.28,62.85,60.09,60.25,156662
16-May-16,61.25,62.84,61.25,62.55,57407
13-May-16,61.67,62.19,61.01,61.35,76272
12-May-16,63.15,63.55,61.89,61.99,115285
11-May-16,63.64,63.64,62.54,62.89,69749
10-May-16,63.36,63.95,62.95,63.79,56227
9-May-16,62.98,63.60,62.57,63.12,93019
6-May-16,62.45,63.21,62.08,63.21,89603
5-May-16,61.23,62.95,61.20,62.49,243641
4-May-16,64.22,64.80,61.39,61.79,226251
3-May-16,62.77,66.65,62.29,63.81,509839
2-May-16,57.37,58.66,57.01,58.66,122864
29-Apr-16,57.49,58.63,56.97,57.36,118667
28-Apr-16,58.53,58.78,57.63,57.81,91615
27-Apr-16,58.78,59.88,58.15,58.64,62608
26-Apr-16,57.47,59.53,57.00,58.57,103791
25-Apr-16,58.87,58.87,57.26,57.47,79604
22-Apr-16,58.11,59.72,58.11,58.90,99106
21-Apr-16,58.36,59.20,57.77,58.21,67139
20-Apr-16,59.42,59.64,58.20,58.47,84736
19-Apr-16,59.20,59.81,59.13,59.49,93654
18-Apr-16,58.74,59.38,58.74,59.19,124184
15-Apr-16,59.35,59.91,58.43,59.01,43888
14-Apr-16,60.25,60.25,59.29,59.57,95601
13-Apr-16,58.20,60.65,58.19,60.37,107946
12-Apr-16,57.81,58.79,57.58,57.74,120076
11-Apr-16,57.62,59.25,57.62,57.89,73653
8-Apr-16,57.77,58.46,57.24,57.52,55660
7-Apr-16,58.25,58.25,56.74,57.25,70579
6-Apr-16,58.55,59.36,57.99,58.39,66584
5-Apr-16,58.44,58.96,57.61,58.38,73393
