Date,Open,High,Low,Close,Volume
22-Nov-16,14.29,14.64,14.18,14.49,681291
21-Nov-16,14.29,14.40,13.94,14.18,337848
18-Nov-16,13.84,14.21,13.78,14.16,450614
17-Nov-16,13.86,13.95,13.66,13.83,573838
16-Nov-16,13.66,13.88,13.52,13.65,384106
15-Nov-16,13.71,13.92,13.61,13.72,448064
14-Nov-16,13.47,13.83,13.44,13.78,599552
11-Nov-16,12.84,13.44,12.78,13.39,671618
10-Nov-16,12.91,13.17,12.68,12.84,728725
9-Nov-16,12.27,12.73,12.23,12.65,459552
8-Nov-16,12.26,12.43,12.09,12.26,411498
7-Nov-16,12.32,12.50,12.19,12.25,383091
4-Nov-16,12.06,12.38,12.00,12.03,599271
3-Nov-16,12.03,12.37,12.00,12.09,700732
2-Nov-16,12.41,12.49,11.87,11.93,835727
1-Nov-16,14.10,14.30,12.17,12.47,1773112
31-Oct-16,13.20,13.25,12.74,12.93,693217
28-Oct-16,13.18,13.51,13.12,13.21,371043
27-Oct-16,13.29,13.35,13.08,13.26,1142433
26-Oct-16,13.34,13.58,13.11,13.12,540534
25-Oct-16,13.64,13.68,13.35,13.51,788750
24-Oct-16,13.77,13.77,13.18,13.63,1472437
21-Oct-16,13.26,13.84,12.88,13.77,1258409
20-Oct-16,13.05,13.39,12.75,13.38,593055
19-Oct-16,13.00,13.43,12.76,13.16,962534
18-Oct-16,13.15,13.24,13.06,13.11,953308
17-Oct-16,12.90,13.17,12.84,13.01,321754
14-Oct-16,12.73,13.01,12.69,12.85,249319
13-Oct-16,12.90,13.13,12.57,12.63,1353376
12-Oct-16,13.08,13.29,12.95,13.20,410796
11-Oct-16,13.25,13.51,13.08,13.12,1665233
10-Oct-16,13.26,13.72,13.26,13.39,455384
7-Oct-16,12.97,13.15,12.84,13.13,309174
6-Oct-16,13.12,13.31,12.80,13.06,1033377
5-Oct-16,13.00,13.42,12.95,13.28,321059
4-Oct-16,13.47,13.57,12.92,12.94,364689
3-Oct-16,13.39,13.51,13.09,13.51,519761
30-Sep-16,13.00,13.53,13.00,13.37,809190
29-Sep-16,12.67,13.15,12.53,13.01,1009816
28-Sep-16,12.50,12.78,12.40,12.74,500829
27-Sep-16,12.11,12.49,12.01,12.38,426159
26-Sep-16,12.43,12.57,12.15,12.20,387184
23-Sep-16,12.43,12.57,12.40,12.52,414170
22-Sep-16,12.13,12.56,12.02,12.51,648923
21-Sep-16,11.89,12.08,11.74,12.02,571841
20-Sep-16,11.74,11.88,11.67,11.70,314082
19-Sep-16,11.69,11.98,11.60,11.69,437347
16-Sep-16,11.72,11.84,11.22,11.57,913454
15-Sep-16,11.26,11.85,11.26,11.84,1443302
14-Sep-16,11.07,11.45,10.96,11.34,1194555
13-Sep-16,11.36,11.59,10.93,11.17,718849
12-Sep-16,10.55,11.32,10.55,11.09,772624
9-Sep-16,11.27,11.29,10.37,10.72,856477
8-Sep-16,11.46,11.52,11.23,11.39,788331
7-Sep-16,11.15,11.63,11.15,11.52,1043125
6-Sep-16,12.17,12.22,11.00,11.23,1414676
2-Sep-16,12.02,12.27,11.90,12.23,533653
1-Sep-16,12.38,12.38,11.73,11.93,613682
31-Aug-16,12.06,12.44,11.94,12.30,927855
30-Aug-16,12.28,12.48,12.18,12.28,356626
29-Aug-16,12.06,12.48,12.04,12.40,553225
26-Aug-16,12.42,12.50,11.97,12.06,495457
25-Aug-16,12.01,12.40,12.01,12.35,779368
24-Aug-16,12.39,12.47,11.98,12.11,1270803
23-Aug-16,12.31,12.54,12.31,12.45,741916
22-Aug-16,12.05,12.42,11.94,12.23,983660
19-Aug-16,12.12,12.30,12.04,12.21,401498
18-Aug-16,12.17,12.29,12.01,12.18,804907
17-Aug-16,12.31,12.31,12.05,12.18,518697
16-Aug-16,12.22,12.43,12.02,12.32,922688
15-Aug-16,11.97,12.21,11.85,12.18,1033245
12-Aug-16,11.97,12.11,11.87,11.94,869689
11-Aug-16,12.10,12.32,11.94,12.02,1395693
10-Aug-16,12.88,12.89,11.89,11.91,1036043
9-Aug-16,12.59,12.73,12.30,12.44,2040954
8-Aug-16,12.34,12.73,12.26,12.63,2075240
5-Aug-16,12.91,12.91,12.18,12.25,4429655
4-Aug-16,15.19,15.19,12.80,12.91,5613374
3-Aug-16,14.63,15.96,14.36,15.83,893661
2-Aug-16,14.30,14.94,13.66,14.42,1317418
1-Aug-16,13.71,13.79,13.08,13.48,846999
29-Jul-16,14.00,14.00,13.24,13.77,494342
28-Jul-16,14.44,14.57,13.90,13.97,510796
27-Jul-16,14.68,15.06,14.38,14.48,415748
26-Jul-16,15.04,15.18,14.48,14.78,543861
25-Jul-16,14.47,15.14,14.45,15.08,468350
22-Jul-16,15.18,15.39,15.00,15.19,240440
21-Jul-16,15.04,15.54,14.99,15.25,281185
20-Jul-16,14.74,15.25,14.67,15.01,220702
19-Jul-16,14.96,15.22,14.82,14.94,299937
18-Jul-16,14.74,15.34,14.69,15.16,477226
15-Jul-16,15.04,15.04,14.59,14.85,228968
14-Jul-16,14.95,15.39,14.92,14.97,486291
13-Jul-16,14.57,14.85,14.46,14.81,487258
12-Jul-16,14.36,14.80,14.25,14.64,465992
11-Jul-16,13.70,14.24,13.52,14.17,410011
8-Jul-16,13.31,13.84,13.31,13.60,522627
7-Jul-16,13.15,13.53,12.93,13.19,476786
6-Jul-16,12.74,13.43,12.50,13.13,331324
5-Jul-16,13.90,13.91,12.66,12.96,540313
1-Jul-16,13.48,14.02,13.48,14.01,469857
30-Jun-16,12.99,13.62,12.80,13.59,579442
29-Jun-16,12.37,13.15,12.37,12.94,431503
28-Jun-16,12.14,12.42,12.03,12.42,508088
27-Jun-16,12.85,12.85,11.76,11.98,571770
24-Jun-16,13.15,13.29,12.90,13.07,1360629
23-Jun-16,13.42,13.76,13.27,13.70,543882
22-Jun-16,13.12,13.27,12.97,13.25,407122
21-Jun-16,13.21,13.22,12.66,13.02,304721
20-Jun-16,12.87,13.34,12.87,13.24,452740
17-Jun-16,12.46,13.14,12.43,12.75,505894
16-Jun-16,12.32,12.43,11.94,12.39,460139
15-Jun-16,12.63,12.77,12.37,12.39,321575
14-Jun-16,12.28,12.61,12.04,12.57,579275
13-Jun-16,12.91,13.18,12.33,12.35,470047
10-Jun-16,13.22,13.26,12.71,12.91,387264
9-Jun-16,13.45,13.48,13.01,13.35,334494
8-Jun-16,13.78,13.91,13.41,13.60,338098
7-Jun-16,13.76,13.91,13.56,13.66,353904
6-Jun-16,13.40,13.87,13.37,13.73,496765
3-Jun-16,13.34,13.80,13.31,13.34,390098
2-Jun-16,12.88,13.35,12.59,13.25,714045
1-Jun-16,12.98,13.04,12.44,12.97,466292
31-May-16,13.00,13.13,12.72,12.96,664913
27-May-16,12.85,13.04,12.68,12.85,276453
26-May-16,13.11,13.21,12.78,12.87,439333
25-May-16,12.91,13.11,12.82,12.95,381495
24-May-16,13.14,13.25,12.82,12.86,543315
23-May-16,13.15,13.32,12.79,12.87,467224
20-May-16,12.87,13.28,12.73,13.24,405720
19-May-16,12.66,13.15,12.66,12.80,382087
18-May-16,13.08,13.37,12.82,12.84,296235
17-May-16,13.54,13.78,13.06,13.21,365299
16-May-16,13.21,13.84,13.09,13.53,330636
13-May-16,13.42,13.64,12.98,13.04,533050
12-May-16,13.92,14.16,13.01,13.47,448502
11-May-16,13.78,14.31,13.55,13.83,501825
10-May-16,13.37,13.88,13.28,13.75,741833
9-May-16,14.26,14.26,13.21,13.24,687556
6-May-16,13.54,14.90,13.54,14.40,669881
5-May-16,13.58,14.02,13.31,13.57,1215859
4-May-16,13.65,14.21,13.18,13.20,1586677
3-May-16,10.85,13.93,10.74,13.73,3249965
2-May-16,10.25,10.52,9.94,10.19,494680
29-Apr-16,10.62,10.78,10.14,10.25,424214
28-Apr-16,10.69,10.89,10.41,10.53,652988
27-Apr-16,10.79,11.26,10.64,10.67,487782
26-Apr-16,10.50,10.94,10.28,10.83,429449
25-Apr-16,11.36,11.36,9.59,10.48,1677608
22-Apr-16,11.54,11.91,11.44,11.73,593351
21-Apr-16,11.38,11.70,11.19,11.48,350865
20-Apr-16,11.50,11.73,11.03,11.38,479341
19-Apr-16,11.15,11.79,11.15,11.61,582204
18-Apr-16,10.97,11.34,10.84,11.09,223561
15-Apr-16,10.93,11.24,10.82,11.10,316566
14-Apr-16,10.99,11.09,10.86,10.99,266509
13-Apr-16,10.97,11.29,10.84,10.97,457496
12-Apr-16,10.00,11.23,9.95,10.92,669069
11-Apr-16,9.53,10.17,9.48,9.99,452569
8-Apr-16,9.51,9.66,9.40,9.46,314193
7-Apr-16,9.44,9.65,9.28,9.40,221329
6-Apr-16,9.66,9.70,9.30,9.50,384838
5-Apr-16,9.63,9.76,9.44,9.64,437176
4-Apr-16,10.02,10.24,9.66,9.73,433151
1-Apr-16,9.34,10.00,9.26,9.98,529453
31-Mar-16,9.80,9.95,9.34,9.50,473069
30-Mar-16,9.56,9.83,9.42,9.79,420566
29-Mar-16,9.22,9.62,9.06,9.43,493553
28-Mar-16,9.55,9.73,9.16,9.34,223634
24-Mar-16,8.96,9.59,8.65,9.56,313276
23-Mar-16,9.52,9.52,8.97,9.11,420060
22-Mar-16,9.42,9.66,9.41,9.58,194093
21-Mar-16,9.79,9.98,9.32,9.53,422058
18-Mar-16,9.74,9.87,9.37,9.84,900863
17-Mar-16,8.84,9.62,8.80,9.48,483167
16-Mar-16,8.89,9.15,8.75,8.83,526470
15-Mar-16,8.75,8.98,8.62,8.85,371273
14-Mar-16,8.91,9.09,8.79,8.94,477009
11-Mar-16,8.98,9.20,8.72,8.98,444374
10-Mar-16,8.75,9.06,8.49,9.01,470282
9-Mar-16,8.76,8.93,8.48,8.81,375030
8-Mar-16,8.31,8.80,8.12,8.65,769753
7-Mar-16,8.41,8.81,8.11,8.42,993989
4-Mar-16,8.13,8.60,7.97,8.41,679246
3-Mar-16,7.78,8.10,7.77,8.08,504116
