Date,Open,High,Low,Close,Volume
22-Nov-16,80.99,82.79,80.54,82.74,274587
21-Nov-16,80.17,80.92,79.55,80.88,336524
18-Nov-16,79.00,79.89,78.66,79.49,376631
17-Nov-16,79.15,79.91,78.28,79.05,455174
16-Nov-16,79.69,80.00,78.93,79.44,514935
15-Nov-16,81.00,81.36,79.41,79.80,437229
14-Nov-16,80.05,82.18,80.05,81.36,366721
11-Nov-16,77.42,79.70,76.59,79.52,503533
10-Nov-16,75.55,76.06,72.74,75.26,473529
9-Nov-16,69.75,74.62,69.16,74.61,454378
8-Nov-16,70.25,71.51,70.04,71.01,217262
7-Nov-16,69.56,70.89,69.56,70.66,321671
4-Nov-16,68.47,69.12,68.00,68.58,296546
3-Nov-16,67.95,68.90,67.95,68.16,245510
2-Nov-16,68.34,69.02,67.79,67.85,232631
1-Nov-16,69.10,69.16,68.20,68.42,237250
31-Oct-16,68.84,69.18,68.48,68.91,208131
28-Oct-16,68.28,69.36,68.14,68.74,218178
27-Oct-16,69.46,69.99,67.67,68.11,229383
26-Oct-16,69.18,70.55,69.08,69.46,521856
25-Oct-16,68.49,69.19,68.28,69.18,217541
24-Oct-16,68.12,68.79,67.69,68.67,180009
21-Oct-16,66.93,67.57,66.83,67.22,143222
20-Oct-16,67.43,67.96,67.17,67.24,165800
19-Oct-16,67.38,67.75,67.25,67.48,213304
18-Oct-16,68.54,68.54,67.58,67.60,125977
17-Oct-16,67.48,68.09,67.30,67.68,206062
14-Oct-16,69.37,69.70,67.61,67.64,334130
13-Oct-16,68.34,69.48,68.25,68.99,221475
12-Oct-16,68.61,69.27,67.98,68.93,125516
11-Oct-16,69.85,69.85,68.20,68.77,261844
10-Oct-16,68.94,70.16,68.94,70.10,200848
7-Oct-16,69.00,69.21,68.33,68.71,324588
6-Oct-16,68.60,69.16,68.05,69.05,195021
5-Oct-16,69.04,69.53,68.32,68.63,346459
4-Oct-16,69.28,69.69,68.59,68.67,127600
