Date,Open,High,Low,Close,Volume
22-Nov-16,169.30,172.45,168.80,172.30,106187
21-Nov-16,165.85,170.60,165.85,169.35,107119
18-Nov-16,164.85,166.85,164.74,165.80,106759
17-Nov-16,166.95,168.40,162.80,165.20,206615
16-Nov-16,171.15,172.10,167.10,167.35,160039
15-Nov-16,175.50,176.64,170.40,171.75,257502
14-Nov-16,174.50,176.50,172.85,175.30,275238
11-Nov-16,168.05,175.95,167.00,173.45,295740
10-Nov-16,164.05,168.50,162.82,168.35,235164
9-Nov-16,157.75,165.65,157.05,164.15,222873
8-Nov-16,160.10,163.80,158.70,162.65,184986
7-Nov-16,159.10,160.35,157.60,160.05,157993
4-Nov-16,156.65,158.30,155.45,156.80,173616
3-Nov-16,155.60,156.80,154.70,155.60,202219
2-Nov-16,155.65,158.50,155.25,155.55,161218
1-Nov-16,155.20,156.25,154.75,155.60,178058
31-Oct-16,157.45,159.00,154.80,155.25,142230
28-Oct-16,155.90,159.55,155.85,157.60,169035
27-Oct-16,159.90,160.95,155.00,156.00,201596
26-Oct-16,163.60,164.24,158.20,159.40,198324
25-Oct-16,166.50,166.80,162.50,163.20,232040
24-Oct-16,165.00,167.15,163.00,165.20,380286
21-Oct-16,149.10,165.40,145.30,163.00,944630
20-Oct-16,160.70,161.30,154.35,156.25,385783
19-Oct-16,158.00,161.00,156.00,160.65,246240
18-Oct-16,157.00,159.78,156.70,158.10,220892
17-Oct-16,156.55,156.62,153.20,155.10,233859
14-Oct-16,157.99,159.64,152.00,155.41,465612
13-Oct-16,161.46,164.60,160.10,163.18,194836
12-Oct-16,158.85,164.70,158.40,162.80,205929
11-Oct-16,157.47,159.59,157.13,158.22,135774
10-Oct-16,156.71,157.43,155.09,156.90,145410
7-Oct-16,155.09,157.63,155.09,157.44,129623
6-Oct-16,153.90,156.39,152.04,155.47,111584
5-Oct-16,154.18,156.92,153.09,155.03,147266
4-Oct-16,154.56,156.27,151.95,153.30,171006
3-Oct-16,154.88,155.76,153.15,154.66,214313
30-Sep-16,150.97,156.75,150.97,155.26,262148
29-Sep-16,150.62,152.48,148.75,151.61,192788
28-Sep-16,150.95,152.62,148.10,150.79,218256
27-Sep-16,149.64,153.44,149.64,150.29,222213
26-Sep-16,151.12,152.52,149.72,149.76,263613
23-Sep-16,151.18,154.87,149.74,152.30,183688
22-Sep-16,151.98,154.80,150.51,151.32,249228
21-Sep-16,151.74,153.85,146.87,151.06,516399
20-Sep-16,158.44,158.44,151.17,153.40,350099
19-Sep-16,162.66,162.66,157.62,158.19,160231
16-Sep-16,162.86,165.55,159.01,162.15,366238
15-Sep-16,165.12,165.53,163.57,164.50,237790
14-Sep-16,169.57,169.86,163.90,165.17,229352
13-Sep-16,174.06,174.56,161.77,168.50,474979
12-Sep-16,174.20,176.50,173.38,174.64,179911
9-Sep-16,178.19,179.19,172.57,174.25,339461
8-Sep-16,183.11,183.11,178.26,179.88,268417
7-Sep-16,183.28,184.32,181.08,183.08,254714
6-Sep-16,186.94,186.94,182.08,184.15,151319
2-Sep-16,182.43,186.24,182.30,186.06,170095
1-Sep-16,181.76,183.90,180.15,182.20,82298
31-Aug-16,184.47,185.48,182.52,182.65,155761
30-Aug-16,189.63,190.15,183.65,185.06,206088
29-Aug-16,191.34,192.98,190.05,190.28,182178
26-Aug-16,191.55,194.98,190.04,192.05,224108
25-Aug-16,192.23,194.57,190.46,190.91,144116
24-Aug-16,189.59,193.56,188.13,191.79,159065
23-Aug-16,189.90,191.17,188.49,190.47,167381
22-Aug-16,188.59,191.34,187.24,189.20,98317
19-Aug-16,188.50,189.59,186.24,188.82,138590
18-Aug-16,185.64,190.19,185.64,189.05,134181
17-Aug-16,191.92,192.96,184.50,186.61,126258
16-Aug-16,186.69,194.11,185.25,191.47,255716
15-Aug-16,183.01,188.10,183.01,186.55,122110
12-Aug-16,183.96,184.57,181.33,182.78,49458
11-Aug-16,181.91,187.39,181.51,184.02,83970
10-Aug-16,181.32,181.88,179.24,181.64,60482
9-Aug-16,180.04,180.83,178.98,180.11,72256
8-Aug-16,178.64,181.39,178.34,179.62,90965
5-Aug-16,179.44,180.89,178.53,179.45,79584
4-Aug-16,178.38,180.61,177.51,179.45,102563
3-Aug-16,180.16,180.16,175.96,178.30,99102
2-Aug-16,181.05,183.12,179.88,179.91,94561
1-Aug-16,183.37,183.59,179.59,182.16,150344
29-Jul-16,180.00,186.44,179.76,182.88,241757
28-Jul-16,181.13,182.68,179.16,180.17,140551
27-Jul-16,184.33,186.17,178.69,180.21,239349
26-Jul-16,181.14,185.76,178.54,183.38,184767
25-Jul-16,188.14,188.44,179.70,181.65,466088
22-Jul-16,172.00,195.35,170.00,190.16,1153009
21-Jul-16,164.49,166.12,163.17,164.74,253513
20-Jul-16,164.11,167.09,162.20,165.99,142468
19-Jul-16,166.75,168.04,163.72,164.67,143112
18-Jul-16,168.86,168.97,165.74,166.71,133417
15-Jul-16,168.69,170.00,166.65,169.50,64307
14-Jul-16,170.21,171.64,166.25,167.56,110543
13-Jul-16,169.91,171.63,168.88,169.69,98308
12-Jul-16,170.58,172.17,169.50,169.59,151166
11-Jul-16,172.00,172.61,170.16,170.75,92701
8-Jul-16,169.23,172.52,168.71,171.13,103205
7-Jul-16,169.42,170.50,167.40,168.53,67087
6-Jul-16,167.86,169.50,166.02,168.81,104866
5-Jul-16,166.00,169.77,164.11,167.88,181220
1-Jul-16,172.08,172.45,166.06,166.64,174936
30-Jun-16,163.00,171.18,162.74,171.03,222330
29-Jun-16,165.54,166.78,161.56,162.80,104417
28-Jun-16,165.00,167.20,163.04,163.35,199423
27-Jun-16,161.02,164.49,160.00,163.86,172316
24-Jun-16,153.64,161.67,153.64,161.02,157212
23-Jun-16,162.44,163.63,160.04,161.11,114385
22-Jun-16,162.62,164.10,160.07,160.48,100477
21-Jun-16,160.10,162.81,157.20,161.87,142432
20-Jun-16,162.00,162.94,159.09,159.76,131837
17-Jun-16,160.27,161.10,158.16,159.44,186532
16-Jun-16,157.52,159.95,154.95,159.69,102563
15-Jun-16,160.05,162.56,157.49,157.50,98231
14-Jun-16,156.88,160.28,156.35,159.17,111018
13-Jun-16,160.03,160.77,156.26,157.68,128469
10-Jun-16,159.08,160.13,156.90,159.89,151589
9-Jun-16,162.41,162.59,159.78,160.73,142780
8-Jun-16,157.19,162.60,156.09,161.96,160315
7-Jun-16,154.56,157.51,152.83,156.44,137400
6-Jun-16,155.31,156.15,152.61,155.25,171976
3-Jun-16,156.89,156.89,153.94,154.14,140232
2-Jun-16,155.79,156.94,153.77,156.10,160368
1-Jun-16,155.21,157.05,152.28,156.39,211353
31-May-16,159.81,159.81,154.04,155.40,157006
27-May-16,157.51,160.19,157.33,159.81,138052
26-May-16,161.20,161.36,157.00,157.45,95512
25-May-16,157.55,161.44,155.80,160.58,150448
24-May-16,154.42,157.90,154.24,157.58,197100
23-May-16,150.00,154.74,150.00,153.30,117666
20-May-16,148.34,150.72,147.55,150.60,148840
19-May-16,148.22,151.99,146.61,147.74,201688
18-May-16,146.02,147.97,145.33,146.42,163831
17-May-16,151.35,151.97,145.66,146.58,232417
16-May-16,150.01,152.75,150.01,151.35,170974
13-May-16,155.57,155.99,149.99,150.04,140521
