Date,Open,High,Low,Close,Volume
22-Nov-16,1.40,1.43,1.38,1.38,94916
21-Nov-16,1.41,1.43,1.39,1.39,127334
18-Nov-16,1.44,1.44,1.39,1.42,90057
17-Nov-16,1.41,1.44,1.39,1.43,70117
16-Nov-16,1.39,1.44,1.39,1.43,118930
15-Nov-16,1.40,1.44,1.38,1.40,148006
14-Nov-16,1.40,1.40,1.37,1.40,73093
11-Nov-16,1.42,1.44,1.38,1.38,95261
10-Nov-16,1.45,1.45,1.42,1.44,82338
9-Nov-16,1.40,1.45,1.40,1.45,83614
8-Nov-16,1.43,1.44,1.41,1.43,74097
7-Nov-16,1.45,1.47,1.44,1.45,133594
4-Nov-16,1.47,1.49,1.42,1.47,120888
3-Nov-16,1.44,1.48,1.43,1.47,72829
2-Nov-16,1.42,1.46,1.41,1.44,98596
1-Nov-16,1.45,1.49,1.45,1.46,71488
31-Oct-16,1.51,1.51,1.46,1.46,72135
28-Oct-16,1.51,1.52,1.46,1.49,91741
27-Oct-16,1.46,1.50,1.46,1.47,52960
26-Oct-16,1.49,1.49,1.47,1.47,59028
25-Oct-16,1.51,1.51,1.48,1.49,83226
24-Oct-16,1.50,1.51,1.48,1.50,45051
21-Oct-16,1.52,1.52,1.48,1.51,98797
20-Oct-16,1.55,1.55,1.48,1.50,123943
19-Oct-16,1.53,1.54,1.50,1.53,182700
18-Oct-16,1.53,1.53,1.49,1.51,89100
17-Oct-16,1.52,1.53,1.50,1.52,57672
14-Oct-16,1.51,1.52,1.48,1.51,72132
13-Oct-16,1.49,1.52,1.49,1.51,45869
12-Oct-16,1.46,1.53,1.44,1.49,85842
11-Oct-16,1.45,1.52,1.45,1.47,207320
10-Oct-16,1.45,1.49,1.41,1.49,142689
7-Oct-16,1.48,1.49,1.45,1.45,107816
6-Oct-16,1.44,1.46,1.44,1.46,67005
5-Oct-16,1.41,1.46,1.41,1.45,93441
4-Oct-16,1.40,1.44,1.40,1.41,60328
3-Oct-16,1.40,1.43,1.38,1.42,64028
30-Sep-16,1.41,1.41,1.36,1.37,65621
29-Sep-16,1.37,1.40,1.37,1.39,84011
28-Sep-16,1.39,1.39,1.31,1.37,169328
