Date,Open,High,Low,Close,Volume
22-Nov-16,50.67,51.60,50.63,51.28,235097
21-Nov-16,50.47,50.96,50.32,50.78,134416
18-Nov-16,50.22,50.64,49.90,50.46,117606
17-Nov-16,51.45,51.45,49.35,49.99,150098
16-Nov-16,50.65,51.56,50.41,51.39,158351
15-Nov-16,50.31,51.06,49.97,50.65,219092
14-Nov-16,50.42,51.30,49.89,50.13,175282
11-Nov-16,49.72,50.93,49.72,50.20,192442
10-Nov-16,48.50,50.07,48.12,49.67,107126
9-Nov-16,47.73,48.40,46.76,48.31,101078
8-Nov-16,47.63,48.66,47.54,47.78,77838
7-Nov-16,48.12,48.67,47.77,47.91,127507
4-Nov-16,47.11,48.16,47.11,47.70,73944
3-Nov-16,47.40,47.53,46.98,47.07,96380
2-Nov-16,47.50,47.97,47.34,47.45,105280
1-Nov-16,49.10,49.10,47.43,47.60,111505
31-Oct-16,47.58,49.06,47.51,48.90,95204
28-Oct-16,46.50,47.69,46.50,47.63,88269
27-Oct-16,47.18,47.57,45.84,46.98,132435
26-Oct-16,47.37,48.40,47.33,47.79,83525
25-Oct-16,47.42,47.82,46.97,47.54,39054
24-Oct-16,47.46,47.97,47.07,47.67,65934
21-Oct-16,47.08,47.45,46.83,47.07,38565
20-Oct-16,47.72,47.79,47.06,47.59,41074
19-Oct-16,47.83,47.84,46.79,47.80,135514
18-Oct-16,47.87,48.22,47.34,47.54,106309
17-Oct-16,47.47,47.51,47.15,47.18,60271
14-Oct-16,47.30,47.97,47.25,47.68,65662
13-Oct-16,47.65,47.65,47.15,47.28,66677
12-Oct-16,46.61,48.37,46.61,48.11,95345
11-Oct-16,47.00,47.28,46.90,47.26,73275
10-Oct-16,47.31,47.65,46.93,47.00,84830
7-Oct-16,47.36,47.42,46.90,47.31,79115
6-Oct-16,47.66,47.66,47.00,47.22,89671
5-Oct-16,47.26,48.08,47.04,47.73,164284
4-Oct-16,47.30,47.36,46.92,47.06,46362
3-Oct-16,47.60,47.76,46.96,47.00,79608
30-Sep-16,47.93,48.00,47.25,47.76,104867
29-Sep-16,47.51,47.80,47.12,47.57,84342
28-Sep-16,46.92,47.69,46.78,47.68,110354
27-Sep-16,46.33,47.34,46.09,46.89,94855
26-Sep-16,46.12,46.39,45.87,46.27,56760
23-Sep-16,46.70,46.70,46.11,46.47,55122
22-Sep-16,46.30,46.98,46.13,46.94,83149
21-Sep-16,45.49,46.17,45.49,46.08,65745
