Date,Open,High,Low,Close,Volume
22-Nov-16,10.00,10.06,9.91,10.02,467045
21-Nov-16,9.93,10.11,9.90,9.95,484085
18-Nov-16,9.73,9.88,9.61,9.84,533467
17-Nov-16,9.84,9.95,9.65,9.73,553601
16-Nov-16,9.93,10.00,9.77,9.82,512450
15-Nov-16,10.05,10.15,9.84,9.98,596424
14-Nov-16,9.90,10.06,9.71,10.06,1096265
11-Nov-16,9.57,9.94,9.51,9.89,843437
10-Nov-16,9.95,9.97,9.42,9.61,1321755
9-Nov-16,9.68,9.99,9.55,9.91,1160815
8-Nov-16,9.80,9.90,9.51,9.89,1017231
7-Nov-16,9.69,9.96,9.66,9.79,1369052
4-Nov-16,9.10,9.62,9.02,9.43,874089
3-Nov-16,9.43,9.49,9.02,9.06,1560162
2-Nov-16,9.90,10.14,9.36,9.52,1524779
1-Nov-16,10.33,10.45,9.70,9.75,1237122
31-Oct-16,10.29,10.45,10.23,10.42,455318
28-Oct-16,10.32,10.43,10.22,10.24,308780
27-Oct-16,10.56,10.62,10.26,10.30,388034
26-Oct-16,10.87,10.88,10.51,10.57,398808
25-Oct-16,10.86,10.97,10.80,10.93,258368
24-Oct-16,10.84,10.95,10.71,10.88,307247
21-Oct-16,10.71,10.90,10.71,10.83,267463
20-Oct-16,10.65,10.87,10.63,10.82,372189
19-Oct-16,10.48,10.66,10.34,10.65,796758
18-Oct-16,10.50,10.59,10.35,10.44,259214
17-Oct-16,10.30,10.44,10.27,10.38,447171
14-Oct-16,10.53,10.56,10.27,10.29,295876
13-Oct-16,10.42,10.71,10.42,10.48,496424
12-Oct-16,10.29,10.42,10.23,10.38,373945
11-Oct-16,10.30,10.37,10.15,10.22,614750
10-Oct-16,10.24,10.40,10.22,10.30,556252
7-Oct-16,10.32,10.37,10.14,10.19,721928
6-Oct-16,10.31,10.50,10.23,10.27,850862
5-Oct-16,10.91,10.97,10.32,10.36,1516448
4-Oct-16,11.36,11.36,10.80,10.87,950442
3-Oct-16,11.54,11.54,11.28,11.31,1113029
30-Sep-16,11.71,11.71,11.47,11.54,841473
29-Sep-16,11.67,11.85,11.55,11.63,546340
28-Sep-16,11.59,11.79,11.53,11.78,415256
27-Sep-16,11.63,11.68,11.52,11.53,419557
26-Sep-16,11.74,11.90,11.65,11.66,300898
23-Sep-16,11.60,11.87,11.45,11.77,549123
22-Sep-16,11.51,11.68,11.51,11.64,964329
21-Sep-16,11.62,11.63,11.23,11.33,1647649
20-Sep-16,11.60,11.74,11.51,11.57,421085
19-Sep-16,11.37,11.52,11.36,11.49,353389
16-Sep-16,11.30,11.38,11.20,11.28,933905
15-Sep-16,11.45,11.57,11.24,11.30,529978
14-Sep-16,11.47,11.65,11.41,11.49,482239
13-Sep-16,11.65,11.72,11.45,11.46,1063963
12-Sep-16,11.68,11.83,11.59,11.66,638188
9-Sep-16,12.08,12.13,11.66,11.75,1318763
8-Sep-16,12.29,12.36,12.11,12.15,473675
7-Sep-16,12.17,12.42,12.12,12.40,499939
6-Sep-16,12.18,12.32,12.13,12.25,448716
2-Sep-16,12.40,12.68,12.40,12.44,465767
1-Sep-16,12.39,12.45,12.17,12.34,566375
31-Aug-16,12.39,12.46,12.24,12.39,950170
30-Aug-16,12.23,12.37,12.17,12.36,314278
29-Aug-16,12.12,12.27,12.10,12.22,1062668
26-Aug-16,12.42,12.42,11.92,12.16,930394
25-Aug-16,12.24,12.45,12.22,12.40,467119
24-Aug-16,12.39,12.39,12.21,12.24,314225
23-Aug-16,12.38,12.48,12.34,12.37,380060
22-Aug-16,12.30,12.39,12.24,12.29,451925
19-Aug-16,12.48,12.52,12.23,12.30,519133
18-Aug-16,12.32,12.55,12.31,12.52,583332
17-Aug-16,12.21,12.45,12.03,12.34,499288
16-Aug-16,12.31,12.36,12.12,12.16,430726
15-Aug-16,12.44,12.55,12.35,12.38,485408
12-Aug-16,12.20,12.43,12.20,12.41,536558
11-Aug-16,12.36,12.36,12.10,12.18,356151
10-Aug-16,12.09,12.41,12.05,12.33,817027
9-Aug-16,11.90,12.08,11.83,12.05,680625
8-Aug-16,11.91,11.94,11.80,11.87,349520
5-Aug-16,11.84,11.97,11.77,11.80,522203
4-Aug-16,11.86,11.88,11.40,11.82,704282
3-Aug-16,11.90,11.98,11.76,11.86,784248
2-Aug-16,11.94,12.01,11.72,11.90,677636
1-Aug-16,11.97,12.04,11.81,11.96,376597
29-Jul-16,11.84,12.07,11.84,11.99,1084614
28-Jul-16,11.78,11.88,11.72,11.86,271484
27-Jul-16,11.83,11.87,11.74,11.83,409687
26-Jul-16,11.79,11.91,11.67,11.84,472782
25-Jul-16,11.82,11.87,11.73,11.74,435694
22-Jul-16,11.68,11.86,11.66,11.77,385160
21-Jul-16,11.72,11.79,11.62,11.64,336779
20-Jul-16,11.60,11.79,11.54,11.76,729824
19-Jul-16,11.51,11.55,11.41,11.55,351584
18-Jul-16,11.42,11.52,11.32,11.51,405797
15-Jul-16,11.25,11.41,11.16,11.40,318425
14-Jul-16,11.38,11.43,11.17,11.21,450075
13-Jul-16,11.42,11.45,11.30,11.40,366760
