Date,Open,High,Low,Close,Volume
22-Nov-16,38.89,38.96,38.54,38.88,638417
21-Nov-16,38.99,38.99,38.29,38.67,973731
18-Nov-16,38.41,38.78,38.20,38.69,1482086
17-Nov-16,38.11,38.56,37.87,38.48,1287772
16-Nov-16,38.02,38.41,37.92,38.01,1063682
15-Nov-16,37.98,38.65,37.55,38.59,1113219
14-Nov-16,37.92,39.00,37.82,38.33,1265062
11-Nov-16,36.26,37.47,36.26,37.39,1330045
10-Nov-16,35.87,37.30,35.81,36.47,1800274
9-Nov-16,33.91,35.46,33.89,35.32,1780824
8-Nov-16,33.50,33.87,33.33,33.59,685680
7-Nov-16,33.35,33.72,33.30,33.68,964793
4-Nov-16,32.47,32.98,32.29,32.64,547816
3-Nov-16,32.50,32.72,32.36,32.49,512645
2-Nov-16,32.77,32.80,32.21,32.34,817174
1-Nov-16,33.21,33.36,32.63,32.94,796201
31-Oct-16,32.99,33.18,32.82,33.07,823407
28-Oct-16,33.35,33.35,32.74,32.89,735493
27-Oct-16,33.32,33.47,33.14,33.30,560018
26-Oct-16,32.84,33.30,32.77,33.13,569380
25-Oct-16,33.07,33.27,32.86,33.00,768580
24-Oct-16,33.38,33.40,33.08,33.08,568967
21-Oct-16,32.78,33.12,32.75,32.94,1130437
20-Oct-16,33.19,33.78,33.04,33.05,1177400
19-Oct-16,32.43,33.26,32.43,33.20,1608433
18-Oct-16,32.27,32.46,31.86,32.28,1497100
17-Oct-16,32.00,32.24,31.89,31.99,1003740
14-Oct-16,32.22,32.44,31.83,32.02,988164
13-Oct-16,32.08,32.40,31.41,31.75,908414
12-Oct-16,32.64,32.84,32.54,32.55,669370
11-Oct-16,33.13,33.26,32.57,32.69,1173365
10-Oct-16,33.45,33.53,33.12,33.14,704216
7-Oct-16,33.04,33.28,32.76,33.21,809741
6-Oct-16,33.36,33.41,32.97,33.17,742795
5-Oct-16,32.80,33.55,32.70,33.28,1210615
4-Oct-16,32.35,32.78,32.27,32.61,1564214
3-Oct-16,32.26,32.60,32.07,32.16,887293
30-Sep-16,32.27,32.71,32.00,32.53,927253
29-Sep-16,32.28,32.58,31.78,31.98,1266652
28-Sep-16,32.14,32.35,31.80,32.34,1076936
27-Sep-16,31.58,31.95,31.45,31.90,1153715
26-Sep-16,32.14,32.24,31.69,31.75,1027403
23-Sep-16,32.41,32.70,32.30,32.43,1078200
22-Sep-16,32.50,32.62,32.41,32.58,1249282
21-Sep-16,32.57,32.70,32.18,32.48,928710
20-Sep-16,32.69,32.87,32.30,32.39,839537
19-Sep-16,32.49,32.96,32.39,32.52,716014
16-Sep-16,32.39,32.57,32.17,32.42,1627601
15-Sep-16,32.30,32.73,32.20,32.72,990131
14-Sep-16,32.32,32.64,32.18,32.26,1098481
13-Sep-16,32.64,32.64,31.98,32.37,1380636
12-Sep-16,32.46,33.10,32.18,33.10,1531106
9-Sep-16,32.94,33.22,32.66,32.66,1285921
8-Sep-16,33.06,33.21,32.75,32.99,771954
7-Sep-16,32.70,33.00,32.62,33.00,980222
6-Sep-16,33.51,33.59,32.70,32.74,976507
2-Sep-16,33.08,33.51,32.89,33.51,1516037
1-Sep-16,33.21,33.32,32.55,32.93,763958
31-Aug-16,33.34,33.37,32.76,33.08,855012
30-Aug-16,33.04,33.28,32.98,33.20,588037
29-Aug-16,32.68,33.07,32.68,32.94,709820
26-Aug-16,32.38,32.74,32.28,32.65,896570
25-Aug-16,32.15,32.36,32.10,32.29,821356
24-Aug-16,32.17,32.39,32.07,32.15,429287
23-Aug-16,32.15,32.54,32.09,32.18,779701
22-Aug-16,32.27,32.45,32.21,32.39,553959
19-Aug-16,32.08,32.43,31.95,32.42,983362
18-Aug-16,31.93,32.23,31.85,32.22,688975
17-Aug-16,31.63,32.03,31.63,31.92,844494
16-Aug-16,31.61,31.92,31.59,31.73,847881
15-Aug-16,31.34,31.85,31.24,31.79,690040
12-Aug-16,30.99,31.21,30.87,31.21,560112
11-Aug-16,31.42,31.50,31.27,31.36,608014
10-Aug-16,31.75,31.85,31.28,31.30,587588
9-Aug-16,31.67,31.87,31.67,31.86,503031
8-Aug-16,31.88,31.99,31.67,31.72,611149
5-Aug-16,31.00,31.84,30.90,31.82,1113479
4-Aug-16,30.46,30.71,30.44,30.62,756136
3-Aug-16,29.98,30.49,29.98,30.49,598328
2-Aug-16,30.17,30.36,29.74,29.94,1012282
1-Aug-16,30.48,30.64,30.14,30.18,682297
29-Jul-16,30.59,30.74,30.42,30.44,623891
28-Jul-16,30.64,30.79,30.43,30.69,384226
27-Jul-16,30.81,31.08,30.67,30.76,635650
26-Jul-16,30.51,30.86,30.51,30.79,571809
25-Jul-16,30.86,30.91,30.60,30.62,519422
22-Jul-16,30.62,30.96,30.42,30.89,715600
21-Jul-16,30.49,30.61,30.35,30.56,1037245
20-Jul-16,30.73,30.74,30.32,30.49,801771
19-Jul-16,30.25,30.68,29.84,30.44,1041991
18-Jul-16,30.00,30.17,29.37,30.05,1187828
15-Jul-16,30.18,30.28,29.89,30.06,717304
14-Jul-16,30.21,30.28,29.86,29.95,797679
13-Jul-16,29.55,29.78,29.48,29.55,1173971
12-Jul-16,29.38,29.73,29.34,29.67,954949
11-Jul-16,28.76,29.16,28.76,28.98,861253
8-Jul-16,28.78,28.98,28.53,28.56,1116743
7-Jul-16,27.84,28.37,27.84,28.26,1973924
6-Jul-16,27.33,27.92,27.26,27.82,1351333
5-Jul-16,28.02,28.08,27.47,27.65,1069729
1-Jul-16,28.75,28.94,28.30,28.38,1165598
30-Jun-16,28.54,28.99,28.18,28.99,1133044
29-Jun-16,28.07,28.48,28.04,28.38,1296111
28-Jun-16,27.66,28.12,27.36,27.99,1337386
27-Jun-16,27.88,27.89,26.90,27.07,1617849
24-Jun-16,28.49,29.22,28.38,28.40,1845565
23-Jun-16,30.09,30.75,29.96,30.74,923129
22-Jun-16,29.81,30.20,29.77,29.79,671202
21-Jun-16,29.86,29.98,29.56,29.87,811738
20-Jun-16,30.03,30.55,29.70,29.76,942378
17-Jun-16,29.38,29.71,29.27,29.54,2237614
16-Jun-16,29.50,29.53,29.14,29.39,1437954
15-Jun-16,29.71,30.31,29.55,29.81,1150492
14-Jun-16,30.19,30.41,28.55,29.62,1147890
13-Jun-16,30.80,30.94,30.33,30.40,1357751
10-Jun-16,30.88,30.98,30.64,30.92,929244
9-Jun-16,31.61,31.61,31.12,31.28,1483946
8-Jun-16,31.76,31.99,31.74,31.87,688450
7-Jun-16,32.10,32.16,31.85,31.87,692045
6-Jun-16,31.76,32.34,31.69,32.11,697762
3-Jun-16,31.95,31.95,30.82,31.67,1367882
2-Jun-16,32.30,32.55,32.14,32.55,688544
1-Jun-16,31.86,32.40,31.64,32.35,723721
31-May-16,32.41,32.44,32.03,32.17,663284
27-May-16,31.81,32.20,31.73,32.20,941045
26-May-16,32.08,32.10,31.72,31.83,667593
25-May-16,31.89,32.38,31.89,32.09,928309
24-May-16,31.22,31.83,31.20,31.68,743471
23-May-16,31.31,31.36,30.85,31.09,940477
20-May-16,31.03,31.44,31.03,31.28,894015
19-May-16,31.24,31.65,30.62,30.97,1057039
18-May-16,30.18,31.58,30.11,31.47,1377158
17-May-16,30.08,30.51,29.80,30.19,1273835
16-May-16,29.83,30.38,29.73,30.22,739829
13-May-16,30.36,30.80,29.69,29.77,1198330
12-May-16,30.68,30.97,30.14,30.41,783069
11-May-16,30.39,30.94,30.25,30.48,874045
10-May-16,30.11,30.61,30.04,30.55,873796
9-May-16,29.87,30.15,29.70,29.89,549627
6-May-16,29.59,29.96,29.50,29.95,730337
5-May-16,30.07,30.24,29.70,29.78,1034722
4-May-16,30.32,30.74,29.64,29.94,1593628
3-May-16,30.82,30.82,30.35,30.60,487253
2-May-16,31.23,31.39,30.97,31.31,696178
29-Apr-16,31.08,31.31,30.80,31.16,808570
28-Apr-16,31.32,31.64,31.05,31.20,560188
27-Apr-16,31.62,31.75,31.26,31.59,925802
26-Apr-16,31.33,31.72,31.07,31.64,987742
25-Apr-16,31.17,31.21,30.84,31.21,865775
22-Apr-16,31.20,31.53,31.06,31.24,1229232
21-Apr-16,31.48,31.75,31.08,31.17,865879
20-Apr-16,30.98,31.44,30.92,31.39,1404607
19-Apr-16,30.81,31.17,29.98,31.12,2014143
18-Apr-16,30.12,30.99,29.98,30.95,1753419
