Date,Open,High,Low,Close,Volume
22-Nov-16,99.95,100.76,99.66,100.19,989006
21-Nov-16,100.25,100.32,98.86,99.71,1281888
18-Nov-16,99.46,100.65,99.28,99.82,1974404
17-Nov-16,98.04,99.73,98.04,99.53,1708955
16-Nov-16,97.28,98.35,96.53,98.31,1852507
15-Nov-16,95.33,97.56,94.85,97.05,1916591
14-Nov-16,95.77,95.77,92.95,94.74,3650276
11-Nov-16,97.22,97.99,95.40,95.69,1783387
10-Nov-16,98.74,99.04,96.56,97.24,2393577
9-Nov-16,102.69,102.69,98.03,99.67,3926778
8-Nov-16,104.10,104.94,103.72,104.38,710819
7-Nov-16,102.74,104.11,101.93,104.07,1421783
4-Nov-16,101.47,103.43,101.47,102.10,1944139
3-Nov-16,99.08,101.30,98.68,100.98,1402763
2-Nov-16,104.85,105.22,99.07,99.36,4334554
1-Nov-16,107.10,107.10,104.54,104.85,1056815
31-Oct-16,105.67,107.64,105.46,107.10,1202645
28-Oct-16,104.81,105.84,104.15,105.10,682891
27-Oct-16,104.81,105.23,103.36,104.57,1258253
26-Oct-16,106.21,109.42,104.97,105.35,1699440
25-Oct-16,104.99,106.43,104.84,106.41,684367
24-Oct-16,105.39,105.81,104.63,105.21,995460
21-Oct-16,104.83,105.17,104.36,104.85,696518
20-Oct-16,104.78,105.57,104.66,105.35,1016996
19-Oct-16,105.20,105.40,104.58,104.65,809913
18-Oct-16,105.20,105.53,103.90,105.06,582132
17-Oct-16,104.19,104.58,103.94,104.46,774404
14-Oct-16,105.21,105.21,103.68,104.01,975025
13-Oct-16,103.64,105.23,103.14,104.60,1042231
12-Oct-16,103.05,103.74,102.70,103.49,1111445
11-Oct-16,103.95,103.95,102.21,102.77,1139456
10-Oct-16,103.01,104.42,102.96,104.31,964701
7-Oct-16,103.44,104.55,102.57,102.66,1200176
6-Oct-16,102.45,103.49,101.70,103.09,890383
5-Oct-16,103.01,104.23,102.43,102.73,1588642
4-Oct-16,104.79,104.79,101.92,102.72,1581521
3-Oct-16,107.00,107.00,104.56,105.08,1217310
30-Sep-16,107.53,107.95,106.93,107.19,1813352
29-Sep-16,108.41,108.53,106.69,106.95,1104273
28-Sep-16,108.43,109.01,107.37,108.65,842960
27-Sep-16,110.37,111.14,107.92,108.18,1312276
26-Sep-16,109.99,110.97,109.52,110.76,1661270
23-Sep-16,110.02,110.47,109.73,109.91,1073497
22-Sep-16,110.77,111.40,109.83,110.58,892434
21-Sep-16,108.07,110.32,108.07,110.27,1472328
20-Sep-16,108.18,109.49,108.16,108.42,1468030
19-Sep-16,106.79,108.08,106.49,107.94,1603568
16-Sep-16,105.32,106.77,104.37,106.62,4958485
15-Sep-16,104.03,105.56,103.66,105.20,1695666
14-Sep-16,102.78,104.15,102.35,104.13,2091642
13-Sep-16,104.36,104.36,102.15,102.53,1098486
12-Sep-16,102.61,104.86,102.37,104.53,1747553
9-Sep-16,106.30,106.66,102.87,102.90,1864781
8-Sep-16,105.55,107.32,105.55,107.06,1329676
7-Sep-16,105.80,106.08,105.55,106.04,800474
6-Sep-16,104.60,106.14,104.19,106.09,1521481
2-Sep-16,103.74,104.89,103.24,104.30,906824
1-Sep-16,104.70,104.87,103.38,103.70,845992
31-Aug-16,104.10,104.73,103.62,104.63,1277405
30-Aug-16,104.95,105.37,103.72,104.05,1099806
29-Aug-16,104.83,105.41,104.41,104.75,1209225
26-Aug-16,106.86,107.24,103.92,104.44,1235041
25-Aug-16,106.75,107.16,106.28,106.51,778362
24-Aug-16,106.80,107.14,105.83,106.80,727572
23-Aug-16,107.73,108.58,106.83,106.87,689074
22-Aug-16,108.17,108.59,107.58,107.76,684392
19-Aug-16,108.05,108.62,107.23,107.95,1052905
18-Aug-16,105.95,108.48,105.95,108.46,1452481
17-Aug-16,104.76,106.32,103.91,106.21,1323876
16-Aug-16,105.72,105.90,104.72,104.80,692078
15-Aug-16,106.95,107.60,105.83,105.91,809997
12-Aug-16,106.99,107.84,106.69,106.99,527810
11-Aug-16,106.86,107.06,106.41,106.99,813404
10-Aug-16,106.66,107.17,106.32,106.76,604727
9-Aug-16,106.90,107.10,105.99,106.39,1048623
8-Aug-16,107.04,108.29,106.78,106.98,1045912
5-Aug-16,110.11,110.11,106.76,107.04,1357095
4-Aug-16,110.39,111.36,109.45,110.29,1057251
3-Aug-16,110.79,110.95,109.96,110.35,931163
2-Aug-16,111.20,111.21,110.24,110.79,498511
1-Aug-16,111.67,111.96,111.32,111.61,633047
29-Jul-16,111.38,112.04,110.85,111.88,884171
28-Jul-16,111.00,111.65,110.38,111.38,741247
27-Jul-16,112.33,112.55,110.00,110.90,1007896
26-Jul-16,113.01,113.10,112.03,112.36,614868
25-Jul-16,113.35,113.50,112.42,112.90,460457
22-Jul-16,113.00,113.92,112.93,113.78,640509
21-Jul-16,111.72,113.20,111.32,113.06,1175349
20-Jul-16,112.49,112.78,111.77,111.99,1324534
19-Jul-16,113.01,113.24,111.88,112.31,2481679
18-Jul-16,112.93,113.45,112.73,112.95,1001929
15-Jul-16,113.30,113.99,112.48,112.93,1092523
14-Jul-16,113.59,113.59,111.80,113.05,1288019
13-Jul-16,113.48,114.32,113.12,114.14,887740
12-Jul-16,113.75,114.43,112.83,113.22,864218
11-Jul-16,114.05,114.35,113.12,114.29,1001547
8-Jul-16,113.00,114.22,112.01,114.11,1386325
7-Jul-16,114.19,114.50,112.76,113.06,1064727
6-Jul-16,113.76,114.66,113.38,114.50,1723509
5-Jul-16,113.41,114.14,113.20,113.60,1010444
1-Jul-16,114.29,114.40,112.50,113.49,1023686
30-Jun-16,111.77,114.03,111.61,114.02,1729799
29-Jun-16,110.91,111.30,110.59,111.27,1335232
28-Jun-16,110.79,111.46,109.59,110.44,1498465
27-Jun-16,110.13,111.78,109.67,111.39,1625968
24-Jun-16,109.30,111.82,109.30,110.34,1659910
23-Jun-16,110.02,111.08,109.61,111.08,911533
22-Jun-16,110.45,110.67,109.38,109.53,918482
21-Jun-16,109.37,110.89,109.16,110.44,1131979
20-Jun-16,110.02,110.40,108.99,109.31,1146454
17-Jun-16,109.57,109.94,108.63,109.65,1508985
16-Jun-16,109.11,109.57,108.56,109.39,964414
15-Jun-16,110.08,110.12,108.93,109.13,1207612
14-Jun-16,109.40,110.11,108.91,110.08,1049277
13-Jun-16,109.36,109.77,109.00,109.40,832789
10-Jun-16,109.80,110.18,108.94,109.27,883028
9-Jun-16,109.44,110.27,109.00,110.00,770572
8-Jun-16,108.75,109.56,108.75,109.55,788376
