Date,Open,High,Low,Close,Volume
22-Nov-16,46.67,47.00,46.57,46.88,74310
21-Nov-16,46.61,46.87,45.82,46.64,150945
18-Nov-16,44.91,46.61,44.89,46.60,189196
17-Nov-16,44.60,45.10,44.38,44.94,269146
16-Nov-16,44.79,45.07,44.11,44.50,224013
15-Nov-16,45.14,45.14,44.45,44.79,405185
14-Nov-16,45.95,46.23,44.68,45.03,182005
11-Nov-16,45.52,46.20,45.42,45.71,191922
10-Nov-16,45.95,46.77,45.12,45.68,188660
9-Nov-16,44.75,45.59,44.05,45.37,159516
8-Nov-16,44.09,45.03,44.09,44.86,113507
7-Nov-16,43.34,44.28,43.34,44.15,109229
4-Nov-16,42.84,43.31,42.84,42.92,129476
3-Nov-16,43.57,43.57,42.87,42.92,89254
2-Nov-16,43.98,44.17,43.36,43.36,128948
1-Nov-16,44.84,44.99,43.81,43.90,230850
31-Oct-16,44.41,44.98,44.18,44.95,162100
28-Oct-16,44.97,45.35,44.29,44.40,112444
27-Oct-16,45.54,45.90,44.81,45.03,348063
26-Oct-16,46.65,46.84,45.12,45.18,173204
25-Oct-16,45.41,46.98,45.07,46.90,296980
24-Oct-16,44.80,45.52,44.79,45.35,423869
21-Oct-16,45.07,45.56,44.70,44.72,281798
20-Oct-16,46.00,46.00,44.67,45.64,255021
19-Oct-16,46.26,46.32,45.47,45.97,274095
18-Oct-16,47.07,47.11,45.50,46.34,419651
17-Oct-16,46.43,46.64,45.94,46.63,125906
14-Oct-16,45.90,46.54,45.90,46.36,132813
13-Oct-16,45.26,45.99,45.00,45.78,233369
12-Oct-16,44.13,45.99,43.93,45.42,325093
11-Oct-16,44.00,44.37,43.58,43.99,404072
10-Oct-16,43.96,44.30,43.55,44.13,218822
7-Oct-16,43.42,44.08,43.36,43.86,209417
6-Oct-16,43.82,44.16,43.12,43.36,145510
5-Oct-16,44.33,44.51,43.76,43.97,317974
4-Oct-16,44.38,44.38,43.50,44.07,183945
3-Oct-16,44.42,44.46,44.05,44.43,128644
30-Sep-16,44.80,45.08,44.36,44.45,213407
29-Sep-16,45.09,45.19,44.67,44.82,87729
28-Sep-16,44.80,45.60,44.73,45.23,275442
27-Sep-16,45.13,45.31,44.65,44.87,170457
26-Sep-16,46.00,46.01,45.02,45.05,144934
23-Sep-16,46.42,46.73,46.09,46.14,185635
22-Sep-16,46.57,46.82,46.31,46.35,268085
21-Sep-16,45.52,46.44,45.13,46.40,118518
20-Sep-16,45.46,45.74,45.14,45.25,79813
19-Sep-16,45.24,45.71,44.74,45.36,79306
16-Sep-16,45.52,45.63,45.12,45.17,121860
15-Sep-16,44.99,45.68,44.84,45.68,71994
14-Sep-16,45.04,45.35,44.79,44.86,48261
13-Sep-16,45.11,45.65,44.78,45.05,134066
12-Sep-16,45.43,45.89,45.23,45.54,134791
9-Sep-16,46.02,46.02,45.39,45.49,131460
8-Sep-16,46.17,46.91,45.91,46.21,66115
7-Sep-16,46.83,46.93,46.14,46.27,148062
6-Sep-16,46.87,46.87,46.16,46.71,120908
2-Sep-16,46.77,46.85,46.21,46.75,153048
1-Sep-16,45.82,46.80,45.43,46.52,274015
31-Aug-16,45.36,46.04,44.89,45.78,501800
30-Aug-16,46.98,47.24,46.81,46.89,73516
29-Aug-16,46.68,47.29,46.68,47.09,71424
26-Aug-16,46.12,46.88,46.12,46.84,110665
25-Aug-16,46.69,46.69,45.94,46.16,211356
24-Aug-16,46.19,46.54,46.18,46.42,106378
23-Aug-16,46.49,46.59,46.05,46.24,143240
22-Aug-16,45.77,46.35,45.41,46.13,157842
19-Aug-16,45.79,46.07,44.98,45.76,203980
18-Aug-16,45.67,46.14,45.67,46.11,269349
17-Aug-16,45.77,46.02,45.25,45.51,240309
16-Aug-16,47.16,47.22,45.89,45.99,191442
15-Aug-16,48.50,48.60,47.26,47.29,487527
12-Aug-16,46.67,46.74,46.27,46.40,110065
11-Aug-16,46.52,46.82,45.89,46.60,343122
10-Aug-16,44.98,46.42,44.42,46.42,513485
9-Aug-16,44.20,45.00,43.66,45.00,371980
8-Aug-16,44.79,45.00,44.23,44.30,178724
5-Aug-16,45.00,45.00,44.44,44.70,199654
4-Aug-16,44.41,44.73,44.23,44.73,215896
3-Aug-16,43.91,44.44,43.64,44.43,179844
2-Aug-16,43.50,43.92,43.10,43.80,318530
1-Aug-16,42.84,43.57,42.74,43.40,174681
29-Jul-16,43.85,43.85,42.78,42.81,121953
28-Jul-16,43.08,43.88,42.78,43.86,185260
27-Jul-16,42.85,43.37,42.77,43.23,133073
26-Jul-16,42.90,43.22,42.67,42.99,168148
25-Jul-16,43.41,43.44,42.87,43.00,111370
22-Jul-16,42.96,43.42,42.76,43.40,169077
21-Jul-16,42.75,42.89,41.06,42.89,304313
20-Jul-16,43.02,43.48,42.40,42.56,236462
19-Jul-16,43.27,43.46,42.60,42.94,312099
18-Jul-16,43.76,43.87,43.18,43.25,104102
15-Jul-16,43.57,43.57,43.02,43.49,90980
14-Jul-16,43.36,43.67,43.09,43.31,75323
13-Jul-16,43.82,44.07,43.03,43.26,121862
12-Jul-16,43.64,43.89,43.24,43.54,148329
11-Jul-16,44.08,44.43,43.41,43.46,127423
8-Jul-16,42.94,43.83,42.94,43.63,153767
7-Jul-16,42.83,42.93,42.31,42.79,199521
6-Jul-16,41.67,42.47,41.67,42.40,138599
5-Jul-16,41.36,42.38,41.36,42.10,107246
1-Jul-16,41.34,42.29,41.32,41.84,204991
30-Jun-16,40.74,41.71,40.74,41.41,156041
29-Jun-16,40.64,41.08,40.44,40.63,99894
28-Jun-16,39.69,40.46,39.58,40.11,148376
27-Jun-16,39.73,39.91,39.11,39.27,229481
24-Jun-16,40.44,41.21,39.79,39.93,310591
23-Jun-16,41.46,41.78,41.03,41.66,98963
22-Jun-16,40.44,41.30,40.44,41.16,123929
21-Jun-16,40.41,40.67,40.09,40.57,116450
20-Jun-16,40.05,40.83,40.05,40.41,127702
17-Jun-16,39.07,39.88,38.86,39.82,307321
16-Jun-16,38.70,39.00,38.52,38.97,168573
15-Jun-16,38.97,39.20,38.76,38.94,114202
14-Jun-16,38.00,39.10,37.74,38.98,250306
13-Jun-16,38.05,38.78,37.75,37.98,106835
10-Jun-16,37.74,38.54,37.65,38.48,117066
9-Jun-16,38.24,38.32,38.00,38.09,64770
8-Jun-16,38.26,38.76,38.23,38.47,74175
7-Jun-16,38.61,38.64,38.15,38.44,69796
6-Jun-16,37.72,38.60,37.63,38.45,124926
3-Jun-16,37.78,38.17,37.31,37.79,126096
