Date,Open,High,Low,Close,Volume
22-Nov-16,4.05,4.30,4.05,4.15,45394
21-Nov-16,4.20,4.20,4.05,4.15,43817
18-Nov-16,3.90,4.20,3.90,4.15,49658
17-Nov-16,3.90,4.02,3.90,3.95,31564
16-Nov-16,3.90,4.00,3.85,3.95,42517
15-Nov-16,3.80,3.90,3.78,3.90,29462
14-Nov-16,3.90,3.95,3.75,3.80,45947
11-Nov-16,4.00,4.02,3.86,3.94,89081
10-Nov-16,4.10,4.18,4.00,4.05,56593
9-Nov-16,4.25,4.30,4.15,4.15,42382
8-Nov-16,4.20,4.35,4.20,4.35,28802
7-Nov-16,4.35,4.45,4.25,4.25,78253
4-Nov-16,4.20,4.30,4.08,4.10,50881
3-Nov-16,4.30,4.35,4.25,4.30,20547
2-Nov-16,4.40,4.40,4.30,4.30,45804
1-Nov-16,4.40,4.50,4.30,4.40,63750
31-Oct-16,4.45,4.48,4.40,4.45,24292
28-Oct-16,4.45,4.49,4.43,4.49,26898
27-Oct-16,4.50,4.50,4.44,4.47,14074
26-Oct-16,4.47,4.57,4.47,4.47,32988
25-Oct-16,4.53,4.55,4.46,4.47,85884
24-Oct-16,4.59,4.59,4.48,4.52,27783
21-Oct-16,4.64,4.68,4.58,4.60,62635
20-Oct-16,4.61,4.69,4.58,4.69,65452
19-Oct-16,4.56,4.68,4.56,4.62,69792
18-Oct-16,4.47,4.63,4.47,4.57,65326
17-Oct-16,4.46,4.47,4.42,4.47,38549
14-Oct-16,4.38,4.49,4.38,4.48,35872
13-Oct-16,4.33,4.41,4.30,4.39,26648
12-Oct-16,4.27,4.38,4.25,4.37,38105
11-Oct-16,4.33,4.34,4.29,4.31,55189
10-Oct-16,4.31,4.36,4.30,4.33,15384
7-Oct-16,4.34,4.34,4.26,4.32,99061
6-Oct-16,4.28,4.38,4.28,4.35,28657
5-Oct-16,4.42,4.42,4.30,4.31,30134
4-Oct-16,4.39,4.46,4.37,4.41,102269
3-Oct-16,4.44,4.46,4.39,4.41,34523
30-Sep-16,4.45,4.48,4.42,4.45,33576
29-Sep-16,4.51,4.54,4.42,4.45,30560
28-Sep-16,4.44,4.55,4.39,4.53,49090
27-Sep-16,4.49,4.56,4.44,4.46,49305
26-Sep-16,4.66,4.66,4.52,4.52,43181
23-Sep-16,4.64,4.72,4.64,4.69,92953
22-Sep-16,4.63,4.75,4.63,4.67,49832
21-Sep-16,4.56,4.62,4.53,4.61,71045
20-Sep-16,4.50,4.54,4.50,4.54,34026
19-Sep-16,4.58,4.59,4.50,4.50,45780
16-Sep-16,4.52,4.56,4.49,4.55,48816
15-Sep-16,4.57,4.61,4.55,4.57,57030
14-Sep-16,4.41,4.57,4.41,4.56,64202
13-Sep-16,4.52,4.52,4.34,4.47,65153
12-Sep-16,4.63,4.69,4.52,4.58,58766
9-Sep-16,4.59,4.68,4.57,4.66,98229
8-Sep-16,4.64,4.66,4.61,4.66,69430
7-Sep-16,4.57,4.64,4.53,4.63,22395
6-Sep-16,4.45,4.55,4.45,4.54,79007
2-Sep-16,4.29,4.44,4.29,4.44,28226
1-Sep-16,4.33,4.34,4.23,4.30,28450
31-Aug-16,4.41,4.43,4.27,4.34,45322
30-Aug-16,4.40,4.48,4.40,4.42,40993
29-Aug-16,4.40,4.47,4.39,4.46,29782
26-Aug-16,4.49,4.51,4.35,4.38,33442
25-Aug-16,4.41,4.47,4.40,4.45,25580
24-Aug-16,4.45,4.47,4.38,4.42,18943
23-Aug-16,4.42,4.49,4.41,4.45,29120
22-Aug-16,4.45,4.45,4.36,4.40,28104
19-Aug-16,4.43,4.46,4.39,4.45,71904
18-Aug-16,4.40,4.48,4.39,4.48,17271
17-Aug-16,4.43,4.46,4.34,4.42,35656
16-Aug-16,4.48,4.49,4.42,4.44,56527
15-Aug-16,4.49,4.52,4.46,4.46,26444
12-Aug-16,4.59,4.61,4.47,4.50,54198
11-Aug-16,4.69,4.69,4.51,4.60,71658
10-Aug-16,4.79,4.84,4.61,4.66,41480
9-Aug-16,4.81,4.89,4.76,4.78,47589
8-Aug-16,4.73,4.77,4.70,4.73,126676
5-Aug-16,4.69,4.78,4.65,4.73,65100
4-Aug-16,4.68,4.76,4.67,4.71,30918
3-Aug-16,4.65,4.72,4.58,4.72,36550
2-Aug-16,4.70,4.78,4.59,4.63,74565
1-Aug-16,4.75,4.83,4.64,4.65,39138
29-Jul-16,4.70,4.80,4.70,4.78,26372
28-Jul-16,4.70,4.76,4.68,4.72,22410
27-Jul-16,4.80,4.89,4.70,4.72,56630
26-Jul-16,4.89,4.93,4.78,4.80,43185
25-Jul-16,4.66,4.90,4.66,4.90,72720
22-Jul-16,4.74,4.76,4.65,4.67,54224
21-Jul-16,4.68,4.76,4.66,4.74,64039
20-Jul-16,4.75,4.83,4.66,4.66,102091
19-Jul-16,4.92,4.92,4.76,4.78,49841
18-Jul-16,4.91,4.98,4.88,4.94,81445
15-Jul-16,4.98,5.02,4.91,4.96,90713
14-Jul-16,5.03,5.08,5.00,5.00,35778
13-Jul-16,5.06,5.18,4.97,5.02,83336
12-Jul-16,5.03,5.13,5.00,5.05,90247
11-Jul-16,5.04,5.09,4.96,5.00,40925
8-Jul-16,5.16,5.16,5.01,5.07,45581
7-Jul-16,5.24,5.35,5.11,5.15,34612
6-Jul-16,5.27,5.31,5.18,5.25,40403
5-Jul-16,5.22,5.29,5.16,5.28,65445
1-Jul-16,5.22,5.29,5.22,5.25,16463
30-Jun-16,5.11,5.23,5.04,5.22,52126
29-Jun-16,5.04,5.17,5.03,5.12,36300
28-Jun-16,4.84,5.05,4.84,5.02,47059
27-Jun-16,5.00,5.01,4.75,4.76,85981
24-Jun-16,4.99,5.10,4.95,5.05,44755
23-Jun-16,5.23,5.26,5.13,5.22,83916
22-Jun-16,5.23,5.24,5.14,5.16,53951
21-Jun-16,5.22,5.23,5.10,5.18,94317
20-Jun-16,5.17,5.31,5.17,5.23,55749
17-Jun-16,5.23,5.36,5.10,5.10,80953
16-Jun-16,5.20,5.23,5.05,5.19,58012
15-Jun-16,5.34,5.45,5.24,5.26,44251
14-Jun-16,5.43,5.46,5.33,5.40,64839
13-Jun-16,5.31,5.45,5.29,5.44,41812
10-Jun-16,5.47,5.51,5.31,5.37,49236
9-Jun-16,5.49,5.54,5.47,5.51,33496
8-Jun-16,5.53,5.62,5.47,5.55,64751
7-Jun-16,5.45,5.51,5.41,5.48,82175
6-Jun-16,5.11,5.42,5.11,5.37,116607
3-Jun-16,4.90,5.13,4.90,5.10,168071
2-Jun-16,4.85,4.95,4.82,4.90,32080
1-Jun-16,4.81,4.89,4.72,4.87,29835
31-May-16,4.83,4.92,4.80,4.80,64156
27-May-16,4.88,4.98,4.81,4.91,36150
26-May-16,4.96,5.05,4.92,4.96,72401
25-May-16,4.94,5.02,4.91,4.95,64427
24-May-16,5.06,5.10,4.90,4.93,124076
23-May-16,5.04,5.10,5.02,5.06,18471
20-May-16,4.95,5.08,4.95,5.06,89703
19-May-16,4.95,5.01,4.83,4.95,120378
18-May-16,4.92,5.13,4.87,5.00,122281
17-May-16,5.07,5.19,4.88,4.95,282138
16-May-16,5.32,5.34,4.98,5.14,176395
13-May-16,5.32,5.40,5.27,5.30,132379
12-May-16,5.49,5.62,5.33,5.41,207779
11-May-16,5.45,5.60,5.41,5.43,289721
10-May-16,5.21,5.42,5.21,5.41,169798
9-May-16,5.26,5.31,5.18,5.24,145615
6-May-16,5.13,5.35,5.13,5.32,203787
5-May-16,4.98,5.28,4.98,5.20,285297
4-May-16,4.88,5.02,4.83,4.94,181024
3-May-16,5.20,5.20,4.95,5.12,139505
2-May-16,5.20,5.30,5.11,5.28,126181
29-Apr-16,5.41,5.41,5.19,5.22,67368
28-Apr-16,5.40,5.47,5.31,5.35,119017
27-Apr-16,5.16,5.36,5.12,5.35,143312
26-Apr-16,4.90,5.29,4.90,5.13,230258
25-Apr-16,4.99,5.01,4.82,4.91,119053
22-Apr-16,5.16,5.36,4.91,4.97,276173
21-Apr-16,5.03,5.37,5.03,5.19,254747
20-Apr-16,4.92,5.03,4.90,5.03,73780
19-Apr-16,4.88,5.01,4.87,5.00,70459
18-Apr-16,4.67,4.89,4.67,4.83,66163
15-Apr-16,4.68,4.75,4.63,4.71,61218
14-Apr-16,4.80,4.85,4.71,4.72,40412
13-Apr-16,4.89,4.91,4.81,4.82,47008
12-Apr-16,4.74,4.90,4.74,4.88,135786
11-Apr-16,4.58,4.75,4.58,4.75,74776
8-Apr-16,4.56,4.63,4.52,4.53,69557
7-Apr-16,4.42,4.50,4.42,4.49,52292
6-Apr-16,4.53,4.55,4.43,4.45,74710
5-Apr-16,4.49,4.58,4.45,4.54,58441
4-Apr-16,4.55,4.61,4.52,4.52,63034
1-Apr-16,4.58,4.60,4.51,4.60,42265
31-Mar-16,4.58,4.72,4.58,4.65,78918
30-Mar-16,4.52,4.67,4.52,4.61,98029
29-Mar-16,4.29,4.54,4.29,4.50,69150
28-Mar-16,4.31,4.36,4.25,4.32,101669
24-Mar-16,4.31,4.36,4.27,4.33,110256
23-Mar-16,4.53,4.54,4.34,4.34,121609
22-Mar-16,4.44,4.61,4.44,4.59,110529
21-Mar-16,4.30,4.51,4.30,4.50,109277
18-Mar-16,4.40,4.45,4.25,4.25,368136
17-Mar-16,4.49,4.50,4.37,4.41,92833
16-Mar-16,4.47,4.48,4.29,4.44,148691
15-Mar-16,4.53,4.54,4.44,4.48,79853
14-Mar-16,4.50,4.60,4.47,4.59,106239
11-Mar-16,4.55,4.61,4.51,4.52,98505
10-Mar-16,4.56,4.59,4.46,4.47,105599
9-Mar-16,4.43,4.66,4.43,4.58,92243
8-Mar-16,4.45,4.49,4.37,4.42,195375
7-Mar-16,4.46,4.55,4.45,4.51,125532
4-Mar-16,4.47,4.53,4.47,4.49,97916
3-Mar-16,4.47,4.63,4.42,4.48,175291
2-Mar-16,4.45,4.51,4.41,4.47,119726
1-Mar-16,4.40,4.53,4.40,4.45,139837
29-Feb-16,4.37,4.42,4.34,4.36,92587
26-Feb-16,4.40,4.46,4.34,4.37,142044
25-Feb-16,4.39,4.43,4.30,4.38,103444
24-Feb-16,4.24,4.40,4.19,4.40,130756
23-Feb-16,4.26,4.33,4.19,4.33,146101
22-Feb-16,4.30,4.43,4.30,4.34,170306
19-Feb-16,4.09,4.25,4.02,4.24,174312
18-Feb-16,4.10,4.23,3.98,4.10,403690
17-Feb-16,3.79,4.24,3.78,4.24,250980
16-Feb-16,3.59,3.63,3.49,3.58,119032
12-Feb-16,3.45,3.57,3.44,3.52,110318
11-Feb-16,3.51,3.54,3.38,3.43,176542
10-Feb-16,3.71,3.75,3.58,3.59,123779
9-Feb-16,3.89,3.94,3.72,3.72,114397
8-Feb-16,3.85,3.98,3.72,3.92,241046
5-Feb-16,3.81,3.90,3.78,3.87,101266
4-Feb-16,3.79,3.90,3.77,3.83,147383
3-Feb-16,3.56,3.77,3.55,3.77,196938
2-Feb-16,3.44,3.54,3.32,3.53,149661
1-Feb-16,3.48,3.55,3.41,3.52,183213
29-Jan-16,3.40,3.53,3.39,3.49,195936
28-Jan-16,3.28,3.38,3.26,3.38,254953
27-Jan-16,3.00,3.20,3.00,3.19,127800
26-Jan-16,2.94,3.02,2.91,3.00,162258
25-Jan-16,3.06,3.06,2.88,2.89,174158
22-Jan-16,2.98,3.14,2.96,3.09,204642
21-Jan-16,2.70,2.92,2.67,2.90,186280
20-Jan-16,2.66,2.74,2.54,2.69,269640
19-Jan-16,2.60,2.72,2.58,2.72,238733
15-Jan-16,2.82,2.82,2.58,2.60,427453
14-Jan-16,3.05,3.08,2.88,3.05,251952
13-Jan-16,3.29,3.29,3.02,3.04,128913
12-Jan-16,3.21,3.29,3.11,3.21,104493
11-Jan-16,3.15,3.19,3.08,3.18,180596
8-Jan-16,3.04,3.17,2.99,3.13,208135
7-Jan-16,3.23,3.32,3.00,3.01,187723
6-Jan-16,3.32,3.42,3.28,3.29,198042
5-Jan-16,3.53,3.53,3.35,3.36,195407
4-Jan-16,3.54,3.55,3.41,3.50,188312
31-Dec-15,3.50,3.57,3.45,3.54,153905
30-Dec-15,3.41,3.53,3.38,3.52,144030
29-Dec-15,3.57,3.57,3.42,3.44,174524
28-Dec-15,3.52,3.58,3.49,3.56,82040
24-Dec-15,3.55,3.60,3.43,3.59,98736
23-Dec-15,3.36,3.52,3.35,3.52,195186
22-Dec-15,3.42,3.43,3.31,3.32,186881
21-Dec-15,3.49,3.55,3.41,3.44,222073
18-Dec-15,3.36,3.49,3.34,3.49,181938
17-Dec-15,3.41,3.41,3.30,3.37,225477
16-Dec-15,3.22,3.39,3.11,3.38,295654
15-Dec-15,3.02,3.20,3.02,3.15,229714
14-Dec-15,3.09,3.12,2.99,3.00,194963
11-Dec-15,3.11,3.12,3.05,3.07,147290
10-Dec-15,3.12,3.18,3.05,3.11,180634
9-Dec-15,3.21,3.35,3.13,3.16,257728
8-Dec-15,3.39,3.39,3.18,3.21,331040
7-Dec-15,3.62,3.63,3.47,3.47,202618
4-Dec-15,3.75,3.77,3.64,3.67,237960
3-Dec-15,3.80,3.82,3.72,3.78,185614
2-Dec-15,3.94,3.95,3.79,3.80,251071
1-Dec-15,4.06,4.11,3.95,3.96,236997
30-Nov-15,4.20,4.23,4.00,4.02,230699
27-Nov-15,4.27,4.28,4.15,4.19,155485
25-Nov-15,4.21,4.26,4.13,4.26,303122
24-Nov-15,4.64,4.66,4.17,4.21,749471
23-Nov-15,4.22,4.69,4.22,4.50,501135
20-Nov-15,4.06,4.10,3.99,4.07,187048
19-Nov-15,4.33,4.33,3.95,4.02,397808
18-Nov-15,4.31,4.40,4.26,4.29,105599
17-Nov-15,4.51,4.55,4.28,4.31,218046
16-Nov-15,4.28,4.50,4.28,4.49,470351
13-Nov-15,4.37,4.42,4.30,4.30,147470
12-Nov-15,4.34,4.48,4.31,4.35,153191
11-Nov-15,4.55,4.55,4.33,4.36,200368
10-Nov-15,4.58,4.63,4.44,4.53,153423
9-Nov-15,4.57,4.68,4.52,4.58,185467
6-Nov-15,4.62,4.63,4.40,4.52,219172
5-Nov-15,4.85,4.85,4.64,4.68,157188
4-Nov-15,4.74,4.86,4.66,4.85,378051
3-Nov-15,4.75,4.78,4.64,4.76,327830
2-Nov-15,4.73,4.74,4.58,4.73,160078
30-Oct-15,4.69,4.73,4.53,4.64,176238
29-Oct-15,4.83,4.83,4.56,4.68,249301
28-Oct-15,4.87,4.98,4.78,4.83,199598
27-Oct-15,5.00,5.03,4.80,4.84,139833
26-Oct-15,5.27,5.28,5.05,5.08,140306
23-Oct-15,5.35,5.35,5.24,5.24,226371
22-Oct-15,5.23,5.38,5.21,5.36,253119
21-Oct-15,5.15,5.35,4.99,5.16,864462
20-Oct-15,5.18,5.32,5.13,5.17,295205
19-Oct-15,5.14,5.15,5.04,5.12,86336
16-Oct-15,5.21,5.24,5.12,5.16,66030
15-Oct-15,5.26,5.32,5.16,5.20,216786
14-Oct-15,5.28,5.34,5.22,5.25,149068
13-Oct-15,5.42,5.44,5.24,5.26,323323
12-Oct-15,5.54,5.54,5.40,5.48,73796
9-Oct-15,5.46,5.54,5.39,5.47,443237
8-Oct-15,5.46,5.47,5.33,5.40,111709
7-Oct-15,5.34,5.45,5.29,5.45,137752
6-Oct-15,5.26,5.32,5.19,5.28,173329
5-Oct-15,4.90,5.23,4.90,5.20,125374
2-Oct-15,4.77,4.96,4.77,4.90,193751
1-Oct-15,4.75,4.87,4.73,4.78,197289
30-Sep-15,4.53,4.66,4.49,4.65,199214
29-Sep-15,4.60,4.60,4.42,4.46,218086
28-Sep-15,4.68,4.68,4.59,4.63,164321
25-Sep-15,4.59,4.71,4.50,4.71,195851
24-Sep-15,4.44,4.58,4.44,4.54,116310
23-Sep-15,4.62,4.65,4.49,4.51,172070
22-Sep-15,4.59,4.70,4.49,4.60,230276
21-Sep-15,4.67,4.73,4.51,4.56,232967
18-Sep-15,4.77,4.86,4.54,4.68,334317
17-Sep-15,4.58,4.86,4.52,4.77,220560
16-Sep-15,4.40,4.62,4.39,4.59,411280
15-Sep-15,4.27,4.33,4.21,4.33,161914
14-Sep-15,4.34,4.34,4.22,4.23,130571
11-Sep-15,4.31,4.32,4.22,4.30,195228
10-Sep-15,4.30,4.41,4.23,4.35,192372
9-Sep-15,4.39,4.42,4.23,4.27,203861
8-Sep-15,4.52,4.52,4.25,4.34,304876
4-Sep-15,4.70,4.72,4.47,4.50,159775
3-Sep-15,4.61,4.76,4.58,4.69,167074
2-Sep-15,4.77,4.79,4.56,4.59,130386
1-Sep-15,4.95,4.95,4.69,4.71,158602
31-Aug-15,5.17,5.20,4.93,5.02,255201
28-Aug-15,5.22,5.27,5.08,5.22,186341
27-Aug-15,5.04,5.31,5.00,5.30,269239
26-Aug-15,5.10,5.10,4.80,4.99,336973
25-Aug-15,5.02,5.07,4.73,4.73,270896
24-Aug-15,4.89,5.06,4.67,4.69,545622
21-Aug-15,4.97,5.01,4.84,4.86,173979
20-Aug-15,5.15,5.15,4.96,4.97,204957
19-Aug-15,5.33,5.33,5.11,5.16,156274
18-Aug-15,5.39,5.41,5.29,5.33,152543
17-Aug-15,5.40,5.41,5.32,5.38,190529
14-Aug-15,5.46,5.51,5.41,5.43,88426
13-Aug-15,5.62,5.62,5.37,5.44,187002
12-Aug-15,5.57,5.66,5.54,5.64,110243
11-Aug-15,5.65,5.65,5.45,5.54,138917
10-Aug-15,5.75,5.75,5.62,5.70,125846
7-Aug-15,5.77,5.94,5.67,5.72,110062
6-Aug-15,5.70,5.81,5.59,5.80,199849
5-Aug-15,5.99,6.04,5.68,5.68,195540
4-Aug-15,6.24,6.25,5.89,5.96,222173
3-Aug-15,6.26,6.32,6.13,6.18,117660
31-Jul-15,6.22,6.35,6.21,6.33,174606
30-Jul-15,6.40,6.42,6.17,6.19,217572
29-Jul-15,6.55,6.57,6.36,6.43,193271
28-Jul-15,6.57,6.62,6.43,6.61,219741
27-Jul-15,6.93,6.97,6.69,6.76,123667
24-Jul-15,7.07,7.07,6.92,6.95,69139
23-Jul-15,7.06,7.10,7.00,7.09,113452
22-Jul-15,6.93,7.10,6.91,7.01,70355
21-Jul-15,7.11,7.14,6.96,6.97,114028
20-Jul-15,7.31,7.32,7.11,7.13,90866
17-Jul-15,7.45,7.45,7.31,7.32,78659
16-Jul-15,7.35,7.48,7.33,7.46,80738
15-Jul-15,7.48,7.48,7.32,7.36,70445
14-Jul-15,7.48,7.53,7.43,7.53,50387
13-Jul-15,7.44,7.52,7.34,7.51,129730
10-Jul-15,7.26,7.48,7.23,7.44,147024
9-Jul-15,7.51,7.53,7.20,7.25,147032
8-Jul-15,7.55,7.65,7.38,7.45,103646
7-Jul-15,7.51,7.61,7.40,7.60,120970
6-Jul-15,7.64,7.67,7.56,7.56,86650
2-Jul-15,7.68,7.73,7.64,7.72,73349
1-Jul-15,7.76,7.82,7.63,7.65,72637
30-Jun-15,7.82,7.86,7.70,7.75,141021
29-Jun-15,8.07,8.07,7.84,7.85,292092
26-Jun-15,8.24,8.24,8.05,8.14,127591
25-Jun-15,8.22,8.28,8.16,8.24,89227
24-Jun-15,8.20,8.31,8.18,8.20,141755
23-Jun-15,8.08,8.25,8.07,8.22,184920
22-Jun-15,8.02,8.14,8.01,8.09,279915
19-Jun-15,7.91,8.04,7.88,8.03,226874
18-Jun-15,8.00,8.03,7.91,7.93,102865
17-Jun-15,7.93,7.98,7.87,7.95,120772
16-Jun-15,7.97,7.98,7.90,7.92,89493
15-Jun-15,7.88,7.99,7.87,7.95,126287
12-Jun-15,8.01,8.03,7.88,7.92,120820
11-Jun-15,8.21,8.21,8.07,8.10,116948
