Date,Open,High,Low,Close,Volume
22-Nov-16,-,-,-,102.01,0
21-Nov-16,-,-,-,102.01,0
18-Nov-16,-,-,-,102.01,0
17-Nov-16,-,-,-,102.01,0
16-Nov-16,-,-,-,102.01,0
14-Nov-16,-,-,-,102.01,0
11-Nov-16,-,-,-,102.01,0
10-Nov-16,103.50,103.50,102.01,102.01,422
9-Nov-16,103.04,103.14,103.04,103.14,243
8-Nov-16,-,-,-,102.90,0
7-Nov-16,-,-,-,102.90,0
4-Nov-16,104.24,104.24,102.90,102.90,203
3-Nov-16,103.07,103.07,102.03,102.03,868
2-Nov-16,102.26,102.92,101.36,102.92,377
1-Nov-16,105.50,109.43,104.84,108.98,835
31-Oct-16,-,-,-,106.00,0
28-Oct-16,-,-,-,106.00,0
27-Oct-16,106.50,106.50,106.00,106.00,232
26-Oct-16,-,-,-,108.25,0
25-Oct-16,-,-,-,108.25,0
24-Oct-16,108.25,108.25,108.25,108.25,500
21-Oct-16,-,-,-,109.99,0
20-Oct-16,-,-,-,109.99,0
19-Oct-16,-,-,-,109.99,0
18-Oct-16,-,-,-,109.99,0
17-Oct-16,-,-,-,109.99,0
14-Oct-16,-,-,-,109.99,0
13-Oct-16,109.99,109.99,109.99,109.99,150
12-Oct-16,-,-,-,109.85,0
11-Oct-16,-,-,-,109.85,0
10-Oct-16,109.85,109.85,109.85,109.85,305
7-Oct-16,-,-,-,105.40,0
6-Oct-16,106.29,106.29,105.40,105.40,200
5-Oct-16,-,-,-,109.35,0
4-Oct-16,108.87,109.35,108.87,109.35,338
3-Oct-16,106.15,107.71,106.15,107.71,243
30-Sep-16,109.25,109.25,109.25,109.25,162
29-Sep-16,-,-,-,106.02,0
28-Sep-16,-,-,-,106.02,0
27-Sep-16,-,-,-,106.02,0
26-Sep-16,-,-,-,106.02,0
23-Sep-16,106.02,106.02,106.02,106.02,231
22-Sep-16,-,-,-,104.57,0
21-Sep-16,-,-,-,104.57,0
20-Sep-16,103.65,104.57,103.65,104.57,403
19-Sep-16,101.98,106.41,101.27,101.89,660
16-Sep-16,-,-,-,107.91,0
15-Sep-16,107.91,107.91,107.91,107.91,236
14-Sep-16,106.35,106.35,106.35,106.35,104
13-Sep-16,-,-,-,103.03,0
12-Sep-16,-,-,-,103.03,0
9-Sep-16,103.04,103.04,103.03,103.03,301
8-Sep-16,110.17,110.17,105.96,105.96,268
7-Sep-16,104.92,105.95,104.92,105.95,200
6-Sep-16,104.59,107.60,104.59,104.73,555
2-Sep-16,102.29,102.74,102.29,102.74,253
1-Sep-16,-,-,-,100.00,0
31-Aug-16,-,-,-,100.00,0
30-Aug-16,-,-,-,100.00,0
29-Aug-16,-,-,-,100.00,0
26-Aug-16,-,-,-,100.00,0
25-Aug-16,-,-,-,100.00,0
24-Aug-16,-,-,-,100.00,0
23-Aug-16,100.00,100.00,100.00,100.00,109
22-Aug-16,99.06,99.88,99.06,99.88,210
