Date,Open,High,Low,Close,Volume
22-Nov-16,68.81,69.85,67.69,69.40,474021
21-Nov-16,69.68,72.21,68.94,70.14,531048
18-Nov-16,69.03,69.39,68.36,69.21,257373
17-Nov-16,67.04,69.58,66.98,68.99,385369
16-Nov-16,66.33,67.34,65.64,66.71,197922
15-Nov-16,67.17,67.84,66.14,66.35,257107
14-Nov-16,65.00,67.14,63.47,67.05,330004
11-Nov-16,63.24,65.16,62.47,64.21,391017
10-Nov-16,60.25,63.19,59.82,62.85,374970
9-Nov-16,57.73,60.56,57.07,59.29,509005
8-Nov-16,55.00,59.17,55.00,58.29,943821
7-Nov-16,53.60,53.81,51.59,52.46,495333
4-Nov-16,51.22,53.12,51.04,52.50,318098
3-Nov-16,51.94,52.16,50.81,50.91,289231
2-Nov-16,53.20,53.47,51.72,51.75,289537
1-Nov-16,53.99,54.01,52.74,53.25,364067
31-Oct-16,52.62,54.01,52.20,53.81,319288
28-Oct-16,51.89,53.13,51.43,52.55,267401
27-Oct-16,52.90,53.07,51.68,51.90,188457
26-Oct-16,52.70,54.02,52.70,52.76,305387
25-Oct-16,55.71,55.71,52.87,53.09,340600
24-Oct-16,56.45,56.86,55.85,55.94,244075
21-Oct-16,55.93,56.75,55.61,56.17,222856
20-Oct-16,58.25,58.25,56.44,56.65,230696
19-Oct-16,58.85,59.15,58.12,58.66,155894
18-Oct-16,59.93,59.93,58.73,58.74,82704
17-Oct-16,58.77,59.24,58.27,59.18,96215
14-Oct-16,58.43,59.46,58.37,58.59,87472
13-Oct-16,58.66,58.84,58.04,58.10,132574
12-Oct-16,59.19,59.91,58.69,59.27,138571
11-Oct-16,60.62,60.93,59.02,59.20,115806
10-Oct-16,60.27,61.33,60.27,60.90,99486
7-Oct-16,60.45,60.49,59.37,59.80,133675
6-Oct-16,59.18,61.08,59.06,60.51,129278
5-Oct-16,58.99,59.75,58.99,59.33,93048
4-Oct-16,58.81,59.47,58.62,58.88,156740
3-Oct-16,58.71,59.90,57.95,58.68,280728
30-Sep-16,58.87,59.01,58.00,58.72,152537
29-Sep-16,59.68,59.90,58.18,58.39,179671
28-Sep-16,59.56,59.96,59.07,59.64,150510
27-Sep-16,58.34,59.84,58.14,59.31,181994
26-Sep-16,58.17,59.11,58.08,58.14,100353
23-Sep-16,58.56,58.99,57.96,58.55,140380
22-Sep-16,58.33,58.73,57.76,58.56,245059
21-Sep-16,57.18,57.96,56.70,57.89,153148
20-Sep-16,57.19,57.21,56.52,56.79,118305
19-Sep-16,56.76,57.71,56.50,56.85,152018
16-Sep-16,57.15,57.27,56.49,56.62,404670
15-Sep-16,58.02,58.02,56.13,57.27,297156
14-Sep-16,57.37,57.99,57.15,57.91,202698
13-Sep-16,58.20,58.48,56.72,57.40,207841
12-Sep-16,56.99,58.91,56.91,58.68,191899
9-Sep-16,59.77,59.78,57.03,57.40,350561
8-Sep-16,61.60,61.68,60.10,60.38,232629
7-Sep-16,61.85,61.93,61.15,61.55,340649
6-Sep-16,62.23,62.39,60.93,61.84,291362
2-Sep-16,62.01,62.30,61.70,61.89,194083
1-Sep-16,61.98,62.32,61.27,62.04,200751
31-Aug-16,62.75,63.10,61.54,61.94,277556
30-Aug-16,64.08,64.36,62.70,63.11,291121
29-Aug-16,61.69,64.16,61.69,63.75,379832
26-Aug-16,62.43,62.93,61.04,61.78,134489
25-Aug-16,61.31,62.09,61.01,62.07,137407
24-Aug-16,61.77,62.15,61.03,61.33,129930
23-Aug-16,61.00,62.49,60.98,62.04,222748
22-Aug-16,59.80,60.96,59.74,60.91,205812
19-Aug-16,60.00,60.71,59.73,60.20,140059
18-Aug-16,59.81,60.54,59.68,60.08,157135
17-Aug-16,60.00,60.19,59.58,59.97,247953
16-Aug-16,60.50,60.50,59.47,59.92,200142
15-Aug-16,59.96,61.01,59.82,60.60,137794
12-Aug-16,60.01,60.46,59.22,60.01,174812
11-Aug-16,60.48,60.62,59.72,60.23,242934
10-Aug-16,58.90,60.17,58.55,60.16,312443
9-Aug-16,59.42,59.69,58.52,58.75,423233
8-Aug-16,59.46,60.36,59.46,59.57,349702
5-Aug-16,58.50,60.28,58.36,59.25,473684
4-Aug-16,57.73,58.71,57.02,58.12,527911
