Date,Open,High,Low,Close,Volume
22-Nov-16,29.97,30.14,29.77,29.91,8937523
21-Nov-16,29.60,29.74,29.46,29.65,4477133
18-Nov-16,29.43,29.57,29.19,29.47,5136592
17-Nov-16,30.00,30.02,29.35,29.47,7065077
16-Nov-16,29.09,29.90,29.09,29.86,8803196
15-Nov-16,29.31,29.44,28.77,29.20,11135722
14-Nov-16,29.28,29.60,28.81,28.85,8551447
11-Nov-16,29.06,30.08,28.76,29.93,7506757
10-Nov-16,30.55,30.55,29.37,29.44,10104303
9-Nov-16,30.64,30.99,30.30,30.59,8996714
8-Nov-16,31.20,31.50,31.01,31.34,4077127
7-Nov-16,30.72,31.38,30.68,31.35,3981767
4-Nov-16,30.21,30.45,30.02,30.24,4431882
3-Nov-16,30.35,30.50,30.18,30.28,4890779
2-Nov-16,30.67,30.73,30.24,30.39,5274661
1-Nov-16,31.12,31.20,30.48,30.71,5815756
31-Oct-16,30.93,31.13,30.84,31.10,3212296
28-Oct-16,30.94,31.10,30.76,30.77,5210861
27-Oct-16,31.23,31.26,30.75,30.77,6243225
26-Oct-16,31.19,31.43,31.07,31.21,4121511
25-Oct-16,31.40,31.62,31.38,31.55,3214676
24-Oct-16,31.14,31.41,31.08,31.41,3768927
21-Oct-16,30.92,31.14,30.76,31.08,3817061
20-Oct-16,30.93,31.15,30.80,31.06,7329782
19-Oct-16,30.95,31.04,30.66,30.98,6733019
18-Oct-16,30.91,30.98,30.69,30.86,5487488
17-Oct-16,30.52,30.76,30.38,30.57,7598444
14-Oct-16,31.06,31.27,30.57,30.66,9822916
13-Oct-16,30.93,30.93,29.52,30.53,17322963
12-Oct-16,30.90,31.40,30.70,31.35,9586959
11-Oct-16,30.99,30.99,30.51,30.73,10157575
10-Oct-16,31.19,31.48,31.16,31.28,7810549
7-Oct-16,30.88,31.21,30.64,31.18,5753514
6-Oct-16,30.70,30.81,30.38,30.77,4099895
5-Oct-16,30.67,30.71,30.50,30.53,6205007
4-Oct-16,30.82,30.92,30.36,30.39,5104812
3-Oct-16,30.64,30.81,30.57,30.72,4198468
30-Sep-16,30.29,30.68,30.23,30.59,5725693
29-Sep-16,30.31,30.65,30.17,30.40,5985779
28-Sep-16,30.47,30.50,30.13,30.33,4125090
27-Sep-16,29.80,30.43,29.65,30.40,5707151
26-Sep-16,30.02,30.06,29.71,29.84,4363343
23-Sep-16,30.65,30.67,30.02,30.12,7959831
22-Sep-16,30.76,30.95,30.51,30.66,5329040
21-Sep-16,30.09,30.56,30.05,30.50,8097188
20-Sep-16,30.16,30.24,29.88,29.90,5763307
19-Sep-16,29.91,30.12,29.87,29.93,7696444
16-Sep-16,29.13,29.22,28.77,28.91,7329268
15-Sep-16,28.61,29.27,28.61,29.18,6321109
