Date,Open,High,Low,Close,Volume
22-Nov-16,45.62,45.69,45.08,45.29,452234
21-Nov-16,44.44,45.67,44.32,45.67,597253
18-Nov-16,44.13,44.34,43.94,44.25,464660
17-Nov-16,44.19,44.59,43.96,44.02,472947
16-Nov-16,43.99,44.24,43.58,44.05,489793
15-Nov-16,43.45,44.23,43.45,44.01,660763
14-Nov-16,42.52,43.22,42.52,43.19,1157622
11-Nov-16,41.95,42.61,41.79,42.31,779519
10-Nov-16,44.41,44.41,41.86,42.07,1353143
9-Nov-16,45.12,45.66,44.65,45.27,618157
8-Nov-16,45.44,46.31,45.42,45.72,613740
7-Nov-16,44.65,45.45,44.54,45.34,881394
4-Nov-16,44.93,45.23,44.32,44.32,630870
3-Nov-16,44.01,45.01,43.81,44.71,903412
2-Nov-16,44.92,44.92,43.92,43.93,848955
1-Nov-16,46.26,46.26,44.98,45.04,568009
31-Oct-16,45.30,46.47,45.30,46.29,1131581
28-Oct-16,44.93,45.49,44.74,45.11,378410
27-Oct-16,45.35,45.64,44.42,44.91,626878
26-Oct-16,45.00,45.71,44.83,45.60,851867
25-Oct-16,44.57,45.30,44.46,45.23,541425
24-Oct-16,45.29,45.29,44.29,44.66,479314
21-Oct-16,44.64,44.92,44.58,44.72,476331
20-Oct-16,44.91,45.11,44.57,44.91,648579
19-Oct-16,44.72,44.92,44.40,44.88,797248
18-Oct-16,45.06,45.06,44.38,44.71,566059
17-Oct-16,44.59,44.91,44.50,44.86,678911
14-Oct-16,44.35,44.75,44.14,44.57,848392
13-Oct-16,43.56,44.68,43.44,44.39,804830
12-Oct-16,43.00,43.58,43.00,43.50,454966
11-Oct-16,43.91,44.03,42.86,42.96,896852
10-Oct-16,43.65,44.21,43.65,44.10,479914
7-Oct-16,44.38,44.49,43.63,43.68,884630
6-Oct-16,43.73,44.16,43.47,44.12,671631
5-Oct-16,44.08,44.46,43.74,43.79,1073303
4-Oct-16,45.11,45.17,43.58,43.90,923261
3-Oct-16,45.22,45.48,44.92,45.00,1002471
30-Sep-16,46.09,46.21,44.97,45.24,929655
29-Sep-16,46.71,46.71,45.56,45.81,747374
28-Sep-16,46.98,46.98,46.28,46.77,1185496
27-Sep-16,47.25,47.47,46.71,46.79,586112
26-Sep-16,47.31,47.45,47.01,47.18,811127
23-Sep-16,47.87,47.99,47.38,47.38,551607
22-Sep-16,47.87,48.13,47.38,48.05,600143
21-Sep-16,46.32,47.52,46.27,47.50,499561
20-Sep-16,46.44,46.64,46.09,46.22,502587
19-Sep-16,45.57,46.21,45.54,46.16,548372
16-Sep-16,45.36,45.60,45.08,45.52,778391
15-Sep-16,44.89,45.59,44.75,45.46,554183
14-Sep-16,44.85,45.23,44.63,44.77,723242
13-Sep-16,45.78,45.78,44.78,44.84,674247
12-Sep-16,45.31,46.18,45.31,46.10,738677
9-Sep-16,46.90,46.90,45.39,45.40,677274
8-Sep-16,46.95,47.39,46.77,47.22,697165
7-Sep-16,46.63,47.36,46.33,46.99,643946
6-Sep-16,46.27,46.66,46.13,46.57,833216
2-Sep-16,45.75,46.25,45.68,46.21,512721
1-Sep-16,45.56,45.66,45.28,45.49,632946
31-Aug-16,45.05,45.52,44.99,45.48,890715
30-Aug-16,45.60,45.92,44.99,45.16,514968
29-Aug-16,45.04,45.64,45.04,45.60,409710
26-Aug-16,45.72,45.96,44.79,44.98,342052
25-Aug-16,45.40,45.78,45.16,45.68,548685
24-Aug-16,45.46,45.46,44.97,45.34,424467
23-Aug-16,45.66,45.82,45.36,45.40,530057
22-Aug-16,45.48,45.69,45.30,45.50,415677
19-Aug-16,45.41,45.53,45.06,45.49,738546
18-Aug-16,44.57,45.57,44.34,45.57,710756
17-Aug-16,44.34,44.51,43.82,44.43,909024
16-Aug-16,45.47,45.53,44.34,44.36,744956
15-Aug-16,45.91,46.15,45.60,45.60,749666
12-Aug-16,46.02,46.35,45.79,45.85,546180
11-Aug-16,46.19,46.19,45.84,45.90,881779
10-Aug-16,46.10,46.31,45.99,46.14,563509
9-Aug-16,46.06,46.31,45.91,46.14,683416
8-Aug-16,45.88,46.31,45.65,46.05,641973
5-Aug-16,46.29,46.35,45.97,46.00,490175
4-Aug-16,46.07,46.54,45.97,46.22,471791
3-Aug-16,46.00,46.36,45.44,46.15,917830
2-Aug-16,45.57,46.23,45.13,46.09,923070
1-Aug-16,45.17,45.30,44.83,45.04,803502
29-Jul-16,45.19,45.39,45.02,45.26,1317769
28-Jul-16,44.68,45.40,44.68,45.26,679140
27-Jul-16,45.07,45.14,44.32,44.63,458593
26-Jul-16,45.02,45.17,44.85,44.99,555378
25-Jul-16,45.21,45.44,44.88,45.09,482860
22-Jul-16,44.97,45.47,44.85,45.42,596484
21-Jul-16,44.89,44.96,44.66,44.95,742979
20-Jul-16,45.00,45.03,44.80,44.96,504431
19-Jul-16,45.16,45.22,44.78,44.96,412618
18-Jul-16,45.09,45.11,44.81,45.05,804449
15-Jul-16,45.04,45.13,44.77,45.02,631821
14-Jul-16,45.22,45.42,44.95,45.00,993733
13-Jul-16,45.28,45.57,45.24,45.49,864854
12-Jul-16,45.01,45.45,44.95,45.03,961217
11-Jul-16,44.64,45.08,44.29,45.06,953355
8-Jul-16,44.69,44.81,44.19,44.74,912252
7-Jul-16,45.51,45.53,44.65,44.80,722057
6-Jul-16,44.91,45.65,44.83,45.56,1751429
5-Jul-16,45.22,45.30,44.60,44.87,1516819
1-Jul-16,45.47,45.60,44.78,45.22,967370
30-Jun-16,44.59,45.25,44.45,45.25,1964563
29-Jun-16,44.50,44.79,44.32,44.43,836213
28-Jun-16,44.27,44.33,43.66,44.27,1053779
27-Jun-16,43.93,44.22,43.57,44.06,1115396
24-Jun-16,43.55,44.43,43.55,44.03,1005273
23-Jun-16,44.07,44.34,43.99,44.27,1160268
22-Jun-16,44.10,44.22,43.87,44.09,1193493
21-Jun-16,43.53,44.20,43.29,43.98,948058
20-Jun-16,44.35,44.35,43.39,43.44,1183524
17-Jun-16,43.91,44.28,43.65,44.27,1255512
16-Jun-16,43.66,44.25,43.58,44.08,752155
15-Jun-16,43.79,43.87,43.50,43.74,792078
14-Jun-16,43.36,43.82,43.09,43.79,750644
13-Jun-16,43.24,43.66,43.15,43.42,725299
10-Jun-16,43.81,43.93,43.31,43.46,1055673
9-Jun-16,43.88,44.04,43.63,43.94,1255940
8-Jun-16,43.66,43.99,43.60,43.96,592659
7-Jun-16,43.80,43.92,43.51,43.58,710181
6-Jun-16,43.91,44.00,43.70,43.74,896824
3-Jun-16,43.74,44.07,43.55,43.86,958153
2-Jun-16,42.89,43.31,42.86,43.31,1027386
1-Jun-16,42.92,43.29,42.74,42.95,1228143
31-May-16,43.48,43.72,42.77,42.92,8603412
27-May-16,43.48,43.53,43.10,43.43,1222668
26-May-16,43.30,43.48,43.11,43.38,1011289
25-May-16,43.20,43.36,43.03,43.19,1410142
24-May-16,42.77,43.36,42.64,43.31,1576035
