Date,Open,High,Low,Close,Volume
22-Nov-16,12.21,12.29,12.20,12.24,35421
21-Nov-16,12.13,12.20,12.05,12.19,59438
18-Nov-16,12.06,12.12,11.98,12.08,103676
17-Nov-16,12.23,12.26,12.03,12.09,73626
16-Nov-16,12.39,12.45,12.21,12.25,87253
15-Nov-16,12.17,12.39,12.01,12.36,117225
14-Nov-16,12.20,12.21,11.83,12.11,139941
11-Nov-16,12.31,12.39,12.21,12.31,33107
10-Nov-16,12.66,12.68,12.32,12.35,99936
9-Nov-16,12.76,12.76,12.67,12.68,29124
8-Nov-16,12.85,12.92,12.85,12.89,21531
7-Nov-16,12.87,12.89,12.82,12.88,48045
4-Nov-16,12.93,12.97,12.90,12.91,11998
3-Nov-16,12.84,12.96,12.84,12.96,23216
2-Nov-16,12.92,12.94,12.88,12.93,13513
1-Nov-16,12.81,12.87,12.76,12.86,28043
31-Oct-16,12.80,12.86,12.76,12.78,34042
28-Oct-16,12.81,12.89,12.78,12.80,47705
27-Oct-16,12.95,12.97,12.85,12.90,33947
26-Oct-16,13.09,13.10,12.96,12.98,40939
25-Oct-16,13.10,13.14,13.04,13.05,36874
24-Oct-16,13.15,13.16,13.04,13.04,24665
21-Oct-16,13.06,13.07,13.01,13.07,50021
20-Oct-16,13.05,13.13,12.93,12.99,51013
19-Oct-16,12.94,13.02,12.90,12.97,68066
18-Oct-16,12.82,12.90,12.75,12.89,33416
17-Oct-16,13.00,13.03,12.78,12.78,76230
14-Oct-16,13.03,13.08,12.96,12.99,59185
13-Oct-16,13.24,13.24,13.04,13.07,60484
12-Oct-16,13.28,13.28,13.17,13.17,38751
11-Oct-16,13.37,13.37,13.28,13.31,29548
10-Oct-16,13.42,13.45,13.36,13.38,40830
7-Oct-16,13.42,13.44,13.37,13.41,20455
6-Oct-16,13.46,13.46,13.34,13.42,36642
5-Oct-16,13.53,13.53,13.43,13.44,29715
4-Oct-16,13.63,13.63,13.45,13.50,20460
3-Oct-16,13.61,13.62,13.54,13.61,38595
30-Sep-16,13.65,13.65,13.55,13.57,25792
29-Sep-16,13.71,13.71,13.59,13.63,25975
28-Sep-16,13.68,13.71,13.63,13.63,27179
27-Sep-16,13.67,13.67,13.61,13.63,18873
26-Sep-16,13.65,13.65,13.58,13.61,30519
23-Sep-16,13.60,13.61,13.54,13.56,26950
22-Sep-16,13.52,13.62,13.50,13.57,59711
21-Sep-16,13.54,13.54,13.45,13.47,32405
20-Sep-16,13.60,13.60,13.45,13.47,44827
19-Sep-16,13.49,13.59,13.47,13.56,40346
16-Sep-16,13.51,13.55,13.42,13.49,27199
15-Sep-16,13.49,13.56,13.43,13.43,42799
14-Sep-16,13.50,13.55,13.46,13.49,9263
13-Sep-16,13.55,13.55,13.44,13.49,39757
12-Sep-16,13.55,13.62,13.46,13.46,41821
9-Sep-16,13.73,13.74,13.53,13.57,80784
8-Sep-16,13.83,13.83,13.74,13.74,41742
7-Sep-16,13.80,13.84,13.77,13.80,40916
6-Sep-16,13.68,13.80,13.68,13.78,44374
2-Sep-16,13.75,13.75,13.66,13.69,46662
1-Sep-16,13.65,13.76,13.63,13.73,62352
31-Aug-16,13.87,13.87,13.68,13.69,69293
30-Aug-16,13.91,13.92,13.80,13.81,31311
29-Aug-16,13.87,13.94,13.81,13.94,66297
26-Aug-16,13.94,13.97,13.80,13.81,26961
25-Aug-16,14.01,14.01,13.88,13.88,21869
24-Aug-16,14.09,14.09,14.01,14.02,27902
23-Aug-16,14.03,14.08,13.98,14.08,22903
22-Aug-16,14.01,14.05,13.98,13.99,22897
19-Aug-16,13.94,13.98,13.92,13.98,22726
18-Aug-16,13.95,13.95,13.92,13.94,47692
17-Aug-16,13.96,13.96,13.90,13.91,16323
16-Aug-16,14.02,14.06,13.90,13.91,71082
15-Aug-16,14.07,14.10,14.01,14.01,15330
12-Aug-16,14.09,14.12,14.07,14.10,23166
11-Aug-16,14.09,14.10,14.08,14.09,14013
10-Aug-16,14.00,14.09,13.99,14.09,43564
9-Aug-16,14.00,14.06,14.00,14.06,18574
8-Aug-16,13.99,14.05,13.99,14.04,24677
5-Aug-16,14.08,14.12,13.99,14.02,32661
4-Aug-16,14.16,14.16,14.03,14.06,31226
3-Aug-16,14.07,14.15,14.07,14.13,32498
2-Aug-16,14.19,14.20,14.03,14.09,43482
1-Aug-16,14.27,14.28,14.20,14.23,34409
29-Jul-16,14.25,14.29,14.22,14.27,34523
28-Jul-16,14.22,14.22,14.15,14.20,43183
27-Jul-16,14.15,14.17,14.12,14.16,25813
26-Jul-16,14.16,14.17,14.11,14.12,37996
25-Jul-16,14.12,14.12,14.05,14.07,37576
22-Jul-16,14.10,14.10,14.05,14.05,27591
21-Jul-16,14.05,14.09,14.01,14.06,36481
20-Jul-16,14.02,14.04,13.97,14.01,38653
19-Jul-16,14.05,14.06,13.91,14.02,69265
18-Jul-16,13.91,14.02,13.91,14.01,50004
15-Jul-16,13.55,13.80,13.55,13.80,65255
14-Jul-16,13.92,13.92,13.57,13.61,136441
13-Jul-16,14.06,14.06,13.84,13.85,152897
12-Jul-16,14.44,14.44,14.05,14.05,142555
11-Jul-16,14.48,14.48,14.39,14.39,67671
8-Jul-16,14.49,14.49,14.42,14.45,36128
7-Jul-16,14.45,14.45,14.42,14.44,61011
6-Jul-16,14.48,14.48,14.40,14.41,25494
5-Jul-16,14.58,14.58,14.38,14.39,36809
1-Jul-16,14.54,14.69,14.50,14.52,63551
30-Jun-16,14.44,14.50,14.42,14.49,90924
29-Jun-16,14.34,14.39,14.32,14.39,103882
28-Jun-16,14.31,14.35,14.28,14.34,56494
27-Jun-16,14.28,14.30,14.25,14.29,43052
24-Jun-16,14.21,14.25,14.20,14.25,37369
23-Jun-16,14.19,14.21,14.12,14.14,72617
22-Jun-16,14.11,14.20,14.11,14.19,83958
21-Jun-16,14.08,14.12,14.06,14.12,137435
20-Jun-16,14.05,14.05,13.99,14.01,93137
17-Jun-16,14.04,14.07,13.99,13.99,53394
16-Jun-16,14.10,14.10,13.99,13.99,32992
15-Jun-16,14.04,14.04,13.96,13.97,71496
14-Jun-16,14.04,14.04,13.96,13.97,64092
13-Jun-16,14.03,14.05,13.95,13.96,20669
10-Jun-16,14.14,14.14,13.99,14.00,54776
9-Jun-16,14.07,14.14,14.03,14.05,81774
8-Jun-16,14.25,14.25,14.13,14.13,33088
7-Jun-16,14.20,14.26,14.15,14.19,27640
6-Jun-16,14.27,14.30,14.25,14.26,21682
3-Jun-16,14.29,14.29,14.20,14.27,21194
2-Jun-16,14.15,14.21,14.15,14.20,23892
1-Jun-16,14.15,14.18,14.05,14.18,46026
31-May-16,13.98,14.09,13.97,14.01,37698
27-May-16,14.05,14.05,13.99,14.02,17949
26-May-16,13.92,14.00,13.92,13.99,23614
25-May-16,13.92,13.96,13.90,13.94,47009
24-May-16,13.93,13.96,13.89,13.90,38090
23-May-16,13.85,13.98,13.85,13.88,33935
20-May-16,13.88,13.92,13.82,13.86,43527
19-May-16,14.10,14.15,13.76,13.86,97254
18-May-16,14.23,14.38,14.12,14.16,76212
17-May-16,14.17,14.22,14.14,14.17,29386
16-May-16,14.27,14.27,14.13,14.14,53542
13-May-16,14.21,14.25,14.19,14.24,55035
12-May-16,14.22,14.24,14.15,14.19,43669
11-May-16,14.26,14.26,14.15,14.17,55763
10-May-16,14.23,14.38,14.16,14.30,103619
9-May-16,14.20,14.24,14.15,14.15,38335
6-May-16,14.21,14.21,14.14,14.20,74095
5-May-16,14.15,14.18,14.12,14.17,35595
4-May-16,14.15,14.15,14.08,14.13,24342
3-May-16,14.04,14.15,14.04,14.14,32292
2-May-16,14.09,14.14,14.09,14.12,63865
29-Apr-16,13.99,14.12,13.94,14.12,56381
28-Apr-16,13.95,13.99,13.92,13.97,41761
27-Apr-16,13.95,13.97,13.92,13.93,40359
26-Apr-16,13.93,13.95,13.86,13.90,65508
25-Apr-16,13.94,13.97,13.87,13.89,37238
22-Apr-16,13.99,14.03,13.92,13.97,40082
21-Apr-16,13.93,13.98,13.92,13.98,61007
20-Apr-16,13.93,13.97,13.92,13.95,52418
19-Apr-16,13.93,13.93,13.85,13.93,54100
18-Apr-16,13.90,13.93,13.88,13.93,34371
15-Apr-16,13.85,13.87,13.76,13.83,32434
14-Apr-16,13.85,13.85,13.81,13.82,34953
13-Apr-16,13.80,13.83,13.76,13.83,66174
12-Apr-16,13.77,13.80,13.71,13.78,47085
11-Apr-16,13.84,13.84,13.71,13.71,36509
8-Apr-16,13.82,13.87,13.77,13.84,62213
7-Apr-16,13.82,13.91,13.71,13.83,56785
6-Apr-16,13.70,13.75,13.70,13.75,61301
5-Apr-16,13.67,13.70,13.63,13.69,43208
4-Apr-16,13.61,13.63,13.58,13.62,60001
1-Apr-16,13.55,13.59,13.55,13.59,67494
31-Mar-16,13.50,13.51,13.46,13.51,52415
30-Mar-16,13.43,13.47,13.38,13.44,53269
29-Mar-16,13.40,13.52,13.37,13.44,38339
28-Mar-16,13.35,13.39,13.32,13.38,54961
24-Mar-16,13.33,13.34,13.30,13.34,36485
23-Mar-16,13.30,13.33,13.28,13.31,31839
22-Mar-16,13.28,13.31,13.24,13.30,54539
21-Mar-16,13.28,13.30,13.24,13.24,57715
18-Mar-16,13.28,13.31,13.25,13.30,89253
17-Mar-16,13.22,13.26,13.20,13.25,40011
16-Mar-16,13.17,13.20,13.12,13.17,39034
15-Mar-16,13.21,13.21,13.12,13.13,43955
14-Mar-16,13.20,13.20,13.13,13.16,28633
11-Mar-16,13.11,13.23,13.11,13.15,39011
10-Mar-16,13.21,13.21,13.11,13.13,22240
9-Mar-16,13.18,13.22,13.16,13.20,33666
8-Mar-16,13.17,13.18,13.15,13.17,24327
7-Mar-16,13.19,13.19,13.10,13.13,114256
4-Mar-16,13.16,13.18,13.12,13.17,33499
