Date,Open,High,Low,Close,Volume
22-Nov-16,44.55,44.85,44.05,44.60,111711
21-Nov-16,45.00,45.09,44.35,44.55,83378
18-Nov-16,43.80,44.85,43.40,44.75,275934
17-Nov-16,43.80,44.10,43.45,43.65,111888
16-Nov-16,43.80,44.30,43.60,43.80,109883
15-Nov-16,42.95,43.95,42.95,43.80,68285
14-Nov-16,43.75,44.00,42.95,43.15,139499
11-Nov-16,42.35,44.10,42.25,43.30,136070
10-Nov-16,41.75,42.65,41.25,42.25,116817
9-Nov-16,40.50,41.50,40.05,41.45,100898
8-Nov-16,40.85,41.00,40.55,40.70,63280
7-Nov-16,40.70,41.00,40.50,40.85,80359
4-Nov-16,40.50,40.95,40.25,40.35,66559
3-Nov-16,40.65,41.25,40.20,40.45,109914
2-Nov-16,40.60,41.00,39.90,40.65,114408
1-Nov-16,41.35,41.60,40.45,40.50,181967
31-Oct-16,39.90,41.55,39.35,41.50,219551
28-Oct-16,38.00,40.25,37.81,39.90,293346
27-Oct-16,36.65,36.65,36.20,36.30,92536
26-Oct-16,35.80,36.45,35.80,36.35,101905
25-Oct-16,35.75,36.15,35.70,36.05,59285
24-Oct-16,35.55,36.00,35.25,35.85,97556
21-Oct-16,35.15,35.50,35.10,35.35,37094
20-Oct-16,35.30,35.65,35.20,35.45,46323
19-Oct-16,35.70,35.75,35.45,35.45,95604
18-Oct-16,35.45,36.10,35.25,35.65,119357
17-Oct-16,35.35,35.50,35.30,35.35,80428
14-Oct-16,35.35,35.50,35.25,35.40,69206
13-Oct-16,35.20,35.45,34.95,35.10,78621
12-Oct-16,35.25,35.60,34.90,35.35,83227
11-Oct-16,35.20,35.45,34.40,35.10,58008
10-Oct-16,35.30,35.65,35.00,35.45,51628
7-Oct-16,35.83,35.95,35.26,35.26,69719
6-Oct-16,35.85,36.00,35.53,35.95,89646
5-Oct-16,36.31,36.43,35.90,36.07,104517
4-Oct-16,36.75,37.04,36.15,36.31,85152
3-Oct-16,36.95,36.95,36.66,36.83,54650
30-Sep-16,36.85,37.02,36.62,36.87,96068
29-Sep-16,37.52,37.69,36.37,36.74,113464
28-Sep-16,36.94,37.85,36.94,37.48,281384
27-Sep-16,37.21,37.33,36.90,37.01,51804
26-Sep-16,36.90,37.38,36.67,37.20,60492
23-Sep-16,37.11,37.62,36.86,37.08,42704
22-Sep-16,36.91,37.28,36.71,37.27,277949
21-Sep-16,36.63,36.78,36.42,36.70,53037
20-Sep-16,36.67,36.67,36.35,36.39,46826
19-Sep-16,36.54,36.54,36.31,36.46,51778
16-Sep-16,36.50,36.61,35.97,36.52,105830
15-Sep-16,35.50,36.43,35.50,36.42,55981
14-Sep-16,35.26,35.55,35.04,35.48,42455
13-Sep-16,36.10,36.10,34.99,35.37,80180
12-Sep-16,35.72,36.32,35.05,36.30,63215
9-Sep-16,35.91,36.09,35.52,35.70,76598
8-Sep-16,36.14,36.40,35.84,36.22,53827
7-Sep-16,36.06,36.34,35.73,36.20,57775
