Date,Open,High,Low,Close,Volume
22-Nov-16,56.45,56.45,55.00,55.72,1018888
21-Nov-16,53.98,56.04,53.65,55.84,1446305
18-Nov-16,53.24,53.45,52.57,52.83,964199
17-Nov-16,54.65,55.03,53.12,53.20,832093
16-Nov-16,54.20,54.92,54.12,54.40,898582
15-Nov-16,53.63,54.69,52.72,54.66,1101578
14-Nov-16,53.05,54.05,52.56,53.78,1277341
11-Nov-16,54.11,54.41,52.45,53.05,752389
10-Nov-16,53.48,54.71,53.09,54.25,1168529
9-Nov-16,50.99,53.66,50.67,53.16,1093248
8-Nov-16,50.30,51.62,48.92,51.01,2128690
7-Nov-16,51.39,52.21,51.28,51.77,1078162
4-Nov-16,49.63,50.71,49.21,50.22,781368
3-Nov-16,50.38,50.97,49.77,49.84,752470
2-Nov-16,50.90,51.30,49.66,50.38,1019267
1-Nov-16,52.21,52.21,50.55,51.01,803090
31-Oct-16,51.55,51.98,51.40,51.79,606301
28-Oct-16,51.37,52.44,51.12,51.66,506202
27-Oct-16,51.61,51.68,50.96,51.24,610625
26-Oct-16,51.01,51.60,50.67,51.26,1132408
25-Oct-16,52.58,52.70,51.48,51.50,512804
24-Oct-16,52.63,52.94,52.28,52.49,580125
21-Oct-16,52.86,52.86,52.12,52.32,973264
20-Oct-16,52.89,53.66,52.89,53.22,787428
19-Oct-16,53.55,53.55,52.88,53.43,612810
18-Oct-16,53.80,54.08,53.27,53.30,595567
17-Oct-16,52.26,52.87,52.19,52.86,622522
14-Oct-16,53.34,53.87,52.34,52.35,598010
13-Oct-16,53.16,53.47,52.44,53.22,450560
12-Oct-16,54.42,54.63,53.71,53.72,1210225
11-Oct-16,54.50,54.77,54.03,54.54,1701892
10-Oct-16,54.61,56.18,54.61,54.82,840796
7-Oct-16,55.07,55.61,53.62,53.97,505036
6-Oct-16,53.68,55.28,53.68,54.84,1231801
5-Oct-16,52.87,54.29,52.63,53.84,1208776
4-Oct-16,53.20,53.44,52.09,52.25,930880
3-Oct-16,53.51,53.57,52.75,52.95,882863
30-Sep-16,53.38,53.99,53.12,53.50,1630754
29-Sep-16,51.54,53.10,51.24,52.74,1890647
28-Sep-16,50.69,51.47,49.70,51.38,1222569
27-Sep-16,49.28,50.44,49.01,50.41,930584
26-Sep-16,50.25,50.50,49.54,49.59,694359
23-Sep-16,50.58,51.93,50.18,50.30,1821589
22-Sep-16,51.02,51.10,49.97,50.67,1491260
21-Sep-16,49.79,50.49,48.98,50.38,1855596
20-Sep-16,50.70,50.87,49.24,49.32,1070851
19-Sep-16,50.69,51.19,50.21,50.58,672899
16-Sep-16,49.28,50.42,49.22,50.20,1123251
15-Sep-16,48.95,50.44,48.95,50.12,1331629
14-Sep-16,48.86,49.21,48.13,48.75,928982
13-Sep-16,49.82,50.09,48.30,48.74,1072244
12-Sep-16,50.22,50.76,49.36,50.44,948504
9-Sep-16,50.85,52.12,50.44,50.53,1269566
8-Sep-16,52.24,52.93,51.78,51.95,1220942
7-Sep-16,52.36,52.67,51.51,52.13,1104399
6-Sep-16,52.77,52.95,51.76,52.56,945178
2-Sep-16,51.97,52.69,51.90,52.59,1015375
1-Sep-16,51.91,52.15,50.90,51.59,796878
31-Aug-16,51.93,52.95,51.47,51.82,834902
30-Aug-16,51.44,52.49,51.16,52.36,1160450
29-Aug-16,50.95,51.58,50.15,51.27,772516
26-Aug-16,51.86,52.40,50.82,51.24,902704
25-Aug-16,50.66,51.55,50.66,51.54,880598
24-Aug-16,51.93,52.00,50.40,50.67,1078825
23-Aug-16,51.77,53.63,51.55,51.98,1586140
22-Aug-16,50.50,50.77,50.09,50.64,910405
19-Aug-16,49.58,51.07,49.51,50.91,763888
18-Aug-16,48.36,49.72,48.18,49.70,811701
17-Aug-16,48.50,48.83,47.55,48.18,1048529
16-Aug-16,49.66,49.68,48.73,48.74,840271
15-Aug-16,48.78,49.58,48.65,49.43,892609
12-Aug-16,48.72,49.60,48.19,48.42,982444
11-Aug-16,47.76,49.03,47.66,48.89,2324224
10-Aug-16,47.90,48.23,47.26,47.53,1362729
9-Aug-16,48.14,48.36,47.21,47.81,1320058
8-Aug-16,46.44,48.08,46.35,47.98,887706
5-Aug-16,46.05,46.75,45.77,46.30,920235
4-Aug-16,45.16,46.14,44.82,45.79,859271
3-Aug-16,43.75,45.42,43.51,45.35,596549
2-Aug-16,45.05,45.27,43.64,43.92,752471
1-Aug-16,45.55,45.73,44.58,44.99,871218
29-Jul-16,46.38,46.38,44.08,45.74,1345394
28-Jul-16,45.87,46.76,45.56,46.65,1100085
27-Jul-16,45.84,46.06,45.27,45.77,720754
26-Jul-16,45.52,46.08,45.01,45.75,634620
25-Jul-16,45.12,45.45,44.65,45.43,741571
22-Jul-16,45.09,45.84,44.86,45.36,1436892
21-Jul-16,46.34,47.82,46.34,46.60,1214989
20-Jul-16,44.99,46.53,44.80,46.50,869788
19-Jul-16,44.97,45.11,44.64,45.08,418018
18-Jul-16,44.88,45.24,44.28,45.16,773980
15-Jul-16,45.46,45.54,45.08,45.30,812297
14-Jul-16,45.53,45.70,45.02,45.39,751518
13-Jul-16,44.72,45.19,44.55,45.15,931279
12-Jul-16,44.22,44.92,44.11,44.65,784486
11-Jul-16,43.76,44.37,43.37,43.64,966793
8-Jul-16,42.56,43.73,42.56,43.49,626249
7-Jul-16,41.55,42.19,41.15,41.83,891024
6-Jul-16,40.66,41.29,40.25,41.21,985193
5-Jul-16,42.70,43.02,40.92,41.46,1008857
1-Jul-16,42.84,44.12,42.80,43.35,947407
