Date,Open,High,Low,Close,Volume
22-Nov-16,14.34,14.45,13.83,14.26,109335
21-Nov-16,14.32,14.50,14.19,14.40,112166
18-Nov-16,14.20,14.40,14.20,14.33,4629
17-Nov-16,14.23,14.56,14.09,14.12,29644
16-Nov-16,14.08,14.46,14.03,14.24,50347
15-Nov-16,14.12,14.28,14.00,14.00,21145
14-Nov-16,14.21,14.29,14.10,14.21,10741
11-Nov-16,14.36,14.56,14.02,14.20,14196
10-Nov-16,13.90,14.28,13.86,14.21,9641
9-Nov-16,14.40,14.40,13.98,14.03,72491
8-Nov-16,14.61,14.62,14.30,14.32,16967
7-Nov-16,14.66,14.82,14.22,14.40,33313
4-Nov-16,14.18,14.81,14.04,14.45,75664
3-Nov-16,14.27,14.27,14.00,14.15,20562
2-Nov-16,14.60,14.79,13.70,14.07,144010
1-Nov-16,14.78,15.01,14.51,14.60,63044
31-Oct-16,14.83,14.99,14.70,14.71,14120
28-Oct-16,15.45,15.45,14.69,14.69,36251
27-Oct-16,15.48,15.48,14.81,15.02,34106
26-Oct-16,15.34,15.67,15.20,15.50,11616
25-Oct-16,15.00,15.41,15.00,15.35,9682
24-Oct-16,15.03,15.38,14.58,14.96,110475
21-Oct-16,14.86,15.40,14.86,15.20,14800
20-Oct-16,14.91,15.42,14.84,15.01,24360
19-Oct-16,14.80,15.36,14.47,15.07,40453
18-Oct-16,14.80,15.01,14.57,14.57,24815
17-Oct-16,14.54,15.12,14.44,14.60,81246
14-Oct-16,15.00,15.27,14.39,14.39,90890
13-Oct-16,14.55,15.10,14.50,15.00,7183
12-Oct-16,15.23,15.48,14.69,14.79,22951
11-Oct-16,15.51,15.52,15.09,15.19,6452
10-Oct-16,15.32,15.78,15.32,15.53,17491
7-Oct-16,15.71,16.00,15.59,15.67,33748
6-Oct-16,15.67,15.89,15.49,15.73,17055
5-Oct-16,15.07,15.84,15.07,15.76,15352
4-Oct-16,15.20,15.20,14.90,14.95,25989
3-Oct-16,15.00,15.29,15.00,15.13,8756
30-Sep-16,14.63,15.08,14.63,15.00,60502
29-Sep-16,14.55,14.95,14.38,14.92,67093
28-Sep-16,14.54,14.70,14.54,14.64,33543
27-Sep-16,14.77,14.93,14.46,14.64,39201
