Date,Open,High,Low,Close,Volume
22-Nov-16,18.60,18.68,18.48,18.59,52900
21-Nov-16,18.29,18.62,18.27,18.47,99133
18-Nov-16,18.21,18.47,18.05,18.29,89247
17-Nov-16,18.01,18.26,18.01,18.16,74992
16-Nov-16,17.51,18.06,17.51,17.98,98083
15-Nov-16,17.35,17.68,17.26,17.58,44515
14-Nov-16,17.68,17.68,17.29,17.41,30960
11-Nov-16,17.43,17.65,17.36,17.57,23860
10-Nov-16,17.47,17.56,17.26,17.42,39026
9-Nov-16,17.10,17.41,17.09,17.41,19280
8-Nov-16,17.22,17.44,17.10,17.27,40476
7-Nov-16,17.39,17.48,17.24,17.41,43282
4-Nov-16,17.31,17.40,16.87,17.17,34167
3-Nov-16,17.51,17.51,17.28,17.28,28307
2-Nov-16,17.66,17.74,17.38,17.56,115339
1-Nov-16,17.76,17.76,17.50,17.66,52671
31-Oct-16,17.96,18.10,17.61,17.81,40366
28-Oct-16,18.10,18.12,17.90,17.91,28936
27-Oct-16,18.19,18.19,18.03,18.05,16068
26-Oct-16,18.14,18.18,18.05,18.13,22675
25-Oct-16,18.20,18.32,18.03,18.12,68179
24-Oct-16,18.28,18.33,18.15,18.22,27307
21-Oct-16,18.11,18.18,18.04,18.15,19954
20-Oct-16,18.08,18.10,17.91,18.08,37229
19-Oct-16,18.04,18.14,18.01,18.02,33823
18-Oct-16,18.09,18.09,17.85,17.97,36303
17-Oct-16,18.15,18.20,17.74,17.90,54396
14-Oct-16,18.34,18.40,18.07,18.12,44186
13-Oct-16,18.24,18.34,18.12,18.21,36227
12-Oct-16,18.49,18.49,18.20,18.27,38721
11-Oct-16,18.72,18.72,18.38,18.45,38811
10-Oct-16,18.91,18.92,18.80,18.84,29715
7-Oct-16,18.84,18.86,18.68,18.80,18878
6-Oct-16,18.87,18.87,18.65,18.76,15753
5-Oct-16,18.97,18.97,18.80,18.82,15371
4-Oct-16,19.03,19.07,18.80,18.85,77722
3-Oct-16,18.99,19.08,18.85,18.95,14946
30-Sep-16,18.87,19.06,18.73,19.03,15529
29-Sep-16,19.08,19.08,18.65,18.83,30005
28-Sep-16,18.98,19.03,18.91,19.01,35603
27-Sep-16,18.92,19.01,18.67,18.95,28915
26-Sep-16,18.95,19.05,18.68,18.87,51462
23-Sep-16,18.96,19.02,18.77,18.97,33265
22-Sep-16,19.08,19.08,18.77,18.90,37132
21-Sep-16,18.83,18.97,18.65,18.93,78897
20-Sep-16,18.87,18.87,18.60,18.71,22641
19-Sep-16,18.97,19.04,18.64,18.71,50355
16-Sep-16,18.63,18.93,18.49,18.90,70498
15-Sep-16,18.58,18.73,18.45,18.59,26962
14-Sep-16,18.59,18.65,18.39,18.53,23593
13-Sep-16,18.71,18.78,18.40,18.54,44408
12-Sep-16,18.54,18.83,18.40,18.77,41928
9-Sep-16,19.18,19.22,18.60,18.66,116716
8-Sep-16,19.21,19.28,19.05,19.21,89800
7-Sep-16,19.32,19.32,19.15,19.30,84778
6-Sep-16,19.23,19.31,19.22,19.31,36771
2-Sep-16,19.14,19.22,19.12,19.22,35952
1-Sep-16,19.05,19.11,18.91,19.09,34282
31-Aug-16,19.02,19.03,18.83,18.99,33973
30-Aug-16,19.05,19.08,18.95,19.03,42561
29-Aug-16,18.99,19.09,18.98,19.06,28916
26-Aug-16,18.93,19.16,18.76,18.86,51466
25-Aug-16,18.97,19.00,18.89,18.98,23493
24-Aug-16,19.15,19.17,18.98,18.98,26448
23-Aug-16,19.08,19.23,19.04,19.05,27261
22-Aug-16,18.97,18.99,18.88,18.99,28184
19-Aug-16,19.01,19.01,18.78,18.93,45633
18-Aug-16,19.02,19.04,18.86,18.98,49235
17-Aug-16,19.03,19.07,18.90,18.92,19638
16-Aug-16,19.05,19.08,18.90,18.98,53192
15-Aug-16,19.13,19.15,18.94,19.04,28258
12-Aug-16,19.29,19.29,18.95,19.03,54238
11-Aug-16,19.27,19.34,19.20,19.29,42416
10-Aug-16,19.32,19.34,18.97,19.18,86270
9-Aug-16,19.27,19.31,18.93,19.23,42967
8-Aug-16,19.17,19.31,19.13,19.25,40023
5-Aug-16,19.13,19.24,19.02,19.17,30878
4-Aug-16,18.93,19.03,18.89,19.02,25010
3-Aug-16,18.79,18.88,18.65,18.88,31431
2-Aug-16,19.02,19.02,18.61,18.74,71995
1-Aug-16,19.14,19.14,18.77,18.97,57463
29-Jul-16,19.20,19.22,18.93,18.98,49413
28-Jul-16,19.12,19.17,19.06,19.16,29273
27-Jul-16,19.05,19.19,18.94,19.05,51868
26-Jul-16,18.84,18.99,18.76,18.99,67180
25-Jul-16,18.44,18.79,18.44,18.76,110657
22-Jul-16,18.52,18.55,18.39,18.53,35273
21-Jul-16,18.46,18.53,18.37,18.43,23973
