Date,Open,High,Low,Close,Volume
22-Nov-16,35.03,35.35,34.77,34.84,872760
21-Nov-16,34.85,35.06,34.67,34.69,555640
18-Nov-16,34.84,34.98,34.57,34.74,795801
17-Nov-16,34.60,34.98,34.45,34.91,1004032
16-Nov-16,34.71,34.84,34.47,34.57,1182554
15-Nov-16,34.55,35.14,34.13,34.93,1186949
14-Nov-16,34.56,35.16,34.38,34.79,1236930
11-Nov-16,33.89,34.40,33.55,34.35,1051470
10-Nov-16,33.16,34.23,33.12,34.03,1479263
9-Nov-16,32.40,33.15,32.25,32.83,1511530
8-Nov-16,32.06,32.94,31.94,32.62,1446584
7-Nov-16,32.00,32.31,31.73,32.10,1958748
4-Nov-16,30.53,32.06,30.38,31.80,2511180
3-Nov-16,29.63,29.87,29.37,29.42,942914
2-Nov-16,29.62,29.90,29.59,29.66,824829
1-Nov-16,29.88,29.96,29.45,29.78,964639
31-Oct-16,29.81,30.02,29.72,29.89,735190
28-Oct-16,30.08,30.15,29.60,29.76,565961
27-Oct-16,30.26,30.32,29.78,30.00,694482
26-Oct-16,29.89,30.22,29.89,30.08,811328
25-Oct-16,30.02,30.20,29.81,30.09,559003
24-Oct-16,30.00,30.25,29.90,29.96,595322
21-Oct-16,29.80,30.06,29.64,29.97,1269848
20-Oct-16,29.66,30.02,29.63,30.00,966196
19-Oct-16,29.75,29.91,29.61,29.80,1080643
18-Oct-16,29.35,29.67,29.21,29.66,1124236
17-Oct-16,28.58,29.14,28.56,29.07,879561
14-Oct-16,28.76,28.98,28.62,28.67,760740
13-Oct-16,28.59,28.77,28.11,28.57,697969
12-Oct-16,28.34,28.88,28.30,28.85,616593
11-Oct-16,28.39,28.58,28.14,28.30,417109
10-Oct-16,28.59,28.72,28.52,28.53,308050
7-Oct-16,28.42,28.60,28.32,28.52,496542
6-Oct-16,28.22,28.43,28.03,28.42,522433
5-Oct-16,27.99,28.43,27.87,28.18,734018
4-Oct-16,27.73,27.87,27.42,27.84,600653
3-Oct-16,27.70,27.90,27.49,27.61,872841
30-Sep-16,27.56,27.82,27.30,27.75,573307
29-Sep-16,27.93,28.02,27.43,27.50,1191545
28-Sep-16,26.72,27.08,26.57,27.04,415243
27-Sep-16,26.40,26.73,26.37,26.55,697351
26-Sep-16,27.10,27.24,26.45,26.45,669913
23-Sep-16,27.66,27.76,27.27,27.28,398870
22-Sep-16,27.87,27.97,27.61,27.76,378830
21-Sep-16,27.10,27.71,27.09,27.70,619337
20-Sep-16,27.39,27.54,27.09,27.14,436366
19-Sep-16,27.27,27.51,27.11,27.29,318957
16-Sep-16,27.36,27.36,27.06,27.06,777315
15-Sep-16,27.17,27.67,27.14,27.56,530911
14-Sep-16,27.41,27.58,27.24,27.25,622971
13-Sep-16,27.53,27.59,27.27,27.43,701876
12-Sep-16,27.44,27.87,27.23,27.77,698272
9-Sep-16,27.75,28.00,27.70,27.80,892558
8-Sep-16,27.89,28.07,27.69,28.00,912480
7-Sep-16,27.44,27.93,27.44,27.93,888275
6-Sep-16,27.76,27.76,27.27,27.49,662976
2-Sep-16,27.73,27.76,27.51,27.63,407261
1-Sep-16,27.89,27.89,27.34,27.59,484081
31-Aug-16,27.65,27.81,27.42,27.77,869156
30-Aug-16,27.30,27.65,27.24,27.65,673958
29-Aug-16,27.24,27.54,27.11,27.35,642956
26-Aug-16,27.40,27.45,27.09,27.28,724162
25-Aug-16,27.17,27.38,27.12,27.33,431393
24-Aug-16,27.41,27.46,27.14,27.17,483664
23-Aug-16,27.37,27.52,27.26,27.35,356967
22-Aug-16,27.39,27.44,27.10,27.23,403784
19-Aug-16,27.28,27.48,27.24,27.46,432838
18-Aug-16,27.48,27.55,27.27,27.43,536514
17-Aug-16,27.44,27.59,27.24,27.40,534922
16-Aug-16,27.27,27.51,27.27,27.46,572404
15-Aug-16,27.07,27.45,27.07,27.40,268916
12-Aug-16,27.24,27.42,27.12,27.16,465857
11-Aug-16,27.74,27.75,27.32,27.35,802163
10-Aug-16,27.66,27.75,27.50,27.60,610372
9-Aug-16,27.56,27.82,27.27,27.67,460482
8-Aug-16,27.64,27.79,27.54,27.60,641126
5-Aug-16,27.44,27.71,27.41,27.60,664152
4-Aug-16,26.76,27.60,26.70,27.21,1136185
3-Aug-16,26.59,26.85,26.51,26.83,1375003
2-Aug-16,26.81,26.89,26.44,26.50,624711
1-Aug-16,26.89,27.00,26.68,26.79,675440
29-Jul-16,26.72,26.96,26.65,26.79,621353
28-Jul-16,26.63,26.95,26.51,26.87,736791
27-Jul-16,26.70,26.82,26.58,26.67,470937
26-Jul-16,26.70,26.93,26.62,26.69,615040
25-Jul-16,26.61,26.90,26.34,26.69,762920
22-Jul-16,26.45,26.68,26.39,26.62,460219
21-Jul-16,26.31,26.36,26.11,26.35,577916
20-Jul-16,26.29,26.42,26.15,26.29,526571
19-Jul-16,26.08,26.30,26.00,26.19,513524
18-Jul-16,25.95,26.14,25.87,26.09,319775
15-Jul-16,25.99,26.04,25.80,26.00,511840
14-Jul-16,26.04,26.16,25.73,25.86,1649414
13-Jul-16,26.00,26.10,25.50,25.81,2124372
12-Jul-16,26.34,26.44,25.98,26.02,717174
11-Jul-16,25.64,26.17,25.63,26.04,1202698
8-Jul-16,25.22,25.56,25.14,25.41,1143161
7-Jul-16,25.01,25.30,24.70,24.91,1192562
6-Jul-16,25.07,25.25,24.69,24.90,1355458
5-Jul-16,25.42,25.50,25.02,25.16,811585
1-Jul-16,25.36,25.78,25.36,25.72,1049961
30-Jun-16,24.81,25.37,24.66,25.37,1249092
