Date,Open,High,Low,Close,Volume
22-Nov-16,18.05,18.20,18.00,18.10,48928
21-Nov-16,17.50,18.40,17.50,18.12,76833
18-Nov-16,16.68,18.10,16.50,17.50,99113
17-Nov-16,16.80,17.15,16.50,16.85,25237
16-Nov-16,16.75,16.75,16.40,16.55,15134
15-Nov-16,16.80,16.96,16.65,16.75,29606
14-Nov-16,16.75,16.95,16.75,16.90,52361
11-Nov-16,16.70,17.20,16.25,16.90,32039
10-Nov-16,15.35,17.25,15.35,16.85,131183
9-Nov-16,14.90,15.55,14.90,15.40,80548
8-Nov-16,15.15,15.50,15.00,15.35,16704
7-Nov-16,15.65,15.98,15.05,15.35,74354
4-Nov-16,15.60,15.95,15.05,15.50,80430
3-Nov-16,15.25,15.73,15.00,15.70,49091
2-Nov-16,16.30,16.30,14.75,15.15,87227
1-Nov-16,16.70,16.84,16.10,16.15,41257
31-Oct-16,17.00,17.06,16.20,16.75,96720
28-Oct-16,17.15,17.20,16.75,17.00,19603
27-Oct-16,16.85,17.30,16.50,17.20,35262
26-Oct-16,16.90,17.45,16.75,16.75,45604
25-Oct-16,16.95,17.30,16.85,17.15,44372
24-Oct-16,17.15,17.30,16.35,17.02,82205
21-Oct-16,16.95,17.40,16.90,17.10,9036
20-Oct-16,17.35,17.52,16.80,17.10,48069
19-Oct-16,17.95,18.15,16.85,17.50,82392
18-Oct-16,17.90,18.00,17.55,17.90,20012
17-Oct-16,18.25,18.25,17.50,17.65,24492
14-Oct-16,18.95,18.95,18.00,18.00,21231
13-Oct-16,18.67,18.95,18.08,18.95,29484
12-Oct-16,18.65,18.82,18.22,18.65,11294
11-Oct-16,18.51,19.04,18.09,18.55,23234
10-Oct-16,18.35,18.55,18.17,18.55,16173
7-Oct-16,18.85,19.00,17.91,18.36,81839
6-Oct-16,18.34,19.08,18.06,18.99,38897
5-Oct-16,18.07,18.52,18.05,18.52,12262
4-Oct-16,18.10,18.36,17.82,18.06,28378
3-Oct-16,17.50,18.20,17.24,18.02,27370
30-Sep-16,18.55,18.92,17.38,17.41,75572
29-Sep-16,18.90,19.54,18.06,18.65,72133
28-Sep-16,18.70,18.98,18.45,18.95,38149
27-Sep-16,18.81,18.99,18.36,18.60,20792
26-Sep-16,18.50,18.87,18.50,18.87,23148
23-Sep-16,18.69,18.89,18.39,18.67,8901
22-Sep-16,18.42,18.79,18.36,18.60,22423
21-Sep-16,19.15,19.15,18.10,18.42,24248
20-Sep-16,19.05,19.20,18.78,19.20,21454
19-Sep-16,18.82,19.00,18.59,19.00,20781
16-Sep-16,18.48,18.82,18.48,18.82,13514
15-Sep-16,18.71,18.74,18.30,18.60,14659
14-Sep-16,18.61,18.87,18.25,18.53,38908
13-Sep-16,18.29,18.93,18.25,18.75,43238
12-Sep-16,18.20,18.52,18.00,18.52,28306
9-Sep-16,18.13,18.24,18.00,18.24,24117
8-Sep-16,18.06,18.40,17.85,18.32,50555
7-Sep-16,18.29,18.55,18.00,18.10,37686
6-Sep-16,18.00,18.49,17.99,18.25,33808
