Date,Open,High,Low,Close,Volume
22-Nov-16,13.85,13.95,13.45,13.50,573689
21-Nov-16,13.65,13.92,13.42,13.70,601148
18-Nov-16,13.70,13.80,13.00,13.25,584003
17-Nov-16,13.10,13.95,13.10,13.65,581684
16-Nov-16,12.85,13.20,12.65,12.85,628531
15-Nov-16,12.65,13.20,12.65,12.85,631806
14-Nov-16,13.15,13.30,12.35,12.50,799982
11-Nov-16,12.20,13.00,12.00,12.90,482407
10-Nov-16,12.00,12.65,11.90,12.35,487667
9-Nov-16,11.10,12.00,10.90,12.00,443856
8-Nov-16,10.90,11.30,10.80,11.15,288731
7-Nov-16,11.15,11.40,11.00,11.10,404055
4-Nov-16,11.00,11.15,10.80,10.95,355061
3-Nov-16,11.30,11.45,10.95,11.00,256701
2-Nov-16,11.80,11.90,11.10,11.20,350782
1-Nov-16,11.95,12.35,11.45,12.00,484586
31-Oct-16,11.35,11.75,11.25,11.60,585253
28-Oct-16,11.60,11.85,11.25,11.40,278746
27-Oct-16,12.05,12.20,11.65,11.65,268893
26-Oct-16,12.00,12.38,11.80,11.90,307898
25-Oct-16,12.45,12.65,12.10,12.25,261375
24-Oct-16,12.55,12.85,12.32,12.50,314110
21-Oct-16,12.45,12.90,12.40,12.50,354472
20-Oct-16,12.65,12.90,12.50,12.70,222798
19-Oct-16,12.75,13.20,12.65,12.85,483384
18-Oct-16,12.80,12.80,12.45,12.55,296239
17-Oct-16,12.45,12.70,12.15,12.50,245266
14-Oct-16,12.65,12.89,12.33,12.39,341965
13-Oct-16,12.64,13.15,12.54,12.59,336799
12-Oct-16,12.98,13.06,12.72,12.84,353064
11-Oct-16,13.15,13.20,12.83,13.07,348017
10-Oct-16,13.24,13.62,13.16,13.28,357586
7-Oct-16,13.23,13.39,12.89,12.95,326411
6-Oct-16,13.15,13.32,12.88,13.13,511948
5-Oct-16,13.03,13.32,12.86,13.11,485613
4-Oct-16,13.02,13.08,12.53,12.70,393375
3-Oct-16,13.06,13.13,12.63,13.03,599398
30-Sep-16,12.76,13.18,12.52,13.08,618429
29-Sep-16,12.61,12.97,12.34,12.56,608555
28-Sep-16,11.77,12.57,11.60,12.55,402462
27-Sep-16,11.76,11.76,11.22,11.57,455146
26-Sep-16,11.79,12.21,11.79,11.86,449740
23-Sep-16,12.19,12.32,11.56,11.69,495578
22-Sep-16,12.11,12.30,11.91,12.26,786542
21-Sep-16,11.28,11.76,11.26,11.75,469261
20-Sep-16,10.99,11.17,10.81,11.00,298570
19-Sep-16,11.40,11.69,10.91,11.01,367116
16-Sep-16,10.71,11.29,10.71,11.22,1155711
15-Sep-16,10.92,11.05,10.86,10.99,332989
14-Sep-16,10.68,11.12,10.59,10.84,444426
13-Sep-16,11.03,11.06,10.44,10.66,569645
12-Sep-16,10.89,11.44,10.85,11.36,507743
9-Sep-16,11.99,12.00,11.27,11.27,476691
8-Sep-16,12.12,12.30,11.97,12.27,501740
7-Sep-16,11.77,11.96,11.62,11.96,489453
6-Sep-16,11.59,11.86,11.41,11.77,361578
2-Sep-16,11.50,11.68,11.42,11.51,352091
1-Sep-16,10.91,11.27,10.79,11.21,517864
31-Aug-16,10.98,11.25,10.88,11.02,821693
30-Aug-16,11.63,11.77,11.03,11.15,1034961
29-Aug-16,11.54,11.84,11.44,11.63,410460
26-Aug-16,11.57,11.86,11.42,11.59,613862
25-Aug-16,11.51,11.72,11.28,11.50,517898
24-Aug-16,11.62,11.70,11.36,11.53,384057
23-Aug-16,11.68,11.98,11.61,11.77,649861
22-Aug-16,11.44,11.76,11.28,11.76,674504
19-Aug-16,11.83,11.85,11.57,11.79,504628
18-Aug-16,11.68,12.16,11.65,11.92,546206
17-Aug-16,11.44,11.77,11.34,11.62,684711
16-Aug-16,11.76,11.76,11.28,11.58,545433
15-Aug-16,11.32,11.78,11.32,11.75,458151
12-Aug-16,11.29,11.36,10.92,11.22,523351
11-Aug-16,11.10,11.49,10.88,11.25,912398
10-Aug-16,10.88,11.14,10.53,10.91,818741
9-Aug-16,10.86,10.86,10.64,10.85,880340
8-Aug-16,10.64,10.93,10.58,10.75,924293
5-Aug-16,9.82,11.14,9.79,10.48,1532029
4-Aug-16,9.03,10.01,8.94,9.44,921372
3-Aug-16,8.68,8.99,8.52,8.99,469445
2-Aug-16,8.59,8.87,8.28,8.57,653333
1-Aug-16,8.72,8.82,8.31,8.41,733078
29-Jul-16,8.69,8.98,8.42,8.91,915785
28-Jul-16,9.05,9.28,8.79,8.82,560882
27-Jul-16,9.35,9.65,8.82,9.05,577614
26-Jul-16,9.16,9.54,9.13,9.37,407504
25-Jul-16,9.35,9.43,9.11,9.21,354626
22-Jul-16,9.54,9.54,9.25,9.44,397763
21-Jul-16,9.67,10.04,9.47,9.53,574616
20-Jul-16,9.45,9.86,9.29,9.69,418406
19-Jul-16,9.90,9.95,9.59,9.61,470191
18-Jul-16,9.67,9.95,9.47,9.94,376423
15-Jul-16,10.17,10.17,9.73,9.84,517949
14-Jul-16,10.01,10.17,9.88,9.96,666911
13-Jul-16,10.57,10.69,9.67,9.79,902141
12-Jul-16,10.35,10.95,10.32,10.66,786020
11-Jul-16,10.13,10.24,9.84,9.87,442259
8-Jul-16,9.67,10.14,9.62,9.99,532382
7-Jul-16,9.92,10.16,9.29,9.43,817031
6-Jul-16,9.18,9.73,9.07,9.70,980030
5-Jul-16,9.67,9.94,9.09,9.31,560065
1-Jul-16,9.38,10.08,9.38,10.07,632150
30-Jun-16,9.25,9.46,9.07,9.42,1018505
29-Jun-16,9.03,9.46,8.88,9.30,630496
28-Jun-16,8.34,8.84,8.29,8.83,894961
27-Jun-16,8.38,8.66,7.92,8.02,961954
24-Jun-16,8.43,8.77,8.28,8.58,1246696
23-Jun-16,8.83,9.13,8.81,9.11,1041311
22-Jun-16,8.58,8.88,8.52,8.62,853678
21-Jun-16,8.51,8.82,8.36,8.75,490816
20-Jun-16,8.56,8.78,8.34,8.58,550598
17-Jun-16,8.02,8.56,8.02,8.32,1417879
16-Jun-16,8.11,8.11,7.57,7.93,600711
15-Jun-16,8.16,8.60,8.06,8.29,714999
14-Jun-16,8.32,8.56,7.94,8.23,435282
13-Jun-16,8.15,8.57,8.14,8.39,752513
10-Jun-16,8.44,8.63,8.28,8.34,650607
9-Jun-16,8.65,8.84,8.52,8.69,602272
8-Jun-16,8.94,9.07,8.68,8.87,535359
7-Jun-16,8.69,8.85,8.54,8.82,756566
6-Jun-16,7.95,8.62,7.86,8.62,773131
3-Jun-16,7.65,7.92,7.65,7.82,727857
2-Jun-16,7.42,7.68,7.26,7.67,863128
1-Jun-16,7.41,7.71,7.08,7.63,702953
31-May-16,7.36,7.77,7.32,7.63,1141277
27-May-16,7.13,7.35,7.07,7.34,464833
26-May-16,7.45,7.57,7.17,7.21,654054
25-May-16,6.99,7.34,6.95,7.30,756190
24-May-16,6.96,7.00,6.63,6.92,730873
23-May-16,6.79,6.96,6.50,6.90,922279
20-May-16,6.77,6.98,6.65,6.93,662509
19-May-16,6.67,6.92,6.49,6.74,537084
18-May-16,6.88,7.09,6.61,6.83,608031
17-May-16,6.81,7.22,6.81,6.92,735176
16-May-16,6.82,7.00,6.76,6.80,600486
13-May-16,6.85,7.03,6.55,6.56,511936
12-May-16,6.98,7.04,6.72,6.93,930882
11-May-16,6.83,7.12,6.48,6.80,859067
10-May-16,6.46,7.18,6.46,6.95,852860
9-May-16,7.24,7.29,6.41,6.49,784688
6-May-16,6.82,7.35,6.73,7.34,1036723
5-May-16,7.67,7.70,6.81,6.89,1296576
4-May-16,5.98,7.69,5.94,7.47,2833519
3-May-16,6.42,6.58,5.60,6.12,2504586
2-May-16,9.86,9.94,9.34,9.67,781933
29-Apr-16,9.53,10.13,9.49,9.85,631082
28-Apr-16,9.59,9.76,9.36,9.42,751013
27-Apr-16,9.26,9.82,9.18,9.59,603439
26-Apr-16,8.89,9.12,8.72,9.05,537298
25-Apr-16,9.09,9.18,8.63,8.80,599774
22-Apr-16,8.67,9.26,8.65,9.18,593920
21-Apr-16,8.54,8.76,8.44,8.52,546852
20-Apr-16,7.77,8.63,7.77,8.53,846458
19-Apr-16,7.87,7.97,7.62,7.88,916948
18-Apr-16,7.59,7.91,7.44,7.68,1021084
15-Apr-16,7.85,8.10,7.72,7.94,521574
14-Apr-16,8.10,8.12,7.79,7.90,517172
13-Apr-16,7.83,8.14,7.67,8.00,557662
12-Apr-16,7.48,7.93,7.37,7.80,751826
11-Apr-16,7.38,7.68,7.26,7.39,512466
8-Apr-16,7.29,7.72,7.18,7.29,684177
7-Apr-16,7.09,7.41,6.83,6.96,1171458
6-Apr-16,6.78,7.18,6.49,7.02,671408
5-Apr-16,6.64,6.81,6.37,6.64,877916
4-Apr-16,6.81,7.04,6.60,6.70,626778
1-Apr-16,7.65,7.68,6.77,6.84,1199170
31-Mar-16,7.48,8.18,7.35,8.00,1474099
30-Mar-16,7.39,7.67,7.13,7.55,943507
29-Mar-16,6.71,7.28,6.67,7.21,810283
28-Mar-16,7.06,7.32,6.71,6.99,601160
24-Mar-16,6.44,6.96,6.20,6.90,635491
23-Mar-16,6.82,7.01,6.66,6.69,501953
22-Mar-16,6.86,7.12,6.80,6.93,457321
21-Mar-16,6.66,7.15,6.66,7.02,771788
18-Mar-16,7.04,7.08,6.57,6.80,2780205
17-Mar-16,6.70,6.98,6.43,6.87,905892
16-Mar-16,6.11,6.81,6.06,6.62,1178077
15-Mar-16,6.09,6.09,5.80,6.02,374484
14-Mar-16,6.46,6.54,6.10,6.24,698285
11-Mar-16,5.80,6.78,5.76,6.64,877402
10-Mar-16,5.82,5.82,5.43,5.61,595142
9-Mar-16,5.82,6.18,5.62,5.92,442481
8-Mar-16,6.28,6.28,5.35,5.68,975421
7-Mar-16,6.16,6.50,6.08,6.34,1106157
4-Mar-16,5.64,6.13,5.61,6.09,1685802
3-Mar-16,5.25,5.62,5.25,5.56,1081118
2-Mar-16,4.50,5.29,4.47,5.29,1151235
1-Mar-16,4.03,4.70,4.03,4.55,1873679
29-Feb-16,4.00,4.10,3.82,3.99,1222789
26-Feb-16,3.73,4.14,3.70,3.99,1631788
25-Feb-16,4.75,4.77,3.40,3.73,1696928
24-Feb-16,3.81,4.08,3.58,4.06,1270696
23-Feb-16,4.19,4.33,3.88,3.89,849059
22-Feb-16,4.09,4.36,4.05,4.25,1021161
19-Feb-16,4.24,4.28,3.88,3.95,538010
18-Feb-16,4.43,4.55,4.16,4.31,660583
17-Feb-16,4.25,4.58,4.24,4.38,832801
16-Feb-16,4.34,4.34,4.05,4.19,480356
12-Feb-16,4.09,4.38,4.05,4.23,496533
11-Feb-16,4.17,4.27,3.91,4.01,562935
10-Feb-16,4.37,4.62,4.20,4.29,418246
9-Feb-16,4.68,4.73,4.21,4.36,431343
8-Feb-16,4.89,4.97,4.69,4.81,942131
5-Feb-16,4.89,5.48,4.82,5.07,1114379
4-Feb-16,5.19,5.76,5.10,5.19,1006918
3-Feb-16,5.11,5.27,4.83,5.18,620847
2-Feb-16,5.52,5.52,4.92,4.93,615419
1-Feb-16,5.83,6.09,5.58,5.74,727243
29-Jan-16,5.84,6.08,5.72,6.00,1103864
28-Jan-16,5.54,5.80,5.49,5.79,1234120
27-Jan-16,5.03,5.49,4.94,5.26,828748
26-Jan-16,4.99,5.07,4.75,5.07,1174602
25-Jan-16,5.40,5.60,4.85,4.85,699217
22-Jan-16,5.66,5.74,5.35,5.70,1598944
21-Jan-16,4.56,5.63,4.56,5.39,1017943
20-Jan-16,4.65,4.66,4.10,4.60,1646093
19-Jan-16,5.32,5.33,4.73,4.84,765997
15-Jan-16,5.25,5.36,5.04,5.29,740984
14-Jan-16,5.32,5.66,5.08,5.60,951991
13-Jan-16,5.89,6.03,5.22,5.25,794201
12-Jan-16,5.96,6.08,5.54,5.78,482149
11-Jan-16,6.13,6.15,5.70,5.82,643225
8-Jan-16,6.15,6.25,5.95,6.10,1080520
7-Jan-16,6.51,6.59,6.06,6.09,555493
6-Jan-16,7.10,7.10,6.60,6.68,789399
5-Jan-16,7.50,7.50,7.00,7.32,731377
4-Jan-16,7.45,7.62,7.29,7.46,746523
31-Dec-15,7.18,7.55,7.16,7.52,690994
30-Dec-15,7.29,7.52,7.15,7.21,519811
29-Dec-15,7.50,7.62,7.12,7.36,560044
28-Dec-15,7.77,7.77,7.30,7.34,1014843
24-Dec-15,8.02,8.08,7.76,7.77,354535
23-Dec-15,7.74,8.11,7.67,8.01,595257
22-Dec-15,7.35,7.68,7.28,7.52,1942182
21-Dec-15,7.23,7.47,7.14,7.30,872847
18-Dec-15,7.44,7.44,7.17,7.37,3252845
17-Dec-15,7.77,7.80,7.36,7.44,788612
16-Dec-15,7.49,7.82,7.43,7.75,643974
15-Dec-15,7.35,7.60,7.30,7.54,743217
14-Dec-15,7.53,7.64,7.21,7.28,776577
11-Dec-15,8.01,8.06,7.51,7.56,686859
10-Dec-15,8.26,8.60,8.21,8.32,696233
9-Dec-15,8.16,8.46,8.08,8.30,748107
8-Dec-15,8.26,8.30,7.94,8.12,793568
7-Dec-15,9.28,9.38,8.20,8.41,622782
4-Dec-15,9.92,10.23,9.50,9.53,667417
3-Dec-15,10.28,10.39,9.96,10.06,519102
2-Dec-15,10.78,10.78,10.07,10.19,613418
1-Dec-15,10.43,10.89,10.43,10.88,619232
30-Nov-15,10.75,10.80,10.45,10.57,606690
27-Nov-15,10.70,10.98,10.58,10.68,173908
25-Nov-15,10.75,11.15,10.65,10.91,540186
24-Nov-15,10.51,10.89,10.51,10.85,609321
23-Nov-15,10.37,10.75,10.36,10.48,581125
20-Nov-15,10.93,10.93,10.38,10.48,986269
19-Nov-15,11.04,11.08,10.80,10.87,573938
18-Nov-15,11.06,11.28,10.64,11.02,950301
17-Nov-15,11.44,11.44,10.91,11.00,619461
16-Nov-15,11.20,11.49,11.04,11.43,523581
13-Nov-15,11.24,11.36,10.90,11.19,777488
12-Nov-15,11.22,11.71,11.12,11.49,588671
11-Nov-15,11.62,11.76,11.23,11.58,506790
10-Nov-15,11.29,11.80,11.24,11.71,765053
9-Nov-15,11.93,12.35,11.10,11.34,1299393
6-Nov-15,11.85,12.18,11.64,11.87,893779
5-Nov-15,12.98,12.98,11.67,11.99,2427662
4-Nov-15,13.22,14.00,11.86,12.60,3119430
3-Nov-15,13.65,14.28,13.00,14.10,2295
2-Nov-15,21.53,22.76,21.50,22.52,338
30-Oct-15,21.20,21.98,20.42,21.74,962920
29-Oct-15,11.89,12.43,11.89,12.43,566
28-Oct-15,20.74,21.86,20.53,12.17,1584037
27-Oct-15,21.55,21.68,20.24,20.53,1277935
26-Oct-15,22.47,23.10,21.95,22.05,1003443
23-Oct-15,22.79,23.32,22.10,22.61,502665
22-Oct-15,22.63,23.51,22.31,22.94,599138
21-Oct-15,22.77,23.05,22.40,22.49,462402
20-Oct-15,22.35,23.39,22.35,22.87,714089
19-Oct-15,22.96,23.08,22.43,22.61,313774
16-Oct-15,24.04,24.05,22.79,23.33,645380
15-Oct-15,23.20,23.95,22.80,23.94,300790
14-Oct-15,22.85,23.57,22.73,23.34,385303
13-Oct-15,22.79,23.93,22.69,22.90,455829
12-Oct-15,23.94,24.12,22.75,23.03,482909
9-Oct-15,23.64,24.17,22.88,23.98,605258
8-Oct-15,22.71,23.90,22.22,23.54,1216336
7-Oct-15,23.35,23.92,21.38,22.79,1515575
6-Oct-15,22.83,24.05,22.42,23.04,2112527
5-Oct-15,19.61,20.81,19.60,20.66,773062
2-Oct-15,17.65,19.25,17.53,19.22,929789
1-Oct-15,18.33,18.62,17.81,17.87,922732
30-Sep-15,17.18,18.10,17.00,18.00,1875213
29-Sep-15,17.24,17.53,16.68,17.00,1269144
28-Sep-15,18.25,18.74,16.98,17.02,1658161
25-Sep-15,19.14,19.41,18.24,18.39,1564302
24-Sep-15,19.76,19.99,18.55,18.93,1904142
23-Sep-15,20.58,20.79,19.74,19.99,1082780
22-Sep-15,20.71,21.21,20.13,20.44,1247277
21-Sep-15,21.66,21.91,20.95,21.10,553352
18-Sep-15,21.75,21.86,21.14,21.43,997300
17-Sep-15,22.46,22.85,22.09,22.22,739835
16-Sep-15,22.15,23.37,21.56,22.64,898332
15-Sep-15,21.45,22.22,21.36,22.01,683195
14-Sep-15,20.98,21.35,20.65,21.30,542567
11-Sep-15,21.43,21.94,20.88,21.08,1054512
10-Sep-15,21.78,22.11,21.37,21.89,785523
9-Sep-15,22.20,23.12,21.60,21.78,843514
8-Sep-15,21.51,22.11,21.02,22.07,868772
4-Sep-15,21.30,21.66,21.10,21.28,501604
3-Sep-15,21.04,21.99,20.85,21.72,1836402
2-Sep-15,21.96,22.11,20.20,20.95,1577770
1-Sep-15,21.43,22.10,21.27,21.62,848800
31-Aug-15,20.95,22.46,20.48,22.32,1036624
28-Aug-15,19.59,21.25,19.59,21.25,728621
27-Aug-15,18.72,19.81,18.55,19.69,834177
26-Aug-15,18.13,18.57,17.73,18.48,807298
25-Aug-15,18.96,18.96,17.73,17.75,1061461
24-Aug-15,18.19,19.63,18.19,18.35,1350245
21-Aug-15,20.32,20.76,19.55,19.61,954411
20-Aug-15,22.16,22.50,20.96,21.00,450845
19-Aug-15,23.07,23.22,22.02,22.17,609399
18-Aug-15,23.25,23.54,23.00,23.29,401518
17-Aug-15,23.15,23.39,22.94,23.30,1187278
14-Aug-15,23.81,24.46,23.29,23.41,395682
13-Aug-15,24.51,24.51,23.76,23.88,713317
12-Aug-15,24.68,25.24,24.19,24.71,837222
11-Aug-15,25.55,25.55,24.29,24.75,537458
10-Aug-15,23.72,25.45,23.56,25.23,834433
7-Aug-15,24.99,25.75,23.46,23.72,970917
6-Aug-15,24.70,25.52,24.31,25.26,819646
5-Aug-15,25.45,25.65,24.73,24.97,1146675
4-Aug-15,24.30,25.61,24.25,25.29,1065255
3-Aug-15,24.50,24.55,23.72,24.07,1414680
31-Jul-15,24.97,25.34,24.60,24.79,792460
30-Jul-15,24.74,25.22,24.47,25.00,770774
29-Jul-15,24.26,25.70,24.24,24.82,1041072
28-Jul-15,24.05,24.75,23.65,24.42,1582284
27-Jul-15,24.25,24.71,23.59,23.79,1380554
24-Jul-15,27.19,27.36,24.51,24.71,2617291
23-Jul-15,27.93,28.34,27.06,27.71,849177
22-Jul-15,28.63,28.66,27.72,27.84,866812
21-Jul-15,29.21,30.01,28.82,28.94,492233
20-Jul-15,30.33,30.33,29.00,29.07,776042
17-Jul-15,30.65,30.86,29.73,30.36,658892
16-Jul-15,30.40,31.18,30.30,30.75,853826
15-Jul-15,30.89,31.13,29.63,30.03,860763
14-Jul-15,29.46,31.82,29.20,31.00,1866607
13-Jul-15,29.23,29.74,29.09,29.44,544220
10-Jul-15,30.17,30.38,29.22,29.28,721876
9-Jul-15,30.57,30.99,29.90,29.93,827138
8-Jul-15,30.89,31.15,29.68,29.91,592941
7-Jul-15,30.41,31.34,29.66,31.15,651455
6-Jul-15,30.70,31.02,30.22,30.55,810534
2-Jul-15,31.79,32.08,31.30,31.32,540900
1-Jul-15,32.68,32.94,31.36,31.58,786277
30-Jun-15,32.95,33.16,32.33,32.65,1054765
29-Jun-15,33.55,33.91,32.60,32.65,962422
26-Jun-15,33.77,34.31,33.53,34.02,1376925
25-Jun-15,34.11,34.22,33.72,33.83,633954
24-Jun-15,33.77,34.16,33.62,34.03,507667
23-Jun-15,33.49,34.05,33.32,33.94,593685
22-Jun-15,33.09,33.85,32.96,33.49,666084
19-Jun-15,33.84,34.05,32.98,33.14,1035156
18-Jun-15,34.63,34.67,33.63,33.95,973792
17-Jun-15,34.45,34.74,34.12,34.51,967837
16-Jun-15,33.65,34.27,33.58,34.05,759182
15-Jun-15,34.46,34.46,33.41,33.62,644405
12-Jun-15,33.82,34.42,33.65,34.06,338914
11-Jun-15,34.61,34.61,34.02,34.23,409515
10-Jun-15,34.53,34.93,34.09,34.61,619749
9-Jun-15,34.30,34.66,33.84,33.92,801450
8-Jun-15,33.74,34.35,33.71,33.98,585699
5-Jun-15,32.78,33.94,32.57,33.90,616704
4-Jun-15,33.28,33.30,32.84,32.98,531770
3-Jun-15,33.74,34.30,33.35,33.48,690766
2-Jun-15,33.68,34.45,33.43,33.86,952340
1-Jun-15,33.08,33.79,32.72,33.52,713181
29-May-15,33.00,33.52,32.68,33.06,1169972
28-May-15,32.71,33.18,32.33,32.94,1077856
27-May-15,31.93,32.46,31.44,32.37,617403
26-May-15,32.27,32.38,31.47,32.08,640735
22-May-15,32.60,33.09,32.23,32.61,565466
21-May-15,32.20,33.33,32.19,32.94,698318
20-May-15,31.51,32.22,31.18,31.98,681992
19-May-15,31.23,31.39,30.50,31.31,1005462
18-May-15,31.45,31.58,30.94,31.43,507870
15-May-15,31.01,31.46,30.14,31.42,1089311
14-May-15,32.11,32.38,31.00,31.17,761972
13-May-15,32.55,32.57,31.86,31.94,437511
12-May-15,32.00,32.82,31.84,32.26,579270
11-May-15,32.94,33.20,31.78,31.91,632719
8-May-15,32.11,33.23,31.32,32.92,927251
7-May-15,33.15,33.31,31.53,31.87,1079531
6-May-15,34.89,35.00,33.05,33.52,1113544
5-May-15,35.63,37.61,33.83,34.40,1249156
4-May-15,36.76,36.95,35.55,35.82,993418
1-May-15,37.00,37.48,36.27,36.79,757852
30-Apr-15,37.09,37.71,36.15,37.07,1033229
29-Apr-15,34.68,37.09,34.50,36.89,960390
28-Apr-15,34.46,35.03,34.22,34.85,641268
27-Apr-15,34.39,35.53,34.19,34.54,690983
24-Apr-15,34.66,34.70,33.94,34.16,415752
23-Apr-15,34.51,35.09,34.46,34.61,653358
22-Apr-15,34.33,34.81,34.03,34.40,345566
21-Apr-15,35.66,35.72,33.95,34.24,521099
20-Apr-15,35.01,36.47,35.01,35.36,728391
17-Apr-15,35.89,36.03,34.75,35.00,579372
16-Apr-15,36.13,36.74,35.51,36.10,625516
15-Apr-15,34.85,36.48,34.56,36.31,689766
14-Apr-15,34.26,34.90,34.14,34.57,696367
13-Apr-15,34.58,34.65,33.80,34.01,946947
10-Apr-15,34.84,34.96,34.18,34.29,508657
9-Apr-15,33.94,34.91,33.93,34.63,692535
8-Apr-15,34.28,34.71,33.72,33.80,692149
7-Apr-15,34.28,35.13,34.02,34.19,1028917
6-Apr-15,34.00,35.07,34.00,34.35,1038451
2-Apr-15,33.44,34.28,33.36,33.97,477705
1-Apr-15,33.66,34.41,33.44,33.60,626144
31-Mar-15,33.30,33.88,33.04,33.57,522178
30-Mar-15,33.17,34.23,33.14,33.60,801610
27-Mar-15,32.70,33.04,32.10,32.89,336004
26-Mar-15,33.53,34.16,32.55,32.74,418140
25-Mar-15,32.38,33.28,32.30,32.98,902247
24-Mar-15,31.89,32.13,31.19,32.11,477424
23-Mar-15,31.37,32.45,31.37,31.80,612881
20-Mar-15,30.93,31.65,30.74,31.41,877520
19-Mar-15,31.16,31.18,30.33,30.68,416058
18-Mar-15,29.37,31.80,29.03,31.42,805680
17-Mar-15,29.54,29.87,29.26,29.61,319917
16-Mar-15,29.80,29.88,29.27,29.64,456717
13-Mar-15,30.12,30.18,29.44,30.03,417522
12-Mar-15,30.95,31.01,29.93,30.40,583673
11-Mar-15,30.47,31.25,30.13,30.78,507749
10-Mar-15,30.54,30.67,29.94,30.38,594304
9-Mar-15,31.28,31.69,30.53,30.95,671181
6-Mar-15,32.01,32.44,31.24,31.38,599801
5-Mar-15,32.23,32.50,31.70,32.40,818764
4-Mar-15,32.19,32.31,31.55,31.93,703375
3-Mar-15,32.34,32.51,31.90,32.25,1117964
2-Mar-15,31.95,32.49,31.19,32.27,1170903
27-Feb-15,33.44,33.75,32.36,32.47,2195055
26-Feb-15,31.97,34.18,31.82,33.72,1968356
25-Feb-15,31.25,32.22,31.01,32.21,1375746
24-Feb-15,31.62,31.84,30.45,31.21,1476476
23-Feb-15,31.23,31.64,30.49,31.39,686135
20-Feb-15,32.24,32.35,31.41,31.62,619695
19-Feb-15,31.66,32.56,31.53,32.35,797732
18-Feb-15,31.80,32.34,31.76,32.29,473599
17-Feb-15,32.16,32.52,31.45,32.18,1406977
13-Feb-15,30.56,32.47,30.51,32.24,1494032
12-Feb-15,28.53,30.24,28.53,30.15,811649
11-Feb-15,28.25,28.51,27.86,28.12,756429
10-Feb-15,28.70,28.74,27.90,28.44,835490
9-Feb-15,28.84,29.24,28.62,28.69,1026912
6-Feb-15,29.28,29.46,28.49,28.81,810578
5-Feb-15,28.84,29.34,28.65,29.14,656566
4-Feb-15,28.81,28.97,28.15,28.67,1257604
3-Feb-15,29.05,30.04,28.91,29.29,1013148
2-Feb-15,27.44,28.63,27.12,28.58,921445
30-Jan-15,26.51,27.55,26.38,27.11,1915359
29-Jan-15,27.50,27.71,26.24,26.69,813492
28-Jan-15,28.10,28.25,27.24,27.37,596451
27-Jan-15,27.32,28.32,27.29,28.29,565564
26-Jan-15,27.29,27.74,27.21,27.50,926933
23-Jan-15,28.08,28.30,27.10,27.13,976441
22-Jan-15,28.93,29.59,28.12,28.19,912443
21-Jan-15,28.41,28.89,28.24,28.59,466440
20-Jan-15,28.43,28.45,27.69,28.18,454508
16-Jan-15,28.06,28.94,28.06,28.64,936447
15-Jan-15,29.10,29.10,27.92,27.97,566625
14-Jan-15,28.18,28.82,27.88,28.72,765469
13-Jan-15,29.23,29.50,28.19,28.56,925099
12-Jan-15,30.41,30.68,28.99,29.15,717367
9-Jan-15,31.49,31.81,30.69,30.78,519989
