Date,Open,High,Low,Close,Volume
22-Nov-16,253.11,253.91,248.61,253.63,444228
21-Nov-16,249.90,251.86,248.98,251.55,428961
18-Nov-16,251.13,252.34,246.92,248.96,407038
17-Nov-16,257.02,257.97,251.20,251.73,315352
16-Nov-16,257.27,261.43,254.43,256.53,607441
15-Nov-16,256.37,259.46,254.21,258.65,639295
14-Nov-16,254.00,257.35,252.53,256.18,692300
11-Nov-16,253.45,254.92,249.15,253.56,676129
10-Nov-16,242.44,258.33,242.44,254.94,1195500
9-Nov-16,228.07,244.74,228.07,241.65,944031
8-Nov-16,225.32,232.70,224.43,231.11,420099
7-Nov-16,231.27,233.00,225.61,226.65,472254
4-Nov-16,220.48,227.56,220.15,226.32,579085
3-Nov-16,218.16,220.55,216.89,219.23,376161
2-Nov-16,220.00,222.68,217.29,217.37,394514
1-Nov-16,223.17,224.88,219.67,220.60,765005
31-Oct-16,225.01,226.06,223.40,223.57,665517
28-Oct-16,225.89,228.38,222.51,223.10,585826
27-Oct-16,231.43,231.54,225.42,225.84,567274
26-Oct-16,233.32,233.98,229.22,231.34,380555
25-Oct-16,238.10,238.80,233.33,233.89,526147
24-Oct-16,240.56,242.48,237.88,239.76,655906
21-Oct-16,239.38,240.56,238.45,239.83,368778
20-Oct-16,242.69,243.20,241.47,242.15,254861
19-Oct-16,245.92,245.92,242.21,243.06,387441
18-Oct-16,245.26,246.87,242.65,246.48,360346
17-Oct-16,247.35,247.84,241.96,242.15,445917
14-Oct-16,246.58,250.85,246.58,248.02,540999
13-Oct-16,242.92,246.30,242.01,244.71,390271
12-Oct-16,240.01,245.10,238.69,244.65,460878
11-Oct-16,243.54,244.70,239.23,240.09,653268
10-Oct-16,240.93,243.81,240.78,243.79,556586
7-Oct-16,243.48,245.04,240.40,240.74,708371
6-Oct-16,240.98,245.77,239.24,243.97,916787
5-Oct-16,234.62,249.70,228.80,242.99,2595490
4-Oct-16,262.88,264.20,253.69,255.00,613377
3-Oct-16,264.60,267.08,262.25,263.52,272493
30-Sep-16,262.82,266.12,258.77,264.60,456851
29-Sep-16,262.27,263.88,259.42,260.41,208347
28-Sep-16,262.36,263.34,259.76,262.84,192921
27-Sep-16,259.26,263.40,258.27,262.07,243268
26-Sep-16,258.54,261.04,257.90,258.31,246265
23-Sep-16,260.26,261.24,256.38,259.75,331240
22-Sep-16,261.00,263.01,260.01,260.95,324995
21-Sep-16,254.12,259.60,252.27,258.92,426682
20-Sep-16,264.00,264.00,253.47,253.58,450054
19-Sep-16,261.57,265.64,261.57,262.73,247287
16-Sep-16,262.60,262.71,260.12,260.20,315283
15-Sep-16,259.14,265.16,257.16,264.34,327334
14-Sep-16,259.11,260.74,257.38,258.67,174341
13-Sep-16,259.92,260.62,254.31,259.42,284524
12-Sep-16,259.44,263.32,257.22,262.02,293862
9-Sep-16,269.01,269.38,260.08,261.40,493327
8-Sep-16,269.72,272.55,269.43,270.80,194652
7-Sep-16,271.34,271.52,268.50,270.50,245876
6-Sep-16,274.58,275.30,270.07,272.10,163753
2-Sep-16,275.87,276.69,273.56,274.00,252557
1-Sep-16,275.14,275.90,272.15,274.08,168776
31-Aug-16,276.03,278.21,271.90,275.12,214999
30-Aug-16,275.01,277.25,272.86,277.12,164471
29-Aug-16,273.43,275.81,273.43,274.77,269153
26-Aug-16,274.87,276.59,271.40,273.06,164880
25-Aug-16,273.85,276.44,272.74,273.71,220740
24-Aug-16,278.50,279.87,274.83,275.33,219556
23-Aug-16,278.40,280.89,278.40,279.15,154014
22-Aug-16,277.00,277.99,276.20,277.54,257550
19-Aug-16,276.72,279.05,275.02,277.56,168498
18-Aug-16,275.46,278.46,274.00,277.79,155805
17-Aug-16,275.91,275.91,271.85,275.28,213728
16-Aug-16,274.80,276.12,273.58,275.66,154185
15-Aug-16,273.95,276.41,273.23,276.00,171625
12-Aug-16,275.33,276.85,273.25,274.08,159334
11-Aug-16,273.78,276.16,272.63,275.14,247966
10-Aug-16,269.96,273.66,268.88,272.84,255231
9-Aug-16,269.36,271.34,268.02,270.04,165874
8-Aug-16,268.75,270.69,267.25,269.36,172809
5-Aug-16,265.00,268.15,263.64,267.69,186859
4-Aug-16,265.00,265.00,262.25,263.75,152307
3-Aug-16,259.59,265.95,259.50,264.50,212017
2-Aug-16,261.39,263.11,257.12,260.02,316438
1-Aug-16,262.43,263.16,260.14,262.09,150980
29-Jul-16,263.40,264.71,261.58,262.43,146217
28-Jul-16,261.64,264.42,260.12,263.65,148785
27-Jul-16,263.98,264.90,260.34,261.51,219636
26-Jul-16,262.34,263.00,261.13,262.82,198329
25-Jul-16,264.25,264.60,261.78,262.19,182101
22-Jul-16,264.01,265.35,262.01,264.96,138197
21-Jul-16,266.65,268.34,263.81,264.99,186064
20-Jul-16,267.89,269.05,265.14,267.82,256503
19-Jul-16,263.49,268.08,263.49,266.70,302815
18-Jul-16,266.13,266.60,263.53,263.69,242944
