Date,Open,High,Low,Close,Volume
22-Nov-16,28.85,29.13,28.57,28.79,160399
21-Nov-16,29.07,29.12,28.53,28.69,110932
18-Nov-16,28.42,28.90,28.40,28.88,98351
17-Nov-16,28.79,29.01,28.41,28.43,199532
16-Nov-16,28.36,29.06,28.35,28.93,130817
15-Nov-16,28.40,28.73,28.09,28.65,127950
14-Nov-16,28.89,29.49,28.35,28.48,207872
11-Nov-16,27.65,28.75,27.34,28.68,203884
10-Nov-16,27.66,28.51,27.66,28.07,223040
9-Nov-16,26.60,27.76,26.60,27.49,279161
8-Nov-16,27.39,27.90,27.03,27.59,87798
7-Nov-16,27.39,27.69,27.07,27.55,119239
4-Nov-16,26.63,26.86,26.53,26.78,121144
3-Nov-16,26.40,26.86,26.40,26.65,188637
2-Nov-16,26.03,26.34,25.90,26.27,238351
1-Nov-16,27.02,27.02,26.10,26.20,164562
31-Oct-16,27.11,27.30,26.94,26.97,132071
28-Oct-16,27.27,27.27,26.74,27.05,154994
27-Oct-16,26.86,27.34,26.86,27.20,142290
26-Oct-16,27.36,27.66,27.03,27.03,156781
25-Oct-16,27.72,28.08,27.56,27.64,173449
24-Oct-16,27.81,28.05,27.65,27.74,258261
21-Oct-16,26.85,27.69,26.75,27.50,361145
20-Oct-16,27.50,27.52,25.17,27.04,540827
19-Oct-16,28.79,29.55,28.74,29.24,185898
18-Oct-16,28.61,28.82,28.35,28.62,85177
17-Oct-16,28.14,28.35,28.14,28.21,54461
14-Oct-16,28.43,28.53,27.99,28.17,63371
13-Oct-16,28.30,28.30,27.87,28.14,63282
12-Oct-16,28.47,28.62,28.27,28.51,46599
11-Oct-16,28.66,28.93,28.31,28.44,92198
10-Oct-16,28.17,28.80,28.17,28.73,103785
7-Oct-16,28.30,28.33,27.90,28.04,58818
6-Oct-16,28.15,28.34,27.82,28.23,68767
5-Oct-16,28.04,28.39,27.90,28.12,89252
4-Oct-16,27.83,28.25,27.59,27.80,100179
3-Oct-16,28.05,28.18,27.78,27.84,70704
30-Sep-16,28.18,28.41,28.09,28.18,112445
29-Sep-16,28.36,28.69,27.89,27.90,74959
28-Sep-16,28.41,28.71,28.15,28.45,96116
27-Sep-16,27.60,28.30,27.52,28.30,88000
26-Sep-16,28.10,28.41,27.56,27.65,213186
23-Sep-16,28.64,28.64,28.34,28.39,91656
22-Sep-16,28.48,28.80,28.36,28.76,138351
21-Sep-16,28.30,28.54,28.02,28.16,101487
20-Sep-16,28.34,28.41,28.05,28.06,102446
19-Sep-16,28.67,29.02,28.08,28.13,128839
16-Sep-16,28.40,28.59,28.13,28.41,229283
15-Sep-16,28.31,28.65,28.07,28.49,82831
14-Sep-16,28.38,28.65,28.18,28.29,103668
13-Sep-16,28.76,28.76,28.07,28.26,244291
12-Sep-16,28.68,29.09,28.32,29.06,144944
9-Sep-16,28.87,29.11,28.65,28.67,86982
8-Sep-16,29.13,29.35,29.04,29.26,137941
7-Sep-16,28.85,29.34,28.82,29.15,130938
6-Sep-16,28.91,28.98,28.67,28.96,106794
2-Sep-16,28.79,28.96,28.62,28.88,101370
1-Sep-16,28.94,28.98,28.52,28.73,95017
31-Aug-16,28.90,28.99,28.58,28.89,117834
30-Aug-16,28.73,28.86,28.50,28.84,63624
29-Aug-16,28.69,28.90,28.51,28.62,91005
26-Aug-16,28.55,28.89,28.29,28.64,122768
25-Aug-16,28.29,28.75,28.20,28.67,121702
24-Aug-16,28.31,28.40,28.06,28.29,95333
23-Aug-16,27.86,28.29,27.86,28.26,128177
22-Aug-16,27.85,28.07,27.67,27.75,112759
19-Aug-16,28.02,28.19,27.90,28.01,125881
18-Aug-16,27.96,28.05,27.80,28.03,116560
17-Aug-16,27.80,28.07,27.74,27.89,111805
16-Aug-16,27.93,28.00,27.66,27.80,92262
15-Aug-16,28.01,28.10,27.84,27.95,99340
12-Aug-16,27.72,27.96,27.50,27.88,119525
11-Aug-16,27.78,28.16,27.70,27.88,90480
10-Aug-16,28.02,28.02,27.65,27.74,93995
9-Aug-16,27.91,28.02,27.84,27.93,58366
8-Aug-16,27.79,28.17,27.69,27.90,111699
5-Aug-16,27.14,27.84,27.13,27.71,133952
4-Aug-16,26.95,27.10,26.61,26.90,147294
3-Aug-16,26.54,27.12,26.54,26.98,93936
2-Aug-16,26.69,27.02,26.60,26.64,82517
1-Aug-16,26.93,27.25,26.75,26.84,141632
29-Jul-16,27.46,27.73,27.29,27.32,148552
28-Jul-16,27.34,27.68,27.14,27.56,71135
27-Jul-16,27.25,27.89,27.22,27.46,162071
26-Jul-16,27.47,27.82,26.82,27.23,257838
25-Jul-16,28.87,28.98,28.39,28.49,208857
22-Jul-16,28.82,29.25,28.75,29.08,119331
21-Jul-16,28.49,28.95,28.41,28.72,277858
20-Jul-16,28.18,28.54,28.05,28.39,103807
19-Jul-16,27.86,28.32,27.86,28.15,184321
18-Jul-16,28.00,28.23,27.68,28.04,131069
15-Jul-16,28.05,28.22,27.67,28.10,190070
