Date,Open,High,Low,Close,Volume
22-Nov-16,15.03,15.03,14.99,15.00,74028
21-Nov-16,15.02,15.05,14.99,15.00,123940
18-Nov-16,14.99,15.03,14.99,15.02,16976
17-Nov-16,15.04,15.04,14.99,14.99,42807
16-Nov-16,14.99,15.03,14.96,15.02,47353
15-Nov-16,15.03,15.08,14.98,15.02,65807
14-Nov-16,15.05,15.16,14.96,15.01,123719
11-Nov-16,15.00,15.13,14.97,15.07,69568
10-Nov-16,15.02,15.05,14.93,15.05,95310
9-Nov-16,15.03,15.08,15.00,15.04,75129
8-Nov-16,15.07,15.12,15.00,15.08,72253
7-Nov-16,15.11,15.14,15.09,15.09,13407
4-Nov-16,15.18,15.18,15.11,15.11,24608
3-Nov-16,15.11,15.18,15.10,15.17,34815
2-Nov-16,15.11,15.11,15.07,15.09,49065
1-Nov-16,15.13,15.18,15.07,15.09,104386
31-Oct-16,15.15,15.15,15.12,15.13,29484
28-Oct-16,15.11,15.14,15.11,15.12,14135
27-Oct-16,15.17,15.17,15.11,15.12,53419
26-Oct-16,15.13,15.17,15.13,15.17,17868
25-Oct-16,15.19,15.19,15.13,15.14,27252
24-Oct-16,15.19,15.20,15.17,15.17,22530
21-Oct-16,15.21,15.21,15.18,15.18,36786
20-Oct-16,15.17,15.20,15.17,15.19,68284
19-Oct-16,15.21,15.22,15.18,15.20,63613
18-Oct-16,15.22,15.24,15.17,15.18,92239
17-Oct-16,15.22,15.22,15.20,15.20,10944
14-Oct-16,15.26,15.26,15.18,15.21,23030
13-Oct-16,15.17,15.28,15.17,15.28,51453
12-Oct-16,15.21,15.26,15.18,15.22,23399
11-Oct-16,15.22,15.26,15.20,15.22,22444
10-Oct-16,15.21,15.26,15.20,15.26,15656
7-Oct-16,15.24,15.25,15.20,15.24,27695
6-Oct-16,15.17,15.26,15.17,15.22,36104
5-Oct-16,15.23,15.23,15.15,15.17,153172
4-Oct-16,15.22,15.25,15.19,15.21,73396
3-Oct-16,15.23,15.25,15.22,15.22,41396
30-Sep-16,15.21,15.27,15.21,15.22,37425
29-Sep-16,15.29,15.29,15.23,15.24,36536
28-Sep-16,15.28,15.29,15.26,15.29,17875
27-Sep-16,15.25,15.28,15.25,15.25,9097
26-Sep-16,15.24,15.28,15.24,15.27,31975
23-Sep-16,15.24,15.26,15.23,15.24,14523
22-Sep-16,15.22,15.30,15.21,15.23,31733
21-Sep-16,15.20,15.21,15.19,15.21,8049
20-Sep-16,15.20,15.21,15.20,15.20,8614
19-Sep-16,15.20,15.22,15.19,15.20,20882
16-Sep-16,15.20,15.22,15.19,15.20,19393
15-Sep-16,15.20,15.22,15.20,15.20,26653
14-Sep-16,15.21,15.22,15.19,15.19,15069
13-Sep-16,15.20,15.22,15.19,15.19,39992
12-Sep-16,15.22,15.24,15.21,15.22,14894
9-Sep-16,15.25,15.28,15.23,15.25,32643
8-Sep-16,15.31,15.31,15.23,15.30,64931
7-Sep-16,15.34,15.34,15.28,15.29,43414
6-Sep-16,15.25,15.33,15.25,15.31,36092
2-Sep-16,15.26,15.30,15.26,15.26,15920
1-Sep-16,15.27,15.29,15.26,15.26,16831
31-Aug-16,15.29,15.29,15.25,15.26,21028
30-Aug-16,15.27,15.28,15.25,15.26,50072
29-Aug-16,15.29,15.29,15.26,15.28,34671
26-Aug-16,15.30,15.35,15.29,15.30,38070
25-Aug-16,15.28,15.34,15.28,15.34,56186
24-Aug-16,15.28,15.30,15.28,15.28,14464
23-Aug-16,15.31,15.31,15.28,15.28,27388
22-Aug-16,15.35,15.35,15.29,15.29,8177
19-Aug-16,15.33,15.38,15.32,15.38,32583
18-Aug-16,15.29,15.44,15.28,15.35,61474
17-Aug-16,15.33,15.33,15.29,15.29,15123
16-Aug-16,15.35,15.35,15.28,15.28,67285
15-Aug-16,15.32,15.37,15.31,15.35,62260
12-Aug-16,15.30,15.34,15.28,15.33,53144
11-Aug-16,15.26,15.32,15.25,15.27,55992
10-Aug-16,15.25,15.29,15.25,15.28,42603
9-Aug-16,15.29,15.29,15.26,15.26,13591
8-Aug-16,15.21,15.29,15.21,15.29,91454
5-Aug-16,15.28,15.28,15.21,15.23,43095
4-Aug-16,15.27,15.29,15.26,15.27,31107
3-Aug-16,15.20,15.25,15.20,15.25,50243
2-Aug-16,15.20,15.23,15.20,15.21,37550
1-Aug-16,15.23,15.24,15.20,15.23,18344
29-Jul-16,15.26,15.27,15.20,15.22,73487
28-Jul-16,15.21,15.22,15.20,15.22,15873
27-Jul-16,15.22,15.24,15.20,15.21,32019
26-Jul-16,15.22,15.22,15.21,15.21,11893
25-Jul-16,15.22,15.23,15.21,15.21,13814
22-Jul-16,15.22,15.23,15.20,15.21,18691
21-Jul-16,15.21,15.24,15.20,15.21,22814
20-Jul-16,15.25,15.26,15.21,15.21,56467
19-Jul-16,15.27,15.32,15.24,15.26,47357
18-Jul-16,15.25,15.30,15.24,15.27,22459
15-Jul-16,15.20,15.29,15.20,15.26,55677
14-Jul-16,15.20,15.23,15.19,15.22,46778
13-Jul-16,15.22,15.23,15.20,15.23,54907
12-Jul-16,15.25,15.25,15.20,15.23,38164
11-Jul-16,15.26,15.26,15.23,15.25,25040
8-Jul-16,15.25,15.26,15.21,15.25,37418
7-Jul-16,15.26,15.26,15.23,15.23,28761
6-Jul-16,15.25,15.27,15.23,15.24,31964
5-Jul-16,15.27,15.28,15.24,15.25,28598
1-Jul-16,15.28,15.32,15.24,15.24,48558
30-Jun-16,15.28,15.29,15.24,15.25,75270
29-Jun-16,15.26,15.31,15.25,15.25,35957
28-Jun-16,15.27,15.30,15.25,15.29,21499
27-Jun-16,15.29,15.29,15.25,15.25,10865
24-Jun-16,15.24,15.32,15.22,15.32,34890
23-Jun-16,15.25,15.29,15.25,15.29,29487
22-Jun-16,15.20,15.31,15.20,15.25,34973
21-Jun-16,15.19,15.22,15.19,15.22,47348
20-Jun-16,15.23,15.23,15.19,15.21,29316
17-Jun-16,15.23,15.26,15.19,15.20,18192
16-Jun-16,15.20,15.27,15.20,15.26,46792
15-Jun-16,15.18,15.27,15.18,15.19,73675
14-Jun-16,15.20,15.23,15.19,15.19,30367
13-Jun-16,15.27,15.27,15.18,15.19,100899
10-Jun-16,15.27,15.28,15.26,15.28,4595
9-Jun-16,15.24,15.30,15.24,15.26,28602
8-Jun-16,15.24,15.29,15.22,15.25,29261
7-Jun-16,15.27,15.27,15.20,15.23,21080
6-Jun-16,15.26,15.30,15.24,15.24,26993
3-Jun-16,15.28,15.32,15.26,15.26,26007
2-Jun-16,15.25,15.31,15.21,15.25,57271
1-Jun-16,15.17,15.27,15.17,15.27,36934
31-May-16,15.21,15.21,15.14,15.16,78999
27-May-16,15.28,15.30,15.15,15.20,52830
26-May-16,15.28,15.32,15.22,15.23,32160
25-May-16,15.26,15.31,15.23,15.26,27650
24-May-16,15.25,15.27,15.20,15.26,37962
23-May-16,15.24,15.32,15.24,15.25,22424
20-May-16,15.15,15.28,15.15,15.28,47907
19-May-16,15.20,15.22,15.18,15.20,23495
18-May-16,15.23,15.26,15.20,15.21,40730
17-May-16,15.20,15.29,15.20,15.24,57839
16-May-16,15.20,15.23,15.18,15.20,35003
13-May-16,15.21,15.26,15.18,15.21,114497
12-May-16,15.22,15.25,15.20,15.20,51203
11-May-16,15.28,15.28,15.22,15.25,73225
10-May-16,15.28,15.32,15.26,15.29,33835
9-May-16,15.30,15.30,15.25,15.27,42802
6-May-16,15.27,15.32,15.26,15.29,57745
5-May-16,15.40,15.44,15.22,15.25,45711
4-May-16,15.33,15.33,15.20,15.24,9651
3-May-16,15.20,15.24,15.19,15.23,84241
2-May-16,15.30,15.30,15.17,15.20,65333
29-Apr-16,15.21,15.25,15.20,15.21,28838
28-Apr-16,15.23,15.24,15.19,15.19,49616
27-Apr-16,15.18,15.25,15.18,15.25,47453
26-Apr-16,15.19,15.24,15.19,15.24,32150
25-Apr-16,15.18,15.25,15.18,15.21,38956
22-Apr-16,15.25,15.26,15.18,15.24,42570
21-Apr-16,15.28,15.30,15.25,15.27,70464
20-Apr-16,15.28,15.30,15.26,15.30,28099
19-Apr-16,15.29,15.29,15.25,15.27,36350
18-Apr-16,15.30,15.30,15.26,15.28,25005
15-Apr-16,15.28,15.33,15.26,15.31,46200
14-Apr-16,15.30,15.30,15.25,15.26,22221
13-Apr-16,15.36,15.36,15.26,15.30,15462
12-Apr-16,15.38,15.40,15.36,15.36,19030
11-Apr-16,15.38,15.42,15.35,15.38,16770
8-Apr-16,15.37,15.43,15.35,15.39,40846
7-Apr-16,15.38,15.40,15.36,15.37,16541
