Date,Open,High,Low,Close,Volume
22-Nov-16,11.11,11.11,11.06,11.08,45319
21-Nov-16,11.01,11.08,10.96,11.03,40049
18-Nov-16,11.10,11.10,10.95,10.97,62664
17-Nov-16,11.23,11.23,11.03,11.04,29108
16-Nov-16,11.23,11.23,11.16,11.22,55212
15-Nov-16,11.06,11.18,11.05,11.16,59181
14-Nov-16,11.26,11.26,11.02,11.06,76296
11-Nov-16,11.17,11.41,11.17,11.34,65812
10-Nov-16,11.66,11.66,11.25,11.26,103302
9-Nov-16,11.76,11.76,11.62,11.73,27639
8-Nov-16,11.84,11.84,11.75,11.83,19256
7-Nov-16,11.83,11.84,11.75,11.79,41920
4-Nov-16,11.79,11.83,11.77,11.83,22441
3-Nov-16,11.83,11.90,11.76,11.77,33016
2-Nov-16,11.90,11.90,11.76,11.84,33836
1-Nov-16,11.89,11.92,11.78,11.85,47902
31-Oct-16,11.99,11.99,11.86,11.89,33143
28-Oct-16,12.04,12.04,11.89,11.89,31393
27-Oct-16,11.90,12.02,11.90,12.02,101523
26-Oct-16,12.07,12.07,11.97,11.98,36702
25-Oct-16,12.07,12.08,12.03,12.08,11713
24-Oct-16,12.08,12.08,12.02,12.05,25073
21-Oct-16,12.07,12.08,12.03,12.06,21636
20-Oct-16,12.00,12.07,11.94,11.95,25929
19-Oct-16,11.83,11.95,11.80,11.94,49116
18-Oct-16,11.64,11.82,11.62,11.74,50741
17-Oct-16,11.91,11.91,11.60,11.63,58406
14-Oct-16,12.03,12.05,11.88,11.88,30880
13-Oct-16,12.23,12.25,11.99,12.05,43452
12-Oct-16,12.35,12.35,12.24,12.24,14956
11-Oct-16,12.42,12.48,12.39,12.44,36571
10-Oct-16,12.48,12.50,12.46,12.46,16597
7-Oct-16,12.47,12.50,12.44,12.47,8618
6-Oct-16,12.38,12.49,12.36,12.49,43789
5-Oct-16,12.52,12.54,12.38,12.38,21910
4-Oct-16,12.52,12.52,12.40,12.44,36531
3-Oct-16,12.58,12.63,12.50,12.54,29237
30-Sep-16,12.63,12.71,12.54,12.64,29204
29-Sep-16,12.78,12.81,12.62,12.62,26445
28-Sep-16,12.78,12.87,12.77,12.82,28988
27-Sep-16,12.74,12.80,12.74,12.80,33466
26-Sep-16,12.72,12.74,12.70,12.74,6818
23-Sep-16,12.74,12.74,12.68,12.69,18440
22-Sep-16,12.67,12.75,12.67,12.74,18054
21-Sep-16,12.59,12.63,12.52,12.61,25169
20-Sep-16,12.59,12.59,12.54,12.58,14230
19-Sep-16,12.57,12.57,12.51,12.55,11508
16-Sep-16,12.62,12.62,12.48,12.49,16846
15-Sep-16,12.62,12.62,12.48,12.53,38036
14-Sep-16,12.53,12.68,12.53,12.54,44378
13-Sep-16,12.57,12.57,12.48,12.53,43801
12-Sep-16,12.58,12.58,12.50,12.54,27242
9-Sep-16,12.75,12.75,12.54,12.54,58226
8-Sep-16,12.88,12.95,12.81,12.82,21098
7-Sep-16,13.07,13.07,12.88,12.89,26332
6-Sep-16,12.81,13.18,12.80,13.04,69505
2-Sep-16,12.88,12.90,12.70,12.76,26571
1-Sep-16,12.78,12.94,12.75,12.80,53037
31-Aug-16,12.76,12.78,12.74,12.78,21535
30-Aug-16,12.81,12.82,12.70,12.73,44828
29-Aug-16,12.81,12.81,12.74,12.74,34619
26-Aug-16,12.75,12.82,12.72,12.75,49756
25-Aug-16,12.98,12.98,12.79,12.80,28823
24-Aug-16,13.07,13.07,12.92,12.95,23411
23-Aug-16,13.12,13.16,13.04,13.05,37833
22-Aug-16,13.16,13.17,13.04,13.07,39343
19-Aug-16,13.16,13.16,13.02,13.11,45346
18-Aug-16,13.00,13.10,13.00,13.04,11132
17-Aug-16,12.87,12.97,12.83,12.95,34252
16-Aug-16,12.82,12.85,12.75,12.84,40190
15-Aug-16,12.96,12.96,12.79,12.85,54700
12-Aug-16,12.87,12.88,12.83,12.88,20538
11-Aug-16,12.98,12.98,12.83,12.84,24969
10-Aug-16,13.05,13.05,12.95,12.96,25018
9-Aug-16,13.08,13.08,12.97,12.98,20763
8-Aug-16,13.05,13.05,12.92,13.00,39321
5-Aug-16,13.06,13.11,12.97,13.03,53433
4-Aug-16,12.99,13.00,12.93,13.00,47243
3-Aug-16,12.84,12.95,12.82,12.95,28127
2-Aug-16,12.70,12.80,12.63,12.80,59028
1-Aug-16,12.65,12.76,12.65,12.69,44468
29-Jul-16,12.75,12.83,12.67,12.67,51056
28-Jul-16,12.73,12.75,12.64,12.68,24691
27-Jul-16,12.84,12.85,12.69,12.70,59252
26-Jul-16,12.81,12.88,12.74,12.75,44602
25-Jul-16,12.84,12.84,12.73,12.78,50167
22-Jul-16,12.79,12.83,12.75,12.78,28060
21-Jul-16,12.85,12.86,12.79,12.79,27948
20-Jul-16,12.78,12.79,12.72,12.78,31931
19-Jul-16,12.75,12.75,12.59,12.70,27289
18-Jul-16,12.56,12.67,12.54,12.67,36369
15-Jul-16,12.26,12.49,12.25,12.46,71742
14-Jul-16,12.46,12.46,12.15,12.19,135700
13-Jul-16,12.71,12.73,12.43,12.46,105526
12-Jul-16,13.16,13.16,12.73,12.73,66844
11-Jul-16,13.44,13.44,12.98,12.99,27958
8-Jul-16,13.03,13.24,12.98,13.24,66016
7-Jul-16,12.83,13.01,12.83,12.93,57282
6-Jul-16,12.74,12.92,12.73,12.82,69563
5-Jul-16,12.78,12.80,12.71,12.71,60900
1-Jul-16,12.80,12.86,12.77,12.78,53869
30-Jun-16,12.83,12.93,12.76,12.76,65207
29-Jun-16,12.79,12.83,12.77,12.81,41701
28-Jun-16,12.85,12.89,12.76,12.83,35214
27-Jun-16,12.90,12.90,12.82,12.85,16560
24-Jun-16,12.71,12.91,12.71,12.90,44332
