Date,Open,High,Low,Close,Volume
22-Nov-16,34.19,34.40,33.71,33.73,2335464
21-Nov-16,33.74,34.24,33.61,33.96,1879325
18-Nov-16,34.04,34.17,33.69,33.73,2205340
17-Nov-16,34.53,34.94,34.03,34.07,2172626
16-Nov-16,34.85,35.11,34.68,34.71,1946339
15-Nov-16,34.98,35.23,34.82,35.13,2193626
14-Nov-16,35.11,35.33,34.81,35.07,3034857
11-Nov-16,34.94,35.68,34.32,35.47,2641813
10-Nov-16,37.12,37.14,34.76,34.92,5670957
9-Nov-16,38.50,38.59,38.01,38.27,1534636
8-Nov-16,38.31,39.35,38.31,39.04,1067938
7-Nov-16,37.95,38.59,37.95,38.56,1236010
4-Nov-16,38.16,38.36,37.82,37.92,1528905
3-Nov-16,38.61,38.94,38.53,38.74,1466871
2-Nov-16,38.43,38.88,38.37,38.75,969257
1-Nov-16,38.19,38.54,38.08,38.53,1433098
31-Oct-16,38.28,38.50,38.17,38.44,773533
28-Oct-16,38.26,38.37,37.97,38.24,828881
27-Oct-16,38.00,38.21,37.62,38.02,1738374
26-Oct-16,37.76,38.58,37.71,38.20,1719279
25-Oct-16,37.90,38.06,37.42,37.90,1025913
24-Oct-16,38.00,38.26,37.86,38.00,542704
21-Oct-16,37.88,37.98,37.64,37.83,635798
20-Oct-16,37.97,38.16,37.76,37.90,845978
19-Oct-16,37.90,38.16,37.75,38.08,957617
18-Oct-16,37.49,38.17,37.43,38.03,926063
17-Oct-16,37.91,38.04,37.59,37.59,601540
14-Oct-16,37.86,38.11,37.75,37.97,1297851
13-Oct-16,37.72,38.16,37.44,38.00,1123399
12-Oct-16,37.74,38.14,37.53,38.11,1306885
11-Oct-16,37.64,37.88,37.45,37.87,2621989
10-Oct-16,38.29,38.48,37.83,37.87,3238550
7-Oct-16,38.93,39.05,38.55,38.85,2276996
6-Oct-16,38.87,39.27,38.80,39.25,670420
5-Oct-16,38.75,39.10,38.63,39.01,1797527
4-Oct-16,38.90,38.96,38.48,38.62,2034287
3-Oct-16,39.95,40.01,38.93,39.00,2032647
30-Sep-16,39.31,40.17,39.02,39.90,2329607
29-Sep-16,39.42,39.52,39.03,39.03,1539352
28-Sep-16,39.56,39.65,39.08,39.35,2514270
27-Sep-16,39.11,39.59,38.95,39.40,1657881
26-Sep-16,39.95,40.07,39.39,39.52,3069344
23-Sep-16,39.56,40.29,39.52,40.23,3149435
22-Sep-16,40.40,40.96,40.10,40.22,2690517
21-Sep-16,39.56,39.81,39.22,39.70,3053426
20-Sep-16,39.49,39.87,39.36,39.75,2274460
19-Sep-16,39.02,39.53,38.97,39.35,1301116
16-Sep-16,39.14,39.40,39.08,39.27,1782127
15-Sep-16,39.25,39.82,39.24,39.74,1358816
14-Sep-16,39.66,39.88,39.45,39.65,1409867
13-Sep-16,40.59,40.72,39.73,39.75,3580778
12-Sep-16,40.26,41.28,40.20,41.00,3951928
9-Sep-16,40.47,40.78,40.33,40.43,3524823
8-Sep-16,40.78,41.20,40.66,41.15,5103026
7-Sep-16,39.68,40.37,39.66,40.16,4502752
6-Sep-16,39.00,39.32,38.45,39.26,2701513
2-Sep-16,38.29,39.00,38.24,38.97,2048605
1-Sep-16,38.18,38.38,37.79,38.34,2411880
31-Aug-16,38.00,38.47,37.84,38.45,1919574
30-Aug-16,38.81,38.81,38.13,38.16,1310115
29-Aug-16,38.84,38.87,38.60,38.66,2023134
26-Aug-16,38.75,39.38,38.56,38.61,4519382
25-Aug-16,38.47,38.70,38.38,38.42,2167172
24-Aug-16,38.23,38.40,38.14,38.36,1994405
23-Aug-16,38.40,38.56,38.21,38.31,1118664
22-Aug-16,38.08,38.34,37.85,38.25,1883499
19-Aug-16,38.22,38.38,38.02,38.16,793845
18-Aug-16,38.24,38.55,37.99,38.22,1793769
17-Aug-16,38.22,38.28,37.70,38.24,3021949
16-Aug-16,38.44,38.82,38.22,38.22,1264150
15-Aug-16,38.45,38.97,38.44,38.72,2137726
12-Aug-16,38.21,38.62,38.17,38.55,3629348
11-Aug-16,38.08,38.47,37.98,38.41,3097527
10-Aug-16,37.34,37.94,37.31,37.83,1938540
9-Aug-16,37.01,37.42,36.94,37.40,1889300
8-Aug-16,36.79,36.88,36.48,36.80,2478662
5-Aug-16,36.80,37.12,36.69,36.69,1812156
4-Aug-16,36.58,36.76,36.48,36.73,1387350
3-Aug-16,36.84,36.84,36.49,36.63,1349954
2-Aug-16,38.16,38.19,36.96,37.01,2330800
1-Aug-16,37.74,38.32,37.51,37.95,2318500
29-Jul-16,37.65,37.67,37.14,37.33,1281937
28-Jul-16,37.72,37.83,37.26,37.55,1131282
