Date,Open,High,Low,Close,Volume
22-Nov-16,69.21,70.50,69.01,70.25,494584
21-Nov-16,68.75,69.96,68.36,68.86,506113
18-Nov-16,65.26,69.00,65.08,68.67,899656
17-Nov-16,66.79,67.22,64.81,65.04,608559
16-Nov-16,66.73,67.36,66.37,66.77,506240
15-Nov-16,67.44,68.29,66.17,66.73,619122
14-Nov-16,66.58,67.56,65.70,67.30,737091
11-Nov-16,67.18,67.80,66.22,66.80,826474
10-Nov-16,70.09,70.09,66.88,67.27,621075
9-Nov-16,70.47,70.48,69.05,70.24,502747
8-Nov-16,71.74,72.50,71.66,72.09,337034
7-Nov-16,71.06,72.32,71.06,71.86,325970
4-Nov-16,70.66,71.31,70.47,70.56,408717
3-Nov-16,71.42,71.88,70.59,70.69,320213
2-Nov-16,72.15,73.35,71.16,71.20,524026
1-Nov-16,73.71,73.71,71.70,72.21,717525
31-Oct-16,73.01,73.99,72.23,73.74,584728
28-Oct-16,72.17,73.58,71.92,72.84,531956
27-Oct-16,77.82,77.82,71.06,72.01,950357
26-Oct-16,78.48,78.48,76.55,76.95,523272
25-Oct-16,78.73,78.73,77.80,78.38,289930
24-Oct-16,78.57,79.18,78.18,78.81,255268
21-Oct-16,77.20,78.07,77.13,78.01,350909
20-Oct-16,78.48,78.72,77.55,78.00,263327
19-Oct-16,78.02,78.73,77.56,78.72,243744
18-Oct-16,77.86,79.31,77.34,78.03,436924
17-Oct-16,77.46,77.94,76.26,77.20,333514
14-Oct-16,77.36,78.03,76.12,77.50,504991
13-Oct-16,75.38,77.44,75.20,77.19,569320
12-Oct-16,73.63,75.70,73.63,75.55,375672
11-Oct-16,73.91,74.24,73.33,73.96,559474
10-Oct-16,72.16,74.20,72.16,73.51,596100
7-Oct-16,72.09,73.23,71.05,72.12,376037
6-Oct-16,72.00,72.12,70.65,71.95,507161
5-Oct-16,74.67,74.67,72.03,72.15,481203
4-Oct-16,74.23,75.17,73.70,74.41,715032
3-Oct-16,74.78,74.96,73.45,74.00,457242
30-Sep-16,75.90,76.16,73.99,74.04,481316
29-Sep-16,76.83,76.83,74.80,75.52,454936
28-Sep-16,76.48,76.93,75.81,76.78,499358
27-Sep-16,77.40,78.01,76.61,76.95,413304
26-Sep-16,77.19,77.78,76.76,77.42,275543
23-Sep-16,77.28,78.15,76.68,77.47,331305
22-Sep-16,77.00,77.81,76.81,77.72,444609
21-Sep-16,76.15,76.65,73.59,76.50,1059852
20-Sep-16,77.48,77.83,75.82,75.93,695399
19-Sep-16,76.26,77.23,76.02,76.97,436538
16-Sep-16,75.35,76.37,74.77,76.18,1244187
15-Sep-16,75.34,76.16,75.10,75.59,627817
14-Sep-16,76.98,77.30,75.10,75.43,747834
13-Sep-16,79.33,79.89,76.52,76.85,531897
12-Sep-16,78.42,80.15,77.85,79.78,546085
9-Sep-16,80.13,80.13,78.69,78.90,344090
8-Sep-16,81.03,81.39,80.37,80.94,349591
7-Sep-16,80.90,81.51,80.80,81.36,250975
6-Sep-16,79.85,80.94,79.26,80.94,379369
2-Sep-16,78.77,80.98,78.77,79.59,710301
1-Sep-16,78.15,78.80,77.73,78.75,277521
31-Aug-16,77.28,78.26,77.12,78.02,412076
30-Aug-16,78.74,78.93,77.42,77.69,417635
