Date,Open,High,Low,Close,Volume
22-Nov-16,6.96,7.10,6.90,7.00,27222
21-Nov-16,7.01,7.06,6.99,7.00,14820
18-Nov-16,6.95,7.08,6.95,6.99,13753
17-Nov-16,6.99,7.00,6.80,6.95,25678
16-Nov-16,6.90,7.05,6.83,6.91,42145
15-Nov-16,7.01,7.08,6.90,6.92,15637
14-Nov-16,7.12,7.37,7.00,7.00,15686
11-Nov-16,7.05,7.42,7.05,7.12,34560
10-Nov-16,7.05,7.15,7.00,7.02,20596
9-Nov-16,7.00,7.46,6.95,7.12,21891
8-Nov-16,7.20,7.35,7.04,7.10,26071
7-Nov-16,7.60,8.15,7.10,7.18,62553
4-Nov-16,7.76,8.20,7.38,7.60,47705
3-Nov-16,8.23,8.50,7.60,7.80,83058
2-Nov-16,8.38,8.45,8.06,8.24,27730
1-Nov-16,8.25,8.50,8.20,8.32,38114
31-Oct-16,8.05,8.25,8.05,8.25,54709
28-Oct-16,7.60,8.15,7.55,7.96,88226
27-Oct-16,7.52,7.74,7.52,7.58,20593
26-Oct-16,7.62,7.70,7.45,7.69,23350
25-Oct-16,7.53,7.65,7.49,7.55,32347
24-Oct-16,7.35,7.60,7.27,7.48,38813
21-Oct-16,7.13,7.39,7.13,7.35,3303
20-Oct-16,7.16,7.25,7.06,7.06,7013
19-Oct-16,7.05,7.25,6.92,7.17,17457
18-Oct-16,6.94,7.18,6.94,7.07,6425
17-Oct-16,7.00,7.16,6.91,6.94,43787
14-Oct-16,7.02,7.05,7.00,7.00,11374
13-Oct-16,7.11,7.20,7.00,7.00,17247
12-Oct-16,7.20,7.30,7.10,7.10,14881
11-Oct-16,7.01,7.51,7.00,7.05,16906
10-Oct-16,7.18,7.18,7.01,7.03,20987
7-Oct-16,7.31,7.49,7.10,7.13,29840
6-Oct-16,7.45,7.55,7.36,7.36,14150
5-Oct-16,7.55,7.60,7.45,7.48,21873
4-Oct-16,7.11,7.60,7.08,7.46,31673
3-Oct-16,7.05,7.15,7.05,7.12,24835
30-Sep-16,7.22,7.22,7.03,7.05,40100
29-Sep-16,7.30,7.41,7.10,7.11,19813
28-Sep-16,7.43,7.69,7.29,7.29,14210
27-Sep-16,7.58,7.58,7.26,7.29,18418
26-Sep-16,7.65,7.95,7.55,7.55,15283
23-Sep-16,7.68,8.03,7.62,7.66,12319
22-Sep-16,8.09,8.13,7.49,7.64,44252
21-Sep-16,8.07,8.34,8.05,8.12,40020
20-Sep-16,7.61,8.35,7.55,8.04,89330
19-Sep-16,7.09,7.56,7.09,7.52,58144
16-Sep-16,7.00,7.25,6.79,7.17,32560
15-Sep-16,7.21,7.26,6.95,7.03,14612
14-Sep-16,7.18,7.21,7.00,7.06,30918
13-Sep-16,7.22,7.37,7.07,7.13,10420
12-Sep-16,7.15,7.48,7.11,7.29,21386
9-Sep-16,7.25,7.37,7.13,7.15,32602
8-Sep-16,7.18,7.47,7.18,7.35,9591
7-Sep-16,7.73,8.00,7.09,7.13,52818
6-Sep-16,7.45,8.06,7.45,7.78,67750
2-Sep-16,6.92,7.60,6.92,7.44,85461
1-Sep-16,6.57,6.97,6.57,6.88,54587
31-Aug-16,6.89,6.99,6.46,6.60,89043
30-Aug-16,6.97,7.24,6.74,6.95,86057
29-Aug-16,7.02,7.03,6.90,6.95,11826
26-Aug-16,7.53,7.73,6.99,7.04,31008
25-Aug-16,6.96,7.63,6.88,7.43,43383
24-Aug-16,7.36,7.57,6.94,6.98,23529
23-Aug-16,6.75,7.52,6.75,7.40,34608
22-Aug-16,6.70,6.78,6.50,6.75,37827
19-Aug-16,6.86,6.91,6.58,6.70,49168
