Date,Open,High,Low,Close,Volume
22-Nov-16,9.42,9.45,9.42,9.43,16476
21-Nov-16,9.36,9.47,9.36,9.40,33775
18-Nov-16,9.34,9.38,9.32,9.38,28216
17-Nov-16,9.38,9.41,9.32,9.32,35862
16-Nov-16,9.47,9.54,9.36,9.37,98904
15-Nov-16,9.46,9.51,9.42,9.47,52551
14-Nov-16,9.67,9.67,9.26,9.45,71487
11-Nov-16,9.66,9.72,9.64,9.70,25085
10-Nov-16,9.87,9.90,9.70,9.72,47498
9-Nov-16,9.85,9.93,9.85,9.90,9767
8-Nov-16,9.95,10.02,9.95,9.99,10210
7-Nov-16,10.01,10.01,9.98,9.99,14496
4-Nov-16,10.00,10.03,10.00,10.00,1384
3-Nov-16,9.99,10.00,9.97,10.00,2830
2-Nov-16,10.02,10.02,9.92,10.00,11047
1-Nov-16,9.97,10.02,9.93,10.02,20198
31-Oct-16,9.96,9.96,9.91,9.95,23127
28-Oct-16,9.74,9.89,9.74,9.89,52467
27-Oct-16,10.04,10.04,9.90,9.93,23314
26-Oct-16,10.07,10.08,10.02,10.02,6262
25-Oct-16,10.05,10.08,10.05,10.08,6197
24-Oct-16,10.08,10.09,10.03,10.08,8295
21-Oct-16,10.01,10.08,10.01,10.05,6145
20-Oct-16,10.00,10.05,9.98,10.02,14027
19-Oct-16,9.97,10.03,9.94,9.97,78274
18-Oct-16,9.93,9.96,9.93,9.93,34557
17-Oct-16,10.01,10.04,9.99,9.99,52831
14-Oct-16,10.03,10.04,9.99,9.99,40168
13-Oct-16,10.20,10.20,10.06,10.06,8882
12-Oct-16,10.28,10.28,10.20,10.20,8398
11-Oct-16,10.24,10.28,10.20,10.28,23552
10-Oct-16,10.19,10.25,10.19,10.23,9568
7-Oct-16,10.20,10.23,10.19,10.22,5881
6-Oct-16,10.25,10.25,10.22,10.23,2650
5-Oct-16,10.29,10.29,10.22,10.24,7375
4-Oct-16,10.35,10.35,10.26,10.28,21670
3-Oct-16,10.38,10.40,10.32,10.35,9892
30-Sep-16,10.41,10.43,10.36,10.39,7863
29-Sep-16,10.46,10.46,10.39,10.39,4854
28-Sep-16,10.43,10.47,10.38,10.44,6648
27-Sep-16,10.38,10.42,10.37,10.42,8511
26-Sep-16,10.32,10.39,10.32,10.36,14371
23-Sep-16,10.32,10.39,10.26,10.32,28334
22-Sep-16,10.32,10.38,10.29,10.32,23058
21-Sep-16,10.31,10.33,10.28,10.28,34562
20-Sep-16,10.35,10.38,10.31,10.31,9835
19-Sep-16,10.41,10.41,10.34,10.37,20346
16-Sep-16,10.44,10.44,10.34,10.40,22691
15-Sep-16,10.42,10.47,10.41,10.42,10153
14-Sep-16,10.41,10.46,10.38,10.45,25108
13-Sep-16,10.46,10.49,10.38,10.40,18132
12-Sep-16,10.47,10.48,10.45,10.46,9388
9-Sep-16,10.53,10.53,10.46,10.52,29175
8-Sep-16,10.67,10.67,10.54,10.56,21111
7-Sep-16,10.70,10.70,10.67,10.68,18277
6-Sep-16,10.61,10.77,10.60,10.73,52610
2-Sep-16,10.67,10.69,10.61,10.61,23093
1-Sep-16,10.53,10.75,10.48,10.72,83319
31-Aug-16,10.50,10.52,10.42,10.52,36484
30-Aug-16,10.42,10.50,10.42,10.48,23684
29-Aug-16,10.48,10.51,10.42,10.44,23603
26-Aug-16,10.53,10.55,10.46,10.46,42373
25-Aug-16,10.50,10.53,10.48,10.50,34015
24-Aug-16,10.48,10.53,10.48,10.53,25339
23-Aug-16,10.47,10.53,10.47,10.51,25574
22-Aug-16,10.45,10.50,10.43,10.49,25639
19-Aug-16,10.46,10.48,10.43,10.43,14492
18-Aug-16,10.51,10.58,10.45,10.51,18913
17-Aug-16,10.53,10.55,10.50,10.50,4895
16-Aug-16,10.54,10.58,10.50,10.51,11699
15-Aug-16,10.54,10.58,10.54,10.57,6654
12-Aug-16,10.52,10.56,10.52,10.53,7782
11-Aug-16,10.52,10.58,10.51,10.51,6425
10-Aug-16,10.58,10.59,10.51,10.51,6056
9-Aug-16,10.57,10.62,10.57,10.57,6792
8-Aug-16,10.61,10.61,10.58,10.60,18503
5-Aug-16,10.61,10.65,10.59,10.61,14736
4-Aug-16,10.55,10.63,10.55,10.62,27951
3-Aug-16,10.44,10.58,10.44,10.57,36473
2-Aug-16,10.46,10.49,10.43,10.48,14680
1-Aug-16,10.54,10.54,10.45,10.48,16202
29-Jul-16,10.49,10.53,10.49,10.52,7759
28-Jul-16,10.52,10.55,10.46,10.47,21255
27-Jul-16,10.46,10.54,10.46,10.52,8342
26-Jul-16,10.45,10.50,10.45,10.49,16536
25-Jul-16,10.46,10.50,10.45,10.46,7867
