Date,Open,High,Low,Close,Volume
22-Nov-16,8.07,8.22,8.04,8.11,1507538
21-Nov-16,8.07,8.07,7.98,8.02,1641831
18-Nov-16,8.00,8.02,7.88,7.99,1816787
17-Nov-16,8.03,8.08,7.97,7.97,1520881
16-Nov-16,8.08,8.15,8.00,8.01,1577750
15-Nov-16,8.03,8.10,7.95,8.06,1679362
14-Nov-16,8.16,8.19,8.00,8.01,1806576
11-Nov-16,8.08,8.20,8.07,8.15,1890701
10-Nov-16,8.45,8.48,8.08,8.08,2843314
9-Nov-16,8.42,8.50,8.31,8.43,1465826
8-Nov-16,8.47,8.60,8.47,8.51,605778
7-Nov-16,8.48,8.55,8.44,8.49,1378559
4-Nov-16,8.46,8.55,8.44,8.46,1311742
3-Nov-16,8.40,8.55,8.40,8.48,1038662
2-Nov-16,8.51,8.51,8.39,8.42,1051699
1-Nov-16,8.61,8.64,8.46,8.47,1399010
31-Oct-16,8.61,8.64,8.55,8.62,1696063
28-Oct-16,8.63,8.63,8.47,8.57,1860740
27-Oct-16,8.67,8.70,8.55,8.60,1956917
26-Oct-16,8.66,8.74,8.63,8.70,1318845
25-Oct-16,8.47,8.67,8.45,8.64,1438102
24-Oct-16,8.44,8.48,8.39,8.46,711216
21-Oct-16,8.37,8.44,8.37,8.39,493824
20-Oct-16,8.40,8.45,8.36,8.42,399023
19-Oct-16,8.34,8.45,8.31,8.40,772281
18-Oct-16,8.32,8.37,8.27,8.30,865876
17-Oct-16,8.36,8.39,8.30,8.30,743341
14-Oct-16,8.40,8.41,8.33,8.36,897636
13-Oct-16,8.39,8.45,8.33,8.40,927173
12-Oct-16,8.31,8.45,8.24,8.39,1406589
11-Oct-16,8.27,8.32,8.21,8.24,1161642
10-Oct-16,8.26,8.36,8.24,8.29,756834
7-Oct-16,8.24,8.32,8.19,8.24,1677430
6-Oct-16,8.33,8.33,8.17,8.24,1432481
5-Oct-16,8.39,8.46,8.31,8.35,1350926
4-Oct-16,8.59,8.60,8.36,8.39,1577489
3-Oct-16,8.73,8.75,8.59,8.60,1048460
30-Sep-16,8.69,8.77,8.67,8.72,1419689
29-Sep-16,8.72,8.74,8.61,8.68,854548
28-Sep-16,8.76,8.79,8.65,8.70,699707
27-Sep-16,8.80,8.84,8.75,8.76,1087159
26-Sep-16,8.76,8.86,8.76,8.79,1219995
23-Sep-16,8.81,8.88,8.77,8.77,1215720
22-Sep-16,8.79,8.88,8.77,8.87,1067329
21-Sep-16,8.70,8.79,8.61,8.76,1357490
20-Sep-16,8.59,8.70,8.56,8.68,1472325
19-Sep-16,8.83,8.94,8.76,8.80,1635430
16-Sep-16,8.91,8.93,8.74,8.84,6779734
15-Sep-16,8.80,8.99,8.78,8.93,2383620
14-Sep-16,8.74,8.90,8.72,8.81,1444847
13-Sep-16,8.73,8.84,8.70,8.74,1971432
12-Sep-16,8.55,8.79,8.52,8.73,1855770
9-Sep-16,8.94,8.96,8.59,8.59,1735663
8-Sep-16,9.04,9.05,8.93,8.97,825039
7-Sep-16,8.96,9.06,8.96,9.06,926679
6-Sep-16,8.95,8.98,8.87,8.96,832287
2-Sep-16,8.75,8.92,8.74,8.91,1290602
1-Sep-16,8.79,8.82,8.68,8.75,1414009
31-Aug-16,8.86,8.86,8.73,8.81,1195404
30-Aug-16,8.84,8.86,8.79,8.85,986347
29-Aug-16,8.93,8.98,8.83,8.84,846637
26-Aug-16,9.01,9.01,8.86,8.91,1962534
25-Aug-16,8.99,9.01,8.94,8.98,555238
24-Aug-16,9.00,9.00,8.93,8.97,757169
23-Aug-16,8.95,9.02,8.90,9.00,623348
22-Aug-16,8.94,8.97,8.88,8.92,703218
19-Aug-16,8.95,8.98,8.88,8.94,742902
18-Aug-16,8.88,9.06,8.88,8.95,884701
17-Aug-16,8.93,8.95,8.77,8.91,925423
16-Aug-16,8.98,8.98,8.89,8.91,858633
15-Aug-16,9.04,9.08,8.98,8.98,904140
12-Aug-16,9.05,9.13,9.04,9.05,807405
11-Aug-16,9.14,9.14,9.01,9.06,988734
10-Aug-16,9.16,9.19,9.12,9.14,702079
9-Aug-16,9.05,9.16,9.03,9.15,1060613
8-Aug-16,9.15,9.16,9.04,9.05,1260599
5-Aug-16,9.09,9.21,9.08,9.15,1225931
4-Aug-16,9.06,9.11,9.03,9.08,836621
3-Aug-16,9.00,9.09,8.94,9.06,861328
2-Aug-16,9.11,9.12,8.99,8.99,1068330
1-Aug-16,8.95,9.16,8.95,9.12,1976024
29-Jul-16,8.87,8.99,8.86,8.95,1666906
28-Jul-16,8.82,8.87,8.75,8.85,1115309
27-Jul-16,8.85,8.85,8.72,8.82,944172
26-Jul-16,8.78,8.83,8.76,8.82,853870
25-Jul-16,8.79,8.81,8.71,8.78,994672
22-Jul-16,8.72,8.83,8.72,8.80,691668
21-Jul-16,8.67,8.83,8.66,8.73,1495731
20-Jul-16,8.60,8.66,8.58,8.66,896026
19-Jul-16,8.50,8.61,8.47,8.60,1005129
18-Jul-16,8.48,8.52,8.46,8.50,605078
15-Jul-16,8.46,8.48,8.42,8.46,1037969
14-Jul-16,8.48,8.54,8.44,8.45,1103146
13-Jul-16,8.51,8.53,8.45,8.51,1617092
12-Jul-16,8.40,8.50,8.38,8.46,2089103
11-Jul-16,8.39,8.44,8.34,8.43,1707307
8-Jul-16,8.40,8.43,8.34,8.39,1454208
7-Jul-16,8.45,8.48,8.36,8.39,1479507
