Date,Open,High,Low,Close,Volume
22-Nov-16,8.93,8.97,8.68,8.72,236258
21-Nov-16,8.82,8.98,8.82,8.86,235205
18-Nov-16,8.75,8.77,8.41,8.70,312722
17-Nov-16,8.60,8.92,8.58,8.75,416158
16-Nov-16,8.53,8.60,8.40,8.58,481182
15-Nov-16,8.43,8.64,8.40,8.51,781645
14-Nov-16,8.50,8.52,8.42,8.45,393230
11-Nov-16,8.51,8.54,8.40,8.50,299491
10-Nov-16,8.51,8.60,8.43,8.50,282024
9-Nov-16,8.52,8.66,8.35,8.45,459626
8-Nov-16,8.56,8.62,8.45,8.51,337262
7-Nov-16,8.60,8.60,8.44,8.57,115304
4-Nov-16,8.48,8.60,8.30,8.54,282994
3-Nov-16,8.56,8.64,8.49,8.52,245298
2-Nov-16,8.66,8.72,8.51,8.56,210915
1-Nov-16,8.61,8.72,8.60,8.63,267380
31-Oct-16,8.69,8.69,8.49,8.51,173342
28-Oct-16,8.75,8.82,8.59,8.63,133656
27-Oct-16,8.77,8.80,8.67,8.72,269597
26-Oct-16,8.92,8.99,8.72,8.76,162937
25-Oct-16,8.96,9.01,8.86,8.92,161451
24-Oct-16,9.00,9.00,8.77,8.90,130685
21-Oct-16,8.80,9.07,8.80,8.92,137493
20-Oct-16,8.99,8.99,8.80,8.88,217077
19-Oct-16,9.20,9.23,9.00,9.06,195856
18-Oct-16,9.15,9.24,8.99,9.15,224443
17-Oct-16,8.81,9.03,8.81,8.97,228011
14-Oct-16,8.88,8.99,8.67,8.77,192612
13-Oct-16,8.68,8.99,8.48,8.88,240621
12-Oct-16,8.95,8.98,8.70,8.71,229409
11-Oct-16,8.91,9.11,8.86,8.95,271497
10-Oct-16,8.87,9.01,8.85,8.91,126764
7-Oct-16,9.04,9.08,8.78,8.81,246800
6-Oct-16,8.94,9.00,8.79,8.97,287199
5-Oct-16,9.10,9.26,9.05,9.19,217397
4-Oct-16,9.51,9.51,8.98,9.04,396201
3-Oct-16,9.79,9.84,9.45,9.52,343263
30-Sep-16,9.64,9.87,9.61,9.74,277274
