Date,Open,High,Low,Close,Volume
22-Nov-16,1.06,1.08,1.05,1.06,3699
21-Nov-16,1.07,1.08,1.05,1.06,15410
18-Nov-16,1.06,1.08,1.06,1.06,14550
17-Nov-16,1.06,1.08,1.05,1.06,39870
16-Nov-16,1.07,1.09,1.05,1.06,41961
15-Nov-16,1.09,1.10,1.07,1.08,18451
14-Nov-16,1.10,1.10,1.07,1.09,25152
11-Nov-16,1.08,1.11,1.07,1.08,26957
10-Nov-16,1.11,1.11,1.06,1.09,42862
9-Nov-16,1.05,1.10,1.05,1.10,504
8-Nov-16,1.06,1.07,1.05,1.05,13735
7-Nov-16,1.09,1.09,1.05,1.06,17092
4-Nov-16,1.06,1.12,1.06,1.08,25249
3-Nov-16,1.07,1.09,1.06,1.06,31356
2-Nov-16,1.09,1.09,1.06,1.06,24488
1-Nov-16,1.11,1.14,1.07,1.09,52842
31-Oct-16,1.09,1.15,1.08,1.12,14494
28-Oct-16,1.10,1.15,1.09,1.09,7794
27-Oct-16,1.11,1.11,1.07,1.08,15981
26-Oct-16,1.17,1.17,1.15,1.15,5348
25-Oct-16,1.20,1.20,1.16,1.17,8788
24-Oct-16,1.20,1.20,1.17,1.18,14680
21-Oct-16,1.03,1.21,1.03,1.18,46006
20-Oct-16,-,-,-,1.07,0
19-Oct-16,1.09,1.09,1.07,1.07,4196
18-Oct-16,1.11,1.11,1.11,1.11,2463
17-Oct-16,1.07,1.10,1.07,1.10,831
14-Oct-16,1.08,1.10,1.07,1.09,18335
13-Oct-16,1.08,1.12,1.07,1.07,30807
12-Oct-16,1.08,1.12,1.08,1.08,34099
11-Oct-16,1.14,1.16,1.07,1.07,60276
10-Oct-16,1.14,1.16,1.14,1.14,52169
7-Oct-16,1.13,1.15,1.11,1.14,4289
6-Oct-16,1.12,1.12,1.09,1.12,1042
5-Oct-16,1.12,1.13,1.10,1.11,24172
4-Oct-16,1.09,1.12,1.08,1.12,10083
3-Oct-16,1.10,1.10,1.08,1.08,4676
30-Sep-16,1.12,1.12,1.08,1.08,5175
29-Sep-16,1.11,1.12,1.09,1.09,3227
28-Sep-16,1.11,1.13,1.08,1.10,26989
27-Sep-16,1.12,1.12,1.11,1.11,21341
26-Sep-16,1.12,1.12,1.11,1.11,11345
23-Sep-16,1.09,1.13,1.05,1.13,31268
22-Sep-16,1.10,1.12,1.08,1.11,8787
21-Sep-16,1.09,1.12,1.09,1.10,7828
20-Sep-16,1.10,1.11,1.06,1.07,31799
19-Sep-16,1.11,1.11,1.08,1.11,14550
16-Sep-16,1.12,1.12,1.10,1.10,14040
15-Sep-16,1.10,1.15,1.08,1.12,42267
14-Sep-16,1.09,1.12,1.06,1.10,293123
13-Sep-16,1.06,1.09,1.04,1.07,42139
12-Sep-16,1.10,1.10,1.06,1.06,37077
9-Sep-16,1.06,1.11,1.06,1.10,184065
8-Sep-16,1.02,1.09,1.02,1.07,7361
7-Sep-16,1.04,1.05,1.02,1.02,12360
6-Sep-16,1.05,1.08,1.02,1.02,23429
2-Sep-16,1.03,1.11,1.02,1.05,61482
1-Sep-16,1.02,1.03,1.02,1.03,9666
31-Aug-16,1.01,1.04,1.00,1.01,23464
30-Aug-16,1.00,1.03,1.00,1.01,37447
29-Aug-16,0.97,0.99,0.97,0.99,62256
26-Aug-16,0.96,0.98,0.95,0.97,167078
25-Aug-16,0.96,0.98,0.92,0.95,88863
24-Aug-16,1.00,1.00,0.94,0.94,82731
23-Aug-16,0.97,0.98,0.96,0.98,53889
22-Aug-16,0.99,0.99,0.95,0.97,72385
19-Aug-16,0.96,0.99,0.96,0.98,179567
18-Aug-16,0.99,0.99,0.96,0.96,21093
17-Aug-16,0.96,1.00,0.96,1.00,3867
16-Aug-16,1.00,1.00,0.99,0.99,3490
15-Aug-16,1.01,1.02,0.99,1.01,12679
12-Aug-16,1.00,1.00,0.99,0.99,20793
11-Aug-16,1.03,1.03,1.00,1.00,13725
10-Aug-16,1.01,1.03,1.00,1.01,6913
9-Aug-16,1.02,1.02,1.01,1.01,24709
8-Aug-16,1.02,1.04,1.01,1.01,9717
5-Aug-16,1.03,1.04,1.01,1.02,10467
4-Aug-16,1.02,1.04,1.01,1.01,13856
3-Aug-16,1.02,1.04,1.02,1.03,8722
2-Aug-16,1.06,1.06,1.02,1.02,21145
1-Aug-16,1.04,1.07,1.03,1.04,17797
29-Jul-16,1.07,1.07,1.03,1.03,7075
28-Jul-16,1.12,1.12,1.05,1.06,62143
27-Jul-16,1.05,1.07,1.03,1.03,24486
26-Jul-16,1.07,1.07,1.04,1.05,53305
25-Jul-16,1.07,1.09,1.05,1.07,24757
22-Jul-16,1.07,1.08,1.05,1.05,18085
21-Jul-16,1.08,1.08,1.07,1.07,4779
20-Jul-16,1.06,1.08,1.06,1.07,1486
19-Jul-16,1.05,1.06,1.03,1.06,16666
18-Jul-16,1.09,1.09,1.00,1.07,42503
15-Jul-16,1.10,1.10,1.06,1.10,12651
14-Jul-16,1.09,1.11,1.08,1.10,1771
13-Jul-16,1.08,1.09,1.07,1.09,659
12-Jul-16,1.07,1.09,1.06,1.07,2127
11-Jul-16,1.08,1.09,1.06,1.07,15003
8-Jul-16,1.07,1.09,1.07,1.08,1053
7-Jul-16,1.07,1.10,1.05,1.06,2572
6-Jul-16,1.05,1.10,1.05,1.05,6529
5-Jul-16,1.05,1.10,1.05,1.09,5313
1-Jul-16,1.08,1.09,1.02,1.02,53145
30-Jun-16,1.11,1.11,1.06,1.06,7713
29-Jun-16,1.11,1.11,1.09,1.11,11126
28-Jun-16,1.10,1.10,1.09,1.10,4933
27-Jun-16,1.09,1.11,0.96,1.10,78230
24-Jun-16,1.07,1.10,1.05,1.10,15566
23-Jun-16,1.10,1.11,1.07,1.07,11063
22-Jun-16,1.11,1.11,1.10,1.11,1207
21-Jun-16,1.10,1.11,1.08,1.08,31010
20-Jun-16,1.10,1.11,1.10,1.11,6261
17-Jun-16,1.11,1.11,1.08,1.08,105091
16-Jun-16,1.12,1.12,1.10,1.12,1356
