Date,Open,High,Low,Close,Volume
22-Nov-16,20.80,21.15,20.62,21.15,47557
21-Nov-16,21.00,21.00,19.96,20.70,102979
18-Nov-16,22.63,22.63,20.81,21.36,87396
17-Nov-16,22.81,23.32,22.49,22.63,58492
16-Nov-16,23.14,23.14,22.70,22.87,26133
15-Nov-16,21.92,23.27,21.92,23.03,47635
14-Nov-16,22.18,22.54,21.89,21.89,43948
11-Nov-16,22.45,23.01,22.20,22.33,42343
10-Nov-16,23.38,23.44,22.29,22.31,53556
9-Nov-16,22.45,23.73,22.14,23.27,55919
8-Nov-16,23.56,23.67,23.24,23.24,18841
7-Nov-16,23.68,24.03,23.36,23.42,74099
4-Nov-16,23.29,23.67,23.16,23.23,24048
3-Nov-16,23.30,23.69,23.30,23.35,71557
2-Nov-16,22.57,23.64,22.52,23.50,23192
1-Nov-16,22.79,23.00,21.82,22.67,79740
31-Oct-16,23.13,23.48,22.56,22.61,81598
28-Oct-16,23.43,23.72,23.13,23.27,29987
27-Oct-16,23.50,24.00,23.05,23.46,151972
26-Oct-16,23.11,24.12,23.11,23.49,44257
25-Oct-16,23.44,23.61,23.03,23.42,31916
24-Oct-16,23.30,23.80,22.97,23.56,45315
21-Oct-16,23.59,23.92,23.32,23.40,49224
20-Oct-16,23.32,24.01,23.32,23.80,29910
19-Oct-16,23.01,23.59,23.01,23.47,64578
18-Oct-16,23.14,23.37,22.70,23.12,48594
17-Oct-16,22.57,23.33,22.50,23.15,45072
14-Oct-16,23.43,23.57,22.58,22.63,103234
13-Oct-16,21.85,24.21,21.41,23.46,251671
12-Oct-16,22.65,23.28,22.13,22.26,69224
11-Oct-16,22.97,22.97,22.41,22.64,30458
10-Oct-16,23.24,23.36,22.27,23.09,155920
7-Oct-16,22.41,24.35,22.41,22.99,161491
6-Oct-16,21.75,24.19,21.75,22.45,551073
5-Oct-16,20.72,21.84,20.65,21.45,45987
4-Oct-16,21.64,21.64,20.43,20.45,22087
3-Oct-16,21.25,21.75,21.03,21.64,33665
30-Sep-16,20.96,21.52,20.96,21.20,58685
29-Sep-16,22.28,22.36,21.00,21.19,75907
28-Sep-16,21.79,22.82,21.79,22.41,148261
27-Sep-16,20.81,22.10,20.72,21.78,85432
26-Sep-16,20.90,21.67,20.70,20.94,92267
23-Sep-16,20.22,21.07,20.01,20.93,56863
22-Sep-16,19.94,20.56,19.79,20.21,54740
21-Sep-16,19.79,20.56,19.11,19.89,131704
20-Sep-16,20.30,20.59,19.85,19.93,45248
19-Sep-16,22.10,22.10,20.17,20.35,157964
16-Sep-16,22.85,22.85,21.81,22.10,110358
15-Sep-16,23.93,24.30,23.00,23.00,123447
14-Sep-16,24.47,24.59,23.03,23.62,192049
13-Sep-16,25.23,25.66,24.28,24.48,162465
12-Sep-16,25.10,25.76,24.87,25.44,76729
9-Sep-16,25.26,25.58,24.38,24.87,137859
8-Sep-16,24.39,25.69,23.65,25.13,399851
7-Sep-16,24.76,24.85,24.17,24.58,54851
6-Sep-16,24.68,25.00,24.08,24.86,75731
2-Sep-16,24.23,24.88,24.13,24.87,71160
1-Sep-16,24.04,24.60,24.04,24.34,25861
31-Aug-16,24.22,24.47,23.66,24.06,38116
30-Aug-16,24.70,24.89,24.58,24.68,19321
29-Aug-16,24.85,24.94,24.59,24.71,17904
26-Aug-16,24.31,24.69,24.25,24.64,20230
25-Aug-16,24.30,24.83,23.78,24.43,36618
24-Aug-16,24.76,24.89,24.27,24.59,29138
23-Aug-16,24.62,25.23,24.50,24.84,37052
22-Aug-16,24.40,24.86,24.22,24.77,175974
19-Aug-16,24.56,24.75,24.01,24.39,41997
18-Aug-16,24.03,24.77,23.76,24.55,42120
17-Aug-16,23.19,24.23,22.80,23.96,59320
16-Aug-16,23.64,23.64,22.77,23.20,54383
15-Aug-16,23.73,24.58,23.42,23.50,32549
12-Aug-16,23.18,23.76,23.00,23.40,72710
11-Aug-16,25.10,25.23,22.66,23.15,226089
10-Aug-16,23.88,25.72,23.10,25.25,101837
9-Aug-16,27.00,27.60,22.41,24.80,248883
8-Aug-16,25.01,26.22,25.01,25.81,200663
5-Aug-16,24.59,25.62,24.48,24.63,48481
4-Aug-16,25.38,25.91,24.25,24.41,24258
3-Aug-16,23.96,25.75,23.52,25.45,232107
2-Aug-16,23.03,24.45,23.03,23.98,111648
1-Aug-16,22.87,23.74,22.71,22.90,32756
29-Jul-16,21.81,23.32,21.81,22.86,51223
28-Jul-16,21.78,22.42,21.62,21.87,23537
27-Jul-16,22.11,22.96,21.46,21.95,51261
26-Jul-16,22.31,22.48,21.78,21.88,34863
25-Jul-16,22.14,22.39,21.98,22.20,8025
22-Jul-16,22.07,22.66,22.05,22.24,15965
21-Jul-16,21.88,22.61,21.88,22.20,23517
20-Jul-16,21.97,22.44,21.81,21.93,19174
19-Jul-16,22.06,22.34,21.58,22.01,30280
18-Jul-16,22.00,22.70,21.56,22.02,39444
15-Jul-16,21.96,22.27,20.83,21.99,31549
14-Jul-16,22.88,22.99,21.28,21.83,50056
13-Jul-16,23.48,23.54,22.52,22.85,30440
12-Jul-16,23.97,23.98,23.04,23.21,68572
11-Jul-16,23.63,24.18,23.40,23.53,68183
8-Jul-16,23.25,23.61,22.80,23.33,12693
7-Jul-16,23.65,23.70,22.59,22.75,17459
6-Jul-16,22.97,23.96,22.25,23.34,59030
5-Jul-16,22.55,23.04,22.03,22.95,72151
1-Jul-16,22.26,23.56,22.20,23.19,77981
30-Jun-16,21.97,22.80,21.16,22.57,42860
29-Jun-16,23.17,23.71,20.73,21.73,257706
28-Jun-16,22.43,23.64,22.14,22.98,105300
27-Jun-16,21.06,22.10,20.25,21.70,103481
24-Jun-16,20.05,21.55,20.05,21.10,61785
23-Jun-16,20.37,21.30,20.14,21.10,38049
22-Jun-16,20.30,20.56,20.00,20.15,14944
21-Jun-16,20.36,20.71,19.97,20.05,60347
20-Jun-16,21.00,21.13,20.31,20.51,65010
17-Jun-16,21.40,22.04,19.96,20.00,98855
16-Jun-16,21.62,21.95,20.98,21.30,60657
15-Jun-16,21.59,22.73,21.30,21.68,57825
14-Jun-16,21.80,22.89,20.88,21.59,83668
13-Jun-16,22.84,23.00,21.70,22.09,100461
10-Jun-16,23.77,23.77,23.00,23.00,53100
9-Jun-16,24.78,24.78,23.12,23.98,67311
8-Jun-16,24.33,24.99,24.33,24.78,75920
7-Jun-16,22.63,24.46,22.63,24.21,82917
6-Jun-16,23.24,23.29,22.08,22.48,101936
3-Jun-16,24.00,24.01,22.51,22.73,101193
2-Jun-16,24.52,24.52,24.02,24.02,19207
1-Jun-16,24.84,25.05,24.07,24.52,18396
31-May-16,24.84,25.91,24.62,24.87,37736
27-May-16,24.91,25.16,24.02,24.69,67204
26-May-16,26.25,26.25,24.79,24.98,55864
25-May-16,26.36,26.64,26.04,26.12,55723
24-May-16,25.70,26.40,25.70,26.17,51151
23-May-16,24.49,26.08,24.49,25.48,197908
20-May-16,24.44,24.69,23.91,24.30,30914
19-May-16,24.35,24.35,23.49,23.87,86650
18-May-16,24.30,24.80,23.86,24.50,46385
17-May-16,25.28,25.28,24.33,24.52,53353
16-May-16,24.36,25.86,24.36,25.54,45301
13-May-16,26.24,26.24,24.02,24.32,75977
12-May-16,26.65,26.65,25.83,26.03,59509
11-May-16,24.66,26.64,24.66,26.41,106841
10-May-16,24.94,25.20,22.53,25.06,83755
9-May-16,25.50,25.59,24.69,24.75,78741
6-May-16,25.61,25.89,24.82,25.38,57574
5-May-16,25.10,26.01,24.94,25.79,70458
4-May-16,24.61,24.95,24.13,24.65,44488
3-May-16,24.72,24.86,24.45,24.69,56604
2-May-16,25.74,25.79,23.90,24.66,61001
29-Apr-16,26.95,27.44,25.68,25.95,101313
28-Apr-16,26.04,26.99,26.04,26.95,48579
27-Apr-16,24.88,26.49,24.64,25.97,107099
26-Apr-16,24.02,25.52,24.00,25.04,54391
25-Apr-16,25.50,25.50,23.48,24.01,93664
22-Apr-16,25.87,26.35,25.62,26.07,83043
21-Apr-16,25.89,26.35,25.51,25.87,83028
20-Apr-16,25.15,25.75,24.79,25.50,98776
19-Apr-16,25.81,25.98,24.00,25.26,139072
18-Apr-16,23.47,25.51,23.04,25.39,216013
15-Apr-16,24.00,24.14,22.12,22.97,97504
14-Apr-16,21.37,24.00,21.07,24.00,281756
13-Apr-16,19.37,21.80,19.19,21.03,415804
12-Apr-16,18.85,19.40,18.31,19.37,66585
11-Apr-16,19.48,19.48,18.72,18.95,58909
8-Apr-16,19.33,19.33,18.34,19.03,38613
7-Apr-16,18.90,19.13,18.72,19.04,24739
6-Apr-16,18.78,19.13,18.65,18.92,85556
5-Apr-16,18.64,19.00,18.34,18.70,40877
4-Apr-16,19.00,19.36,18.61,18.93,102110
1-Apr-16,18.79,19.00,17.85,18.60,45260
31-Mar-16,18.14,19.00,18.14,18.61,70745
30-Mar-16,16.94,18.36,16.89,18.14,69905
29-Mar-16,16.77,17.08,16.03,16.80,48336
28-Mar-16,17.98,17.98,16.51,16.90,74784
24-Mar-16,18.22,18.75,17.25,17.59,92715
23-Mar-16,17.79,17.97,17.04,17.59,68369
22-Mar-16,17.34,18.30,17.01,18.16,106854
21-Mar-16,17.50,17.68,17.00,17.55,41126
18-Mar-16,18.45,18.58,17.29,17.80,158905
17-Mar-16,18.42,18.74,18.29,18.35,50483
16-Mar-16,18.82,18.82,18.33,18.50,34120
15-Mar-16,18.90,18.91,18.43,18.75,9942
14-Mar-16,19.08,19.08,18.75,19.05,9527
11-Mar-16,19.36,19.38,18.61,19.04,25370
10-Mar-16,19.47,19.47,18.87,19.25,10820
9-Mar-16,19.16,19.38,18.71,19.20,19570
8-Mar-16,18.82,19.25,18.65,18.88,12325
7-Mar-16,18.80,19.38,18.78,18.95,21006
4-Mar-16,18.62,19.40,18.21,19.01,68012
3-Mar-16,18.77,19.37,18.25,18.62,47771
2-Mar-16,18.70,19.50,18.67,18.90,111959
1-Mar-16,18.71,19.05,18.25,19.04,21922
29-Feb-16,19.37,19.37,18.07,18.44,30779
26-Feb-16,18.79,19.12,18.68,18.97,20320
