Date,Open,High,Low,Close,Volume
22-Nov-16,14.56,14.59,14.52,14.55,111177
21-Nov-16,14.51,14.62,14.47,14.47,93236
18-Nov-16,14.54,14.68,14.54,14.58,126951
17-Nov-16,14.55,14.64,14.52,14.55,152392
16-Nov-16,14.44,14.58,14.44,14.54,195214
15-Nov-16,14.32,14.44,14.30,14.43,183330
14-Nov-16,14.29,14.44,14.17,14.17,256821
11-Nov-16,13.97,14.32,13.97,14.30,248931
10-Nov-16,14.08,14.09,13.90,13.98,141039
9-Nov-16,13.85,14.09,13.80,14.03,181755
8-Nov-16,13.97,14.13,13.93,13.97,117818
7-Nov-16,14.00,14.11,13.86,14.04,121475
4-Nov-16,13.93,13.96,13.84,13.84,83612
3-Nov-16,13.90,14.03,13.90,13.96,65124
2-Nov-16,13.98,14.05,13.89,13.96,108997
1-Nov-16,14.15,14.19,14.07,14.10,69929
31-Oct-16,14.21,14.23,14.14,14.15,105111
28-Oct-16,14.26,14.26,14.08,14.18,140596
27-Oct-16,14.17,14.30,14.15,14.26,197839
26-Oct-16,14.12,14.21,14.12,14.15,117502
25-Oct-16,14.08,14.13,14.01,14.12,113633
24-Oct-16,14.02,14.09,14.00,14.03,152454
21-Oct-16,13.82,14.00,13.82,14.00,108159
20-Oct-16,13.94,13.95,13.81,13.82,107175
19-Oct-16,14.01,14.04,13.97,13.99,121262
18-Oct-16,14.06,14.06,13.97,13.97,124680
17-Oct-16,14.05,14.06,13.97,13.98,68896
14-Oct-16,14.06,14.16,14.03,14.07,60279
13-Oct-16,14.07,14.11,14.04,14.06,126303
12-Oct-16,14.13,14.14,14.07,14.09,73837
11-Oct-16,14.19,14.20,14.09,14.12,125564
10-Oct-16,14.10,14.16,14.09,14.15,53921
7-Oct-16,14.09,14.09,14.04,14.05,66190
6-Oct-16,14.15,14.15,14.04,14.06,136096
5-Oct-16,14.22,14.25,14.19,14.22,95183
4-Oct-16,14.24,14.24,14.13,14.18,96829
3-Oct-16,14.09,14.24,14.09,14.22,203174
30-Sep-16,14.12,14.21,14.06,14.13,122445
29-Sep-16,14.16,14.17,14.06,14.08,116296
