Date,Open,High,Low,Close,Volume
22-Nov-16,8.92,8.98,8.91,8.92,270563
21-Nov-16,8.89,8.92,8.85,8.90,441261
18-Nov-16,8.94,9.00,8.90,8.99,462232
17-Nov-16,8.83,8.95,8.83,8.95,215580
16-Nov-16,8.76,8.86,8.76,8.85,299373
15-Nov-16,8.69,8.80,8.60,8.80,518862
14-Nov-16,8.85,8.90,8.67,8.68,390652
11-Nov-16,8.90,8.93,8.83,8.84,260082
10-Nov-16,8.94,8.98,8.86,8.90,370379
9-Nov-16,8.85,8.98,8.83,8.91,551439
8-Nov-16,8.90,8.96,8.89,8.91,104689
7-Nov-16,8.96,8.97,8.88,8.92,190547
4-Nov-16,8.86,8.86,8.80,8.80,234352
3-Nov-16,8.80,8.89,8.80,8.85,231511
2-Nov-16,9.05,9.08,8.78,8.78,594300
1-Nov-16,9.17,9.17,9.06,9.06,230144
31-Oct-16,9.13,9.18,9.08,9.18,335328
28-Oct-16,9.10,9.16,9.08,9.08,151664
27-Oct-16,9.21,9.21,9.10,9.11,263940
26-Oct-16,9.18,9.24,9.17,9.20,137617
25-Oct-16,9.24,9.24,9.20,9.24,79050
24-Oct-16,9.21,9.24,9.19,9.23,178051
21-Oct-16,9.13,9.20,9.10,9.20,137878
20-Oct-16,9.19,9.23,9.09,9.14,205514
19-Oct-16,9.15,9.29,9.15,9.28,184192
18-Oct-16,9.20,9.24,9.13,9.16,328707
17-Oct-16,9.30,9.30,9.10,9.13,454445
14-Oct-16,9.34,9.34,9.26,9.30,230958
13-Oct-16,9.32,9.35,9.23,9.33,322633
12-Oct-16,9.40,9.41,9.36,9.39,119047
11-Oct-16,9.51,9.51,9.38,9.42,175998
10-Oct-16,9.50,9.54,9.49,9.53,160838
7-Oct-16,9.49,9.50,9.46,9.48,132526
6-Oct-16,9.48,9.49,9.45,9.47,116902
5-Oct-16,9.47,9.49,9.45,9.49,136247
4-Oct-16,9.49,9.52,9.43,9.49,207463
3-Oct-16,9.43,9.49,9.42,9.49,172029
30-Sep-16,9.42,9.45,9.37,9.43,268402
29-Sep-16,9.50,9.51,9.35,9.35,497707
28-Sep-16,9.50,9.52,9.48,9.51,134697
27-Sep-16,9.48,9.51,9.45,9.48,203033
26-Sep-16,9.50,9.51,9.45,9.48,130037
23-Sep-16,9.52,9.54,9.51,9.52,141363
22-Sep-16,9.59,9.60,9.52,9.52,290835
21-Sep-16,9.58,9.58,9.53,9.56,284857
20-Sep-16,9.63,9.64,9.57,9.61,237264
19-Sep-16,9.61,9.61,9.55,9.58,264304
16-Sep-16,9.59,9.59,9.53,9.56,150680
15-Sep-16,9.53,9.61,9.49,9.58,184865
14-Sep-16,9.56,9.58,9.49,9.54,211379
13-Sep-16,9.63,9.64,9.53,9.56,346835
12-Sep-16,9.57,9.74,9.55,9.67,254049
9-Sep-16,9.72,9.74,9.58,9.62,430031
8-Sep-16,9.75,9.77,9.73,9.77,116057
7-Sep-16,9.75,9.76,9.71,9.75,208323
6-Sep-16,9.71,9.73,9.70,9.73,263365
2-Sep-16,9.70,9.74,9.68,9.70,285041
1-Sep-16,9.72,9.73,9.65,9.69,339943
31-Aug-16,9.74,9.75,9.70,9.71,190356
30-Aug-16,9.68,9.74,9.68,9.71,257224
29-Aug-16,9.67,9.73,9.66,9.71,160135
26-Aug-16,9.65,9.70,9.60,9.67,245192
25-Aug-16,9.71,9.74,9.61,9.62,389650
24-Aug-16,9.71,9.75,9.71,9.72,185315
23-Aug-16,9.82,9.84,9.71,9.71,322244
22-Aug-16,9.78,9.85,9.72,9.82,455763
19-Aug-16,9.85,9.90,9.79,9.89,912482
18-Aug-16,9.88,9.88,9.82,9.86,281521
17-Aug-16,9.84,9.87,9.79,9.86,535487
16-Aug-16,9.81,9.85,9.78,9.83,662497
15-Aug-16,9.81,9.84,9.77,9.83,469122
12-Aug-16,9.74,9.81,9.71,9.79,437817
11-Aug-16,9.74,9.76,9.71,9.76,413784
10-Aug-16,9.80,9.85,9.71,9.74,557500
9-Aug-16,9.82,9.84,9.77,9.78,311723
8-Aug-16,9.80,9.82,9.74,9.79,320350
5-Aug-16,9.79,9.84,9.75,9.82,985477
4-Aug-16,9.76,9.83,9.70,9.80,413554
3-Aug-16,9.71,9.77,9.69,9.75,182388
2-Aug-16,9.73,9.74,9.68,9.70,193008
1-Aug-16,9.75,9.77,9.70,9.74,366663
29-Jul-16,9.78,9.80,9.72,9.75,241749
28-Jul-16,9.72,9.78,9.70,9.76,141793
27-Jul-16,9.75,9.75,9.70,9.72,138623
26-Jul-16,9.74,9.75,9.67,9.73,209578
25-Jul-16,9.72,9.73,9.70,9.72,118798
22-Jul-16,9.74,9.75,9.70,9.70,199728
21-Jul-16,9.76,9.82,9.67,9.71,493239
20-Jul-16,9.81,9.83,9.76,9.79,242109
19-Jul-16,9.79,9.87,9.79,9.83,261592
18-Jul-16,9.79,9.82,9.77,9.82,324975
15-Jul-16,9.85,9.86,9.78,9.82,210825
14-Jul-16,9.89,9.90,9.82,9.88,243474
13-Jul-16,9.90,9.93,9.78,9.87,242515
12-Jul-16,9.87,9.93,9.86,9.93,104520
11-Jul-16,9.85,9.89,9.84,9.85,175101
8-Jul-16,9.81,9.88,9.79,9.88,168642
7-Jul-16,9.77,9.81,9.73,9.80,163684
6-Jul-16,9.72,9.82,9.68,9.82,176219
5-Jul-16,9.75,9.79,9.70,9.79,168643
1-Jul-16,9.79,9.83,9.76,9.81,191146
30-Jun-16,9.72,9.77,9.65,9.77,157558
29-Jun-16,9.57,9.74,9.56,9.74,448033
28-Jun-16,9.44,9.57,9.41,9.54,188170
27-Jun-16,9.40,9.41,9.31,9.36,247388
24-Jun-16,9.40,9.56,9.25,9.46,275784
23-Jun-16,9.64,9.67,9.58,9.62,174709
22-Jun-16,9.65,9.67,9.56,9.57,111395
21-Jun-16,9.69,9.74,9.60,9.63,172602
20-Jun-16,9.76,9.82,9.76,9.77,253191
17-Jun-16,9.66,9.72,9.65,9.72,95663
16-Jun-16,9.65,9.67,9.58,9.63,160555
15-Jun-16,9.72,9.74,9.67,9.70,102006
14-Jun-16,9.73,9.75,9.64,9.71,159316
13-Jun-16,9.77,9.79,9.73,9.73,99469
10-Jun-16,9.76,9.81,9.76,9.79,129786
9-Jun-16,9.77,9.84,9.75,9.78,395363
8-Jun-16,9.87,9.94,9.82,9.84,138578
7-Jun-16,9.86,9.89,9.82,9.86,178160
6-Jun-16,9.81,9.88,9.81,9.86,154036
3-Jun-16,9.79,9.83,9.76,9.83,135497
2-Jun-16,9.82,9.85,9.81,9.82,221224
1-Jun-16,9.75,9.85,9.75,9.82,97707
31-May-16,9.80,9.83,9.75,9.75,202525
27-May-16,9.75,9.82,9.75,9.76,141308
26-May-16,9.76,9.79,9.75,9.77,68457
25-May-16,9.77,9.85,9.73,9.73,192329
24-May-16,9.63,9.74,9.63,9.74,109575
23-May-16,9.65,9.72,9.61,9.61,220147
20-May-16,9.74,9.81,9.64,9.64,187435
19-May-16,9.82,9.86,9.73,9.81,327416
18-May-16,9.90,9.92,9.85,9.90,241711
17-May-16,9.93,9.95,9.85,9.92,288664
16-May-16,9.78,9.95,9.77,9.93,331091
13-May-16,9.72,9.87,9.72,9.77,198287
12-May-16,9.78,9.84,9.70,9.72,222417
11-May-16,9.84,9.90,9.74,9.78,140505
10-May-16,9.83,9.85,9.79,9.85,100639
