Date,Open,High,Low,Close,Volume
22-Nov-16,20.19,20.25,20.12,20.12,159593
21-Nov-16,20.01,20.16,20.01,20.11,147323
18-Nov-16,20.20,20.22,20.06,20.20,149488
17-Nov-16,19.96,20.27,19.96,20.17,223805
16-Nov-16,19.89,20.06,19.89,20.00,179619
15-Nov-16,19.83,19.97,19.75,19.95,161102
14-Nov-16,19.78,19.89,19.71,19.81,300795
11-Nov-16,19.57,19.81,19.57,19.75,137539
10-Nov-16,19.44,19.74,19.30,19.73,194797
9-Nov-16,18.82,19.38,18.70,19.34,251725
8-Nov-16,18.98,19.19,18.87,19.11,170680
7-Nov-16,18.80,19.10,18.80,19.09,216067
4-Nov-16,18.84,18.84,18.62,18.66,217972
3-Nov-16,18.77,18.91,18.74,18.80,166588
2-Nov-16,19.23,19.28,18.71,18.79,361789
1-Nov-16,19.35,19.35,19.19,19.34,156564
31-Oct-16,19.44,19.44,19.34,19.39,122517
28-Oct-16,19.45,19.59,19.35,19.43,148535
27-Oct-16,19.54,19.66,19.48,19.48,102107
26-Oct-16,19.60,19.68,19.49,19.54,139986
25-Oct-16,19.76,19.80,19.64,19.67,106277
24-Oct-16,19.86,19.93,19.76,19.80,141337
21-Oct-16,19.64,19.76,19.60,19.75,69701
20-Oct-16,19.74,19.77,19.71,19.75,72733
19-Oct-16,19.78,19.94,19.66,19.92,183614
18-Oct-16,19.79,19.80,19.60,19.74,70410
17-Oct-16,19.72,19.73,19.28,19.60,294416
14-Oct-16,19.72,19.87,19.66,19.70,109230
13-Oct-16,19.81,19.84,19.55,19.67,184645
12-Oct-16,19.90,20.01,19.88,19.94,122057
11-Oct-16,20.09,20.09,19.86,19.91,111831
10-Oct-16,20.05,20.15,20.02,20.10,89509
7-Oct-16,20.06,20.12,19.91,19.93,109612
6-Oct-16,19.98,20.09,19.90,20.09,102598
5-Oct-16,20.09,20.14,19.98,20.00,117389
4-Oct-16,20.17,20.22,20.01,20.03,127115
3-Oct-16,20.13,20.25,20.08,20.23,77172
30-Sep-16,20.18,20.29,20.09,20.15,146774
29-Sep-16,20.28,20.28,20.04,20.06,128113
28-Sep-16,20.40,20.40,20.18,20.31,71763
27-Sep-16,20.23,20.37,20.18,20.36,134058
26-Sep-16,20.15,20.28,20.06,20.25,83152
23-Sep-16,20.26,20.29,20.12,20.28,102228
22-Sep-16,20.24,20.32,20.19,20.31,93670
21-Sep-16,20.14,20.20,19.99,20.10,213539
20-Sep-16,20.34,20.38,20.22,20.23,89594
19-Sep-16,20.18,20.38,20.18,20.24,93543
16-Sep-16,20.36,20.36,20.11,20.16,108980
15-Sep-16,20.13,20.39,20.08,20.36,87123
14-Sep-16,20.47,20.49,20.11,20.16,147204
13-Sep-16,20.34,20.47,20.25,20.40,150949
12-Sep-16,20.25,20.55,20.25,20.48,171571
9-Sep-16,20.72,20.74,20.36,20.39,125896
8-Sep-16,20.83,20.86,20.77,20.84,79811
7-Sep-16,20.83,20.92,20.83,20.83,90581
6-Sep-16,20.82,20.88,20.73,20.85,122090
2-Sep-16,20.76,20.78,20.72,20.74,71865
1-Sep-16,20.89,20.90,20.62,20.67,123439
31-Aug-16,20.83,20.93,20.75,20.88,160093
30-Aug-16,20.75,20.84,20.72,20.77,113469
29-Aug-16,20.81,20.88,20.73,20.83,109939
26-Aug-16,20.79,20.91,20.78,20.85,83543
25-Aug-16,20.66,20.84,20.66,20.74,271858
24-Aug-16,20.90,20.93,20.79,20.80,98656
23-Aug-16,20.97,21.00,20.89,20.92,89059
22-Aug-16,21.04,21.04,20.88,20.93,197791
19-Aug-16,21.06,21.25,21.02,21.23,125071
18-Aug-16,20.90,21.08,20.90,21.06,76621
17-Aug-16,20.91,21.00,20.87,20.93,90140
16-Aug-16,20.88,21.00,20.87,20.97,122557
15-Aug-16,21.00,21.04,20.85,20.93,86696
12-Aug-16,20.69,20.97,20.67,20.95,112425
11-Aug-16,20.67,20.82,20.67,20.70,78699
10-Aug-16,20.81,20.89,20.63,20.67,285986
9-Aug-16,20.66,20.90,20.66,20.88,85735
8-Aug-16,20.70,20.75,20.64,20.68,161444
5-Aug-16,20.64,20.74,20.64,20.66,151783
4-Aug-16,20.71,20.75,20.60,20.62,103706
3-Aug-16,20.72,20.76,20.64,20.67,89045
2-Aug-16,20.72,20.79,20.63,20.76,126710
1-Aug-16,20.96,20.99,20.68,20.70,159910
29-Jul-16,21.00,21.07,20.81,21.00,137222
28-Jul-16,20.86,20.99,20.81,20.92,126614
27-Jul-16,20.94,20.97,20.86,20.89,96705
26-Jul-16,20.74,20.95,20.74,20.85,112289
25-Jul-16,20.78,20.79,20.73,20.74,80979
22-Jul-16,20.60,20.81,20.60,20.81,91846
21-Jul-16,20.77,20.80,20.59,20.59,247733
20-Jul-16,20.84,20.88,20.80,20.85,138777
19-Jul-16,20.93,20.97,20.81,20.89,153259
18-Jul-16,20.71,20.99,20.70,20.93,194699
15-Jul-16,20.77,20.93,20.72,20.72,97028
14-Jul-16,20.81,20.96,20.76,20.76,223235
13-Jul-16,20.65,20.73,20.61,20.71,135537
12-Jul-16,20.64,20.83,20.61,20.67,151801
11-Jul-16,20.49,20.62,20.49,20.58,125972
8-Jul-16,20.54,20.55,20.42,20.52,141947
7-Jul-16,20.41,20.55,20.39,20.40,174706
6-Jul-16,20.20,20.45,20.15,20.37,160300
5-Jul-16,20.18,20.27,19.99,20.24,190800
1-Jul-16,20.19,20.35,20.19,20.33,128861
30-Jun-16,20.19,20.32,19.88,20.13,207421
29-Jun-16,19.95,20.07,19.88,20.02,352308
28-Jun-16,19.60,19.92,19.60,19.83,160487
27-Jun-16,19.92,19.92,19.51,19.53,209776
24-Jun-16,19.67,20.08,19.67,20.04,196373
23-Jun-16,20.36,20.44,20.25,20.29,96878
22-Jun-16,20.21,20.39,20.17,20.18,155789
21-Jun-16,20.21,20.26,20.11,20.21,125579
20-Jun-16,20.38,20.44,20.28,20.36,207859
17-Jun-16,20.26,20.26,20.13,20.17,156548
16-Jun-16,19.92,20.26,19.78,20.24,161586
15-Jun-16,20.00,20.09,19.97,19.99,199843
14-Jun-16,20.10,20.10,19.90,20.00,188126
13-Jun-16,20.20,20.33,20.08,20.08,175663
10-Jun-16,20.26,20.34,20.18,20.30,101968
9-Jun-16,20.38,20.38,20.28,20.36,135114
8-Jun-16,20.38,20.45,20.32,20.39,174337
7-Jun-16,20.35,20.48,20.32,20.41,149025
6-Jun-16,20.39,20.47,20.36,20.37,143176
