Date,Open,High,Low,Close,Volume
22-Nov-16,13.94,14.01,13.69,13.88,250798
21-Nov-16,13.56,13.82,13.56,13.76,190059
18-Nov-16,13.73,13.91,13.43,13.54,188948
17-Nov-16,13.89,14.03,13.60,13.63,170787
16-Nov-16,13.60,14.01,13.60,13.78,326727
15-Nov-16,13.12,13.57,12.98,13.51,211055
14-Nov-16,12.50,13.23,11.58,13.13,511275
11-Nov-16,11.88,12.85,11.84,12.47,200762
10-Nov-16,11.25,11.98,11.18,11.88,162464
9-Nov-16,10.83,11.77,10.24,11.77,140947
8-Nov-16,11.10,11.50,10.88,11.38,59556
7-Nov-16,10.92,11.17,10.67,11.08,95186
4-Nov-16,10.71,10.93,10.68,10.69,66546
3-Nov-16,10.67,10.88,10.65,10.68,60608
2-Nov-16,10.86,10.97,10.74,10.76,35847
1-Nov-16,10.95,10.97,10.73,10.88,60195
31-Oct-16,10.92,10.96,10.75,10.96,57801
28-Oct-16,11.02,11.10,10.84,10.88,50282
27-Oct-16,11.27,11.27,11.04,11.05,35684
26-Oct-16,11.41,11.48,11.18,11.18,63556
25-Oct-16,11.61,11.65,11.42,11.48,38322
24-Oct-16,11.70,11.93,11.58,11.59,68012
21-Oct-16,11.58,11.70,11.52,11.62,50984
20-Oct-16,11.57,11.82,11.57,11.70,57428
19-Oct-16,11.62,11.78,11.50,11.65,81794
18-Oct-16,11.66,11.71,11.55,11.58,55428
17-Oct-16,11.46,11.61,11.39,11.54,41702
14-Oct-16,11.48,11.65,11.37,11.47,116551
13-Oct-16,11.69,11.70,11.37,11.40,61906
12-Oct-16,11.71,11.84,11.60,11.82,56164
11-Oct-16,11.93,11.93,11.60,11.68,64975
10-Oct-16,11.67,12.01,11.67,11.95,106623
7-Oct-16,11.72,11.78,11.47,11.60,75430
6-Oct-16,11.52,11.77,11.45,11.69,65702
5-Oct-16,11.39,11.62,11.37,11.46,84759
4-Oct-16,11.36,11.45,11.25,11.32,72931
3-Oct-16,11.27,11.42,11.22,11.36,88408
30-Sep-16,11.06,11.39,11.04,11.28,119622
29-Sep-16,11.28,11.34,10.96,11.03,45047
28-Sep-16,11.06,11.27,10.98,11.24,54686
27-Sep-16,10.88,11.11,10.82,11.07,56202
26-Sep-16,11.31,11.33,10.87,10.89,94803
23-Sep-16,11.37,11.42,11.16,11.31,75142
22-Sep-16,11.14,11.41,11.11,11.40,102003
21-Sep-16,10.79,11.10,10.79,11.04,121665
20-Sep-16,10.95,10.95,10.77,10.79,79625
19-Sep-16,10.62,10.99,10.59,10.93,114484
16-Sep-16,10.40,10.58,10.30,10.54,269555
15-Sep-16,10.47,10.57,10.33,10.44,63475
14-Sep-16,10.64,10.64,10.32,10.44,60167
13-Sep-16,10.81,10.95,10.52,10.56,70530
12-Sep-16,10.83,11.00,10.74,10.97,91078
9-Sep-16,11.32,11.33,10.88,10.89,99779
8-Sep-16,11.48,11.52,11.33,11.37,98807
7-Sep-16,11.52,11.68,11.38,11.45,118155
6-Sep-16,11.72,11.72,11.48,11.53,118764
2-Sep-16,11.67,11.73,11.65,11.70,60394
1-Sep-16,11.70,11.70,11.35,11.58,83624
31-Aug-16,11.72,11.80,11.63,11.69,77446
30-Aug-16,11.73,11.89,11.67,11.78,82012
29-Aug-16,11.79,11.91,11.78,11.82,98602
26-Aug-16,11.85,12.00,11.66,11.82,107365
25-Aug-16,11.80,11.92,11.71,11.82,115600
24-Aug-16,11.86,12.00,11.78,11.82,219693
23-Aug-16,12.00,12.02,11.84,11.88,103371
22-Aug-16,11.82,12.09,11.82,11.95,118352
19-Aug-16,11.96,11.97,11.82,11.82,81573
18-Aug-16,11.93,12.12,11.81,11.97,151060
17-Aug-16,11.78,12.01,11.69,12.01,114888
16-Aug-16,11.74,11.88,11.70,11.84,72807
15-Aug-16,11.92,12.03,11.72,11.78,74677
12-Aug-16,11.77,11.99,11.67,11.86,65358
11-Aug-16,11.45,11.82,11.44,11.79,166161
10-Aug-16,11.77,11.77,11.30,11.41,143028
9-Aug-16,11.66,11.75,11.42,11.61,80957
8-Aug-16,11.76,11.76,11.58,11.60,68241
5-Aug-16,11.57,11.77,11.45,11.71,95326
4-Aug-16,11.50,11.63,11.45,11.45,60219
3-Aug-16,11.43,11.61,11.43,11.47,87416
2-Aug-16,11.51,11.73,11.49,11.50,68134
1-Aug-16,11.52,11.52,11.23,11.49,66528
29-Jul-16,11.56,11.56,11.29,11.46,107582
28-Jul-16,11.66,11.70,11.54,11.56,83749
