Date,Open,High,Low,Close,Volume
22-Nov-16,7.60,7.67,7.28,7.33,972804
21-Nov-16,7.61,7.85,7.45,7.48,1022277
18-Nov-16,7.02,7.57,7.00,7.50,1248827
17-Nov-16,7.40,7.55,7.00,7.05,1240527
16-Nov-16,7.42,7.54,7.19,7.32,601030
15-Nov-16,7.50,7.82,7.45,7.54,591066
14-Nov-16,8.00,8.04,7.15,7.55,846205
11-Nov-16,7.87,7.99,7.81,7.85,382868
10-Nov-16,7.90,8.14,7.80,7.87,440373
9-Nov-16,7.91,7.95,7.75,7.89,517880
8-Nov-16,8.11,8.29,7.81,7.81,537590
7-Nov-16,8.25,8.30,8.00,8.10,594348
4-Nov-16,8.03,8.21,8.00,8.00,327488
3-Nov-16,8.24,8.33,8.00,8.03,417269
2-Nov-16,8.13,8.24,7.86,8.18,743468
1-Nov-16,8.51,8.51,7.81,8.00,1178344
31-Oct-16,9.30,9.34,8.20,8.73,1671275
28-Oct-16,9.60,9.70,9.46,9.47,475294
27-Oct-16,9.94,9.95,9.60,9.66,628719
26-Oct-16,9.91,10.03,9.85,9.95,512631
25-Oct-16,10.50,10.53,9.65,10.00,1385134
24-Oct-16,10.60,10.62,10.47,10.50,455783
21-Oct-16,10.54,10.68,10.48,10.53,376455
20-Oct-16,10.50,10.63,10.47,10.59,303286
19-Oct-16,10.55,10.70,10.45,10.50,347211
18-Oct-16,10.58,10.74,10.43,10.55,322998
17-Oct-16,10.60,10.61,10.37,10.58,446729
14-Oct-16,10.41,10.70,10.41,10.48,295027
13-Oct-16,10.50,10.54,10.34,10.44,375084
12-Oct-16,10.53,10.64,10.38,10.58,373406
11-Oct-16,10.53,10.60,10.25,10.44,563574
10-Oct-16,10.60,10.89,10.45,10.61,604994
7-Oct-16,10.61,10.98,10.20,10.42,843754
6-Oct-16,10.00,11.20,10.00,10.58,1389143
5-Oct-16,9.40,10.36,9.27,9.96,2101730
4-Oct-16,10.20,10.39,9.12,9.72,3668209
3-Oct-16,11.53,11.60,10.57,10.66,2004383
30-Sep-16,11.69,12.10,11.27,11.64,2158074
29-Sep-16,12.41,12.67,11.61,11.77,2422135
28-Sep-16,14.27,14.50,12.45,13.00,6400595
27-Sep-16,16.92,16.94,16.50,16.50,533762
26-Sep-16,17.01,17.01,16.77,16.77,270777
23-Sep-16,16.96,17.05,16.71,16.83,381069
22-Sep-16,17.25,17.32,16.95,16.99,447395
21-Sep-16,17.00,17.22,16.84,17.07,443813
20-Sep-16,17.21,17.41,17.04,17.05,260246
19-Sep-16,17.18,17.30,16.95,17.24,480314
16-Sep-16,17.25,17.38,16.75,16.94,934888
15-Sep-16,17.86,18.09,17.07,17.40,1031173
14-Sep-16,18.31,18.70,18.17,18.24,389148
13-Sep-16,18.60,18.60,17.58,18.01,808725
12-Sep-16,18.65,19.00,18.61,18.99,111648
9-Sep-16,18.92,19.30,18.70,18.78,318883
8-Sep-16,19.10,19.45,18.78,18.81,327783
7-Sep-16,19.38,19.38,19.10,19.16,147539
6-Sep-16,19.70,19.70,19.08,19.28,286870
2-Sep-16,19.35,19.56,19.23,19.40,225212
1-Sep-16,20.23,20.34,19.75,19.84,546368
31-Aug-16,20.28,20.30,20.05,20.18,246442
30-Aug-16,20.49,20.49,20.15,20.29,205680
29-Aug-16,20.22,20.35,20.01,20.25,359364
26-Aug-16,20.14,20.31,20.00,20.07,165593
25-Aug-16,20.19,20.40,20.05,20.06,152431
24-Aug-16,20.45,20.49,20.02,20.35,193120
23-Aug-16,20.45,20.51,20.16,20.30,214751
22-Aug-16,20.48,20.55,20.29,20.43,208697
19-Aug-16,20.00,20.47,19.82,20.41,328226
18-Aug-16,19.75,20.09,19.75,20.04,203962
17-Aug-16,19.68,19.72,19.52,19.72,111289
16-Aug-16,19.75,19.75,19.55,19.56,132612
15-Aug-16,19.70,19.90,19.50,19.60,169308
12-Aug-16,19.62,19.87,19.62,19.65,154584
11-Aug-16,19.50,19.65,19.40,19.51,130124
10-Aug-16,19.50,19.70,19.47,19.54,99987
9-Aug-16,19.76,19.77,19.40,19.66,111495
8-Aug-16,19.67,19.85,19.52,19.53,157933
5-Aug-16,19.56,19.80,19.50,19.67,108712
4-Aug-16,19.38,19.81,19.38,19.49,143148
3-Aug-16,19.64,19.84,19.42,19.50,134831
2-Aug-16,19.25,19.88,19.25,19.81,545889
1-Aug-16,19.66,19.66,19.15,19.26,204984
29-Jul-16,19.28,19.69,19.19,19.68,152052
28-Jul-16,19.14,19.31,19.14,19.28,81221
27-Jul-16,18.99,19.24,18.91,19.11,155082
26-Jul-16,19.10,19.39,18.92,18.98,122350
25-Jul-16,19.00,19.37,18.91,19.24,135000
22-Jul-16,19.06,19.16,18.88,19.05,83890
21-Jul-16,19.11,19.24,18.90,19.08,119001
20-Jul-16,19.30,19.30,19.01,19.11,160233
19-Jul-16,19.08,19.25,19.02,19.20,112296
18-Jul-16,19.00,19.22,18.93,19.09,135426
15-Jul-16,19.15,19.19,18.86,19.09,96876
14-Jul-16,19.33,19.33,19.00,19.02,110483
13-Jul-16,19.15,19.30,19.09,19.30,111116
12-Jul-16,18.71,19.22,18.71,19.15,206083
11-Jul-16,19.27,19.35,18.71,18.71,209098
8-Jul-16,18.92,19.36,18.75,19.15,337642
7-Jul-16,18.58,18.80,18.52,18.75,139267
6-Jul-16,18.50,18.75,18.35,18.53,143312
5-Jul-16,18.23,18.50,18.22,18.50,164327
1-Jul-16,18.39,18.48,18.20,18.22,121035
30-Jun-16,18.11,18.50,18.11,18.48,181759
29-Jun-16,17.87,18.35,17.87,18.14,176681
28-Jun-16,17.68,17.88,17.53,17.87,294243
27-Jun-16,17.20,17.37,17.00,17.33,276320
24-Jun-16,17.00,17.55,17.00,17.30,238674
23-Jun-16,17.24,17.41,17.10,17.36,228687
22-Jun-16,17.72,17.72,17.16,17.24,162100
21-Jun-16,17.20,17.49,17.08,17.31,236155
20-Jun-16,17.69,17.70,17.10,17.17,349424
17-Jun-16,17.93,17.93,16.89,17.57,1157705
16-Jun-16,17.50,17.72,17.31,17.53,165783
15-Jun-16,17.19,17.71,17.06,17.55,353111
14-Jun-16,16.82,17.30,16.62,16.93,695236
13-Jun-16,16.75,16.78,16.11,16.48,655375
10-Jun-16,16.90,16.98,16.33,16.68,1230712
9-Jun-16,17.70,17.86,17.09,17.25,970764
8-Jun-16,18.36,19.00,17.48,17.88,900906
7-Jun-16,19.37,19.62,18.69,18.85,702520
6-Jun-16,19.55,19.62,18.88,19.20,591257
3-Jun-16,19.51,19.88,19.26,19.54,528502
2-Jun-16,20.28,20.76,20.12,20.26,942039
1-Jun-16,19.90,20.20,19.82,20.07,338877
31-May-16,20.50,20.66,19.81,19.89,614212
27-May-16,20.71,20.85,20.18,20.26,439102
26-May-16,20.38,20.72,20.25,20.68,270047
25-May-16,20.15,20.45,20.07,20.28,257053
24-May-16,20.00,20.20,19.80,20.10,273763
23-May-16,20.06,20.13,19.78,19.90,174513
20-May-16,20.12,20.17,19.89,20.03,214395
19-May-16,19.57,20.10,19.36,19.97,293113
18-May-16,20.00,20.00,19.46,19.57,225335
17-May-16,19.90,19.99,19.75,19.94,205275
16-May-16,19.58,19.89,19.50,19.87,204381
13-May-16,19.80,19.89,19.41,19.41,201852
12-May-16,19.44,19.84,19.44,19.69,169575
11-May-16,19.19,19.66,19.15,19.43,273116
10-May-16,19.00,19.20,18.85,19.16,202709
9-May-16,18.92,19.16,18.69,18.95,213725
6-May-16,18.70,18.96,18.60,18.86,232446
5-May-16,18.93,19.13,18.63,18.82,212287
4-May-16,18.79,18.99,18.72,18.84,150243
3-May-16,18.64,18.82,18.45,18.79,259680
2-May-16,18.75,18.85,18.16,18.69,221329
29-Apr-16,18.64,18.76,18.38,18.74,203935
28-Apr-16,18.60,18.73,18.03,18.64,279018
27-Apr-16,18.57,18.70,18.36,18.56,228255
26-Apr-16,18.39,18.62,18.26,18.34,215844
25-Apr-16,18.21,18.44,18.09,18.44,129794
22-Apr-16,18.27,18.50,18.00,18.23,231233
21-Apr-16,18.10,18.45,18.02,18.19,172832
20-Apr-16,18.32,18.38,18.08,18.12,156407
19-Apr-16,18.18,18.46,18.10,18.27,160420
18-Apr-16,18.00,18.44,17.99,18.23,160005
15-Apr-16,17.86,18.46,17.81,18.01,269750
14-Apr-16,18.08,18.22,17.60,18.13,222164
13-Apr-16,18.25,18.35,17.89,17.95,201154
12-Apr-16,17.80,18.25,17.74,18.09,253980
11-Apr-16,17.92,18.00,17.76,17.80,209325
8-Apr-16,17.77,18.01,17.70,17.82,148624
7-Apr-16,17.70,17.89,17.57,17.67,143304
6-Apr-16,17.25,17.80,17.10,17.77,369902
5-Apr-16,17.01,17.31,17.01,17.07,212474
4-Apr-16,16.95,17.29,16.95,17.01,221591
1-Apr-16,17.17,17.43,16.93,16.95,243472
31-Mar-16,17.15,17.46,17.07,17.40,123086
30-Mar-16,17.08,17.44,16.93,17.25,141445
29-Mar-16,16.80,17.11,16.68,17.06,170726
28-Mar-16,17.30,17.34,16.85,16.93,219764
24-Mar-16,16.90,17.29,16.68,17.27,160677
23-Mar-16,17.25,17.25,16.93,16.95,198535
22-Mar-16,17.15,17.49,17.02,17.26,196425
21-Mar-16,17.44,17.52,17.05,17.16,250624
18-Mar-16,17.51,17.70,17.14,17.57,542715
17-Mar-16,16.99,17.60,16.78,17.37,435794
16-Mar-16,16.09,17.21,16.09,16.97,546273
15-Mar-16,15.25,16.11,15.17,16.11,504722
14-Mar-16,16.14,16.20,15.30,15.30,740359
11-Mar-16,16.35,16.84,16.21,16.22,755977
10-Mar-16,16.72,17.18,16.03,16.03,780546
9-Mar-16,17.33,17.50,17.03,17.15,560047
8-Mar-16,17.74,17.82,17.30,17.35,359971
7-Mar-16,18.05,18.33,17.68,17.70,494263
4-Mar-16,18.79,18.87,18.32,18.45,651893
3-Mar-16,18.69,19.13,18.55,18.55,540074
2-Mar-16,18.88,18.97,18.44,18.50,418079
1-Mar-16,18.66,18.90,18.50,18.81,411181
29-Feb-16,18.68,18.89,18.25,18.54,511959
26-Feb-16,18.50,18.85,18.20,18.65,415351
25-Feb-16,18.30,18.40,17.88,18.38,299811
24-Feb-16,17.95,18.44,17.55,18.14,369206
23-Feb-16,18.60,18.60,17.97,18.16,211443
22-Feb-16,18.25,18.83,18.07,18.56,477769
19-Feb-16,17.99,18.06,17.55,17.88,216624
18-Feb-16,18.19,18.36,17.87,17.99,275054
17-Feb-16,17.35,18.22,17.12,18.19,498444
16-Feb-16,16.96,17.25,16.84,17.07,406771
12-Feb-16,15.82,16.88,15.82,16.77,297647
11-Feb-16,16.03,16.13,15.60,15.69,240056
10-Feb-16,16.21,16.43,15.96,16.06,208331
9-Feb-16,16.35,16.35,15.75,16.12,253509
8-Feb-16,16.12,16.48,15.61,16.42,347309
5-Feb-16,15.26,16.47,15.09,16.18,489835
4-Feb-16,15.24,15.35,15.05,15.16,420631
3-Feb-16,15.62,15.75,15.05,15.17,265919
2-Feb-16,15.73,15.79,15.31,15.44,254165
1-Feb-16,15.94,15.94,15.55,15.85,213581
29-Jan-16,15.92,16.10,15.80,15.94,240102
28-Jan-16,15.86,16.08,15.70,15.78,232567
27-Jan-16,15.75,15.75,15.41,15.59,302665
26-Jan-16,15.80,15.85,15.54,15.73,260025
25-Jan-16,15.81,15.90,15.46,15.79,231422
22-Jan-16,15.62,15.96,15.30,15.88,511818
21-Jan-16,14.29,15.50,14.29,15.39,412767
20-Jan-16,15.00,15.45,13.76,14.36,756515
19-Jan-16,15.41,15.61,15.00,15.16,351497
15-Jan-16,15.69,15.74,15.18,15.42,255956
14-Jan-16,15.20,15.94,15.02,15.76,343483
13-Jan-16,15.90,16.12,15.30,15.33,269318
12-Jan-16,16.18,16.37,15.60,15.75,347639
11-Jan-16,16.36,16.47,15.91,16.08,373792
8-Jan-16,16.25,16.40,16.10,16.26,242645
7-Jan-16,16.00,16.26,15.97,16.24,257359
6-Jan-16,16.01,16.37,16.00,16.31,279425
5-Jan-16,16.55,16.66,16.10,16.29,305412
4-Jan-16,16.52,16.81,16.30,16.54,649713
31-Dec-15,16.24,16.84,16.01,16.60,472782
30-Dec-15,16.32,16.40,16.01,16.25,333564
29-Dec-15,17.04,17.19,16.25,16.41,410390
28-Dec-15,17.63,17.63,16.98,17.00,420530
24-Dec-15,17.74,17.74,17.33,17.37,177391
23-Dec-15,17.25,17.62,17.10,17.51,422629
22-Dec-15,16.34,17.24,16.25,17.14,489016
21-Dec-15,16.53,16.80,16.25,16.34,401185
18-Dec-15,16.52,16.75,16.24,16.42,725906
17-Dec-15,15.55,16.82,15.27,16.37,990136
16-Dec-15,15.04,15.28,14.72,15.12,544929
15-Dec-15,15.48,15.48,14.55,14.92,878757
14-Dec-15,14.88,15.41,14.81,15.18,902999
11-Dec-15,15.78,15.80,14.64,14.81,1100435
10-Dec-15,16.66,16.82,15.67,15.81,1037580
9-Dec-15,17.70,17.95,16.30,16.51,1194697
8-Dec-15,18.10,18.22,17.78,17.94,712592
7-Dec-15,19.21,19.21,18.05,18.34,732663
4-Dec-15,19.49,19.71,19.10,19.38,536405
3-Dec-15,20.47,20.47,19.79,20.00,589722
2-Dec-15,20.70,20.79,20.15,20.22,538605
1-Dec-15,20.97,21.00,20.63,20.80,302421
30-Nov-15,20.45,21.00,20.44,20.98,641051
27-Nov-15,20.33,20.80,20.25,20.42,147976
25-Nov-15,20.25,20.85,20.01,20.14,395646
24-Nov-15,19.91,20.29,19.81,20.25,313109
23-Nov-15,19.86,20.04,19.76,19.87,253919
20-Nov-15,19.80,20.17,19.80,19.84,294342
19-Nov-15,19.85,20.00,19.70,19.80,154207
18-Nov-15,19.82,20.15,19.65,19.87,202258
