Date,Open,High,Low,Close,Volume
22-Nov-16,54.74,54.99,53.92,54.55,677515
21-Nov-16,55.63,55.63,54.31,54.46,692591
18-Nov-16,53.67,54.17,53.63,54.02,1059939
17-Nov-16,53.75,54.12,53.37,53.80,656784
16-Nov-16,54.03,54.14,53.31,53.50,779468
15-Nov-16,53.24,54.02,52.44,54.00,1312849
14-Nov-16,52.70,52.96,52.24,52.76,1575022
11-Nov-16,53.96,54.18,52.28,52.39,1549498
10-Nov-16,55.51,55.55,53.81,54.10,2426357
9-Nov-16,52.51,54.36,52.25,54.25,2200329
8-Nov-16,53.21,53.94,53.11,53.36,2229789
7-Nov-16,53.44,53.93,52.96,53.59,1652524
4-Nov-16,51.12,53.40,51.00,52.46,3108815
3-Nov-16,48.37,51.35,48.37,50.93,2500612
2-Nov-16,46.99,47.15,45.91,46.09,970488
1-Nov-16,47.24,47.30,46.22,47.20,1125466
31-Oct-16,47.39,47.56,46.85,46.89,567815
28-Oct-16,47.06,47.56,46.66,47.15,600943
27-Oct-16,47.38,47.42,46.58,46.99,546056
26-Oct-16,47.05,47.52,46.85,47.17,664856
25-Oct-16,47.75,47.90,47.13,47.34,601432
24-Oct-16,47.78,47.92,47.46,47.85,655061
21-Oct-16,47.54,47.78,47.21,47.45,607748
20-Oct-16,47.60,48.32,47.50,48.09,460400
19-Oct-16,47.39,48.07,47.01,47.92,490912
18-Oct-16,47.00,47.50,46.72,47.22,1151035
17-Oct-16,47.60,47.60,46.37,46.41,1182863
14-Oct-16,46.82,47.42,46.56,46.56,895558
13-Oct-16,46.40,46.60,45.77,46.36,1070023
12-Oct-16,47.25,47.32,46.93,47.01,593208
11-Oct-16,47.47,47.61,46.85,47.25,552200
10-Oct-16,48.24,48.69,47.81,47.84,336793
7-Oct-16,48.29,48.37,47.37,47.70,648091
6-Oct-16,47.59,48.14,47.57,48.05,543209
5-Oct-16,47.69,48.37,47.30,47.78,650575
4-Oct-16,48.09,48.32,47.11,47.22,669929
3-Oct-16,48.21,48.34,47.63,48.11,602472
30-Sep-16,48.56,49.11,48.31,48.34,765517
29-Sep-16,48.27,48.89,48.07,48.24,795792
28-Sep-16,48.21,48.60,47.61,48.54,1178765
27-Sep-16,47.80,48.43,47.74,48.35,757962
26-Sep-16,48.51,48.77,47.99,48.03,531575
23-Sep-16,48.62,49.00,48.33,48.59,736008
22-Sep-16,48.92,49.13,48.76,48.90,542480
21-Sep-16,47.83,48.69,47.71,48.58,745616
20-Sep-16,48.10,48.26,47.33,47.34,808934
19-Sep-16,48.28,48.35,47.74,47.78,1071178
16-Sep-16,46.94,48.24,46.94,47.79,3597526
15-Sep-16,46.12,47.52,46.03,47.43,1738794
14-Sep-16,45.08,46.50,44.81,46.50,1894692
13-Sep-16,45.44,45.88,44.64,44.92,1235623
12-Sep-16,44.53,46.17,44.40,46.11,970933
9-Sep-16,46.98,47.23,44.56,44.86,1581113
8-Sep-16,46.91,47.41,46.52,47.39,1072278
7-Sep-16,46.48,47.03,46.38,46.91,595335
6-Sep-16,47.59,47.80,46.52,46.71,522187
2-Sep-16,47.21,47.55,46.96,47.51,750333
1-Sep-16,47.00,47.14,46.30,46.70,695162
31-Aug-16,47.15,47.15,46.32,46.94,908287
30-Aug-16,47.24,48.20,47.20,47.40,849450
29-Aug-16,46.51,47.44,46.51,47.23,1198791
26-Aug-16,47.52,47.67,46.38,46.56,958179
25-Aug-16,47.01,47.52,47.00,47.17,608836
24-Aug-16,48.02,48.12,46.89,47.01,601537
