Date,Open,High,Low,Close,Volume
22-Nov-16,15.71,15.99,15.64,15.93,364637
21-Nov-16,15.83,15.84,15.60,15.64,275184
18-Nov-16,15.70,15.93,15.52,15.73,624658
17-Nov-16,15.42,15.84,15.24,15.72,724906
16-Nov-16,15.24,15.32,15.05,15.24,565943
15-Nov-16,15.23,15.30,15.08,15.24,632617
14-Nov-16,15.04,15.36,15.01,15.24,650738
11-Nov-16,14.25,14.97,14.24,14.94,713033
10-Nov-16,13.32,14.23,13.23,14.20,580611
9-Nov-16,12.79,13.30,12.71,13.29,246553
8-Nov-16,12.72,12.88,12.62,12.82,207617
7-Nov-16,12.50,12.68,12.45,12.67,311489
4-Nov-16,12.24,12.45,12.10,12.30,359821
3-Nov-16,12.32,12.32,12.01,12.22,599000
2-Nov-16,11.68,12.25,11.68,12.24,814158
1-Nov-16,12.22,12.60,11.80,11.81,416197
31-Oct-16,12.21,12.31,12.07,12.28,210735
28-Oct-16,12.19,12.31,12.13,12.14,201172
27-Oct-16,12.32,12.43,12.16,12.22,252707
26-Oct-16,12.34,12.46,12.22,12.22,239650
25-Oct-16,12.66,12.69,12.35,12.36,193793
24-Oct-16,12.78,12.90,12.68,12.75,185370
21-Oct-16,12.80,12.80,12.63,12.66,221510
20-Oct-16,12.92,13.12,12.84,12.87,334071
19-Oct-16,13.06,13.16,12.87,13.00,380398
18-Oct-16,13.19,13.19,12.78,12.99,490534
17-Oct-16,12.94,13.04,12.87,13.02,204783
14-Oct-16,13.01,13.05,12.83,13.00,228623
13-Oct-16,13.06,13.06,12.95,12.98,203018
12-Oct-16,13.06,13.23,12.90,13.12,178787
11-Oct-16,13.12,13.12,13.02,13.10,314060
10-Oct-16,13.24,13.30,13.06,13.13,184755
7-Oct-16,13.46,13.46,13.09,13.16,245382
6-Oct-16,13.22,13.44,13.14,13.44,380520
5-Oct-16,13.11,13.34,13.02,13.30,338326
4-Oct-16,13.19,13.24,13.02,13.02,261200
3-Oct-16,13.25,13.25,13.14,13.15,206671
30-Sep-16,13.21,13.30,13.17,13.26,234012
29-Sep-16,13.35,13.35,13.13,13.14,309104
28-Sep-16,13.21,13.33,13.15,13.33,193542
27-Sep-16,13.15,13.19,13.05,13.17,196969
26-Sep-16,13.08,13.23,13.00,13.14,237167
23-Sep-16,13.39,13.48,13.11,13.18,203198
22-Sep-16,13.34,13.54,13.25,13.53,254770
21-Sep-16,13.26,13.32,13.11,13.25,172626
20-Sep-16,13.22,13.27,13.08,13.16,275059
19-Sep-16,13.11,13.18,13.05,13.11,219209
16-Sep-16,13.10,13.13,12.97,13.00,516386
15-Sep-16,13.09,13.15,13.02,13.11,343592
14-Sep-16,13.22,13.22,12.96,13.11,468549
13-Sep-16,12.97,13.27,12.93,13.18,575210
12-Sep-16,13.02,13.13,12.98,13.10,294737
9-Sep-16,13.08,13.11,13.02,13.04,471626
8-Sep-16,13.13,13.16,13.06,13.15,226318
7-Sep-16,13.12,13.18,13.08,13.15,137876
6-Sep-16,13.27,13.27,12.96,13.15,215387
2-Sep-16,13.23,13.24,13.11,13.24,157677
1-Sep-16,13.16,13.20,13.01,13.11,190070
31-Aug-16,13.12,13.14,13.00,13.11,309047
30-Aug-16,13.13,13.19,13.09,13.10,112077
29-Aug-16,13.10,13.20,13.00,13.12,341428
26-Aug-16,13.28,13.33,12.99,13.10,894165
25-Aug-16,13.25,13.30,13.08,13.28,314714
24-Aug-16,12.74,13.28,12.74,13.27,713078
23-Aug-16,12.50,12.81,12.41,12.78,514576
22-Aug-16,12.53,12.53,12.29,12.46,481415
19-Aug-16,12.55,12.58,12.46,12.56,341703
18-Aug-16,12.59,12.67,12.50,12.54,317649
17-Aug-16,12.67,12.72,12.54,12.60,204570
16-Aug-16,12.83,12.83,12.67,12.71,158504
15-Aug-16,12.61,12.86,12.60,12.82,293563
12-Aug-16,12.69,12.77,12.50,12.64,258011
11-Aug-16,12.88,12.94,12.67,12.79,435381
10-Aug-16,12.98,13.05,12.82,12.86,205389
9-Aug-16,12.88,13.03,12.84,12.99,229132
8-Aug-16,13.00,13.06,12.58,12.86,350898
5-Aug-16,12.63,13.04,12.59,13.02,386429
4-Aug-16,12.68,12.76,12.51,12.61,345279
3-Aug-16,12.73,12.73,12.56,12.65,357292
2-Aug-16,12.97,12.98,12.57,12.71,409279
1-Aug-16,13.12,13.13,12.82,12.98,281731
29-Jul-16,13.24,13.25,12.82,13.15,497823
28-Jul-16,13.58,13.58,12.75,13.29,337513
27-Jul-16,13.92,13.99,13.76,13.91,173448
26-Jul-16,13.75,13.86,13.72,13.86,120892
25-Jul-16,13.69,13.73,13.50,13.73,180222
22-Jul-16,13.48,13.71,13.43,13.69,105620
21-Jul-16,13.57,13.78,13.45,13.52,130751
20-Jul-16,13.41,13.59,13.32,13.54,160388
19-Jul-16,13.57,13.68,13.37,13.39,187395
18-Jul-16,13.72,13.79,13.61,13.65,200841
15-Jul-16,13.70,13.74,13.51,13.72,130107
14-Jul-16,13.60,13.72,13.60,13.65,134694
13-Jul-16,13.79,13.79,13.52,13.58,203089
12-Jul-16,13.64,13.82,13.57,13.75,196653
11-Jul-16,13.42,13.58,13.40,13.52,137722
8-Jul-16,13.07,13.34,13.07,13.34,183917
7-Jul-16,12.92,13.10,12.75,12.89,162693
6-Jul-16,12.83,12.95,12.71,12.91,202267
5-Jul-16,12.82,12.88,12.71,12.85,185062
1-Jul-16,12.80,13.05,12.79,12.96,169796
30-Jun-16,12.61,12.88,12.50,12.88,263069
29-Jun-16,12.40,12.58,12.40,12.55,176522
28-Jun-16,12.63,12.64,12.30,12.33,297339
27-Jun-16,12.65,12.73,12.23,12.47,363583
24-Jun-16,12.80,13.05,12.55,12.69,485997
23-Jun-16,13.18,13.35,13.14,13.30,170741
22-Jun-16,13.13,13.19,13.03,13.08,195032
21-Jun-16,13.43,13.43,13.11,13.15,183215
20-Jun-16,13.33,13.47,13.23,13.41,257969
17-Jun-16,13.23,13.34,13.01,13.18,579651
16-Jun-16,13.10,13.21,12.90,13.20,256060
15-Jun-16,13.21,13.42,13.11,13.23,457846
14-Jun-16,13.09,13.17,12.96,13.12,719801
13-Jun-16,13.25,13.25,13.07,13.11,319105
10-Jun-16,13.30,13.41,13.18,13.28,247585
9-Jun-16,13.52,13.55,13.38,13.50,308956
8-Jun-16,13.50,13.67,13.41,13.63,327556
7-Jun-16,13.44,13.53,13.37,13.48,172689
6-Jun-16,13.40,13.49,13.35,13.45,269427
3-Jun-16,13.51,13.52,13.18,13.41,343813
2-Jun-16,13.02,13.55,12.91,13.52,944578
1-Jun-16,12.96,13.05,12.68,13.03,257730
31-May-16,12.87,13.10,12.87,13.01,335573
27-May-16,12.90,13.01,12.83,12.86,204833
26-May-16,13.01,13.04,12.88,12.92,172828
25-May-16,12.98,13.05,12.90,12.98,142380
24-May-16,12.70,12.93,12.67,12.91,281685
23-May-16,12.71,12.83,12.70,12.70,196050
20-May-16,12.56,12.78,12.46,12.71,339892
19-May-16,12.60,12.76,12.51,12.54,314424
18-May-16,12.59,13.02,12.59,12.74,459486
17-May-16,13.11,13.11,12.42,12.70,456178
16-May-16,12.98,13.33,12.98,13.10,340028
13-May-16,12.82,13.07,12.81,12.93,346166
12-May-16,12.95,13.22,12.86,12.90,391631
11-May-16,13.05,13.06,12.89,12.95,269479
10-May-16,13.00,13.16,12.95,13.06,193352
9-May-16,12.92,13.13,12.83,12.91,295801
6-May-16,12.60,13.02,12.60,13.00,463422
5-May-16,12.66,12.88,12.48,12.66,356408
4-May-16,12.17,12.99,12.13,12.76,502636
3-May-16,13.93,14.11,12.07,12.26,891046
2-May-16,13.82,13.88,13.64,13.88,243553
29-Apr-16,13.64,13.78,13.54,13.69,187160
28-Apr-16,13.76,13.83,13.67,13.69,217179
27-Apr-16,13.95,14.03,13.75,13.88,188929
26-Apr-16,13.74,13.98,13.70,13.94,142025
25-Apr-16,13.73,13.79,13.57,13.63,159612
22-Apr-16,13.71,13.87,13.71,13.81,164879
21-Apr-16,13.87,13.99,13.71,13.74,244156
20-Apr-16,13.79,13.97,13.63,13.84,362730
19-Apr-16,13.42,13.94,13.42,13.83,279965
18-Apr-16,13.61,13.66,13.38,13.44,187969
15-Apr-16,13.30,13.72,13.20,13.61,445311
14-Apr-16,13.45,13.47,13.20,13.35,251812
13-Apr-16,13.10,13.49,12.92,13.45,445764
12-Apr-16,12.83,13.17,12.83,13.09,271914
11-Apr-16,12.90,13.06,12.83,12.83,220498
8-Apr-16,12.78,12.99,12.75,12.82,191183
7-Apr-16,12.68,12.76,12.58,12.65,256877
