Date,Open,High,Low,Close,Volume
22-Nov-16,6.31,6.54,6.25,6.53,261623
21-Nov-16,6.27,6.32,6.10,6.28,260564
18-Nov-16,6.23,6.36,6.16,6.25,185719
17-Nov-16,6.23,6.35,6.19,6.20,189641
16-Nov-16,6.24,6.34,6.21,6.31,149902
15-Nov-16,6.22,6.37,6.13,6.35,248903
14-Nov-16,6.03,6.29,6.03,6.29,224528
11-Nov-16,5.79,6.04,5.70,6.01,274326
10-Nov-16,5.54,5.75,5.48,5.67,271581
9-Nov-16,5.47,5.47,5.34,5.43,229753
8-Nov-16,5.26,5.39,5.20,5.35,207664
7-Nov-16,5.20,5.34,5.09,5.29,381597
4-Nov-16,4.58,5.47,4.57,5.07,677259
3-Nov-16,4.60,4.65,4.54,4.57,177928
2-Nov-16,4.67,4.76,4.59,4.60,121329
1-Nov-16,4.63,4.83,4.56,4.66,290821
31-Oct-16,4.98,4.98,4.58,4.60,383779
28-Oct-16,5.09,5.11,4.96,4.98,87984
27-Oct-16,5.15,5.20,5.02,5.04,139749
26-Oct-16,5.16,5.23,5.12,5.12,86829
25-Oct-16,5.30,5.33,5.16,5.16,149727
24-Oct-16,5.41,5.46,5.28,5.30,106420
21-Oct-16,5.40,5.50,5.34,5.36,194985
20-Oct-16,5.59,5.64,5.45,5.46,185751
19-Oct-16,5.61,5.63,5.55,5.60,107244
18-Oct-16,5.68,5.70,5.52,5.58,150694
17-Oct-16,5.66,5.67,5.62,5.63,101797
14-Oct-16,5.71,5.72,5.64,5.70,128999
13-Oct-16,5.80,5.81,5.60,5.65,220793
12-Oct-16,5.98,6.02,5.83,5.85,157327
11-Oct-16,6.01,6.02,5.98,6.00,187026
10-Oct-16,6.04,6.06,5.97,6.03,172653
7-Oct-16,6.09,6.09,5.95,6.01,140199
6-Oct-16,6.16,6.21,6.07,6.08,297777
5-Oct-16,6.10,6.23,6.00,6.19,390173
4-Oct-16,6.12,6.16,6.07,6.09,104587
3-Oct-16,6.14,6.19,6.05,6.13,124618
30-Sep-16,6.17,6.22,6.12,6.18,153997
29-Sep-16,6.16,6.26,6.12,6.15,113509
28-Sep-16,6.21,6.24,6.13,6.21,68593
27-Sep-16,6.16,6.24,6.11,6.21,84226
26-Sep-16,6.26,6.27,6.16,6.18,95711
23-Sep-16,6.32,6.32,6.28,6.29,138829
22-Sep-16,6.37,6.37,6.26,6.30,226998
21-Sep-16,6.47,6.50,6.28,6.30,175487
20-Sep-16,6.48,6.48,6.38,6.41,109707
19-Sep-16,6.38,6.48,6.38,6.42,350919
16-Sep-16,6.25,6.41,6.18,6.41,689861
15-Sep-16,6.19,6.24,6.12,6.23,85265
14-Sep-16,6.22,6.26,6.13,6.20,102556
13-Sep-16,6.24,6.27,6.15,6.21,101199
12-Sep-16,6.10,6.34,6.05,6.32,149762
9-Sep-16,6.28,6.33,6.24,6.27,101168
8-Sep-16,6.43,6.45,6.37,6.37,91894
7-Sep-16,6.38,6.45,6.30,6.40,93841
6-Sep-16,6.41,6.42,6.25,6.35,131409
2-Sep-16,6.34,6.44,6.29,6.43,138665
1-Sep-16,6.40,6.42,6.24,6.30,97276
31-Aug-16,6.51,6.56,6.38,6.43,153542
30-Aug-16,6.44,6.50,6.39,6.50,78321
29-Aug-16,6.49,6.49,6.41,6.45,116033
26-Aug-16,6.55,6.56,6.40,6.43,141009
25-Aug-16,6.47,6.55,6.40,6.51,48242
24-Aug-16,6.51,6.56,6.43,6.46,75686
23-Aug-16,6.49,6.57,6.49,6.52,116992
22-Aug-16,6.50,6.52,6.41,6.49,123143
19-Aug-16,6.60,6.60,6.46,6.49,126844
18-Aug-16,6.39,6.60,6.38,6.59,107243
17-Aug-16,6.36,6.40,6.31,6.37,303912
16-Aug-16,6.38,6.39,6.30,6.36,167037
15-Aug-16,6.32,6.41,6.30,6.37,139686
12-Aug-16,6.57,6.59,6.29,6.31,148298
11-Aug-16,6.50,6.65,6.50,6.61,106208
10-Aug-16,6.69,6.69,6.44,6.50,201696
9-Aug-16,6.51,6.74,6.45,6.69,276202
8-Aug-16,6.68,6.68,6.49,6.51,113965
5-Aug-16,6.85,6.85,6.58,6.60,219409
4-Aug-16,6.86,6.96,6.83,6.85,56957
3-Aug-16,6.59,6.82,6.59,6.81,84445
2-Aug-16,6.85,6.88,6.55,6.58,85727
1-Aug-16,6.75,6.86,6.68,6.83,125941
29-Jul-16,6.74,6.81,6.67,6.72,59311
28-Jul-16,6.75,6.83,6.70,6.74,65914
27-Jul-16,6.62,6.79,6.62,6.77,70724
26-Jul-16,6.58,6.67,6.52,6.66,133116
25-Jul-16,6.71,6.77,6.56,6.63,120997
22-Jul-16,6.82,6.83,6.72,6.74,107131
21-Jul-16,6.84,6.92,6.80,6.85,61017
20-Jul-16,6.85,6.89,6.75,6.83,75877
19-Jul-16,6.95,6.97,6.82,6.85,86010
18-Jul-16,6.93,7.03,6.93,6.97,93393
15-Jul-16,6.94,6.96,6.84,6.93,91491
14-Jul-16,6.87,6.97,6.78,6.88,356807
13-Jul-16,6.83,6.93,6.79,6.80,117256
12-Jul-16,6.96,6.99,6.72,6.84,365016
11-Jul-16,6.74,6.94,6.71,6.89,136567
8-Jul-16,6.55,6.71,6.55,6.69,280317
7-Jul-16,6.50,6.59,6.49,6.52,147646
6-Jul-16,6.30,6.55,6.27,6.50,300778
5-Jul-16,6.40,6.42,6.31,6.35,86124
1-Jul-16,6.30,6.43,6.29,6.40,90705
30-Jun-16,6.20,6.35,6.10,6.32,140972
29-Jun-16,6.30,6.30,6.16,6.19,102645
28-Jun-16,6.12,6.27,6.11,6.23,172788
27-Jun-16,6.24,6.38,6.01,6.11,244972
24-Jun-16,6.31,6.43,6.14,6.36,742714
23-Jun-16,6.50,6.59,6.43,6.59,92543
22-Jun-16,6.43,6.48,6.38,6.41,72169
21-Jun-16,6.47,6.50,6.29,6.40,77258
20-Jun-16,6.43,6.49,6.36,6.46,122456
17-Jun-16,6.22,6.35,6.22,6.34,266261
16-Jun-16,6.23,6.26,6.12,6.21,139652
15-Jun-16,6.35,6.39,6.26,6.29,121206
14-Jun-16,6.44,6.50,6.28,6.32,206648
13-Jun-16,6.34,6.52,6.25,6.44,233829
10-Jun-16,6.60,6.71,6.38,6.40,172711
9-Jun-16,6.68,6.69,6.52,6.67,166371
8-Jun-16,6.79,6.93,6.77,6.82,214242
7-Jun-16,6.78,6.90,6.67,6.69,261209
6-Jun-16,6.70,6.92,6.70,6.74,276985
3-Jun-16,6.81,6.84,6.72,6.73,214796
2-Jun-16,6.93,7.02,6.83,6.84,268579
1-Jun-16,6.86,7.00,6.80,6.94,119827
31-May-16,6.89,6.94,6.85,6.92,122352
27-May-16,6.83,6.91,6.79,6.85,100259
26-May-16,6.91,6.97,6.74,6.83,142752
25-May-16,6.92,7.02,6.82,6.84,323648
24-May-16,6.85,6.96,6.85,6.86,250374
23-May-16,6.98,6.98,6.73,6.85,212511
20-May-16,6.84,6.98,6.84,6.94,65040
19-May-16,6.89,6.89,6.72,6.79,43235
18-May-16,6.78,6.92,6.77,6.88,88506
17-May-16,6.87,6.95,6.74,6.78,81363
16-May-16,6.95,7.07,6.88,6.90,99394
13-May-16,6.92,7.08,6.92,6.98,78606
12-May-16,7.02,7.05,6.85,6.95,67552
11-May-16,6.98,7.04,6.91,6.99,127242
10-May-16,6.84,7.10,6.83,7.03,170341
