Date,Open,High,Low,Close,Volume
22-Nov-16,9.50,9.66,9.40,9.66,573636
21-Nov-16,9.51,9.65,9.41,9.45,677761
18-Nov-16,9.29,9.57,9.06,9.52,1462481
17-Nov-16,9.60,9.71,9.22,9.22,1169545
16-Nov-16,9.57,9.71,9.51,9.57,1099569
15-Nov-16,9.74,9.77,9.40,9.57,1487783
14-Nov-16,9.48,9.79,9.38,9.71,2311718
11-Nov-16,9.02,9.44,8.97,9.38,1653934
10-Nov-16,8.76,9.03,8.69,8.94,1627932
9-Nov-16,8.01,8.75,7.97,8.63,1815264
8-Nov-16,8.25,8.48,8.20,8.23,2173409
7-Nov-16,8.10,8.35,8.01,8.32,3401997
4-Nov-16,7.42,8.08,7.42,7.88,3106459
3-Nov-16,7.51,7.70,7.30,7.47,2367755
2-Nov-16,7.55,7.80,7.55,7.55,2095053
1-Nov-16,8.10,8.19,7.54,7.59,2304316
31-Oct-16,7.88,7.98,7.74,7.77,1840917
28-Oct-16,8.11,8.37,7.78,7.85,3179979
27-Oct-16,9.85,9.90,8.08,8.21,4985622
26-Oct-16,9.97,10.01,9.85,9.90,837214
25-Oct-16,10.41,10.49,9.99,10.00,924870
24-Oct-16,10.47,10.63,10.43,10.50,639939
21-Oct-16,10.21,10.46,10.16,10.43,1195470
20-Oct-16,10.63,10.66,10.27,10.36,1015117
19-Oct-16,10.71,10.83,10.59,10.75,709082
18-Oct-16,10.80,10.80,10.64,10.64,421168
17-Oct-16,10.72,10.81,10.68,10.71,738025
14-Oct-16,10.86,10.88,10.62,10.78,1054905
13-Oct-16,11.00,11.04,10.82,10.83,826479
12-Oct-16,11.16,11.23,11.03,11.06,678954
11-Oct-16,11.43,11.48,11.05,11.14,1238819
10-Oct-16,11.50,11.64,11.45,11.50,552432
7-Oct-16,11.89,11.91,11.59,11.61,581983
6-Oct-16,11.88,11.92,11.64,11.84,476207
5-Oct-16,11.84,11.96,11.81,11.87,543319
4-Oct-16,11.76,12.39,11.71,11.84,1344075
3-Oct-16,11.66,11.86,11.58,11.79,612941
30-Sep-16,11.72,11.72,11.49,11.64,782516
29-Sep-16,11.88,11.95,11.59,11.60,493684
28-Sep-16,11.71,11.90,11.68,11.88,697294
27-Sep-16,11.60,11.75,11.58,11.71,647239
26-Sep-16,11.62,11.64,11.55,11.60,644732
23-Sep-16,11.57,11.76,11.41,11.75,804559
22-Sep-16,11.30,11.62,11.30,11.55,825469
21-Sep-16,11.27,11.46,11.25,11.30,1104390
20-Sep-16,11.54,11.58,11.25,11.26,552118
19-Sep-16,11.46,11.55,11.34,11.45,673144
16-Sep-16,11.58,11.65,11.35,11.39,1359134
15-Sep-16,11.60,11.60,11.48,11.58,680284
14-Sep-16,11.64,11.68,11.52,11.60,702847
13-Sep-16,11.57,11.69,11.49,11.67,910326
12-Sep-16,11.45,11.67,11.37,11.61,869869
9-Sep-16,11.96,11.98,11.42,11.43,976830
8-Sep-16,12.06,12.10,11.87,11.99,626813
7-Sep-16,11.91,12.10,11.91,12.08,827069
6-Sep-16,11.99,12.10,11.88,11.91,596954
2-Sep-16,11.78,12.00,11.75,11.99,509660
1-Sep-16,11.78,11.89,11.67,11.77,940799
31-Aug-16,11.87,11.98,11.82,11.93,933165
30-Aug-16,11.76,11.92,11.70,11.87,991344
29-Aug-16,11.93,12.05,11.64,11.67,1081193
26-Aug-16,12.02,12.13,11.81,11.93,1044218
25-Aug-16,11.99,12.06,11.95,12.02,597339
24-Aug-16,12.20,12.20,11.96,11.98,535458
23-Aug-16,12.20,12.34,12.14,12.21,514203
22-Aug-16,12.08,12.22,12.02,12.20,518888
19-Aug-16,12.11,12.12,11.95,12.08,617366
18-Aug-16,12.18,12.25,11.96,12.14,1075168
17-Aug-16,12.08,12.16,11.98,12.13,1152461
16-Aug-16,12.10,12.29,12.08,12.10,1398373
15-Aug-16,11.72,12.20,11.72,12.15,1869096
12-Aug-16,11.63,11.70,11.52,11.65,741517
11-Aug-16,11.71,11.83,11.52,11.64,1415077
10-Aug-16,11.86,11.97,11.54,11.63,1068140
9-Aug-16,11.95,12.00,11.70,11.77,1161061
8-Aug-16,12.28,12.28,11.95,11.97,1153504
5-Aug-16,12.16,12.49,12.14,12.27,1775175
4-Aug-16,12.06,12.10,11.94,12.05,1257500
3-Aug-16,12.02,12.10,11.89,12.01,1021639
2-Aug-16,12.50,12.56,12.04,12.06,1010901
1-Aug-16,12.70,12.80,12.30,12.51,1395042
29-Jul-16,12.70,12.85,12.36,12.76,1578550
