Date,Open,High,Low,Close,Volume
22-Nov-16,22.30,22.70,22.20,22.65,322555
21-Nov-16,21.25,22.35,21.25,22.20,956753
18-Nov-16,20.85,21.65,20.65,21.35,434939
17-Nov-16,19.75,21.45,18.95,20.85,357440
16-Nov-16,20.05,20.60,19.75,20.40,315265
15-Nov-16,20.70,21.20,20.15,20.15,818424
14-Nov-16,20.00,20.90,19.80,20.80,747800
11-Nov-16,18.05,20.00,18.05,19.85,716696
10-Nov-16,17.90,18.30,17.80,18.00,430549
9-Nov-16,17.00,18.40,16.95,17.85,313121
8-Nov-16,16.90,17.35,16.90,17.10,116538
7-Nov-16,16.80,17.25,16.80,16.95,129595
4-Nov-16,16.75,17.05,16.45,16.55,155136
3-Nov-16,16.65,16.80,16.55,16.75,127423
2-Nov-16,16.55,16.80,16.50,16.60,120351
1-Nov-16,16.75,16.80,16.55,16.65,100689
31-Oct-16,16.60,16.95,16.50,16.70,123177
28-Oct-16,16.40,16.75,16.40,16.65,100817
27-Oct-16,16.80,16.80,16.38,16.40,77614
26-Oct-16,16.40,16.80,16.35,16.70,96529
25-Oct-16,16.65,16.70,16.40,16.40,58897
24-Oct-16,16.90,17.05,16.70,16.70,124306
21-Oct-16,16.40,16.80,16.30,16.75,123887
20-Oct-16,16.60,16.80,16.55,16.60,262886
19-Oct-16,16.45,16.70,16.30,16.65,118530
18-Oct-16,16.60,16.65,16.40,16.40,81213
17-Oct-16,16.55,16.68,16.35,16.40,85446
14-Oct-16,16.57,16.80,16.51,16.53,197210
13-Oct-16,16.32,16.52,16.18,16.37,84177
12-Oct-16,16.41,16.62,16.26,16.49,70132
11-Oct-16,16.64,16.64,16.32,16.39,107898
10-Oct-16,16.75,16.97,16.59,16.62,115531
7-Oct-16,16.91,16.91,16.58,16.59,307136
6-Oct-16,16.66,17.03,16.61,17.00,244319
5-Oct-16,16.70,16.91,16.62,16.76,127418
4-Oct-16,16.76,16.92,16.61,16.63,103613
3-Oct-16,16.88,16.97,16.70,16.76,106095
30-Sep-16,17.00,17.18,16.86,17.01,262077
29-Sep-16,17.19,17.19,16.85,16.86,157246
28-Sep-16,16.79,17.19,16.79,17.17,149775
27-Sep-16,16.58,16.94,16.55,16.87,118858
26-Sep-16,16.76,16.94,16.65,16.68,136674
23-Sep-16,17.03,17.14,16.89,16.90,120310
22-Sep-16,16.82,17.17,16.80,17.17,175873
21-Sep-16,16.32,16.63,16.32,16.62,246911
20-Sep-16,16.35,16.45,16.17,16.30,129795
19-Sep-16,16.27,16.59,16.25,16.33,158825
16-Sep-16,16.07,16.29,16.07,16.10,821072
15-Sep-16,16.04,16.29,15.88,16.17,157938
14-Sep-16,16.27,16.31,15.89,15.90,197812
13-Sep-16,16.42,16.43,16.15,16.33,128078
12-Sep-16,16.32,16.56,16.26,16.50,129104
9-Sep-16,16.94,16.94,16.26,16.41,187096
8-Sep-16,17.06,17.17,16.96,17.09,139844
7-Sep-16,16.84,17.13,16.84,17.08,75744
6-Sep-16,17.34,17.34,16.84,16.91,119114
2-Sep-16,17.25,17.49,17.14,17.40,99809
1-Sep-16,17.08,17.17,16.71,17.13,118347
31-Aug-16,17.43,17.56,16.90,17.12,118259
30-Aug-16,17.23,17.43,17.23,17.41,71557
29-Aug-16,17.15,17.28,17.12,17.25,134012
26-Aug-16,17.25,17.31,17.12,17.17,66121
25-Aug-16,17.05,17.22,16.99,17.19,109238
24-Aug-16,17.06,17.25,17.06,17.19,97306
23-Aug-16,16.83,17.26,16.83,17.14,89713
22-Aug-16,16.99,16.99,16.78,16.90,105563
19-Aug-16,16.98,17.17,16.95,17.10,92970
18-Aug-16,17.04,17.17,16.77,16.97,115535
17-Aug-16,16.95,17.19,16.90,17.03,70083
16-Aug-16,17.13,17.18,16.98,17.01,59842
15-Aug-16,17.03,17.29,17.00,17.21,48629
12-Aug-16,17.02,17.16,16.87,17.03,55868
11-Aug-16,16.91,17.47,16.66,17.04,107583
10-Aug-16,16.82,16.89,16.68,16.82,54074
9-Aug-16,16.96,17.13,16.86,16.87,111822
8-Aug-16,17.36,17.51,16.94,16.98,58202
5-Aug-16,17.37,17.57,17.26,17.41,92472
4-Aug-16,17.25,17.74,17.15,17.32,110979
3-Aug-16,16.70,16.80,16.63,16.74,68913
2-Aug-16,17.02,17.06,16.74,16.79,80412
1-Aug-16,17.18,17.18,16.98,17.09,90267
29-Jul-16,17.18,17.25,17.00,17.14,84464
28-Jul-16,17.46,17.67,17.23,17.28,52825
27-Jul-16,17.02,17.51,17.02,17.45,167186
26-Jul-16,17.11,17.33,17.11,17.26,53479
25-Jul-16,17.28,17.29,17.09,17.21,46561
22-Jul-16,17.32,17.43,17.17,17.34,37393
21-Jul-16,17.37,17.63,17.29,17.36,75707
20-Jul-16,17.52,17.55,17.22,17.50,67046
19-Jul-16,17.55,17.63,17.36,17.41,81905
18-Jul-16,17.71,17.79,17.49,17.53,137919
15-Jul-16,17.65,17.68,17.52,17.60,92096
14-Jul-16,17.86,17.87,17.51,17.52,101477
13-Jul-16,17.64,17.74,17.52,17.68,98310
12-Jul-16,17.65,17.70,17.45,17.61,119430
11-Jul-16,17.53,17.58,17.42,17.56,165124
8-Jul-16,17.32,17.54,17.14,17.43,235056
7-Jul-16,17.18,17.39,17.00,17.05,83238
6-Jul-16,16.90,17.37,16.83,17.18,120056
5-Jul-16,16.64,16.95,16.64,16.92,108548
1-Jul-16,16.80,17.06,16.79,16.83,174522
30-Jun-16,16.33,16.87,16.33,16.86,134620
29-Jun-16,16.16,16.43,16.08,16.37,111446
28-Jun-16,16.05,16.25,16.04,16.06,141988
27-Jun-16,15.81,16.16,15.45,15.97,647023
24-Jun-16,16.36,16.66,15.95,16.04,740593
23-Jun-16,16.83,17.03,16.60,17.00,124424
22-Jun-16,16.83,16.94,16.52,16.59,128785
21-Jun-16,16.81,16.98,16.70,16.87,133289
20-Jun-16,16.67,17.02,16.64,16.66,162832
17-Jun-16,16.38,16.92,15.88,16.57,618477
