Date,Open,High,Low,Close,Volume
22-Nov-16,7.63,7.74,7.57,7.70,485099
21-Nov-16,7.67,7.74,7.53,7.56,543362
18-Nov-16,7.64,7.74,7.61,7.66,492741
17-Nov-16,7.62,7.77,7.62,7.62,425677
16-Nov-16,7.56,7.63,7.50,7.62,535983
15-Nov-16,7.77,7.81,7.46,7.57,499057
14-Nov-16,7.55,7.78,7.52,7.75,881868
11-Nov-16,7.32,7.63,7.32,7.51,953949
10-Nov-16,7.55,7.66,7.26,7.33,861267
9-Nov-16,7.11,7.53,7.04,7.53,996659
8-Nov-16,7.29,7.33,7.18,7.28,378723
7-Nov-16,7.17,7.31,7.12,7.27,526921
4-Nov-16,6.98,7.13,6.92,7.02,385697
3-Nov-16,7.12,7.12,7.01,7.01,401514
2-Nov-16,7.14,7.26,7.00,7.00,438273
1-Nov-16,7.40,7.40,7.11,7.16,540256
31-Oct-16,7.25,7.47,7.25,7.41,589399
28-Oct-16,7.32,7.40,7.27,7.32,392681
27-Oct-16,7.64,7.64,7.27,7.30,514828
26-Oct-16,7.70,7.71,7.58,7.62,386190
25-Oct-16,7.70,7.76,7.65,7.73,316597
24-Oct-16,7.72,7.83,7.68,7.71,298595
21-Oct-16,7.61,7.72,7.61,7.65,314888
20-Oct-16,7.72,7.77,7.61,7.69,318565
19-Oct-16,7.68,7.83,7.61,7.75,616255
18-Oct-16,7.71,7.76,7.67,7.68,284781
17-Oct-16,7.65,7.72,7.60,7.63,376259
14-Oct-16,7.64,7.77,7.60,7.65,332788
13-Oct-16,7.58,7.68,7.56,7.65,455174
12-Oct-16,7.59,7.64,7.52,7.62,342147
11-Oct-16,7.72,7.80,7.51,7.56,548783
10-Oct-16,7.63,7.78,7.63,7.76,323308
7-Oct-16,7.75,7.80,7.59,7.62,351473
6-Oct-16,7.70,7.73,7.58,7.71,397757
5-Oct-16,7.91,7.99,7.68,7.70,563144
4-Oct-16,8.08,8.08,7.84,7.97,785208
3-Oct-16,8.18,8.23,7.98,8.03,447004
30-Sep-16,8.19,8.22,8.06,8.16,524370
29-Sep-16,8.32,8.35,8.16,8.18,482752
28-Sep-16,8.19,8.33,8.19,8.33,413881
27-Sep-16,8.27,8.33,8.22,8.26,417669
26-Sep-16,8.30,8.34,8.24,8.26,447195
23-Sep-16,8.33,8.37,8.22,8.31,386510
22-Sep-16,8.09,8.38,8.08,8.38,607091
21-Sep-16,7.97,8.16,7.84,8.13,622147
20-Sep-16,8.09,8.13,7.89,7.94,481607
19-Sep-16,8.13,8.18,7.99,8.08,497695
16-Sep-16,7.94,8.12,7.90,8.12,1458381
15-Sep-16,7.88,7.97,7.85,7.94,545559
14-Sep-16,7.87,7.99,7.80,7.92,496185
13-Sep-16,8.10,8.10,7.81,7.83,708876
12-Sep-16,7.80,8.16,7.80,8.13,811377
9-Sep-16,8.16,8.16,7.80,7.84,1092809
8-Sep-16,8.34,8.38,8.23,8.25,553137
7-Sep-16,8.40,8.46,8.32,8.40,525518
6-Sep-16,8.37,8.43,8.32,8.38,549709
2-Sep-16,8.37,8.52,8.34,8.45,682944
1-Sep-16,8.28,8.37,8.14,8.29,585320
31-Aug-16,8.31,8.34,8.20,8.30,771482
30-Aug-16,8.33,8.37,8.27,8.32,370758
29-Aug-16,8.39,8.48,8.34,8.35,338790
26-Aug-16,8.50,8.56,8.32,8.35,561679
25-Aug-16,8.44,8.53,8.41,8.47,359895
24-Aug-16,8.60,8.60,8.39,8.40,508925
23-Aug-16,8.56,8.65,8.56,8.58,566988
