Date,Open,High,Low,Close,Volume
22-Nov-16,27.05,27.35,26.65,27.00,51903
21-Nov-16,26.30,26.85,26.30,26.85,22877
18-Nov-16,26.35,26.60,26.25,26.35,36507
17-Nov-16,26.30,26.60,26.15,26.15,33685
16-Nov-16,26.55,26.78,25.95,26.20,47457
15-Nov-16,26.65,26.95,26.45,26.55,27561
14-Nov-16,28.40,28.55,26.55,26.70,46468
11-Nov-16,27.00,29.05,27.00,28.05,70759
10-Nov-16,27.10,27.60,26.65,27.05,44025
9-Nov-16,24.55,27.00,24.55,26.85,37272
8-Nov-16,25.10,25.15,24.70,24.95,20771
7-Nov-16,25.30,25.38,25.10,25.30,21584
4-Nov-16,24.80,25.30,24.75,24.75,29771
3-Nov-16,24.85,24.95,24.40,24.75,22920
2-Nov-16,24.49,25.00,24.40,24.75,34457
1-Nov-16,27.65,27.68,25.10,25.10,28384
31-Oct-16,25.15,25.90,25.00,25.85,30158
28-Oct-16,25.05,25.25,24.55,25.25,19611
27-Oct-16,25.35,25.35,24.95,24.95,14877
26-Oct-16,24.70,25.40,24.70,25.30,17791
25-Oct-16,25.00,25.00,24.60,24.85,24510
24-Oct-16,24.80,25.10,24.80,25.05,14720
21-Oct-16,24.20,24.65,24.15,24.60,16747
20-Oct-16,24.50,24.85,24.40,24.50,17981
19-Oct-16,24.20,24.80,24.20,24.50,19857
18-Oct-16,24.05,24.50,24.05,24.35,13241
17-Oct-16,24.20,24.30,23.80,23.85,19598
14-Oct-16,24.05,24.35,23.75,24.10,27451
13-Oct-16,24.05,24.40,23.85,24.00,20963
12-Oct-16,24.15,24.75,24.15,24.35,14988
11-Oct-16,24.90,24.92,24.05,24.20,19389
10-Oct-16,24.20,25.05,24.20,24.65,18541
7-Oct-16,24.34,24.49,24.16,24.23,18122
6-Oct-16,24.60,24.64,24.26,24.44,21032
5-Oct-16,24.50,24.92,24.50,24.51,13357
4-Oct-16,24.49,24.56,24.37,24.39,12438
3-Oct-16,24.59,24.89,24.37,24.55,23000
30-Sep-16,24.00,25.08,24.00,24.62,28358
29-Sep-16,24.62,24.74,24.03,24.05,22563
28-Sep-16,24.42,24.71,24.40,24.67,19959
27-Sep-16,24.57,24.68,24.22,24.42,24439
26-Sep-16,24.90,24.90,24.45,24.47,18573
23-Sep-16,25.14,25.29,25.01,25.03,15762
22-Sep-16,25.13,25.22,25.00,25.22,21140
21-Sep-16,24.89,24.99,24.28,24.72,29788
20-Sep-16,25.34,25.34,24.73,24.76,23037
19-Sep-16,25.27,25.50,25.00,25.16,21530
16-Sep-16,25.01,25.12,24.94,25.06,74271
15-Sep-16,24.75,25.21,24.69,25.01,54258
14-Sep-16,24.41,24.70,24.41,24.50,28924
13-Sep-16,24.25,24.81,24.25,24.42,58554
12-Sep-16,24.38,24.38,23.98,24.31,47845
9-Sep-16,24.37,24.54,24.04,24.12,57446
8-Sep-16,24.06,24.66,24.05,24.62,62662
7-Sep-16,23.81,24.15,23.40,24.09,22849
6-Sep-16,23.87,24.06,23.80,23.96,15411
2-Sep-16,23.95,24.35,23.95,24.26,66540
1-Sep-16,23.95,23.95,23.63,23.85,22218
31-Aug-16,24.19,24.19,23.84,23.90,35086
30-Aug-16,24.05,24.16,24.00,24.06,22959
29-Aug-16,23.90,24.21,23.90,24.17,57095
26-Aug-16,24.19,24.53,23.63,23.76,25014
25-Aug-16,24.02,24.29,24.02,24.26,15047
24-Aug-16,24.53,24.61,23.87,24.11,39466
23-Aug-16,24.39,24.70,24.34,24.52,25293
22-Aug-16,24.02,24.37,23.67,24.34,122964
19-Aug-16,23.76,24.07,23.60,23.64,170480
18-Aug-16,23.74,23.90,23.41,23.83,30332
17-Aug-16,23.69,24.09,23.66,23.70,19015
16-Aug-16,24.03,24.79,24.00,24.09,61293
15-Aug-16,23.81,24.30,23.80,24.14,23235
12-Aug-16,23.83,23.98,23.72,23.82,32652
11-Aug-16,23.45,23.89,23.42,23.82,38115
10-Aug-16,23.25,23.57,23.19,23.49,49657
9-Aug-16,22.96,23.41,22.82,23.27,42744
8-Aug-16,23.42,23.42,23.02,23.20,30218
5-Aug-16,23.29,23.73,23.27,23.46,48563
4-Aug-16,22.63,23.00,22.63,22.97,55380
3-Aug-16,22.12,22.60,21.63,22.56,88999
2-Aug-16,22.55,22.55,21.69,22.20,71855
1-Aug-16,20.95,22.41,20.49,22.30,286291
29-Jul-16,21.10,21.10,20.69,20.96,122754
28-Jul-16,19.76,21.24,19.70,21.06,184596
27-Jul-16,20.26,20.55,19.59,19.71,120729
26-Jul-16,20.57,20.79,19.88,20.19,104488
25-Jul-16,21.09,21.09,20.40,20.51,68976
22-Jul-16,20.99,21.06,20.62,21.00,47253
21-Jul-16,21.42,21.65,21.07,21.08,46468
20-Jul-16,21.69,21.78,21.42,21.47,59625
19-Jul-16,21.93,21.93,21.57,21.59,37261
18-Jul-16,22.24,22.65,21.87,21.89,107753
15-Jul-16,22.16,22.32,22.08,22.20,61545
14-Jul-16,22.46,22.46,21.82,21.98,18274
13-Jul-16,22.36,22.48,22.10,22.17,22234
12-Jul-16,22.22,22.38,22.00,22.17,59350
11-Jul-16,22.24,22.38,21.87,22.10,34856
8-Jul-16,21.57,22.17,21.57,21.96,27014
7-Jul-16,21.49,21.49,21.20,21.37,25086
6-Jul-16,21.20,21.30,21.09,21.26,30033
5-Jul-16,21.25,21.39,21.08,21.17,23110
1-Jul-16,21.61,22.00,21.25,21.40,38620
30-Jun-16,21.24,21.70,21.14,21.69,26698
29-Jun-16,21.07,21.34,20.95,21.21,40021
28-Jun-16,20.58,21.26,20.51,20.71,71320
27-Jun-16,20.69,21.09,20.06,20.32,38762
24-Jun-16,21.77,21.85,20.83,21.06,71847
23-Jun-16,23.19,23.35,22.80,22.86,66153
22-Jun-16,23.47,23.71,22.88,22.94,72722
21-Jun-16,23.71,23.81,23.32,23.68,38575
20-Jun-16,23.30,23.88,23.30,23.57,27111
17-Jun-16,23.00,23.22,22.65,22.96,66922
16-Jun-16,22.82,22.97,22.51,22.94,36906
15-Jun-16,23.19,23.38,22.87,23.24,37454
14-Jun-16,23.66,23.70,23.06,23.19,59249
13-Jun-16,24.07,24.16,23.38,23.49,64124
10-Jun-16,24.00,24.31,24.00,24.14,60458
9-Jun-16,23.97,24.29,23.90,24.18,114526
8-Jun-16,24.29,24.33,23.87,24.05,88385
7-Jun-16,23.85,24.28,23.66,24.27,112533
6-Jun-16,23.75,23.97,23.53,23.63,30783
3-Jun-16,23.94,23.95,23.68,23.84,27970
2-Jun-16,23.75,23.90,23.70,23.86,55186
1-Jun-16,23.94,24.05,23.72,23.78,65688
31-May-16,23.14,24.14,22.99,24.00,146920
27-May-16,23.45,23.62,23.06,23.17,55616
26-May-16,21.99,23.20,21.76,23.01,144573
25-May-16,22.07,22.11,21.92,21.98,105503
24-May-16,22.28,22.60,21.86,21.92,93331
23-May-16,21.85,22.12,21.83,21.90,55784
20-May-16,21.86,22.12,21.71,21.99,59906
19-May-16,22.20,22.40,21.77,21.84,68977
18-May-16,21.78,22.50,21.78,22.25,76557
17-May-16,23.30,23.42,21.88,22.12,60336
16-May-16,22.95,23.47,22.54,23.25,51564
13-May-16,23.58,23.71,22.80,22.88,68412
12-May-16,24.14,24.29,23.51,23.74,38848
11-May-16,24.49,24.68,24.08,24.19,28754
10-May-16,24.72,25.03,24.45,24.82,72724
9-May-16,24.13,24.64,24.02,24.56,39665
6-May-16,23.61,24.19,23.50,24.15,52270
5-May-16,23.78,24.05,23.32,23.53,67557
4-May-16,23.88,24.25,23.53,23.68,58426
3-May-16,23.87,24.32,23.72,24.04,46697
2-May-16,23.29,24.24,22.86,24.13,30963
29-Apr-16,23.92,23.95,22.67,23.34,62943
28-Apr-16,25.50,25.91,23.77,23.78,69191
27-Apr-16,26.63,27.06,26.22,26.43,21288
26-Apr-16,25.45,26.59,25.28,26.53,32741
25-Apr-16,26.53,26.53,25.15,25.28,47951
22-Apr-16,26.64,26.88,26.06,26.72,31062
21-Apr-16,25.74,26.21,25.50,26.17,54623
20-Apr-16,25.26,25.89,25.26,25.68,22375
19-Apr-16,25.22,25.45,24.76,25.27,50085
18-Apr-16,25.23,25.34,25.02,25.06,54985
15-Apr-16,25.10,25.24,25.00,25.16,24455
14-Apr-16,25.21,25.21,24.88,24.99,14654
13-Apr-16,24.99,25.24,24.87,25.15,26135
12-Apr-16,24.28,24.87,24.28,24.82,13592
11-Apr-16,25.27,25.27,24.38,24.42,20917
8-Apr-16,25.19,25.19,24.84,25.08,20585
7-Apr-16,24.78,25.22,24.66,25.02,31527
6-Apr-16,25.44,25.46,24.69,24.94,44581
5-Apr-16,26.10,26.16,25.40,25.51,46493
4-Apr-16,27.08,27.26,26.34,26.37,17633
1-Apr-16,27.19,27.36,27.09,27.20,55166
31-Mar-16,27.59,27.67,27.38,27.40,30568
30-Mar-16,27.09,27.93,26.76,27.59,34011
29-Mar-16,25.57,27.04,25.57,26.97,36603
28-Mar-16,26.07,26.20,25.72,26.02,69087
24-Mar-16,26.20,26.24,25.91,26.05,49712
23-Mar-16,26.58,26.79,26.21,26.34,48933
22-Mar-16,27.45,27.80,26.67,26.80,35576
21-Mar-16,27.66,27.99,27.34,27.56,92637
18-Mar-16,27.60,27.91,27.21,27.53,65188
17-Mar-16,26.81,27.65,26.70,27.44,61096
16-Mar-16,26.52,27.19,26.52,26.95,24647
15-Mar-16,26.73,27.00,26.40,26.57,31815
14-Mar-16,26.75,27.39,26.75,26.93,23321
11-Mar-16,26.21,26.81,26.17,26.77,39245
10-Mar-16,26.76,26.85,25.88,26.05,74519
9-Mar-16,26.02,26.62,26.02,26.58,35012
