Date,Open,High,Low,Close,Volume
22-Nov-16,22.13,22.27,21.78,22.26,98995
21-Nov-16,22.30,22.41,21.78,22.07,42642
18-Nov-16,22.08,22.35,22.04,22.31,58772
17-Nov-16,21.81,22.14,21.81,21.98,58226
16-Nov-16,21.76,22.19,21.65,21.87,88569
15-Nov-16,22.54,22.56,21.57,21.83,128598
14-Nov-16,22.25,22.84,21.91,22.59,361813
11-Nov-16,21.56,22.08,21.01,22.05,252049
10-Nov-16,20.00,21.75,19.77,21.52,200065
9-Nov-16,19.78,20.04,19.21,19.99,94663
8-Nov-16,19.90,20.04,19.72,19.82,55217
7-Nov-16,19.37,20.09,19.37,19.94,119906
4-Nov-16,18.93,19.37,18.87,19.00,123935
3-Nov-16,20.05,20.12,18.62,19.16,142574
2-Nov-16,20.17,20.63,20.04,20.37,47359
1-Nov-16,20.64,20.64,20.19,20.25,58422
31-Oct-16,20.53,20.75,20.48,20.68,37186
28-Oct-16,21.35,21.35,20.40,20.43,55231
27-Oct-16,21.55,21.69,21.23,21.40,40334
26-Oct-16,21.70,21.99,21.31,21.41,36067
25-Oct-16,21.88,22.21,21.66,21.85,54509
24-Oct-16,21.82,22.14,21.74,21.96,36672
21-Oct-16,21.83,21.84,21.58,21.77,40337
20-Oct-16,21.82,22.19,21.75,22.01,33664
19-Oct-16,21.89,22.01,21.65,21.89,35623
18-Oct-16,21.69,22.13,21.66,21.88,103553
17-Oct-16,21.56,21.70,21.41,21.53,54001
14-Oct-16,21.50,21.62,21.33,21.54,63786
13-Oct-16,21.81,21.81,21.19,21.41,110875
12-Oct-16,21.39,22.00,21.13,21.89,229861
11-Oct-16,21.85,22.02,21.27,21.34,81193
10-Oct-16,21.58,22.16,21.58,21.84,97437
7-Oct-16,21.50,21.52,20.97,21.50,52797
6-Oct-16,21.59,22.09,21.17,21.43,45117
5-Oct-16,21.58,21.95,21.36,21.69,57264
4-Oct-16,21.49,21.71,21.31,21.51,127181
3-Oct-16,21.86,21.94,21.44,21.49,84216
30-Sep-16,21.63,22.05,21.32,21.93,104583
29-Sep-16,21.87,22.03,21.33,21.51,78347
28-Sep-16,21.84,22.10,21.50,21.86,70973
27-Sep-16,21.98,22.26,21.77,21.85,71269
26-Sep-16,21.68,22.03,21.48,21.84,105270
23-Sep-16,22.24,22.34,21.69,21.71,105198
22-Sep-16,22.46,22.71,21.97,22.20,176604
21-Sep-16,21.86,22.48,21.86,22.43,68934
20-Sep-16,21.90,22.39,21.64,21.74,81273
19-Sep-16,22.21,22.38,21.83,21.89,45201
16-Sep-16,22.15,22.42,21.90,22.10,141089
15-Sep-16,21.78,22.16,21.51,22.16,133793
14-Sep-16,22.14,22.73,21.70,21.71,89163
13-Sep-16,22.09,22.26,21.69,22.11,137738
12-Sep-16,22.13,22.36,21.94,22.34,105816
9-Sep-16,23.02,23.04,22.26,22.27,131951
8-Sep-16,22.73,23.24,22.69,23.20,110235
7-Sep-16,22.24,22.90,22.24,22.75,125004
6-Sep-16,22.33,22.38,22.01,22.20,76934
2-Sep-16,22.18,22.57,22.12,22.39,62575
1-Sep-16,21.83,22.11,21.44,22.08,98249
31-Aug-16,22.07,22.07,21.73,21.89,74995
30-Aug-16,21.76,22.16,21.76,22.08,108120
29-Aug-16,21.88,22.08,21.67,21.67,103815
26-Aug-16,22.57,22.70,21.86,21.90,74792
25-Aug-16,22.59,23.05,22.49,22.57,101946
24-Aug-16,22.71,22.84,22.44,22.58,107991
23-Aug-16,22.82,23.32,22.70,22.79,79473
22-Aug-16,22.67,22.89,22.53,22.84,98752
19-Aug-16,22.60,22.83,22.39,22.74,105269
18-Aug-16,22.40,22.97,22.35,22.68,114794
17-Aug-16,22.70,22.81,22.18,22.43,118396
16-Aug-16,22.89,22.92,22.25,22.69,157434
15-Aug-16,22.68,23.07,22.45,22.86,220153
12-Aug-16,22.56,22.96,22.47,22.66,172485
11-Aug-16,22.72,23.02,22.50,22.51,172456
10-Aug-16,22.59,23.20,22.52,22.76,142988
9-Aug-16,22.92,23.04,22.58,22.59,117440
8-Aug-16,23.38,23.62,22.64,22.81,163726
5-Aug-16,23.41,23.67,22.48,23.25,254595
4-Aug-16,24.77,24.77,22.45,23.46,216814
3-Aug-16,24.41,25.30,24.16,25.28,149620
2-Aug-16,24.95,25.05,24.45,24.49,83180
1-Aug-16,24.88,25.10,24.60,24.89,113542
29-Jul-16,25.50,25.50,24.81,24.85,123622
28-Jul-16,25.74,26.10,25.05,25.63,61557
27-Jul-16,25.86,26.06,25.55,25.75,49110
26-Jul-16,26.32,26.35,25.70,25.86,113109
25-Jul-16,26.63,26.63,25.94,26.22,50780
22-Jul-16,26.41,26.86,25.81,26.55,100803
21-Jul-16,26.35,26.58,26.04,26.38,40622
20-Jul-16,26.07,26.55,25.95,26.40,54976
19-Jul-16,26.28,26.40,25.87,26.07,35866
18-Jul-16,26.40,26.68,26.09,26.31,40705
15-Jul-16,26.45,26.65,26.19,26.42,80860
14-Jul-16,26.64,26.74,26.25,26.28,59150
13-Jul-16,26.42,26.55,26.14,26.53,78621
12-Jul-16,25.76,26.43,24.97,26.30,131076
11-Jul-16,25.66,25.83,25.21,25.61,78435
8-Jul-16,25.07,25.50,24.72,25.50,91820
7-Jul-16,24.87,25.09,24.66,24.91,70550
6-Jul-16,24.34,24.84,24.34,24.75,55529
5-Jul-16,24.18,24.63,24.14,24.46,70328
1-Jul-16,24.32,24.86,24.12,24.39,59220
30-Jun-16,24.42,24.48,24.16,24.43,81050
29-Jun-16,23.95,24.46,23.95,24.35,74122
28-Jun-16,23.40,23.98,23.40,23.79,111492
27-Jun-16,23.54,23.64,23.02,23.27,119787
24-Jun-16,23.95,24.24,23.63,23.68,271481
23-Jun-16,24.86,25.02,24.60,24.82,73344
22-Jun-16,24.97,25.30,24.57,24.60,49923
21-Jun-16,25.27,25.27,24.77,24.92,72476
20-Jun-16,25.18,25.77,25.15,25.21,90778
17-Jun-16,24.78,25.12,24.61,24.97,244045
16-Jun-16,24.44,24.78,24.12,24.72,133281
15-Jun-16,24.71,25.09,24.50,24.71,164570
14-Jun-16,24.36,24.74,24.28,24.69,120608
13-Jun-16,24.39,24.84,24.39,24.49,89617
10-Jun-16,24.65,24.72,24.20,24.56,95990
9-Jun-16,24.52,24.86,24.37,24.78,71482
8-Jun-16,24.39,24.79,24.27,24.67,110522
7-Jun-16,24.26,24.78,24.00,24.34,113454
6-Jun-16,24.31,24.79,24.30,24.60,102464
3-Jun-16,24.49,24.49,23.94,24.34,79852
2-Jun-16,24.16,24.45,24.01,24.44,99527
1-Jun-16,23.03,24.30,23.03,24.12,190176
31-May-16,23.68,23.68,22.65,22.98,202132
27-May-16,23.19,23.76,23.07,23.69,138961
26-May-16,22.80,23.30,22.12,23.26,86898
25-May-16,22.64,22.92,22.50,22.84,112626
24-May-16,22.32,22.81,22.32,22.65,93270
23-May-16,21.99,22.36,21.82,22.25,94625
20-May-16,21.85,22.24,21.67,22.01,95372
19-May-16,21.76,22.34,21.64,21.83,100523
18-May-16,21.67,22.01,21.65,21.95,71141
17-May-16,22.12,22.18,21.62,21.73,121118
16-May-16,21.96,22.42,21.90,22.09,92157
13-May-16,21.50,22.09,21.50,21.99,105375
12-May-16,22.50,22.50,21.42,21.60,120125
11-May-16,23.14,23.34,22.20,22.38,179576
10-May-16,21.97,23.55,21.71,23.23,264147
9-May-16,22.13,22.52,21.71,21.80,166050
6-May-16,22.60,22.76,21.81,22.25,288919
5-May-16,24.21,24.21,21.53,22.84,466021
4-May-16,26.36,26.49,25.87,26.04,127065
3-May-16,26.43,26.77,26.17,26.42,102948
2-May-16,26.13,26.74,26.03,26.54,131100
29-Apr-16,26.73,27.08,25.50,26.04,370358
28-Apr-16,26.92,27.70,26.92,27.47,103318
27-Apr-16,27.46,27.49,26.73,27.12,141988
26-Apr-16,26.49,27.52,26.49,27.50,90600
25-Apr-16,26.53,26.78,26.31,26.58,138663
22-Apr-16,26.28,26.61,26.26,26.48,38871
21-Apr-16,26.47,26.78,26.22,26.34,83457
20-Apr-16,25.92,26.83,25.92,26.60,110132
19-Apr-16,25.58,25.95,25.49,25.80,113040
18-Apr-16,25.00,25.65,25.00,25.49,71552
15-Apr-16,25.17,25.31,24.98,25.19,90049
14-Apr-16,25.46,25.62,24.98,25.14,79806
13-Apr-16,24.96,25.53,24.91,25.40,159257
12-Apr-16,24.21,24.84,24.21,24.76,163897
11-Apr-16,25.90,25.97,24.12,24.17,114703
8-Apr-16,25.63,26.00,25.50,25.74,176049
7-Apr-16,25.23,25.51,24.97,25.50,176087
6-Apr-16,25.05,25.44,24.94,25.34,107402
5-Apr-16,25.20,25.38,25.07,25.13,125316
4-Apr-16,25.36,25.54,25.01,25.36,110968
1-Apr-16,24.69,25.45,24.52,25.44,185614
31-Mar-16,25.62,25.77,24.80,24.86,120942
30-Mar-16,25.40,25.73,25.15,25.60,101263
29-Mar-16,24.32,25.52,24.32,25.33,146788
28-Mar-16,24.77,24.77,24.12,24.30,200288
24-Mar-16,24.48,24.80,24.32,24.70,109385
23-Mar-16,24.61,24.77,24.02,24.50,177814
22-Mar-16,24.52,25.06,24.44,24.78,115627
21-Mar-16,24.61,25.00,24.41,24.60,98978
18-Mar-16,24.90,25.59,24.62,24.74,216552
17-Mar-16,25.92,25.92,23.98,24.75,154994
16-Mar-16,25.89,26.49,25.70,25.99,146561
15-Mar-16,26.39,26.39,25.78,26.02,88014
14-Mar-16,25.97,26.50,25.93,26.41,133128
11-Mar-16,26.00,26.18,25.65,25.98,306545
10-Mar-16,25.98,26.25,25.51,25.92,139500
9-Mar-16,25.66,26.00,25.42,25.75,127074
8-Mar-16,25.63,26.14,25.41,25.55,174737
7-Mar-16,25.82,26.37,25.50,25.74,129747
4-Mar-16,25.47,26.15,25.21,25.81,135723
3-Mar-16,25.57,26.08,25.47,25.51,180932
2-Mar-16,26.64,26.97,25.23,25.51,225316
1-Mar-16,26.59,26.88,26.10,26.83,186175
29-Feb-16,26.20,27.22,25.62,26.22,277460
26-Feb-16,26.44,26.96,25.75,25.98,157300
25-Feb-16,26.08,26.70,25.78,26.26,166503
