Date,Open,High,Low,Close,Volume
22-Nov-16,1.66,1.75,1.61,1.69,238127
21-Nov-16,1.61,1.67,1.60,1.65,199163
18-Nov-16,1.61,1.67,1.53,1.62,165046
17-Nov-16,1.51,1.65,1.51,1.60,265841
16-Nov-16,1.42,1.51,1.39,1.51,384878
15-Nov-16,1.39,1.45,1.37,1.43,240279
14-Nov-16,1.39,1.44,1.38,1.40,384124
11-Nov-16,1.36,1.40,1.33,1.38,110762
10-Nov-16,1.38,1.40,1.34,1.35,98528
9-Nov-16,1.30,1.37,1.25,1.35,123861
8-Nov-16,1.41,1.42,1.32,1.32,224949
7-Nov-16,1.41,1.44,1.40,1.41,151685
4-Nov-16,1.35,1.42,1.33,1.38,183255
3-Nov-16,1.26,1.36,1.26,1.31,367856
2-Nov-16,1.29,1.30,1.28,1.28,307476
1-Nov-16,1.37,1.40,1.25,1.30,6424532
31-Oct-16,1.38,1.41,1.36,1.41,481618
28-Oct-16,1.38,1.40,1.36,1.39,586317
27-Oct-16,1.45,1.46,1.38,1.38,585171
26-Oct-16,1.42,1.43,1.40,1.41,172971
25-Oct-16,1.48,1.48,1.39,1.43,635236
24-Oct-16,1.50,1.59,1.48,1.56,118800
21-Oct-16,1.50,1.52,1.48,1.50,79562
20-Oct-16,1.52,1.53,1.46,1.52,125216
19-Oct-16,1.53,1.55,1.50,1.51,65715
18-Oct-16,1.55,1.57,1.50,1.52,30534
17-Oct-16,1.53,1.56,1.53,1.55,89336
14-Oct-16,1.57,1.60,1.48,1.53,241402
13-Oct-16,1.63,1.64,1.55,1.55,148720
12-Oct-16,1.70,1.71,1.62,1.63,76993
11-Oct-16,1.63,1.70,1.63,1.68,70431
10-Oct-16,1.67,1.70,1.62,1.67,101310
7-Oct-16,1.69,1.70,1.63,1.65,109274
6-Oct-16,1.70,1.70,1.64,1.67,111838
5-Oct-16,1.61,1.70,1.61,1.70,168778
4-Oct-16,1.66,1.70,1.60,1.61,104901
3-Oct-16,1.60,1.69,1.60,1.68,88409
30-Sep-16,1.62,1.64,1.61,1.62,60358
29-Sep-16,1.65,1.68,1.61,1.61,75477
28-Sep-16,1.63,1.67,1.60,1.62,67475
27-Sep-16,1.65,1.67,1.59,1.63,390740
26-Sep-16,1.55,1.69,1.55,1.66,298967
23-Sep-16,1.55,1.58,1.55,1.55,148078
22-Sep-16,1.57,1.60,1.56,1.57,106363
21-Sep-16,1.56,1.58,1.55,1.56,75880
20-Sep-16,1.59,1.64,1.55,1.55,66298
19-Sep-16,1.57,1.70,1.53,1.55,309535
16-Sep-16,1.53,1.64,1.53,1.56,515640
15-Sep-16,1.51,1.56,1.50,1.55,146728
14-Sep-16,1.56,1.56,1.51,1.53,83018
13-Sep-16,1.64,1.65,1.50,1.56,241566
12-Sep-16,1.59,1.63,1.57,1.60,185918
9-Sep-16,1.59,1.64,1.57,1.61,229217
8-Sep-16,1.59,1.70,1.58,1.61,100775
7-Sep-16,1.64,1.71,1.57,1.57,178849
6-Sep-16,1.68,1.69,1.60,1.62,266044
2-Sep-16,1.68,1.69,1.62,1.65,151454
1-Sep-16,1.62,1.64,1.57,1.59,182414
31-Aug-16,1.60,1.63,1.60,1.62,127445
30-Aug-16,1.62,1.66,1.61,1.61,76533
29-Aug-16,1.56,1.73,1.56,1.62,178240
26-Aug-16,1.67,1.69,1.57,1.61,229409
25-Aug-16,1.60,1.69,1.60,1.65,93034
24-Aug-16,1.70,1.76,1.63,1.64,181940
23-Aug-16,1.73,1.75,1.70,1.71,149448
22-Aug-16,1.81,1.81,1.68,1.73,270465
19-Aug-16,1.67,1.84,1.67,1.81,294173
18-Aug-16,1.64,1.71,1.63,1.68,111323
17-Aug-16,1.68,1.68,1.61,1.61,107917
16-Aug-16,1.58,1.73,1.58,1.67,213041
15-Aug-16,1.57,1.66,1.56,1.58,100908
12-Aug-16,1.61,1.63,1.57,1.58,100210
11-Aug-16,1.50,1.63,1.50,1.59,207285
10-Aug-16,1.51,1.61,1.50,1.60,223614
9-Aug-16,1.70,1.71,1.52,1.53,354263
8-Aug-16,1.71,1.79,1.69,1.73,180841
5-Aug-16,1.76,1.78,1.72,1.74,160538
4-Aug-16,1.72,1.81,1.72,1.76,211258
3-Aug-16,1.72,1.76,1.66,1.70,375250
2-Aug-16,1.70,1.76,1.66,1.72,245476
1-Aug-16,1.67,1.74,1.60,1.71,230948
29-Jul-16,1.69,1.69,1.62,1.66,171843
28-Jul-16,1.75,1.78,1.65,1.68,295380
27-Jul-16,1.79,1.81,1.73,1.76,246608
26-Jul-16,1.83,1.86,1.79,1.80,248407
25-Jul-16,1.79,1.85,1.76,1.85,175328
22-Jul-16,1.79,1.85,1.72,1.82,278555
21-Jul-16,1.93,1.96,1.78,1.79,256392
20-Jul-16,1.73,1.94,1.64,1.93,515915
19-Jul-16,1.85,1.90,1.73,1.73,217621
18-Jul-16,1.71,1.87,1.69,1.84,414987
15-Jul-16,1.77,1.78,1.66,1.74,273931
14-Jul-16,1.64,1.79,1.63,1.76,262606
13-Jul-16,1.66,1.66,1.57,1.63,228218
12-Jul-16,1.54,1.67,1.52,1.65,262350
11-Jul-16,1.61,1.62,1.52,1.53,214445
8-Jul-16,1.52,1.61,1.47,1.59,326765
7-Jul-16,1.53,1.57,1.44,1.48,377779
6-Jul-16,1.38,1.55,1.38,1.51,275704
5-Jul-16,1.69,1.69,1.40,1.42,1016838
1-Jul-16,1.59,1.71,1.58,1.69,420748
30-Jun-16,1.56,1.59,1.52,1.59,372250
29-Jun-16,1.46,1.60,1.45,1.54,489533
28-Jun-16,1.53,1.60,1.41,1.43,653739
27-Jun-16,1.55,1.56,1.51,1.52,332791
24-Jun-16,1.51,1.57,1.48,1.55,4633382
23-Jun-16,1.63,1.68,1.58,1.64,1012810
22-Jun-16,1.79,1.84,1.59,1.59,853379
21-Jun-16,1.71,1.80,1.66,1.79,463645
20-Jun-16,1.80,1.85,1.68,1.69,473705
17-Jun-16,1.77,1.98,1.70,1.77,1193501
16-Jun-16,1.73,1.83,1.70,1.76,665646
15-Jun-16,1.74,1.87,1.66,1.75,1145519
14-Jun-16,1.64,1.83,1.61,1.81,1223407
13-Jun-16,1.77,1.91,1.60,1.72,2302444
10-Jun-16,1.13,2.09,1.09,1.79,4294286
9-Jun-16,1.10,1.18,1.09,1.13,769821
8-Jun-16,1.01,1.21,0.96,1.10,2291177
7-Jun-16,0.85,0.89,0.85,0.86,495566
6-Jun-16,0.87,0.91,0.85,0.85,447880
3-Jun-16,0.96,0.97,0.87,0.87,720185
2-Jun-16,1.00,1.00,0.90,0.93,744741
1-Jun-16,1.00,1.00,0.93,0.96,510445
31-May-16,1.06,1.07,0.99,0.99,664599
27-May-16,1.05,1.08,1.00,1.04,366977
26-May-16,1.10,1.10,1.01,1.01,620535
25-May-16,1.08,1.17,1.06,1.06,444413
24-May-16,1.12,1.13,1.06,1.09,396922
23-May-16,1.18,1.19,1.08,1.13,422294
20-May-16,1.23,1.25,1.18,1.18,484321
19-May-16,1.27,1.27,1.15,1.18,384259
18-May-16,1.18,1.27,1.16,1.25,269922
17-May-16,1.22,1.25,1.15,1.17,699993
16-May-16,1.35,1.35,1.18,1.22,566165
13-May-16,1.45,1.47,1.29,1.30,324712
12-May-16,1.56,1.60,1.45,1.45,223323
11-May-16,1.64,1.65,1.54,1.56,274155
10-May-16,1.65,1.66,1.60,1.62,124721
9-May-16,1.70,1.71,1.60,1.61,237899
6-May-16,1.68,1.72,1.66,1.71,247106
5-May-16,1.66,1.90,1.60,1.72,768504
4-May-16,1.73,1.79,1.63,1.63,475792
3-May-16,1.84,1.85,1.72,1.72,281670
