Date,Open,High,Low,Close,Volume
22-Nov-16,17.01,17.72,16.81,17.42,558138
21-Nov-16,16.74,17.04,16.48,16.92,401046
18-Nov-16,16.81,16.94,16.68,16.73,373661
17-Nov-16,16.92,17.10,16.65,16.80,381133
16-Nov-16,16.80,17.00,16.66,16.85,357840
15-Nov-16,16.88,17.09,16.74,16.85,330058
14-Nov-16,17.03,17.23,16.79,16.92,368416
11-Nov-16,16.40,17.22,16.29,16.97,420942
10-Nov-16,16.57,16.61,16.17,16.45,363245
9-Nov-16,16.56,16.79,16.22,16.50,283461
8-Nov-16,16.43,16.95,16.19,16.70,370733
7-Nov-16,16.10,16.50,16.02,16.38,617167
4-Nov-16,15.05,16.22,14.59,16.01,385790
3-Nov-16,16.90,16.90,15.35,15.99,490207
2-Nov-16,16.51,16.51,16.01,16.30,199942
1-Nov-16,16.66,16.67,16.35,16.44,203317
31-Oct-16,16.56,16.72,16.49,16.62,167027
28-Oct-16,16.65,16.78,16.40,16.48,132869
27-Oct-16,16.76,16.77,16.34,16.63,197057
26-Oct-16,16.74,16.81,16.56,16.72,121974
25-Oct-16,16.98,17.10,16.62,16.72,131412
24-Oct-16,16.90,17.04,16.73,17.01,87796
21-Oct-16,16.94,17.11,16.83,16.85,72657
20-Oct-16,17.15,17.18,16.90,17.03,118421
19-Oct-16,17.11,17.26,17.06,17.16,133550
18-Oct-16,16.97,17.36,16.87,17.19,214282
17-Oct-16,16.84,16.98,16.82,16.91,75808
14-Oct-16,17.10,17.10,16.66,16.84,82907
13-Oct-16,17.00,17.11,16.89,17.05,140449
12-Oct-16,16.59,17.09,16.57,17.00,109363
11-Oct-16,16.90,16.90,16.54,16.66,118789
10-Oct-16,16.84,17.05,16.74,16.86,69820
7-Oct-16,16.99,17.17,16.70,16.72,250348
6-Oct-16,17.03,17.16,16.91,17.01,122562
5-Oct-16,17.59,17.59,17.04,17.13,282020
4-Oct-16,17.89,17.95,17.55,17.59,208531
3-Oct-16,18.13,18.13,17.59,17.84,207090
30-Sep-16,18.32,18.33,18.00,18.14,112742
29-Sep-16,18.45,18.47,18.18,18.22,181171
28-Sep-16,18.45,18.68,18.33,18.50,351244
27-Sep-16,18.80,18.99,18.60,18.67,187870
26-Sep-16,18.86,18.87,18.59,18.70,225582
23-Sep-16,18.97,18.99,18.69,18.89,241457
22-Sep-16,18.75,18.94,18.75,18.92,210280
21-Sep-16,18.34,18.75,18.30,18.73,139185
20-Sep-16,18.61,18.65,18.34,18.35,491745
19-Sep-16,18.50,18.84,18.40,18.47,140049
16-Sep-16,18.70,18.80,18.33,18.49,961663
15-Sep-16,18.59,18.96,18.59,18.65,219721
14-Sep-16,18.88,19.05,18.41,18.65,232902
13-Sep-16,18.85,18.92,18.58,18.78,186480
12-Sep-16,18.86,19.15,18.56,19.00,244384
9-Sep-16,19.14,19.48,18.83,18.98,194660
8-Sep-16,19.25,19.35,19.10,19.29,122133
7-Sep-16,19.33,19.50,19.18,19.36,232127
6-Sep-16,18.94,19.36,18.74,19.32,196072
2-Sep-16,19.06,19.11,18.76,18.83,137665
1-Sep-16,18.98,19.17,18.72,18.91,249496
31-Aug-16,18.34,19.08,18.34,18.90,477996
30-Aug-16,18.00,18.29,17.84,18.25,169858
