Date,Open,High,Low,Close,Volume
22-Nov-16,1.83,1.86,1.80,1.85,1121335
21-Nov-16,1.84,1.88,1.78,1.84,2350667
18-Nov-16,1.80,1.83,1.78,1.83,1223318
17-Nov-16,1.78,1.80,1.76,1.80,1096701
16-Nov-16,1.78,1.80,1.74,1.76,1219275
15-Nov-16,1.74,1.79,1.74,1.77,1625360
14-Nov-16,1.76,1.79,1.73,1.76,1628466
11-Nov-16,1.70,1.78,1.67,1.73,2340290
10-Nov-16,1.63,1.67,1.60,1.67,1651557
9-Nov-16,1.58,1.62,1.54,1.61,932172
8-Nov-16,1.59,1.63,1.57,1.61,778124
7-Nov-16,1.62,1.63,1.58,1.61,1006497
4-Nov-16,1.55,1.60,1.54,1.59,753831
3-Nov-16,1.55,1.55,1.53,1.54,268586
2-Nov-16,1.57,1.57,1.52,1.54,485830
1-Nov-16,1.58,1.58,1.53,1.55,546676
31-Oct-16,1.59,1.59,1.56,1.56,559589
28-Oct-16,1.56,1.56,1.54,1.56,497864
27-Oct-16,1.57,1.57,1.52,1.55,729693
26-Oct-16,1.58,1.58,1.56,1.57,682861
25-Oct-16,1.60,1.62,1.58,1.58,628983
24-Oct-16,1.62,1.64,1.62,1.63,441668
21-Oct-16,1.59,1.62,1.58,1.62,291545
20-Oct-16,1.61,1.64,1.61,1.61,308336
19-Oct-16,1.58,1.64,1.58,1.63,726636
18-Oct-16,1.61,1.61,1.57,1.58,953587
17-Oct-16,1.61,1.62,1.60,1.61,632118
14-Oct-16,1.63,1.64,1.61,1.62,565979
13-Oct-16,1.63,1.64,1.61,1.62,719811
12-Oct-16,1.65,1.66,1.62,1.64,503032
11-Oct-16,1.67,1.68,1.64,1.64,618364
10-Oct-16,1.66,1.71,1.63,1.63,2140379
7-Oct-16,1.68,1.71,1.66,1.66,1098053
6-Oct-16,1.68,1.73,1.67,1.71,1057964
5-Oct-16,1.69,1.71,1.66,1.71,901757
4-Oct-16,1.67,1.68,1.66,1.67,833759
3-Oct-16,1.67,1.70,1.65,1.68,481473
30-Sep-16,1.66,1.70,1.64,1.69,1173737
29-Sep-16,1.68,1.70,1.63,1.64,1347205
28-Sep-16,1.67,1.71,1.66,1.69,1148751
27-Sep-16,1.70,1.73,1.66,1.66,1278175
26-Sep-16,1.72,1.73,1.69,1.71,684297
23-Sep-16,1.71,1.74,1.71,1.72,611361
22-Sep-16,1.67,1.76,1.67,1.72,2684037
21-Sep-16,1.64,1.67,1.64,1.67,811829
20-Sep-16,1.67,1.68,1.62,1.64,1126487
19-Sep-16,1.65,1.69,1.63,1.65,902024
16-Sep-16,1.65,1.66,1.62,1.64,2861763
15-Sep-16,1.67,1.67,1.62,1.64,1440459
14-Sep-16,1.69,1.70,1.65,1.66,1245399
13-Sep-16,1.68,1.76,1.65,1.66,1593818
12-Sep-16,1.70,1.72,1.63,1.68,2059755
9-Sep-16,1.90,1.90,1.71,1.73,4624944
8-Sep-16,1.98,2.01,1.94,1.98,1855582
7-Sep-16,1.90,1.99,1.90,1.96,2066790
6-Sep-16,1.87,1.91,1.84,1.90,1192032
