Date,Open,High,Low,Close,Volume
22-Nov-16,26.10,26.13,26.02,26.06,95614
21-Nov-16,26.16,26.22,26.05,26.05,46345
18-Nov-16,26.28,26.34,26.08,26.10,104400
17-Nov-16,26.55,26.55,26.28,26.35,51093
16-Nov-16,26.32,26.61,26.31,26.58,82956
15-Nov-16,26.10,26.37,26.10,26.36,125888
14-Nov-16,26.01,26.16,26.01,26.10,200270
11-Nov-16,26.11,26.28,25.81,26.18,194927
10-Nov-16,26.61,26.63,26.25,26.25,179502
9-Nov-16,26.58,26.73,26.58,26.72,115655
8-Nov-16,26.71,26.80,26.71,26.75,35742
7-Nov-16,26.87,26.90,26.66,26.75,113957
4-Nov-16,26.66,26.88,26.61,26.85,47896
3-Nov-16,26.88,26.88,26.64,26.64,92614
2-Nov-16,26.87,26.94,26.83,26.90,42526
1-Nov-16,26.83,26.96,26.83,26.90,36879
31-Oct-16,26.94,26.99,26.83,26.83,65861
28-Oct-16,27.07,27.08,26.97,26.98,37728
27-Oct-16,27.14,27.16,26.94,27.13,156209
26-Oct-16,27.07,27.18,27.01,27.16,48633
25-Oct-16,26.87,27.11,26.87,27.11,88656
24-Oct-16,26.83,26.94,26.82,26.90,87977
21-Oct-16,26.66,26.88,26.66,26.88,167124
20-Oct-16,26.62,26.78,26.59,26.78,37018
19-Oct-16,26.83,26.83,26.62,26.65,231018
18-Oct-16,26.52,26.86,26.52,26.81,101654
17-Oct-16,26.69,26.71,26.60,26.61,34454
14-Oct-16,26.76,26.80,26.68,26.69,82045
13-Oct-16,26.62,26.80,26.62,26.75,91385
12-Oct-16,26.87,26.87,26.76,26.78,60626
11-Oct-16,26.82,26.96,26.82,26.90,116628
10-Oct-16,26.96,27.02,26.78,26.85,67089
7-Oct-16,27.00,27.03,26.94,27.00,31892
6-Oct-16,27.06,27.07,26.97,26.99,75154
5-Oct-16,27.10,27.15,27.01,27.04,37212
4-Oct-16,27.08,27.20,27.05,27.05,40931
3-Oct-16,27.00,27.17,27.00,27.08,28339
30-Sep-16,27.05,27.14,26.98,27.03,61855
29-Sep-16,27.24,27.24,26.94,26.98,103220
28-Sep-16,27.15,27.25,27.13,27.23,184198
27-Sep-16,27.69,27.75,27.66,27.70,83453
26-Sep-16,27.70,27.74,27.70,27.70,121467
23-Sep-16,27.71,27.74,27.65,27.74,41863
22-Sep-16,27.65,27.75,27.65,27.74,97795
21-Sep-16,27.65,27.70,27.61,27.64,71597
20-Sep-16,27.59,27.65,27.56,27.58,48985
19-Sep-16,27.58,27.70,27.55,27.55,42522
16-Sep-16,27.61,27.70,27.58,27.58,66745
15-Sep-16,27.58,27.74,27.58,27.65,53278
14-Sep-16,27.58,27.70,27.53,27.66,90706
13-Sep-16,27.57,27.62,27.50,27.59,71699
12-Sep-16,27.40,27.67,27.40,27.67,139753
9-Sep-16,27.66,27.66,27.39,27.57,101739
8-Sep-16,27.65,27.71,27.64,27.71,59802
7-Sep-16,27.64,27.71,27.63,27.71,40523
6-Sep-16,27.65,27.65,27.60,27.61,43523
2-Sep-16,27.57,27.65,27.57,27.65,27887
1-Sep-16,27.57,27.62,27.57,27.57,37912
31-Aug-16,27.65,27.69,27.54,27.59,89573
30-Aug-16,27.55,27.68,27.55,27.65,68036
29-Aug-16,27.41,27.59,27.41,27.58,93672
26-Aug-16,27.46,27.50,27.44,27.45,53099
25-Aug-16,27.48,27.54,27.42,27.48,53157
24-Aug-16,27.55,27.59,27.45,27.50,71956
23-Aug-16,27.55,27.57,27.49,27.57,54828
22-Aug-16,27.46,27.55,27.45,27.55,87673
19-Aug-16,27.57,27.57,27.45,27.48,61517
18-Aug-16,27.51,27.60,27.51,27.60,70012
17-Aug-16,27.30,27.51,27.21,27.50,124816
16-Aug-16,27.31,27.31,27.17,27.30,89884
15-Aug-16,27.42,27.44,27.32,27.39,67733
12-Aug-16,27.51,27.55,27.45,27.50,85948
11-Aug-16,27.61,27.66,27.50,27.59,83394
10-Aug-16,27.70,27.71,27.58,27.65,116269
9-Aug-16,27.69,27.76,27.69,27.70,105537
8-Aug-16,27.70,27.75,27.70,27.72,117100
5-Aug-16,27.65,27.76,27.62,27.76,112732
4-Aug-16,27.75,27.77,27.63,27.65,87262
3-Aug-16,27.73,27.75,27.66,27.75,86800
2-Aug-16,27.70,27.77,27.64,27.75,85300
1-Aug-16,27.75,27.83,27.70,27.70,110453
29-Jul-16,27.55,27.93,27.55,27.84,102771
28-Jul-16,27.46,27.65,27.46,27.61,98508
27-Jul-16,27.37,27.54,27.36,27.54,61689
26-Jul-16,27.31,27.42,27.31,27.42,113620
25-Jul-16,27.29,27.39,27.20,27.39,87505
22-Jul-16,27.28,27.33,27.27,27.31,54856
21-Jul-16,27.24,27.39,27.24,27.38,71217
20-Jul-16,27.37,27.40,27.27,27.33,83169
19-Jul-16,27.37,27.42,27.28,27.38,112523
18-Jul-16,27.20,27.38,27.20,27.38,92346
15-Jul-16,27.16,27.36,27.13,27.36,206325
14-Jul-16,27.06,27.19,27.06,27.19,89631
13-Jul-16,27.15,27.16,26.90,27.13,128468
12-Jul-16,27.22,27.22,27.08,27.15,138766
11-Jul-16,27.09,27.22,27.08,27.22,48657
8-Jul-16,27.00,27.19,27.00,27.15,91147
7-Jul-16,26.87,27.07,26.87,27.00,67734
6-Jul-16,26.84,26.94,26.80,26.93,70076
5-Jul-16,27.00,27.02,26.81,26.85,106050
1-Jul-16,26.96,27.10,26.95,27.02,58641
30-Jun-16,26.80,27.08,26.80,27.01,104501
29-Jun-16,26.83,26.91,26.70,26.76,125662
28-Jun-16,26.53,26.83,26.53,26.79,121784
27-Jun-16,26.92,26.95,26.77,26.89,161624
24-Jun-16,26.70,27.19,26.70,27.13,229735
23-Jun-16,27.24,27.34,27.24,27.30,76600
22-Jun-16,27.20,27.24,27.15,27.22,117251
21-Jun-16,27.18,27.20,27.18,27.20,90307
20-Jun-16,27.16,27.20,27.14,27.20,96231
17-Jun-16,27.03,27.15,27.02,27.12,62093
16-Jun-16,27.09,27.09,26.70,27.03,87614
15-Jun-16,27.02,27.14,27.02,27.13,96499
14-Jun-16,27.09,27.11,26.87,27.04,102711
13-Jun-16,27.09,27.13,27.04,27.09,98352
10-Jun-16,27.16,27.18,27.10,27.13,157881
9-Jun-16,27.13,27.24,27.12,27.23,133069
8-Jun-16,27.20,27.22,27.14,27.14,95173
7-Jun-16,27.20,27.24,27.12,27.22,100443
6-Jun-16,27.17,27.25,27.14,27.25,84689
3-Jun-16,27.06,27.26,27.06,27.26,204450
2-Jun-16,27.07,27.14,27.04,27.14,58758
1-Jun-16,27.09,27.14,27.06,27.07,124842
31-May-16,27.11,27.12,27.03,27.11,44071
27-May-16,27.13,27.14,27.03,27.04,34917
26-May-16,27.00,27.13,26.99,27.12,55581
25-May-16,26.97,27.02,26.96,27.02,64692
24-May-16,27.07,27.16,26.96,27.05,168619
23-May-16,26.93,27.17,26.93,27.14,76120
20-May-16,26.88,27.04,26.87,27.02,43183
19-May-16,26.93,26.93,26.75,26.85,133522
18-May-16,27.09,27.16,26.75,26.94,187194
17-May-16,27.05,27.17,27.03,27.13,118196
16-May-16,27.21,27.25,27.16,27.16,143007
13-May-16,27.27,27.30,27.20,27.26,85682
12-May-16,27.22,27.28,27.19,27.27,65390
11-May-16,27.17,27.24,27.14,27.22,95876
10-May-16,27.04,27.26,27.04,27.19,122470
9-May-16,27.26,27.32,27.23,27.30,42454
6-May-16,27.16,27.30,27.14,27.30,74792
5-May-16,27.20,27.21,27.05,27.19,76536
4-May-16,27.22,27.26,27.16,27.22,83588
3-May-16,27.16,27.24,27.10,27.24,74757
2-May-16,27.15,27.20,27.10,27.20,109961
29-Apr-16,26.98,27.19,26.97,27.19,183261
28-Apr-16,27.04,27.05,26.99,27.02,72203
27-Apr-16,26.97,27.06,26.95,27.05,87559
26-Apr-16,27.03,27.06,26.96,26.97,62477
25-Apr-16,27.01,27.07,26.96,27.03,57953
22-Apr-16,26.95,27.06,26.95,27.01,49144
21-Apr-16,26.88,26.97,26.87,26.93,120762
20-Apr-16,27.08,27.08,26.91,27.02,130843
19-Apr-16,26.94,27.11,26.94,27.09,215615
18-Apr-16,26.83,26.95,26.82,26.95,77061
15-Apr-16,26.68,26.87,26.68,26.87,198914
14-Apr-16,26.56,26.74,26.55,26.74,90834
13-Apr-16,26.49,26.61,26.47,26.56,98307
12-Apr-16,26.43,26.50,26.43,26.44,95539
11-Apr-16,26.44,26.57,26.38,26.44,160410
8-Apr-16,26.54,26.56,26.41,26.43,76795
7-Apr-16,26.61,26.62,26.48,26.48,119271
6-Apr-16,26.67,26.70,26.61,26.69,105386
5-Apr-16,26.60,26.66,26.54,26.64,81297
4-Apr-16,26.72,26.72,26.54,26.63,141031
1-Apr-16,26.87,26.91,26.62,26.62,148591
31-Mar-16,26.87,26.89,26.81,26.89,74502
30-Mar-16,26.72,26.84,26.70,26.82,59486
29-Mar-16,26.64,26.70,26.60,26.70,115330
28-Mar-16,27.07,27.12,27.07,27.12,79504
24-Mar-16,27.05,27.12,27.05,27.12,63303
23-Mar-16,26.94,27.07,26.93,27.07,34038
22-Mar-16,26.88,26.95,26.88,26.95,45046
21-Mar-16,26.87,26.93,26.87,26.90,15863
18-Mar-16,26.88,26.94,26.86,26.86,104348
17-Mar-16,26.89,26.93,26.83,26.93,51151
16-Mar-16,26.80,26.89,26.75,26.88,51904
15-Mar-16,26.87,26.87,26.79,26.79,55005
14-Mar-16,26.90,26.95,26.83,26.87,56843
11-Mar-16,26.81,26.94,26.81,26.94,61643
10-Mar-16,26.83,26.89,26.77,26.80,51373
9-Mar-16,26.79,26.89,26.79,26.87,80919
8-Mar-16,26.88,26.89,26.75,26.84,76092
7-Mar-16,26.83,26.90,26.82,26.90,49013
4-Mar-16,26.80,26.89,26.72,26.86,65951
3-Mar-16,26.77,26.85,26.72,26.76,59987
2-Mar-16,26.77,26.83,26.72,26.76,64083
1-Mar-16,26.61,26.90,26.44,26.82,149895
29-Feb-16,26.45,26.55,26.37,26.51,86546
26-Feb-16,26.47,26.47,26.28,26.38,66266
25-Feb-16,26.45,26.45,26.29,26.32,82076
24-Feb-16,26.22,26.35,26.18,26.31,50303
23-Feb-16,26.40,26.42,26.25,26.35,57102
22-Feb-16,26.70,26.70,26.38,26.40,72192
19-Feb-16,26.18,26.60,26.12,26.57,102525
18-Feb-16,26.18,26.32,26.11,26.18,87591
17-Feb-16,26.07,26.28,26.02,26.08,96468
16-Feb-16,25.73,26.09,25.66,25.98,217368
12-Feb-16,25.67,25.82,25.42,25.44,244800
