Date,Open,High,Low,Close,Volume
22-Nov-16,12.01,12.01,11.91,11.95,8196
21-Nov-16,12.00,12.01,11.87,11.94,12840
18-Nov-16,12.03,12.03,11.90,12.02,12210
17-Nov-16,11.85,12.01,11.83,11.94,18703
16-Nov-16,11.94,11.94,11.81,11.89,26291
15-Nov-16,12.09,12.12,12.00,12.07,41753
14-Nov-16,12.17,12.17,12.10,12.13,3245
11-Nov-16,12.23,12.23,12.10,12.16,5738
10-Nov-16,12.20,12.26,12.05,12.22,7033
9-Nov-16,11.82,12.10,11.82,12.08,16598
8-Nov-16,11.80,11.87,11.75,11.84,14847
7-Nov-16,11.73,11.78,11.68,11.77,17674
4-Nov-16,11.73,11.77,11.70,11.73,12331
3-Nov-16,11.96,11.96,11.70,11.74,6884
2-Nov-16,11.75,11.84,11.72,11.72,5538
1-Nov-16,11.68,11.72,11.65,11.68,7830
31-Oct-16,11.60,11.72,11.60,11.65,5861
28-Oct-16,11.66,11.68,11.30,11.57,60713
27-Oct-16,11.79,11.79,11.70,11.72,3789
26-Oct-16,11.80,11.82,11.72,11.72,15262
25-Oct-16,11.85,11.85,11.82,11.85,3884
24-Oct-16,11.90,11.90,11.86,11.86,3985
21-Oct-16,12.01,12.02,11.92,11.93,4966
20-Oct-16,11.72,11.87,11.72,11.86,4611
19-Oct-16,11.87,11.87,11.79,11.82,3930
18-Oct-16,11.87,11.87,11.75,11.83,10916
17-Oct-16,11.91,11.94,11.74,11.87,3911
14-Oct-16,11.91,11.99,11.83,11.85,3029
13-Oct-16,11.94,12.01,11.74,11.82,20357
12-Oct-16,12.15,12.15,12.02,12.04,7131
11-Oct-16,12.13,12.15,12.13,12.15,625
10-Oct-16,12.28,12.28,12.08,12.19,12015
7-Oct-16,12.26,12.28,12.10,12.28,4536
6-Oct-16,12.25,12.25,12.08,12.11,4637
5-Oct-16,12.25,12.26,12.18,12.21,1370
4-Oct-16,12.28,12.30,12.21,12.26,4322
3-Oct-16,12.30,12.32,12.24,12.24,8641
30-Sep-16,12.28,12.32,12.24,12.24,8873
29-Sep-16,12.36,12.36,12.26,12.26,7360
28-Sep-16,12.32,12.36,12.31,12.36,6898
27-Sep-16,12.31,12.36,12.31,12.33,2798
26-Sep-16,12.38,12.45,12.34,12.34,5091
23-Sep-16,12.39,12.55,12.39,12.51,15896
22-Sep-16,12.47,12.49,12.39,12.46,8794
21-Sep-16,12.38,12.47,12.27,12.40,4837
20-Sep-16,12.46,12.46,12.34,12.37,1074
19-Sep-16,12.37,12.51,12.31,12.51,5562
16-Sep-16,12.28,12.28,12.15,12.25,27815
15-Sep-16,12.52,12.56,12.32,12.36,3379
14-Sep-16,12.51,12.55,12.51,12.51,3114
13-Sep-16,12.54,12.58,12.45,12.51,16216
12-Sep-16,12.62,12.68,12.08,12.65,15555
9-Sep-16,13.10,13.10,12.72,12.85,25458
8-Sep-16,13.05,13.28,13.05,13.28,20319
7-Sep-16,12.93,13.08,12.93,13.03,13990
6-Sep-16,12.88,12.93,12.87,12.89,6534
2-Sep-16,12.75,12.82,12.72,12.82,15335
1-Sep-16,12.71,12.72,12.64,12.66,9025
31-Aug-16,12.67,12.68,12.62,12.67,8552
30-Aug-16,12.68,12.75,12.68,12.68,13235
29-Aug-16,12.79,12.85,12.77,12.85,12510
26-Aug-16,12.74,12.79,12.70,12.72,6074
25-Aug-16,12.71,12.71,12.61,12.67,10963
24-Aug-16,12.58,12.68,12.58,12.68,16613
23-Aug-16,12.39,12.57,12.39,12.57,9424
22-Aug-16,12.29,12.42,12.27,12.39,17974
19-Aug-16,12.41,12.42,12.29,12.33,10772
18-Aug-16,12.38,12.46,12.35,12.46,6705
17-Aug-16,12.27,12.32,12.24,12.30,4277
16-Aug-16,12.24,12.32,12.24,12.25,26606
15-Aug-16,12.17,12.26,12.17,12.24,10324
12-Aug-16,12.07,12.19,12.07,12.17,6044
11-Aug-16,12.17,12.17,12.02,12.05,3861
10-Aug-16,11.98,12.03,11.98,12.03,4549
9-Aug-16,11.92,12.00,11.92,11.94,17836
8-Aug-16,11.80,11.90,11.80,11.89,27156
5-Aug-16,11.76,11.90,11.76,11.85,7999
4-Aug-16,11.89,11.93,11.84,11.88,9950
3-Aug-16,11.86,11.92,11.84,11.85,7588
2-Aug-16,11.84,11.89,11.83,11.87,10442
1-Aug-16,11.82,11.95,11.82,11.84,20597
29-Jul-16,11.84,11.91,11.84,11.90,698
28-Jul-16,11.80,11.90,11.80,11.84,4375
27-Jul-16,11.90,11.90,11.75,11.85,10989
26-Jul-16,12.03,12.03,11.91,11.92,5050
25-Jul-16,11.95,12.07,11.95,11.98,4872
22-Jul-16,11.95,12.00,11.92,11.97,4363
21-Jul-16,11.96,12.09,11.92,11.95,3664
20-Jul-16,12.00,12.05,11.91,12.00,20820
19-Jul-16,12.05,12.05,11.98,12.03,9700
18-Jul-16,12.05,12.08,11.98,12.05,3509
15-Jul-16,11.96,12.05,11.94,12.00,8184
14-Jul-16,11.94,12.05,11.79,11.97,15570
13-Jul-16,12.00,12.17,11.71,11.77,30126
12-Jul-16,11.94,11.97,11.74,11.96,89366
11-Jul-16,11.67,11.76,11.66,11.75,18925
8-Jul-16,11.35,11.56,11.35,11.51,9912
7-Jul-16,11.18,11.46,11.18,11.25,13198
6-Jul-16,11.47,11.49,11.07,11.22,31045
5-Jul-16,11.87,11.87,11.55,11.66,28077
1-Jul-16,11.90,11.90,11.75,11.87,26251
30-Jun-16,11.73,11.85,11.61,11.85,19957
29-Jun-16,11.39,11.88,11.39,11.67,102957
28-Jun-16,11.20,11.82,10.99,11.16,99212
27-Jun-16,11.59,11.59,10.96,11.05,128468
24-Jun-16,12.40,12.40,11.72,11.80,129718
23-Jun-16,12.78,12.97,12.78,12.95,5212
22-Jun-16,12.79,12.95,12.56,12.69,32572
21-Jun-16,12.77,12.82,12.53,12.65,12518
20-Jun-16,12.48,12.65,12.47,12.53,10320
17-Jun-16,12.16,12.20,12.11,12.16,9337
16-Jun-16,12.43,12.65,12.10,12.25,27873
15-Jun-16,12.55,12.55,12.39,12.39,15808
14-Jun-16,12.95,12.95,12.71,12.73,24097
13-Jun-16,12.95,12.95,12.72,12.81,20469
10-Jun-16,13.14,13.14,12.99,13.10,4154
9-Jun-16,13.30,13.37,13.20,13.29,10319
8-Jun-16,13.53,13.66,13.53,13.58,19629
7-Jun-16,13.60,13.68,13.55,13.61,23051
6-Jun-16,13.60,13.60,13.54,13.55,4300
3-Jun-16,13.56,13.56,13.56,13.56,128
2-Jun-16,13.52,13.65,13.52,13.57,7378
1-Jun-16,13.61,13.70,13.51,13.51,8757
31-May-16,13.56,13.61,13.56,13.61,1132
27-May-16,13.74,13.74,13.36,13.50,3008
26-May-16,13.62,13.62,13.50,13.57,4868
25-May-16,13.39,13.63,13.39,13.50,4676
24-May-16,13.31,13.40,13.21,13.33,9251
23-May-16,13.28,13.32,13.24,13.30,7981
20-May-16,13.40,13.45,13.40,13.41,5395
19-May-16,13.36,13.45,13.35,13.40,4892
18-May-16,13.45,13.47,13.26,13.39,32485
17-May-16,13.59,13.62,13.42,13.47,10037
16-May-16,13.58,13.59,13.30,13.59,27794
13-May-16,13.67,13.67,13.34,13.34,22623
12-May-16,13.49,13.49,13.45,13.47,10471
11-May-16,13.46,13.60,13.45,13.45,8179
10-May-16,13.60,13.63,13.44,13.45,8422
9-May-16,13.50,13.72,13.40,13.42,4377
6-May-16,13.39,13.52,13.38,13.41,8608
