Date,Open,High,Low,Close,Volume
22-Nov-16,7.19,7.25,7.19,7.24,58295
21-Nov-16,7.18,7.27,7.17,7.25,70447
18-Nov-16,7.12,7.18,7.12,7.18,21805
17-Nov-16,7.11,7.14,7.11,7.14,4850
16-Nov-16,7.11,7.12,7.09,7.10,12552
15-Nov-16,7.08,7.09,7.01,7.07,20363
14-Nov-16,7.11,7.15,6.95,6.99,44839
11-Nov-16,7.14,7.15,7.10,7.11,1917
10-Nov-16,7.13,7.18,7.10,7.10,10699
9-Nov-16,7.22,7.26,7.19,7.21,19974
8-Nov-16,7.19,7.29,7.18,7.27,15975
7-Nov-16,7.21,7.24,7.20,7.20,14719
4-Nov-16,7.36,7.36,7.19,7.22,22048
3-Nov-16,7.25,7.28,7.25,7.25,10126
2-Nov-16,7.24,7.30,7.24,7.28,12686
1-Nov-16,7.35,7.37,7.21,7.26,12996
31-Oct-16,7.28,7.29,7.28,7.28,3307
28-Oct-16,7.25,7.30,7.25,7.29,6900
27-Oct-16,7.33,7.35,7.23,7.34,7787
26-Oct-16,7.33,7.33,7.32,7.33,4073
25-Oct-16,7.31,7.33,7.27,7.32,7041
24-Oct-16,7.29,7.36,7.29,7.36,5271
21-Oct-16,7.33,7.34,7.33,7.33,2977
20-Oct-16,7.33,7.36,7.33,7.36,348
19-Oct-16,7.34,7.37,7.34,7.34,42604
18-Oct-16,7.38,7.41,7.36,7.37,21848
17-Oct-16,7.41,7.41,7.39,7.41,1740
14-Oct-16,7.43,7.43,7.39,7.41,4630
13-Oct-16,7.38,7.44,7.38,7.43,12865
12-Oct-16,7.43,7.43,7.37,7.42,4745
11-Oct-16,7.40,7.40,7.39,7.40,1827
10-Oct-16,7.39,7.44,7.39,7.43,1331
7-Oct-16,7.42,7.43,7.42,7.42,2710
6-Oct-16,7.44,7.46,7.41,7.45,11873
5-Oct-16,7.50,7.52,7.50,7.52,1958
4-Oct-16,7.53,7.55,7.47,7.54,19045
3-Oct-16,7.46,7.54,7.41,7.50,11238
30-Sep-16,7.49,7.50,7.46,7.50,17723
29-Sep-16,7.51,7.57,7.48,7.50,13006
28-Sep-16,7.60,7.60,7.55,7.55,3953
27-Sep-16,7.47,7.52,7.47,7.52,6350
26-Sep-16,7.48,7.53,7.48,7.53,1036
23-Sep-16,7.51,7.55,7.49,7.51,5351
22-Sep-16,7.62,7.62,7.55,7.55,6122
21-Sep-16,7.51,7.59,7.50,7.59,19461
20-Sep-16,7.49,7.55,7.46,7.54,14491
19-Sep-16,7.51,7.51,7.48,7.48,4347
16-Sep-16,7.51,7.54,7.48,7.52,15850
15-Sep-16,7.52,7.57,7.50,7.52,4952
14-Sep-16,7.29,7.64,7.29,7.55,105425
13-Sep-16,7.40,7.40,7.32,7.32,9397
12-Sep-16,7.41,7.44,7.41,7.44,3201
9-Sep-16,7.49,7.50,7.42,7.44,24079
8-Sep-16,7.47,7.50,7.47,7.49,15415
7-Sep-16,7.47,7.49,7.47,7.48,5279
6-Sep-16,7.45,7.50,7.45,7.49,8825
2-Sep-16,7.48,7.48,7.45,7.46,1522
1-Sep-16,7.46,7.47,7.45,7.45,29158
31-Aug-16,7.45,7.48,7.45,7.48,4974
30-Aug-16,7.47,7.48,7.45,7.48,18343
29-Aug-16,7.45,7.48,7.45,7.48,10090
26-Aug-16,7.44,7.47,7.43,7.47,21080
25-Aug-16,7.48,7.48,7.43,7.43,6191
24-Aug-16,7.43,7.45,7.42,7.44,8626
23-Aug-16,7.44,7.46,7.43,7.43,11742
22-Aug-16,7.44,7.45,7.42,7.42,7932
19-Aug-16,7.45,7.47,7.45,7.45,10495
18-Aug-16,7.46,7.48,7.46,7.46,3174
17-Aug-16,7.45,7.48,7.44,7.47,1593
16-Aug-16,7.44,7.47,7.44,7.47,2618
15-Aug-16,7.44,7.44,7.43,7.43,11025
12-Aug-16,7.46,7.47,7.39,7.47,25914
11-Aug-16,7.37,7.47,7.37,7.47,4226
10-Aug-16,7.39,7.42,7.39,7.40,1598
9-Aug-16,7.40,7.42,7.38,7.40,39144
8-Aug-16,7.43,7.43,7.29,7.42,69651
5-Aug-16,7.47,7.47,7.43,7.44,6643
4-Aug-16,7.40,7.45,7.40,7.42,3419
3-Aug-16,7.39,7.41,7.39,7.39,7464
2-Aug-16,7.44,7.44,7.40,7.41,13592
1-Aug-16,7.44,7.46,7.41,7.42,12941
29-Jul-16,7.42,7.43,7.39,7.39,4697
28-Jul-16,7.41,7.45,7.36,7.42,6654
27-Jul-16,7.45,7.45,7.42,7.43,926
26-Jul-16,7.41,7.41,7.36,7.36,7630
25-Jul-16,7.41,7.42,7.41,7.42,26908
22-Jul-16,7.39,7.43,7.37,7.42,24639
21-Jul-16,7.45,7.45,7.35,7.42,6521
20-Jul-16,7.45,7.45,7.42,7.42,201
19-Jul-16,7.45,7.50,7.41,7.47,7427
18-Jul-16,7.35,7.50,7.35,7.48,28509
15-Jul-16,7.35,7.39,7.35,7.39,22810
14-Jul-16,7.41,7.41,7.33,7.33,8462
13-Jul-16,7.43,7.43,7.39,7.41,12024
12-Jul-16,7.48,7.48,7.45,7.46,14756
11-Jul-16,7.48,7.48,7.40,7.42,10167
8-Jul-16,7.44,7.48,7.38,7.43,13108
7-Jul-16,7.58,7.59,7.36,7.43,34810
6-Jul-16,7.39,7.60,7.38,7.38,9015
5-Jul-16,7.45,7.59,7.45,7.46,5980
1-Jul-16,7.50,7.53,7.43,7.48,3610
30-Jun-16,7.49,7.53,7.42,7.48,4296
29-Jun-16,7.50,7.52,7.43,7.52,5050
28-Jun-16,7.40,7.50,7.36,7.44,25030
27-Jun-16,7.32,7.40,7.32,7.39,4492
24-Jun-16,7.27,7.40,7.13,7.40,6651
23-Jun-16,7.36,7.42,7.33,7.34,31937
22-Jun-16,7.40,7.40,7.32,7.35,24845
21-Jun-16,7.39,7.39,7.34,7.39,9683
20-Jun-16,7.27,7.37,7.27,7.34,13773
17-Jun-16,7.31,7.34,7.31,7.31,4523
16-Jun-16,7.27,7.34,7.27,7.34,18052
15-Jun-16,7.31,7.39,7.31,7.36,4885
14-Jun-16,7.36,7.36,7.32,7.34,1126
13-Jun-16,7.42,7.42,7.34,7.34,5751
10-Jun-16,7.41,7.41,7.39,7.39,1484
9-Jun-16,7.38,7.38,7.38,7.38,130142
8-Jun-16,7.38,7.41,7.37,7.37,41962
7-Jun-16,7.37,7.39,7.34,7.38,17323
6-Jun-16,7.28,7.42,7.27,7.40,6283
3-Jun-16,7.34,7.40,7.34,7.40,3321
2-Jun-16,7.42,7.42,7.32,7.37,18528
1-Jun-16,7.48,7.54,7.18,7.39,36337
31-May-16,7.46,7.46,7.38,7.45,5296
27-May-16,7.30,7.59,7.30,7.50,19444
26-May-16,7.34,7.39,7.31,7.31,2962
25-May-16,7.38,7.44,7.36,7.36,4955
24-May-16,7.39,7.40,7.36,7.37,14866
23-May-16,7.37,7.41,7.35,7.38,9656
20-May-16,7.35,7.38,7.35,7.38,16201
19-May-16,7.31,7.40,7.30,7.31,6486
18-May-16,-,-,-,7.37,0
17-May-16,7.38,7.38,7.35,7.37,12195
16-May-16,7.31,7.34,7.31,7.34,4530
13-May-16,7.37,7.37,7.32,7.32,3159
12-May-16,7.34,7.39,7.32,7.38,15987
11-May-16,7.32,7.36,7.32,7.36,7864
10-May-16,7.35,7.42,7.35,7.35,37148
9-May-16,7.37,7.37,7.35,7.35,1820
6-May-16,7.33,7.42,7.33,7.36,15290
5-May-16,7.34,7.35,7.33,7.35,4850
4-May-16,7.31,7.34,7.31,7.33,4352
3-May-16,7.42,7.42,7.30,7.37,36768
2-May-16,7.41,7.41,7.35,7.38,52779
29-Apr-16,7.33,7.36,7.33,7.34,4606
28-Apr-16,7.28,7.36,7.27,7.31,13213
27-Apr-16,7.28,7.31,7.26,7.31,10453
26-Apr-16,7.22,7.30,7.22,7.30,11767
25-Apr-16,7.21,7.25,7.21,7.23,7960
22-Apr-16,7.19,7.23,7.19,7.23,8791
21-Apr-16,7.19,7.22,7.18,7.19,8639
20-Apr-16,7.18,7.20,7.18,7.20,4767
19-Apr-16,7.21,7.21,7.17,7.18,11661
18-Apr-16,7.10,7.22,7.09,7.17,7968
15-Apr-16,7.13,7.20,7.13,7.19,5530
