Date,Open,High,Low,Close,Volume
22-Nov-16,10.52,10.52,10.49,10.50,5247
21-Nov-16,10.47,10.50,10.46,10.49,27877
18-Nov-16,10.39,10.40,10.38,10.40,52611
17-Nov-16,10.39,10.47,10.39,10.46,10552
16-Nov-16,10.37,10.41,10.37,10.39,50373
15-Nov-16,10.37,10.46,10.33,10.43,32663
14-Nov-16,10.41,10.43,10.38,10.42,25432
11-Nov-16,10.64,10.64,10.42,10.46,24261
10-Nov-16,10.55,10.59,10.46,10.55,93646
9-Nov-16,10.55,10.60,10.53,10.55,31893
8-Nov-16,10.73,10.73,10.61,10.69,74870
7-Nov-16,10.77,10.84,10.64,10.83,31415
4-Nov-16,10.71,10.78,10.70,10.77,13837
3-Nov-16,10.80,10.80,10.70,10.78,67278
2-Nov-16,10.75,10.77,10.74,10.75,53919
1-Nov-16,10.73,10.77,10.71,10.75,79215
31-Oct-16,10.75,10.75,10.72,10.72,19743
28-Oct-16,10.66,10.73,10.66,10.73,40171
27-Oct-16,10.67,10.68,10.64,10.64,11695
26-Oct-16,10.59,10.68,10.59,10.68,35144
25-Oct-16,10.57,10.65,10.56,10.64,39656
24-Oct-16,10.55,10.60,10.55,10.59,11868
21-Oct-16,10.55,10.60,10.52,10.59,11280
20-Oct-16,10.60,10.64,10.56,10.62,36427
19-Oct-16,10.53,10.55,10.50,10.54,13165
18-Oct-16,10.43,10.48,10.40,10.47,31007
17-Oct-16,10.40,10.40,10.36,10.40,270777
14-Oct-16,10.41,10.41,10.35,10.37,18931
13-Oct-16,10.28,10.35,10.28,10.33,50464
12-Oct-16,10.41,10.41,10.36,10.37,7064
11-Oct-16,10.45,10.46,10.40,10.42,20685
10-Oct-16,10.42,10.49,10.42,10.45,5297
7-Oct-16,10.46,10.46,10.40,10.42,3465
6-Oct-16,10.47,10.47,10.43,10.45,4337
5-Oct-16,10.51,10.53,10.47,10.48,32079
4-Oct-16,10.54,10.54,10.46,10.52,20284
3-Oct-16,10.49,10.55,10.49,10.55,8960
30-Sep-16,10.48,10.58,10.48,10.55,10234
29-Sep-16,10.65,10.65,10.57,10.60,31621
28-Sep-16,10.55,10.58,10.55,10.58,9202
27-Sep-16,10.53,10.59,10.52,10.59,22851
26-Sep-16,10.45,10.46,10.37,10.45,24844
23-Sep-16,10.43,10.48,10.41,10.48,25106
22-Sep-16,10.46,10.51,10.41,10.49,55026
21-Sep-16,10.30,10.39,10.30,10.39,89006
20-Sep-16,10.15,10.18,10.12,10.13,10882
19-Sep-16,10.14,10.14,10.06,10.08,339559
16-Sep-16,10.06,10.13,10.06,10.10,53888
15-Sep-16,10.06,10.12,10.06,10.11,5464
14-Sep-16,10.08,10.11,10.06,10.08,31252
13-Sep-16,10.10,10.18,10.08,10.10,32629
12-Sep-16,10.10,10.18,10.08,10.17,34608
9-Sep-16,10.16,10.19,10.13,10.13,26535
8-Sep-16,10.25,10.31,10.24,10.27,33811
7-Sep-16,10.17,10.29,10.17,10.26,65050
6-Sep-16,10.15,10.16,10.09,10.13,27913
2-Sep-16,10.16,10.16,10.10,10.13,52923
1-Sep-16,10.10,10.13,10.08,10.11,50451
31-Aug-16,10.07,10.09,10.03,10.09,12820
30-Aug-16,10.07,10.08,10.05,10.07,23863
29-Aug-16,10.11,10.15,10.11,10.15,10582
26-Aug-16,10.16,10.22,10.13,10.14,14847
25-Aug-16,10.22,10.24,10.21,10.24,31679
24-Aug-16,10.21,10.23,10.18,10.22,57318
23-Aug-16,10.25,10.25,10.19,10.22,29390
22-Aug-16,10.06,10.25,10.03,10.23,84409
19-Aug-16,10.01,10.06,9.95,10.04,105612
18-Aug-16,10.14,10.14,10.02,10.06,62044
17-Aug-16,10.16,10.20,10.16,10.16,15232
16-Aug-16,10.19,10.20,10.16,10.18,5900
15-Aug-16,10.20,10.27,10.20,10.24,21069
12-Aug-16,10.22,10.25,10.10,10.16,24034
11-Aug-16,10.23,10.26,10.17,10.22,22327
10-Aug-16,10.23,10.23,10.18,10.20,7051
9-Aug-16,10.20,10.23,10.17,10.18,7714
8-Aug-16,10.11,10.15,10.11,10.11,10291
5-Aug-16,10.18,10.18,10.09,10.16,16538
4-Aug-16,10.18,10.19,10.16,10.17,10914
3-Aug-16,10.16,10.20,10.16,10.17,10191
2-Aug-16,10.19,10.23,10.16,10.21,21319
1-Aug-16,10.39,10.39,10.32,10.37,12813
29-Jul-16,10.30,10.35,10.20,10.30,16689
28-Jul-16,10.13,10.17,10.11,10.13,19742
27-Jul-16,10.21,10.21,10.10,10.17,31448
26-Jul-16,10.13,10.17,10.07,10.16,52397
25-Jul-16,10.03,10.08,10.03,10.05,11243
22-Jul-16,10.04,10.10,10.01,10.08,13946
21-Jul-16,10.08,10.08,9.94,9.99,67713
20-Jul-16,10.10,10.10,9.99,10.07,17209
19-Jul-16,10.00,10.03,10.00,10.00,45380
18-Jul-16,10.02,10.08,10.00,10.07,39273
15-Jul-16,10.06,10.07,10.03,10.04,11251
14-Jul-16,10.12,10.15,10.10,10.14,23146
13-Jul-16,10.16,10.17,10.08,10.16,31926
12-Jul-16,10.14,10.22,10.14,10.20,64623
11-Jul-16,10.00,10.17,10.00,10.17,74883
8-Jul-16,9.88,9.92,9.87,9.92,25039
7-Jul-16,9.90,9.90,9.79,9.89,33031
6-Jul-16,9.80,9.89,9.78,9.84,17760
5-Jul-16,9.92,9.92,9.81,9.86,28004
1-Jul-16,9.86,9.86,9.80,9.81,32341
30-Jun-16,9.79,9.81,9.77,9.78,9114
29-Jun-16,9.81,9.86,9.81,9.82,45589
28-Jun-16,9.61,9.76,9.61,9.76,26994
27-Jun-16,9.61,9.61,9.42,9.47,57282
24-Jun-16,9.48,9.57,9.48,9.55,47403
23-Jun-16,9.79,9.91,9.79,9.87,21774
22-Jun-16,9.82,9.86,9.73,9.74,11402
21-Jun-16,9.92,9.95,9.85,9.85,22198
20-Jun-16,9.85,9.94,9.82,9.85,35180
17-Jun-16,9.68,9.72,9.64,9.65,31289
16-Jun-16,9.64,9.68,9.62,9.67,37547
15-Jun-16,9.73,9.83,9.73,9.78,12778
14-Jun-16,9.73,9.76,9.70,9.70,24913
13-Jun-16,9.78,9.86,9.75,9.78,28313
10-Jun-16,9.92,9.94,9.78,9.88,66295
9-Jun-16,10.02,10.06,9.97,9.98,33871
8-Jun-16,10.07,10.10,10.07,10.07,21529
7-Jun-16,9.98,10.05,9.98,10.01,24581
6-Jun-16,9.95,10.00,9.95,9.99,23673
3-Jun-16,9.84,9.89,9.84,9.84,27000
2-Jun-16,9.76,9.81,9.76,9.81,8308
1-Jun-16,9.81,9.81,9.79,9.81,17818
31-May-16,9.81,9.82,9.79,9.80,6679
27-May-16,9.79,9.80,9.63,9.74,39626
26-May-16,9.68,9.78,9.68,9.78,37873
25-May-16,9.73,9.76,9.72,9.74,19455
24-May-16,9.71,9.74,9.67,9.71,69151
23-May-16,9.62,9.73,9.62,9.69,93726
20-May-16,9.64,9.68,9.64,9.65,33165
19-May-16,9.60,9.62,9.58,9.60,18884
18-May-16,9.64,9.71,9.63,9.64,6274
17-May-16,9.68,9.70,9.64,9.64,17178
16-May-16,9.72,9.72,9.65,9.67,22479
13-May-16,9.66,9.69,9.65,9.67,16013
12-May-16,9.85,9.85,9.70,9.77,13579
11-May-16,9.74,9.75,9.72,9.74,11719
10-May-16,9.74,9.81,9.72,9.78,29311
9-May-16,9.62,9.74,9.61,9.62,47959
6-May-16,9.65,9.65,9.55,9.58,32232
5-May-16,9.55,9.59,9.53,9.57,6913
4-May-16,9.60,9.60,9.53,9.55,37646
3-May-16,9.66,9.69,9.66,9.68,35257
2-May-16,9.72,9.78,9.63,9.76,54007
29-Apr-16,9.61,9.61,9.54,9.61,104368
28-Apr-16,9.59,9.59,9.48,9.49,71955
27-Apr-16,9.72,9.74,9.68,9.72,17539
26-Apr-16,9.69,9.71,9.67,9.68,4372
25-Apr-16,9.74,9.76,9.71,9.73,17099
22-Apr-16,9.86,9.86,9.77,9.80,22115
21-Apr-16,9.84,9.90,9.75,9.79,43416
20-Apr-16,9.77,9.83,9.72,9.79,29298
19-Apr-16,9.84,9.90,9.75,9.80,61257
18-Apr-16,9.57,9.75,9.57,9.70,18411
15-Apr-16,9.65,9.67,9.65,9.67,11661
14-Apr-16,9.75,9.75,9.65,9.67,34839
13-Apr-16,9.77,9.78,9.61,9.64,213479
12-Apr-16,9.52,9.61,9.51,9.61,34091
11-Apr-16,9.51,9.51,9.42,9.42,10268
8-Apr-16,9.41,9.59,9.41,9.45,33531
7-Apr-16,9.32,9.36,9.23,9.24,38529
6-Apr-16,9.20,9.26,9.20,9.24,109941
5-Apr-16,9.25,9.25,9.12,9.21,93764
4-Apr-16,9.41,9.45,9.40,9.41,86393
1-Apr-16,9.46,9.48,9.39,9.43,43138
31-Mar-16,9.62,9.71,9.62,9.65,55754
30-Mar-16,9.66,9.76,9.66,9.70,45676
29-Mar-16,9.70,9.75,9.68,9.69,16863
28-Mar-16,9.75,9.75,9.71,9.74,15097
24-Mar-16,9.58,9.72,9.58,9.72,18042
23-Mar-16,9.66,9.71,9.66,9.68,34170
22-Mar-16,9.68,9.74,9.65,9.69,27100
21-Mar-16,9.60,9.69,9.60,9.68,90735
18-Mar-16,9.59,9.69,9.59,9.69,11233
17-Mar-16,9.58,9.65,9.58,9.62,37808
16-Mar-16,9.54,9.63,9.54,9.63,30035
15-Mar-16,9.55,9.59,9.55,9.59,11095
14-Mar-16,9.59,9.60,9.55,9.59,7781
11-Mar-16,9.38,9.59,9.38,9.55,19072
10-Mar-16,9.45,9.45,9.30,9.34,21053
9-Mar-16,9.29,9.34,9.29,9.34,28288
8-Mar-16,9.31,9.37,9.30,9.33,21516
7-Mar-16,9.33,9.41,9.30,9.35,91467
4-Mar-16,9.34,9.45,9.32,9.40,17725
3-Mar-16,9.29,9.35,9.25,9.30,28517
2-Mar-16,9.17,9.25,9.17,9.20,72391
1-Mar-16,9.05,9.15,9.05,9.13,57297
29-Feb-16,8.99,9.07,8.98,8.98,99371
26-Feb-16,9.00,9.06,9.00,9.03,21785
25-Feb-16,8.85,8.98,8.85,8.96,13679
24-Feb-16,8.80,8.87,8.79,8.82,93835
23-Feb-16,8.84,8.89,8.84,8.85,58653
22-Feb-16,8.93,8.97,8.89,8.91,74271
19-Feb-16,8.70,8.77,8.68,8.74,186508
18-Feb-16,8.70,8.78,8.70,8.74,245614
17-Feb-16,8.58,8.72,8.58,8.68,256630
16-Feb-16,8.77,8.81,8.52,8.57,193828
12-Feb-16,8.34,8.63,8.34,8.53,226498
11-Feb-16,8.69,8.75,8.54,8.65,189378
10-Feb-16,9.00,9.10,8.94,8.97,21253
9-Feb-16,8.96,9.18,8.88,9.05,46060
8-Feb-16,9.30,9.30,9.06,9.12,62780
5-Feb-16,9.50,9.50,9.40,9.40,10620
4-Feb-16,9.46,9.58,9.46,9.54,8124
3-Feb-16,9.45,9.57,9.40,9.51,67039
2-Feb-16,9.51,9.55,9.45,9.50,6938
1-Feb-16,9.54,9.54,9.45,9.54,12024
29-Jan-16,9.55,9.57,9.48,9.54,11429
28-Jan-16,9.47,9.47,9.35,9.45,25359
27-Jan-16,9.49,9.50,9.38,9.49,19605
26-Jan-16,9.31,9.47,9.26,9.47,33075
25-Jan-16,9.20,9.24,9.18,9.21,19228
22-Jan-16,9.20,9.22,9.16,9.20,45452
21-Jan-16,9.09,9.18,9.02,9.10,30131
20-Jan-16,9.13,9.13,8.92,9.10,45064
19-Jan-16,9.59,9.62,9.18,9.26,61791
15-Jan-16,9.41,9.48,9.16,9.38,26137
14-Jan-16,9.68,9.78,9.62,9.78,4922
13-Jan-16,9.82,9.85,9.68,9.69,39560
12-Jan-16,9.95,9.95,9.69,9.71,23632
11-Jan-16,10.07,10.08,9.84,9.86,42787
8-Jan-16,10.11,10.20,10.00,10.02,29353
7-Jan-16,10.05,10.07,9.89,10.06,15689
6-Jan-16,10.15,10.21,10.10,10.18,31782
5-Jan-16,10.19,10.46,10.19,10.20,28011
4-Jan-16,9.90,10.19,9.80,10.13,56563
31-Dec-15,10.23,10.30,10.21,10.23,15799
30-Dec-15,10.27,10.32,10.27,10.31,28566
29-Dec-15,10.26,10.35,10.17,10.32,48825
