Date,Open,High,Low,Close,Volume
22-Nov-16,19.77,19.83,19.42,19.49,42901
21-Nov-16,19.35,19.68,19.22,19.68,57076
18-Nov-16,19.56,19.56,19.14,19.15,56017
17-Nov-16,19.29,19.32,19.08,19.08,24356
16-Nov-16,19.51,19.66,19.07,19.13,44265
15-Nov-16,19.37,19.67,19.37,19.63,29345
14-Nov-16,18.99,19.28,18.74,19.26,49553
11-Nov-16,18.66,18.98,18.32,18.98,29913
10-Nov-16,18.48,19.20,18.48,18.65,29792
9-Nov-16,17.60,18.43,17.60,18.42,22584
8-Nov-16,17.82,17.82,17.32,17.65,16989
7-Nov-16,17.71,18.25,17.71,17.83,30240
4-Nov-16,17.59,17.61,17.41,17.50,22400
3-Nov-16,17.63,17.80,17.58,17.66,33795
2-Nov-16,17.80,17.86,17.55,17.77,50459
1-Nov-16,17.91,18.14,17.84,17.93,33132
31-Oct-16,18.42,18.49,17.69,17.81,41842
28-Oct-16,18.59,18.63,18.37,18.37,41565
27-Oct-16,18.70,19.00,18.60,18.60,34731
26-Oct-16,18.54,18.95,18.51,18.72,24617
25-Oct-16,18.80,18.89,18.61,18.66,24675
24-Oct-16,18.71,18.88,18.71,18.76,22081
21-Oct-16,18.53,18.75,18.52,18.70,22032
20-Oct-16,18.52,18.70,18.46,18.52,15478
19-Oct-16,18.58,18.89,18.41,18.57,62703
18-Oct-16,18.55,18.65,18.45,18.57,27148
17-Oct-16,18.66,18.79,18.23,18.46,29854
14-Oct-16,18.76,18.78,18.54,18.68,36339
13-Oct-16,18.50,18.60,18.31,18.49,41415
12-Oct-16,18.63,18.77,18.54,18.56,14135
11-Oct-16,18.57,18.77,18.46,18.66,29217
10-Oct-16,18.66,18.80,18.59,18.78,30020
7-Oct-16,18.37,18.61,18.37,18.53,30806
6-Oct-16,18.48,18.53,18.20,18.32,33434
5-Oct-16,18.26,18.44,18.22,18.35,27409
4-Oct-16,18.96,19.17,18.60,18.61,74416
3-Oct-16,18.98,19.18,18.91,18.91,51913
30-Sep-16,18.89,19.12,18.83,18.96,41804
29-Sep-16,18.88,19.08,18.74,18.91,35121
28-Sep-16,18.41,18.83,18.23,18.79,23143
27-Sep-16,18.41,18.53,18.23,18.49,29247
26-Sep-16,18.62,18.66,18.43,18.47,21797
23-Sep-16,18.53,18.73,18.52,18.62,12996
22-Sep-16,18.66,18.71,18.40,18.66,111018
21-Sep-16,18.23,18.46,18.16,18.44,38123
20-Sep-16,18.24,18.24,18.04,18.12,14485
19-Sep-16,18.47,18.84,18.09,18.16,48197
